﻿sto-notice-1,"Within two months, send Disciple to hunt down the escaped Ding siblings.",ภายในสองเดือน ส่งศิษย์ออกตามจับพี่น้องตระกูลติงที่หลบหนี
sto-notice-2,Accompany Duke Kang to Langya Sword Pavilion for the ceremony.,ร่วมเดินทางกับอ๋องคัง เพื่อเข้าร่วมงานชุมนุมที่ศาลากระบี่หลางหยา
sto-notice-3,Go to Peak of Challenge for a martial arts competition.,ไปที่ ยอดเขาแห่งการชิงชัย เพื่อ งานประลองวรยุทธ
sto-notice-4,Continue to develop the sect.,พัฒนานิกายต่อไป
sto-notice-5,Deal with the ronin from Great Ant City who came to challenge.,รับมือกับโรนินจากเมืองผีฝูผู้มาท้าประลอง
sto-notice-6,"Within two months, send Disciple to hunt down the escaped Ding siblings.",ภายในสองเดือน ส่งศิษย์ออกตามจับพี่น้องตระกูลติงที่หลบหนี
sto-notice-7,Accompany King Chai to Taoist Sect for the ceremony.,ร่วมเดินทางกับอ๋องไฉ เพื่อเข้าร่วมงานชุมนุมที่สำนักเต๋า
sto-notice-8,Deal with the ronin from Great Ant City who came to challenge.,รับมือกับโรนินจากเมืองผีฝูผู้มาท้าประลอง
sto-notice-9,Collect supplies for King Chai.,จัดหาเสบียงให้ท่านอ๋องไฉ
sto-notice-10,"You have discovered King Chai's ambush, strike first for the advantage. (Failure or expiration of this event may result in game over)",เจ้าล่วงรู้แผนซุ่มโจมตีของอ๋องไฉ จงชิงลงมือเพื่อช่วงชิงความได้เปรียบ (หากเหตุการณ์นี้ล่าช้าหรือล้มเหลว เกมจะจบลง)
sto-notice-11,Defeat the arrogant official army that came to suppress the bandits (Failure of this event may result in game over),พิชิตเหล่าทหารราชสำนักผู้จองหองที่ยกทัพมาปราบโจรให้ราบคาบ
sto-notice-12,Dealing with the government's extortionate levies,หาทางรับมือกับการเก็บภาษีอย่างไม่เป็นธรรมของรัฐบาล
sto-notice-13,Deal with the attack from Crime Investigation Bureau (Failure or expiration of this event may result in game failure),ต้านทานการโจมตีจากสำนักเทพมือปราบ (หากพลาดท่าหรือล่าช้า เกมจะจบลง)
sto-notice-14,Dealing with the Imperial City Bureau's unreasonable taxation,ต่อกรกับการเรียกเก็บภาษีอย่างไม่ชอบธรรมของกรมวังหลวง
sto-notice-15,Deal with the revenge of Tong Daofu (Failure or expiration of this event may result in game failure),ถงเต๋าฟู่ กำลังวางแผนแก้แค้นเจ้า! (ความผิดพลาดใดๆ หรือความล่าช้า อาจหมายถึงหายนะในยุทธภพ!)
sto-notice-16,Dealing with Duke Kang's manor's forced requisition of supplies,รับมือกับการบังคับยึดทรัพย์จากตำหนักอ๋องคัง
sto-notice-17,Negotiate with Ye Family Battalion of Bao Sect (Failure or expiration of this event may result in game failure),เจรจากับกองทัพตระกูลเย่ที่ล้อมสำนักอยู่ (หากการเจรจาล้มเหลวหรือล่าช้าจะทำให้เกมโอเวอร์)
sto-notice-18,Meet with the heads of the three sects at Peak of Challenge.,พบกับเจ้าสำนักทั้งสาม บนยอดเขาแห่งการชิงชัย
sto-notice-19,Attend the amnesty conference hosted by Qin Huizhi.,เข้าร่วมการชุมนุมเรียกตัวที่จัดโดยฉินฮุ่ยจือ
sto-notice-20,Deal with the ronin from Great Ant City who came to challenge.,รับมือกับโรนินจากเมืองผีฝูผู้มาท้าประลอง
sto-notice-21,"You have discovered King Chai's ambush, strike first for the advantage. (Failure or expiration of this event may result in game over)",เจ้าล่วงรู้แผนซุ่มโจมตีของอ๋องไฉ จงชิงลงมือเพื่อช่วงชิงความได้เปรียบ (หากเหตุการณ์นี้ล่าช้าหรือล้มเหลว เกมจะจบลง)
sto-main-1_1_1,"Although not everyone has the chance to enter a different world,\nBut like you screaming loudly from the sky \nAnd landing on a tree branch is a one in a million encounter.\nThe good news is, this is a martial arts world that you dream about.\nThe bad news is, a difficult and life-threatening choice is imminent...","ไม่ใช่ว่าทุกคนจะได้เจอโอกาสในการหลุดเข้าไปยังโลกต่างมิติ\nแต่การที่เจ้าร้องลั่นด้วยความตกใจแล้วร่วงลงมาจากฟากฟ้า\nพร้อมกับลงจอดด้วยบั้นท้ายบนกิ่งไม้ช่างเป็นเรื่องแสนประหลาดที่หาได้ยากยิ่ง\nข่าวดีคือ นี่คือโลกแห่งจอมยุทธที่เจ้าหลงใหลอยากสัมผัสมาโดยตลอด\nข่าวร้ายคือ การตัดสินใจที่ยากลำบากและเสี่ยงชีวิตกำลังรอเจ้าอยู่ตรงหน้าแล้ว..."
sto-main-1_1_2,"Ouch, ouch, ouch, ouch, ouch!",อุ๊ปส์ อุก อั้ก โอย โอ๊ย!
sto-main-1_1_3,Damn it... I have to be thrown down from the sky after crossing over!,เทพเจ้าเอ้ย… พาข้าข้ามโลกมาแล้ว ยังจะต้องโยนข้าลงมาจากฟ้าด้วยหรือ!
sto-main-1_1_4,"Wait, why is there suddenly the sound of girls arguing below?",เดี๋ยวก่อนนะ ทำไมข้างล่างถึงมีเสียงสาวๆ ทะเลาะกันอยู่?
sto-main-1_1_5,Why is there no road...,มองไม่เห็นทางลงเลย…
sto-main-1_1_6,"Luo Qianxue, if you continue to pursue me relentlessly, don't blame me for being ruthless!",ลั่วเฉียนเสวี่ย ถ้าเจ้ายังตามจองล้างจองผลาญข้าไม่เลิก ก็อย่าโทษว่าข้าไร้ความปรานีเลย!
sto-main-1_1_7,"I'm not afraid of you, little thief! Take this, Sumeru Sword!",ข้าไม่กลัวนางโจรน้อยอย่างเจ้าหรอก! รับนี่ เพลงกระบี่เขาพระสุเมรุ!
sto-main-1_1_8,"Hmph, take my Wind Stab!","ฮึ่ม, รับท่า แทงวายุกระโชก! ของข้าไป"
sto-main-1_1_9,"Both parties are injured and kneel on the ground after exchanging blows,\nThis awkward stalemate might continue indefinitely without outside interference...","ทั้งสองคนต่างได้รับบาดเจ็บจากการโจมตีของกันและกันจนล้มลงบนพื้น\nถ้าหากไม่มีใครมารบกวน สถานการณ์ที่น่าละอายนี้ก็คงจะดำเนินต่อไป…"
sto-main-1_1_10,<size=200%>Achoo!!!!!,<size=200%>ฮัดชิ้ว!!!!
sto-main-1_1_11,"Sorry, I didn't mean to interrupt you two.\nYou continue to shout your move names, I'll go back to sleep in the tree.","ขออภัยๆ ข้าไม่ได้ตั้งใจจะรบกวนท่านทั้งสองนะ\nเชิญพวกท่านตะโกนชื่อท่าไม้ตายกันให้เต็มที่เลย ข้าขอตัวปีนกลับขึ้นไปนอนบนต้นไม้ต่อล่ะ"
sto-main-1_1_12,"Help me deal with this woman, I'll give you money!",ช่วยข้ารับมือกับสตรีนางนี้ที แล้วข้าจะมอบเงินให้เจ้า!
sto-main-1_1_13,"Young hero, this woman is a notorious female thief, capturing her is a great merit!",ท่านจอมยุทธน้อย สตรีนางนี้คือนางโจรอันฉาวโฉ่ หากจับกุมนางได้นับเป็นความชอบอันใหญ่หลวง!
sto-main-1_1_14,"Strange, why does this scene seem so familiar... Who should I help? What a headache...",แปลกจริง ทำไมข้ารู้สึกคุ้นเคยกับฉากนี้มาก่อน...แล้วข้าควรจะช่วยใครดี? ปวดหัวจริงแฮะ...
sto-main-1_op_1_1,Help the cold masked woman.,ช่วยเหลือสตรีคลุมหน้าท่าทีเย็นชา
sto-main-1_op_1_2,Help the handsome young constable.,ช่วยเหลือมือปราบรูปงาม
sto-main-1_2_1,"I'm suspicious myself, how can I help the official?",ตัวข้ายังมีสถานะน่าสงสัยอยู่ แล้วข้าจะไปช่วยคนของทางการได้ยังไงล่ะ?
sto-main-1_3_1,"...I didn't expect you to be in the same league with that thief, I'll come back another day to learn from you!",…ไม่คิดเลยว่าเจ้ากับนางโจรนั้นจะเป็นพวกเดียวกัน วันหลังข้าค่อยมาชำระแค้นกับเจ้า!
sto-main-1_3_2,"By the way, I am Swallow Nest Disciple Hua Qingqing, thank you for saving my life!",อ้อใช่ ข้าชื่อหัวชิงชิง ศิษย์ของรังนกนางแอ่น ขอบคุณที่ช่วยชีวิตข้า!
sto-main-1_3_3,"I am {PlayerName}, Miss Hua, are your injuries serious?",ข้า{PlayerName} แม่นางหัวชิงชิง ท่านบาดเจ็บหนักหรือไม่?
sto-main-1_3_4,{PlayerName}... I will remember this name.,{PlayerName}...ข้าจะจดจำนามของท่านไว้
sto-main-1_3_5,"My injuries are not severe, just a bit painful... It's getting late, and it's not safe to stay here for long. There's a Nameless village ahead, could you escort me there for treatment?",อาการข้าไม่เป็นอะไรมาก แค่รู้สึกเจ็บเล็กน้อย...แต่นี่ก็เริ่มดึกแล้ว อยู่ตรงนี้นานๆคงไม่ปลอดภัยเป็นแน่ ข้างหน้านี้มีหมู่บ้านไร้นามอยู่ รบกวนเจ้าช่วยพาข้าไปรักษาตัวที่นั่นหน่อยได้ไหม?
sto-main-1_4_1,"Luo Qianxue, if you dare, take this move from me!",ลั่วเฉียนเสวี่ย หากเจ้าแน่จริงก็ลองรับมือกระบวนท่านี้ดู!
