﻿SlgTechName_科技0,Technology 0,วิทยาการ 0
SlgTechName_科技1,Technology 1,วิทยาการ 1
SlgTechName_科技2,Technology 2,วิทยาการ 2
SlgTechName_科技3,Technology 3,วิทยาการ 3
SlgTechName_科技4,Technology 4,วิทยาการ 4
SlgTechName_科技5,Technology 5,วิทยาการ 5
SlgTechName_科技6,Technology 6,วิทยาการ 6
SlgTechName_科技7,Technology 7,วิทยาการ 7
SlgTechName_科技8,Technology 8,วิทยาการ 8
SlgTechName_科技9,Technology 9,วิทยาการ 9
SlgTechName_科技10,Technology 10,วิทยาการ 10
SlgTechName_科技11,Technology 11,วิทยาการ 11
SlgTechInfo_科技0,This is Technology 0,นี่คือวิทยาการ 0
SlgTechInfo_科技1,This is Technology 1,นี่คือวิทยาการ 1
SlgTechInfo_科技2,This is Technology 2,นี่คือวิทยาการ 2
SlgTechInfo_科技3,This is Technology 3,นี่คือวิทยาการ 3
SlgTechInfo_科技4,This is Technology 4,นี่คือวิทยาการ 4
SlgTechInfo_科技5,This is Technology 5,นี่คือวิทยาการ 5
SlgTechInfo_科技6,This is Technology 6,นี่คือวิทยาการ 6
SlgTechInfo_科技7,This is Technology 7,นี่คือวิทยาการ 7
SlgTechInfo_科技8,This is Technology 8,นี่คือวิทยาการ 8
SlgTechInfo_科技9,This is Technology 9,นี่คือวิทยาการ 9
SlgTechInfo_科技10,This is Technology 10,นี่คือวิทยาการ 10
SlgTechInfo_科技11,This is Technology 11,นี่คือวิทยาการ 11
科技本地化,
SlgTechName_通用_行为增益_疗伤1,Healing Effect Enhanced 1,ผลการรักษาเพิ่มขึ้น 1
SlgTechName_通用_行为增益_疗伤2,Healing Effect Enhanced 2,ผลการรักษาเพิ่มขึ้น 2
SlgTechName_通用_行为增益_疗伤3,Healing Effect Enhanced 3,ผลการรักษาเพิ่มขึ้น 3
SlgTechName_通用_行为增益_惠民1,Benefit People Effect Enhanced 1,ผลประโยชน์ช่วยเหลือผู้คนเพิ่ม 1
SlgTechName_通用_行为增益_惠民2,Benefit People Effect Enhanced 2,ผลประโยชน์ช่วยเหลือผู้คนเพิ่ม 2
SlgTechName_通用_行为增益_惠民3,Benefit People Effect Enhanced 3,ผลประโยชน์ช่วยเหลือผู้คนเพิ่ม 3
SlgTechName_通用_行为增益_修炼1,Learning Effect Enhanced 1,ผลของการฝึกเพิ่มขึ้น 1
SlgTechName_通用_行为增益_修炼2,Learning Effect Enhanced 2,ผลของการฝึกเพิ่มขึ้น 2
SlgTechName_通用_行为增益_修炼3,Learning Effect Enhanced 3,ผลของการฝึกเพิ่มขึ้น 3
SlgTechName_通用_行为减耗_进攻1,Attack Cost Reduced 1,ลดค่าที่ใช้ในการโจมตีลง 1
SlgTechName_通用_行为减耗_进攻2,Attack Cost Reduced 2,ลดค่าที่ใช้ในการโจมตีลง 2
SlgTechName_通用_行为减耗_进攻3,Attack Cost Reduced 3,ลดค่าที่ใช้ในการโจมตีลง 3
SlgTechName_通用_行为减耗_疗伤1,Healing Cost Reduced 1,ลดค่าที่ใช้ในการรักษาลง 1
SlgTechName_通用_行为减耗_疗伤2,Healing Cost Reduced 2,ลดค่าที่ใช้ในการรักษาลง 2
SlgTechName_通用_行为减耗_疗伤3,Healing Cost Reduced 3,ลดค่าที่ใช้ในการรักษาลง 3
SlgTechName_通用_行为减耗_惠民1,Benefit People Cost Reduced 1,ลดค่าที่ใช้ในการช่วยเหลือผู้คนลง 1
SlgTechName_通用_行为减耗_惠民2,Benefit People Cost Reduced 2,ลดค่าที่ใช้ในการช่วยเหลือผู้คนลง 2
SlgTechName_通用_行为减耗_惠民3,Benefit People Cost Reduced 3,ลดค่าที่ใช้ในการช่วยเหลือผู้คนลง 3
SlgTechName_通用_行为减耗_补给1,Supply Cost Reduced 1,ใช้เสบียงลดลง 1
SlgTechName_通用_行为减耗_补给2,Supply Cost Reduced 2,ใช้เสบียงลดลง 2
SlgTechName_通用_行为减耗_补给3,Supply Cost Reduced 3,ใช้เสบียงลดลง 3
SlgTechName_通用_行为减耗_修炼1,Learning Cost Reduced 1,ลดค่าที่ใช้ในการเรียนรู้ลง 1
SlgTechName_通用_行为减耗_修炼2,Learning Cost Reduced 2,ลดค่าที่ใช้ในการเรียนรู้ลง 2
SlgTechName_通用_行为减耗_修炼3,Learning Cost Reduced 3,ลดค่าที่ใช้ในการเรียนรู้ลง 3
SlgTechName_通用_行为减耗_研究1,Meditation Cost Reduction 1,ลดค่าที่ใช้ในการทำสมาธิลง 1
SlgTechName_通用_行为减耗_研究2,Meditation Cost Reduction 2,ลดค่าที่ใช้ในการทำสมาธิลง 2
SlgTechName_通用_行为减耗_研究3,Meditation Cost Reduction 3,ลดค่าที่ใช้ในการทำสมาธิลง 3
SlgTechName_通用_弟子上限_5,Increase Disciple Limit 1,เพิ่มจำนวนศิษย์สูงสุด 1
SlgTechName_通用_弟子上限_6,Increase Disciple Limit 2,เพิ่มจำนวนศิษย์สูงสุด 2
SlgTechName_通用_弟子上限_7,Increase Disciple Limit 3,เพิ่มจำนวนศิษย์สูงสุด 3
SlgTechName_通用_弟子上限_8,Increase Disciple Limit 4,เพิ่มจำนวนศิษย์สูงสุด 4
SlgTechName_通用_弟子上限_9,Increase Disciple Limit 5,เพิ่มจำนวนศิษย์สูงสุด 5
SlgTechName_通用_弟子上限_10,Increase Disciple Limit 6,เพิ่มจำนวนศิษย์สูงสุด 6
SlgTechName_通用_商人_资源1,Unlock Resource Merchant,ปลดล็อคพ่อค้าทรัพยากร
SlgTechName_通用_商人_资源2,Resource Goods Expansion 1,ขยายช่องทรัพยากร 1
SlgTechName_通用_商人_资源3,Resource Goods Expansion 2,ขยายช่องทรัพยากร 2
SlgTechName_通用_商人_装备1,Unlock Equipment Merchant,ปลดล็อคพ่อค้าอุปกรณ์
SlgTechName_通用_商人_装备2,Equipment Goods Expansion 1,ขยายช่องอุปกรณ์ 1
SlgTechName_通用_商人_装备3,Equipment Goods Expansion 2,ขยายช่องอุปกรณ์ 2
SlgTechName_通用_商人_武功1,Unlock Martial Arts Merchant,ปลดล็อคพ่อค้าวรยุทธ์
SlgTechName_通用_商人_武功2,Martial Arts Goods Expansion 1,ขยายช่องวรยุทธ 1
SlgTechName_通用_商人_武功3,Martial Arts Goods Expansion 2,ขยายช่องวรยุทธ 2
