﻿buji1,"<size=80%>Supply (1/3)</size>\nEnter through the ""Supply"" button on the main interface.\nSupply can fully replenish the HP and MP of the stationed disciples in the next round.","<size=80%>เสบียง (1/3)</size>\nเข้าผ่านปุ่ม ""เสบียง"" บนหน้าเมนูหลัก\nเสบียงจะช่วยฟื้นฟู HP และ MP ของศิษย์ประจำการให้เต็มในรอบถัดไป"
buji2,"<size=80%>Supply (2/3)</size>\nSelect the disciple to be supplied and click the ""Supply"" button.","<size=80%>เสบียง (2/3)</size>\nเลือกศิษย์ที่ต้องการรับเสบียงและกดปุ่ม ""จัดส่งเสบียง"""
buji3,"<size=80%>Supply (3/3)</size>\nAfter selecting the place that can be supplied, confirm the information of the supply cost, click the ""Supply"" button to execute the supply.\nNote: The supply does not take effect immediately, the effect will take effect at the beginning of the next round.","<size=80%>เสบียง (3/3)</size>\nหลังจากเลือกสถานที่รับเสบียง ตรวจสอบค่าใช้จ่ายในการรับเสบียง แล้วกดปุ่ม ""รับเสบียง"" เพื่อดำเนินการ\nข้อควรระวัง: เสบียงไม่มีผลทันที แต่จะเริ่มมีผลในรอบถัดไป"
chakan1,"<size=80%>Info (1/2)</size>\nEnter through the ""Info"" button on the main interface.","<size=80%>ข้อมูล (1/2)</size>\nเข้าผ่านปุ่ม ""ข้อมูล"" บนหน้าเมนูหลัก"
chakan2,"<size=80%>Info (2/2)</size>\nClick on the character card to view detailed information about the character.\nTip: In interfaces other than the Info interface, right-clicking on the character card will pop up detailed information about the character.","<size=150%>ตรวจสอบ (2/2)</size>\nคลิกที่การ์ดตัวละครเพื่อดูข้อมูลโดยละเอียดของยอดฝีมือ\nเคล็ดลับ: นอกเหนือจากหน้าตรวจสอบ ท่านสามารถคลิกขวาที่การ์ดตัวละครเพื่อแสดงข้อมูลโดยละเอียดของยอดฝีมือได้"
chuji1,"<size=80%>Attack - Offense (1/5)</size>\nEnter through the ""Attack"" button on the main interface.\nOccupy the land by attacking.","<size=80%>โจมตี - รุก (1/5)</size>\nเข้าผ่านปุ่ม ""โจมตี"" บนหน้าเมนูหลัก\nยึดครองดินแดนด้วยการโจมตี"
chuji2,"<size=80%>Attack - Offense (2/5)</size>\nSelect disciples (up to 6) and click to attack.","<size=80%>โจมตี - รุก (2/5)</size>\nเลือกศิษย์ (สูงสุด 6 คน) และกด โจมตี "
chuji3,"<size=80%>Attack - Offense (3/5)</size>\nSelect the starting point of the attack.","<size=80%>โจมตี - รุก (3/5) </size>\nเลือกจุดเริ่มต้นเพื่อทำการเริ่มโจมตี"
chuji4,"<size=80%>Attack - Offense (4/5)</size>\nSelect the target point of the attack.","<size=80%>โจมตี - รุก (4/5) </size>\nเลือกพื้นที่เป้าหมายเพื่อโจมตี"
chuji5,"<size=80%>Attack - Offense (5/5)</size>\nAfter confirming the attack location information and attack cost, click ""Attack"" to execute the attack.\nThe attack will not be settled immediately, and the result of the attack will be settled when it is the player's turn again in the next round.","<size=80%>โจมตี - รุก (5/5) </size>\nหลังจากยืนยันข้อมูลตำแหน่งพื้นที่โจมตี และค่าโจมตีแล้ว ให้คลิก ""โจมตี"" เพื่อดำเนินการโจมตี\nการโจมตีจะไม่ถูกตัดสินทันที ผลลัพธ์ของการโจมตีจะถูกตัดสิน เมื่อถึงตาของผู้เล่นที่จะดำเนินการอีกครั้งในรอบถัดไป"
fangshou1,"<size=80%>Defense (1/4)</size>\nEnter through the ""Attack"" button on the main interface.\nProtect the power land by blocking the enemy's attack team.","<size=80%>ป้องกัน (1/4)</size>\nเข้าผ่านปุ่ม ""โจมตี"" บนหน้าเมนูหลัก\nปกป้องดินแดนของคุณ ด้วยการป้องกันการโจมตีของกลุ่มศัตรู"
