﻿KunfuName_dlc野狼普攻,Attack,โจมตี
KunfuName_dlc蛇普攻,Attack,โจมตี
KunfuName_dlc熊普攻,Attack,โจมตี
KunfuName_dlc野猪普攻,Attack,โจมตี
KunfuName_dlc猫普攻,Attack,โจมตี
KunfuName_dlc家禽普攻,Attack,โจมตี
KunfuName_dlc野狼王普攻,Attack,โจมตี
KunfuName_dlc野猪王普攻,Attack,โจมตี
KunfuName_dlc毒蝎普攻,Attack,โจมตี
KunfuName_dlc狗普攻,Attack,โจมตี
KunfuName_dlc牛普攻,Attack,โจมตี
KunfuName_dlc猴普攻,Attack,โจมตี
KunfuName_dlc马普攻,Attack,โจมตี
KunfuName_dlc老虎普攻,Attack,โจมตี
KunfuName_dlc白猿普攻,Attack,โจมตี
KunfuName_dlc熊猫普攻,Attack,โจมตี
KunfuName_dlc机关人普攻,Attack,โจมตี
KunfuName_dlc市井拳法,Scoundrel Fist,มวยข้างถนน
KunfuName_dlc罗汉拳法,Arhat Fist,หมัดอรหันต์
KunfuName_dlc一指禅,Zen Finger,ฌานหนึ่งดรรชนี
KunfuName_dlc逍遥拳法,Carefree Fist,หมัดสราญรมย์
KunfuName_dlc奔雷掌法,Quick Palm,ฝ่ามืออัสนี
KunfuName_dlc朱砂掌法,Cinnabar Palm,ฝ่ามือสีชาด
KunfuName_dlc连环掌,Continuous Palm,ฝ่ามือต่อเนื่อง
KunfuName_dlc黑虎拳,Black Tiger Fist,หมัดพยัคฆ์ทมิฬ
KunfuName_dlc雷云掌,Thundercloud Palm,ฝ่ามือเมฆาอัสนี
KunfuName_dlc封穴手,Meridian Sealing Hand,หัตถ์ผนึกชีพจร
KunfuName_dlc广袖流云,Drifting Cloud,เคลื่อนเมฆา
KunfuName_dlc飞花指,Flying Flower Finger,ดรรชนีเด็ดบุปผา
KunfuName_dlc玲珑掌,Sparkling Palm,ฝ่ามือโฉมสะคราญ
KunfuName_dlc菩提掌,Bodhi Palm,ฝ่ามือพุทธะ
KunfuName_dlc花拳绣腿,Amateurish Strike,หมัดบุปผา
KunfuName_dlc五行拳,Five Elements Fist,มวยห้าธาตุ
KunfuName_dlc七巧如意手,Dexterous Hand,หัตถ์เจ็ดปรารถนา
KunfuName_dlc迷魂毒掌,Enchanted Poison Palm,ฝ่ามือพิษลวงวิญญาณ
KunfuName_dlc闪电五连击,Five Thunderbolts,เบญจอสุนีบาต
KunfuName_dlc秋风掌法,Autumn Wind Palm Technique,ฝ่ามือสารทวายุ
KunfuName_dlc空空拳法,Empty Fist,หมัดสูญจำรัส
KunfuName_dlc寒魄冰心掌,Frozen Heart Palm,ฝ่ามือใจน้ำแข็ง
KunfuName_dlc清心玉女掌,Mind Clearing Maiden Palm,ฝ่ามือดรุณีหยกใจสงบ
KunfuName_dlc大力金刚掌,Powerful Diamond Palm,ฝ่ามือวชิระ
KunfuName_dlc凌空点穴手,Far Sealing Hand,ดรรชนีสกัดจุดกลางอากาศ
KunfuName_dlc灵蛇缠丝掌,Snake Bound Palm,ฝ่ามืออสรพิษพัวพัน
KunfuName_dlc伤情别离掌,Breakup Palm,ฝ่ามือกำสรด
KunfuName_dlc降龙伏虎拳,Dragon Slaying Fist,หมัดปราบพยัคฆ์มังกร
KunfuName_dlc玄阴化骨手,Bone Melting Nether Hand,ฝ่ามือละลายกระดูก
KunfuName_dlc太极拳,Taichi Fist,หมัดไทเก๊ก
KunfuName_dlc五毒掌,Five Poisons Palm,ฝ่ามือเบญจพิษ
KunfuName_dlc破空拳,Breakthrough Fist,หมัดทลายนภา
KunfuName_dlc醉仙拳,Wine God Fist,หมัดเซียนเมามาย
KunfuName_dlc断魂爪,Soul Destroyer Claw,กรงเล็บสะบั้นวิญญาณ
KunfuName_dlc般若掌,Prajna Palm,ฝ่ามือปัญญา
KunfuName_dlc幻灭指,Disintegrating Finger,ดรรชนีสลายสิ้น
KunfuName_dlc碧落黄泉,Death Road,เส้นทางมรณะ
KunfuName_dlc破庙拳法,Abandoned Temple Fist,หมัดสิ้นรำลึกสถาน
KunfuName_dlc断情掌,Cruel Palm,ฝ่ามือตัดสัมพันธ์
KunfuName_dlc通天手,Omnipotent Hand,หัตถ์ทงเทียน
KunfuName_dlc碎玉掌,Jewel Breaker Palm,ฝ่ามือทลายหยก
KunfuName_dlc四相掌,Four Generals Palm,ฝ่ามือสี่สัณฐาน
KunfuName_dlc野球拳,Rock Paper Scissor,หมัดลูกกลมเถื่อน
KunfuName_dlc开山掌,Mountain Clear Palm,ฝ่ามือทลายภูผา
KunfuName_dlc玄天指,Ether Finger,ดรรชนีอากาศธาตุ
KunfuName_dlc降霜拳法,Frostfall Fist Technique,หมัดเหมันต์
KunfuName_dlc悲欢指法,Bitter Joy Finger Technique,ดรรชนีระคนทุกข์
KunfuName_dlc撼天指法,Heaven Shaking Finger,ดรรชนีสะเทือนฟ้า
KunfuName_dlc如来大悲掌,Vairocana Kindness Palm,ฝ่ามือยูไลเปี่ยมการุณย์
KunfuName_dlc如来神掌,Vairocana Godly Palm,ฝ่ามือยูไล
KunfuName_dlc八极奔雷掌,Baji Quick Palm,ฝ่ามืออัสนีแปดทิศ
KunfuName_dlc灭天掌,Sky Destroyer Palm,ฝ่ามือทลายสวรรค์
KunfuName_dlc紫薇惊龙掌,Dragon King Palm,ฝ่ามือราชันมังกร
KunfuName_dlc烈阳拳,Solar Fist,หมัดสุรีย์ผลาญ
KunfuName_dlc翻云遮天手,Heaven Engulfed Hand,ฝ่ามือพลิกเมฆาสยบฟ้า
KunfuName_dlc贯云指,Cloud Piercing Finger,ดรรชนีทะลวงเมฆา
KunfuName_dlc万民掌,People's Palm,ฝ่ามือมวลชน
KunfuName_dlc地趟刀法,Earth Blade,ดาบพสุธา
KunfuName_dlc伏虎刀法,Tiger Taming Blade,ดาบปราบพยัคฆ์
KunfuName_dlc三才刀法,Trinity Blade,ดาบสามภพ
KunfuName_dlc疾风斩,Wind Blade,ดาบวายุ
KunfuName_dlc开山刀法,Mountain Clear Blade,ดาบสะบั้นภูผา
KunfuName_dlc荡寇刀法,Bandit Killer Blade,ดาบสังหารโจร
KunfuName_dlc疾风八斩法,Octagonal Wind Blade,8 ดาบตัดวายุ
KunfuName_dlc火云刀法,Flaming Cloud Blade,เพลงดาบเมฆาอัคคี
KunfuName_dlc九苗刀法,Jiumiao Technique,ดาบแมวเก้าแผล
KunfuName_dlc九江刀法,Nine Rivers Blade,ดาบเก้าธารา
KunfuName_dlc柳生刀法,Willow Blade,เพลงดาบตระกูลยางิว
KunfuName_dlc西域刀法,Xiyu Blade,ดาบแดนตะวันตก
KunfuName_dlc风沙刀法,Sandstorm Blade,ดาบพายุทราย
KunfuName_dlc大蛮刀法,Brutal Blade,ดาบคนเถื่อน
KunfuName_dlc合月镰三式,Moon Phase Three Forms,สามดาบเคียวรวมจันทร์
KunfuName_dlc修罗刀法,Shura Blade,เพลงดาบอสุรา
KunfuName_dlc破甲刀法,Armor Breaker Blade,ดาบผ่าเกราะ
KunfuName_dlc剔骨刀法,Bone Cleaver Blade,ดาบเลาะกระดูก
KunfuName_dlc柴刀刀法,Lumbering Blade,ดาบตัดไม้
KunfuName_dlc雁行刀法,Wild Goose Blade,ดาบห่านป่า
KunfuName_dlc霹雳刀法,Thunder Blade,ดาบอัสนี
KunfuName_dlc破军刀法,Ruinous Star Blade,ดาบทลายทัพ
KunfuName_dlc独狼刀法,Cruel Wolf Blade,ดาบหมาป่าเดียวดาย
KunfuName_dlc碧磷刀法,Jade Blade,ดาบพิษมรกต
KunfuName_dlc怒流刀法,Furious Blade,ดาบพายุคลั่ง
KunfuName_dlc七旋斩,Seven Spins Blade,7 ดาบหมุนเวียน
KunfuName_dlc纵横刀诀,Roaming Blade,ดาบสะบั้น
KunfuName_dlc烈火刀法,Flaming Blade,ดาบเปลวอัคคี
KunfuName_dlc盘空刀法,Empty Blade,ดาบเวียนนภา
KunfuName_dlc庖丁解牛法,Ox Killer Blade,ดาบติงแล่วัว
KunfuName_dlc叱咤刀法,Wind Cloud Blade,เพลงดาบวายุเมฆา
KunfuName_dlc无双刀法,Peerless Blade,ดาบไร้ผู้เปรียบ
KunfuName_dlc斩天刀法,Heaven Cutting Blade Technique,เพลงดาบผ่าสวรรค์
KunfuName_dlc蛮荒霸道斩,Savage Primal Blade,ดาบพิฆาตอำมหิต
KunfuName_dlc一刀斩,One Blade,พิฆาตในดาบเดียว
KunfuName_dlc天魔刀法,Archdemon Blade,ดาบมารสวรรค์
KunfuName_dlc吞鲸刀法,Devouring Blade,ดาบกลืนกิน
KunfuName_dlc鬼轮斩,Demonic Circle Blade,ดาบกงล้อมารวิบัติ
KunfuName_dlc回风剑法,Wind Reversal Sword,กระบี่ลมหวน
KunfuName_dlc九宫剑法,Nine Diagrams Sword,กระบี่เก้าลักษณ์
KunfuName_dlc七星剑法,Seven Stars Sword,เพลงกระบี่เจ็ดดารา
KunfuName_dlc浣纱剑法,Huansha Sword,กระบี่ล่าสังหาร
KunfuName_dlc莲花妙剑,Lotus Flower Sword,เพลงกระบี่ดอกบัว
KunfuName_dlc倾城剑法,Alluring Sword,กระบี่โฉมสะคราญ
KunfuName_dlc太乙剑法,Taiyi Sword,เพลงกระบี่ไทยี่
KunfuName_dlc须弥剑法,Sumeru Sword,เพลงกระบี่เขาพระสุเมรุ
KunfuName_dlc游龙剑法,Dragon Roaming Sword,กระบี่มังกรร่ายรำ
KunfuName_dlc青萍剑法,Blue Weed Sword,เพลงกระบี่หยกเขียว
KunfuName_dlc柔云剑法,Gentle Cloud Sword,กระบี่เมฆาละมุน
KunfuName_dlc玉女剑法,Maiden Sword,เพลงกระบี่ดรุณีหยก
KunfuName_dlc贪狼剑法,Flirting Star Sword,กระบี่หยอกดารา
KunfuName_dlc苍穹剑法,Heaven Sword,เพลงกระบี่ฟ้ากว้าง
KunfuName_dlc广寒剑法,Moon Palace Sword,เพลงกระบี่วังจันทรา
KunfuName_dlc太虚十八剑,Taixu Eighteen Swords,ไท่ซวีสิบแปดกระบี่
