﻿DLC1Colon,：,：
DLC1CurrentTime,"Year {0}, Month {1}","ปี {0}, เดือน {1}"
DLC1PassTime,{0}M passed,ผ่านไปแล้ว {0} เดือน
DLC1ExpectedIncome,Estimated Coins: {0},ประมาณการรายรับ: {0}
DLC1ProvinceBelong,Affiliation:,สังกัด:
DLC1ProvinceStability,Stable:,ความมั่นคง:
DLC1SLGCoin,Coins:,เงิน:
DLC1SLGSpecial,Resources:,ทรัพยากร:
DLC1PerMonth,/month,/เดือน
DLC1ActionAttackTitle,Strike Out,โจมตี
DLC1ActionAttackContent,"Form a team to launch an attack on a plot of land or to block an enemy's attacking team.\nWhen <color=#a94e37>Defense</color> is needed against enemy attacks, form a team, select the attacked plot as the starting point, and then click on the enemy's <color=#a94e37>attacking team</color> to defend.","สร้างกลุ่มลูกศิษย์เพื่อเริ่มการโจมตีพื้นที่ หรือป้องกันการโจมตีของกลุ่มศัตรู\nการ <color=#a94e37>ป้องกัน</color> การโจมตีของศัตรู, เมื่อสร้างกลุ่มแล้ว ให้เลือกพื้นที่ที่ถูกโจมตีเป็นจุดเริ่มต้น จากนั้นคลิกที่ <color=#a94e37>กลุ่มศัตรู</color> ที่กำลังโจมตีเพื่อทำการป้องกัน"
DLC1ActionCureTitle,Heal,รักษา
DLC1ActionCureContent,Allow injured or MP-depleted Disciple to recover HP and MP.,ทำให้ลูกศิษย์ที่ได้รับบาดเจ็บหรือมีพลังภายในขาดหาย ฟื้นฟู HP และ MP
DLC1ActionCheckTitle,Info,ข้อมูล
DLC1ActionCheckContent,Info about the Disciple under your sect.,ดูรายละเอียดของลูกศิษย์ในสำนัก
DLC1ActionAppeaseTitle,Benefit,ช่วยเหลือผู้คน
DLC1ActionAppeaseContent,"Let the Disciple under your sect recover the <color=#a94e37>stability</color> of the target location.\nThe higher the Level of the city, the less likely the stability will decrease.\nThe decrease in stability is directly related to the number of hostile forces of the sect. The more enemies you have, the faster the stability of the plot decreases.","ทำให้ศิษย์ในสำนักฟื้นฟู <color=#a94e37>ความมั่นคง</color> ในพื้นที่เป้าหมาย\nยิ่งเมืองมีระดับสูง ความมั่นคงจะยิ่งลดช้าลง\nความมั่นคงลดลง สัมพันธ์กับจำนวนกองกำลัง ที่เป็นศัตรูกับสำนัก ยิ่งมีศัตรูมาก ความมั่นคงก็ลดลงเร็วมาก"
DLC1ActionJourneyTitle,Event,เหตุการณ์
DLC1ActionJourneyContent,The place to undertake special events.,จุดรับเหตุการณ์พิเศษที่เกิดขึ้น
DLC1ActionComprehendTitle,Grasp,เรียนรู้
DLC1ActionComprehendContent,Grasp or forget martial arts.,สามารถให้ศิษย์เรียนรู้วรยุทธ์ หรือ ลืมวรยุทธ์ได้
DLC1ActionPractiseTitle,Learn,ฝึกฝน
DLC1ActionPractiseContent,Improve the martial arts Experience of the Disciple.,เพิ่มค่าประสบการณ์ยุทธ์ให้กับลูกศิษย์
DLC1ActionExperienceTitle,Experience,ประสบการณ์
DLC1ActionExperienceContent,Experience Content,เนื้อหาประสบการณ์ในการฝึกฝน
DLC1ActionResearchTitle,Meditation,ทำสมาธิ
DLC1ActionResearchContent,"Let the Disciple meditate to generate <color=#a94e37>meditation points</color>. Only 1 Disciple can do this per month.\nThe higher the Intelligence, the more meditation points produced.","ให้ลูกศิษย์นั่งสมาธิ เพื่อสร้าง <color=#a94e37>แต้มสมาธิ</color> สามารถส่งลูกศิษย์ไปนั่งสมาธิได้เพียง 1 คนต่อเดือนเท่านั้น\nยิ่งมีสติปัญญาสูงแต้มสมาธิก็ยิ่งมากขึ้น"
DLC1ActionRewardTitle,Reward,รางวัล
DLC1ActionRewardContent,Reward Content,เนื้อหารางวัล
DLC1ActionRecruitTitle,recruit,รับสมัคร
DLC1ActionRecruitContent,Here you can recruit talents.,ที่นี่สามารถรับสมัครผู้มีความสามารถได้
DLC1ActionManageTitle,Manage,บริหารสำนัก
DLC1ActionManageContent,"Allows the sect's Disciple to <color=#a94e37>promote</color> to inner sect Disciple, can <color=#a94e37>expel</color> unsatisfactory Disciples (not available in story mode), can <color=#a94e37>rename</color> sect's Disciples.","สามารถให้ศิษย์ในสำนัก <color=#a94e37>เลื่อนตำแหน่ง</color> เป็นศิษย์ภายใน, สามารถ <color=#a94e37>ขับไล่</color> ศิษย์ที่ไม่พอใจออกไป (ไม่สามารถใช้ได้ในโหมดเรื่องราว), สามารถ <color=#a94e37>เปลี่ยนชื่อ</color> ให้ศิษย์ในสำนักได้"
DLC1ActionFeatureTitle,Traits,คุณลักษณะ
DLC1ActionFeatureContent,Adjust the <color=#a94e37>sect talent</color> for the target Disciple.,ปรับเปลี่ยน <color=#a94e37>ทักษะพิเศษของสำนัก</color> สำหรับลูกศิษย์ที่เลือก
DLC1ActionSupportTitle,Supply,เสบียง
DLC1ActionSupportContent,Let the Disciple recover the HP and MP of the <color=#a94e37>stationed Disciple</color> at the target location.,ทำให้ลูกศิษย์ในสำนักฟื้นฟู HP และ MP ของ <color=#a94e37>ลูกศิษย์ที่ประจำการ</color> ในสถานที่เป้าหมาย
DLC1ActionDevelopTitle,Planning,วางแผน
DLC1ActionDevelopContent,Unlock new features or gains for the sect.,ปลดล็อกทักษะพิเศษใหม่หรือการเพิ่มพลังสำหรับสำนัก
DLC1ActionForeignAffairsTitle,Diplomacy,การทูต
DLC1ActionForeignAffairsContent,Interact with other sects.,ติดต่อกับสำนักอื่น
DLC1ActionTradeTitle,Trade,แลกเปลี่ยน
DLC1ActionTradeContent,"Buy goods from the Merchant.\nPay attention to the Merchant's stay time.","แลกเปลี่ยนหรือซื้อสินค้าจากพ่อค้า\nโปรดสังเกตเวลาคงอยู่ของพ่อค้า"
DLC1ActionItemTitle,Item,สิ่งของ
DLC1ActionItemContent,"Modify the Disciple's Outfit, use consumables for the Disciple, use consumables for the sect.","ปรับเปลี่ยนอุปกรณ์สวมใส่ของศิษย์, ใช้ของบริโภคสำหรับศิษย์, ใช้ของบริโภคสำหรับสำนัก"
DLC1UICancel,Cancel,ยกเลิก
DLC1UIPageManageUpgrade,Promotion,เลื่อนขั้น
DLC1UIPageManageFire,Leave the door,ออกจากสำนัก
DLC1UIPageManageCheck,Info Details,ดูรายละเอียด
DLC1UIPageManageSalaryNext,Cost after promotion/month,ค่าใช้จ่ายหลังเลื่อนขั้น/เดือน
DLC1UIPageManageSalaryCurrent,Current cost/month,ค่าใช้จ่ายปัจจุบัน/เดือน
DLC1UIPageManageRank,Position,ตำแหน่ง
DLC1UIPageManageLv,Level,ระดับ
DLC1UIPageManageName,Name,ชื่อ
DLC1UIPageManageTitle,Disciple Management,จัดการลูกศิษย์
DLC1CurrencySLGCoinTitle,Coin,เงิน
DLC1CurrencySLGCoinContent,"Obtain through <color=#a94e37>land, diplomacy, trade</color> and other methods.","ได้รับผ่าน <color=#a94e37>พื้นที่, การทูต, แลกเปลี่ยน</color> และวิธีอื่นๆ"
DLC1CurrencySLGTributeTitle,Meditation points,แต้มสมาธิ
DLC1CurrencySLGTributeContent,"Generated by sending Disciples to <color=#a94e37>meditate</color>, consumed in the <color=#a94e37>planning</color> panel.","ได้รับโดยการส่งลูกศิษย์ไปทำ <color=#a94e37>สมาธิ</color> เพื่อสร้างแต้มสมาธิ, และใช้ใน <color=#a94e37>หน้าจัดการวางแผน</color>"
