﻿CharaName_引导者,Junior Sister,ศิษย์น้องหญิงคนเล็ก
CharaName_曼,Man,ม่าน
CharaName_泥丸真人,Spiritual master,ผู้บรรลุถึงขั้นสูงสุด
CharaName_战,Zhan,จ้าน
CharaName_黑手指,Hei Shouzhi,เฮย์โช่วจื่อ
CharaName_张,Zhang,จาง
CharaName_赵,Zhao,จ้าว
CharaName_陈,Chen,เฉิน
CharaName_孙,Sun,ซุน
CharaName_周,Zhou,โจว
CharaName_远,Yuan,หยวน
CharaName_明,Ming,หมิง
CharaName_自,Zi,จื้อ
CharaName_逸,Yi,อี้
CharaName_潜,Qian,เฉียน
CharaName_风,Feng,เฟิง
CharaName_静,Jing,จิง
CharaName_高,Gao,เกา
CharaName_慧心,Wise Heart,ฮุ่ยซิน
CharaName_明智,wise,หมิงจือ
CharaName_虔诚,piety ,เฉียนเฉิง
CharaName_禅心,Zen Heart,ฉานซิน
CharaName_净心,Pure Heart,จิ้งซิน
CharaName_慈悲,mercy,ฉือเปย
CharaName_虚空,Void,ซวีคง
CharaName_智慧,wisdom,จือฮุ่ย
CharaName_黑,Hei,เฮย์
CharaName_吴,Wu,อู๋
CharaName_梅,Mei,เหมย
CharaName_桃,Tao,เต๋า
CharaName_竹,Zhu,จู้
CharaName_莲,Lian,เหลียน
CharaName_菊,Ju,จวี
CharaName_松,Song,ซ่ง
CharaName_芙,Fu,ฝู
CharaName_江,Jiang,เจียง
CharaName_烟,Yan,เหยียน
CharaName_山,Shan,ชาน
CharaName_潮,Chao,เฉียว
CharaName_黄,Huang,หวง
CharaName_徐,Xu,สวี
CharaName_朱,Zhu,จู
CharaName_林,Lin,หลิน
CharaName_郑,Zheng,เจิ้ง
CharaName_卢,Lu,หลู
CharaName_毛,Mao,เหม่า
CharaName_谢,Xie,เจี่ย
CharaName_司徒,Situ,ซือถู
CharaName_卫,Wei,เว่ย
CharaName_申,Shen,เซิน
CharaName_司马,Sima,ซือหม่า
CharaName_锺,Zhong,จง
CharaName_茅,Mao,เหม่า
CharaName_桂,Gui,กุ่ย
CharaName_全,Quan,ฉวน
CharaName_养,Yang,หย่าง
CharaName_微,Wei,เวย์
CharaName_席,Xi,สี
CharaName_米,Mi,หมี่
CharaName_巩,Gong,กง
CharaName_巫,Wu,อู
CharaName_常,Chang,ฉาง
CharaName_莫,Mo,โม่
CharaName_阴,Yin,หยิน
CharaName_万,Wan,หวัน
CharaName_屠,Tu,ถู
CharaName_仲,Zhong,ฉง
CharaName_古,Gu,กู่
CharaName_狄,Di,ตี้
CharaName_荣,Rong,หลง
CharaName_利,Li,ลี่
CharaName_危,Wei,เหวย
CharaName_熊,Xiong,สง
CharaName_项,Xiang,เซียง
CharaName_乌,Wu,อู๋
CharaName_沙,Sha,ซา
CharaName_巢,Chao,เฉียว
CharaName_罗,Luo,หลัว
CharaName_须,Xu,ซู
CharaName_成,Cheng,เฉิง
CharaName_苍,Cang,ก้าง
CharaName_曾,Zeng,เจ้ง
CharaName_左,Zuo,จั่ว
CharaName_乔,Qiao,เกี้ยว
CharaName_安,An,อัน
CharaName_索,Suo,สั่ว
CharaName_国,Guo,กั๋ว
CharaName_于,Yu,หยู
CharaName_竺,Zhu,จู้
CharaName_令狐,Linghu,หลิงหู
CharaName_宣,Xuan,ซวน
CharaName_钱,Qian,เฉียน
CharaName_乐,Yue ,เยว่
CharaName_鲁,Lu,หลู่
CharaName_麻,Ma,หม่า
CharaName_司空,Sikong,ซือคง
CharaName_柏,Bai,ไป๋
CharaName_左丘,Zuo,จั่ว
CharaName_伯,Bo,ป๋อ
CharaName_贝,Bei,เป่ย
CharaName_陶,Tao,เต๋า
CharaName_田,Tian,เถียน
CharaName_儒圣馆守卫（弱）,Confucius Temple Guard,ผู้พิทักษ์วัดขงจื้อ (อ่อนหัด)
CharaName_儒圣馆守卫（中）,Confucius Temple Guard,ผู้พิทักษ์วัดขงจื้อ (ขั้นกลาง)
CharaName_儒圣馆守卫（强）,Confucius Temple Guard,ผู้พิทักษ์วัดขงจื้อ (ขั้นสูง)
CharaName_道玄宗守卫（弱）,Taoist Sect Guard,ผู้พิทักษ์สำนักเต๋า (อ่อนหัด)
CharaName_道玄宗守卫（中）,Taoist Sect Guard,ผู้พิทักษ์สำนักเต๋า (ขั้นกลาง)
CharaName_道玄宗守卫（强）,Taoist Sect Guard,ผู้พิทักษ์สำนักเต๋า (ขั้นสูง)
CharaName_释法寺守卫（弱）,Shifa Temple Guard,ผู้พิทักษ์อารามซื่อฟา (ขั้นสูง)
CharaName_释法寺守卫（中）,Shifa Temple Guard,ผู้พิทักษ์อารามซื่อฟา (ขั้นสูง)
CharaName_释法寺守卫（强）,Shifa Temple Guard,ผู้พิทักษ์อารามซื่อฟา (ขั้นสูง)
CharaName_九流门守卫（弱）,Nine Factions Sect Guard,ผู้พิทักษ์นิกายเก้าฝ่าย (อ่อนหัด)
CharaName_九流门守卫（中）,Nine Factions Sect Guard,ผู้พิทักษ์นิกายเก้าฝ่าย (ขั้นกลาง)
