﻿CharaName_引导者,Junior Sister,น้องสาว
CharaName_曼,Man,ชายหนุ่ม
CharaName_泥丸真人,Spiritual master,นักพรตเต๋า
CharaName_战,Zhan,จ้าน
CharaName_黑手指,Hei Shouzhi,เฮย โจวฉื่อ
CharaName_张,Zhang,จาง
CharaName_赵,Zhao,จ้าว
CharaName_陈,Chen,เฉิน
CharaName_孙,Sun,ซุน
CharaName_周,Zhou,โจว
CharaName_远,Yuan,หยวน
CharaName_明,Ming,หมิง
CharaName_自,Zi,จื่อ
CharaName_逸,Yi,ยี่
CharaName_潜,Qian,เฉียน
CharaName_风,Feng,เฟิง
CharaName_静,Jing,จิง
CharaName_高,Gao,เกา
CharaName_慧心,Wise Heart,ฮ้วยซิน
CharaName_明智,wise,หมิงจื่อ
CharaName_虔诚,piety ,เชียงเฉิง
CharaName_禅心,Zen Heart,ฉานซิน
CharaName_净心,Pure Heart,จิงซิน
CharaName_慈悲,mercy,ซือปา
CharaName_虚空,Void,จื้อกง
CharaName_智慧,wisdom,จือเฮว่
CharaName_黑,Hei,เฮย
CharaName_吴,Wu,อู๋
CharaName_梅,Mei,เหมย
CharaName_桃,Tao,เถา
CharaName_竹,Zhu,จู้
CharaName_莲,Lian,เหลียน
CharaName_菊,Ju,จู
CharaName_松,Song,ซ่ง
CharaName_芙,Fu,ฟู่
CharaName_江,Jiang,เจียง
CharaName_烟,Yan,เหยียน
CharaName_山,Shan,ชาน
CharaName_潮,Chao,เฉา
CharaName_黄,Huang,หวง
CharaName_徐,Xu,ซู
CharaName_朱,Zhu,จู้
CharaName_林,Lin,หลิน
CharaName_郑,Zheng,เจิ้ง
CharaName_卢,Lu,ลู่
CharaName_毛,Mao,เหมา
CharaName_谢,Xie,เซีย
CharaName_司徒,Situ,ซือถู
CharaName_卫,Wei,เว่ย
CharaName_申,Shen,เสิน
CharaName_司马,Sima,ซือหม่า
CharaName_锺,Zhong,ฉง
CharaName_茅,Mao,เหมา
CharaName_桂,Gui,กุ้ย
CharaName_全,Quan,ฉวน
CharaName_养,Yang,หยาง
CharaName_微,Wei,เว่ย
CharaName_席,Xi,ฉี
CharaName_米,Mi,มี่
CharaName_巩,Gong,กง
CharaName_巫,Wu,วู
CharaName_常,Chang,ฉาง
CharaName_莫,Mo,โม
CharaName_阴,Yin,หยิน
CharaName_万,Wan,หวัน
CharaName_屠,Tu,ถู
CharaName_仲,Zhong,ฉง
CharaName_古,Gu,กู่
CharaName_狄,Di,ตี้
CharaName_荣,Rong,หรง
CharaName_利,Li,ลี่
CharaName_危,Wei,เว่ย
CharaName_熊,Xiong,สง
CharaName_项,Xiang,เซี่ยง
CharaName_乌,Wu,อู
CharaName_沙,Sha,ซา
CharaName_巢,Chao,เฉา
CharaName_罗,Luo,หลัว
CharaName_须,Xu,ซู
CharaName_成,Cheng,เฉิง
CharaName_苍,Cang,ฉัง
CharaName_曾,Zeng,เฉิง
CharaName_左,Zuo,จั่ว
CharaName_乔,Qiao,เฉียว
CharaName_安,An,อัน
CharaName_索,Suo,โซว
CharaName_国,Guo,กั๋ว
CharaName_于,Yu,หยู
CharaName_竺,Zhu,จู้
CharaName_令狐,Linghu,หลิงหู
CharaName_宣,Xuan,ซวน
CharaName_钱,Qian,เฉียน
CharaName_乐,Yue ,เยว่
CharaName_鲁,Lu,ลู่
CharaName_麻,Ma,หม่า
CharaName_司空,Sikong,ซือคง
CharaName_柏,Bai,ไป๋
CharaName_左丘,Zuo,จั่ว
CharaName_伯,Bo,ป๋อ
CharaName_贝,Bei,เป่ย
CharaName_陶,Tao,เถา
CharaName_田,Tian,เถียน
CharaName_儒圣馆守卫（弱）,Confucius Temple Guard,ผู้พิทักษ์วัดขงจื้อ (อ่อนหัด)
CharaName_儒圣馆守卫（中）,Confucius Temple Guard,ผู้พิทักษ์วัดขงจื้อ (ขั้นกลาง)
CharaName_儒圣馆守卫（强）,Confucius Temple Guard,ผู้พิทักษ์วัดขงจื้อ (ขั้นสูง)
CharaName_道玄宗守卫（弱）,Taoist Sect Guard,ผู้พิทักษ์สำนักเต๋า (อ่อนหัด)
CharaName_道玄宗守卫（中）,Taoist Sect Guard,ผู้พิทักษ์สำนักเต๋า (ขั้นกลาง)
CharaName_道玄宗守卫（强）,Taoist Sect Guard,ผู้พิทักษ์สำนักเต๋า (ขั้นสูง)
CharaName_释法寺守卫（弱）,Shifa Temple Guard,ผู้พิทักษ์อารามฉีฟา (อ่อนหัด)
CharaName_释法寺守卫（中）,Shifa Temple Guard,ผู้พิทักษ์อารามฉีฟา (ขั้นกลาง)
CharaName_释法寺守卫（强）,Shifa Temple Guard,ผู้พิทักษ์อารามฉีฟา (ขั้นสูง)
CharaName_九流门守卫（弱）,Nine Factions Sect Guard,ผู้พิทักษ์นิกายเก้าฝ่าย (อ่อนหัด)
CharaName_九流门守卫（中）,Nine Factions Sect Guard,ผู้พิทักษ์นิกายเก้าฝ่าย (ขั้นกลาง)
CharaName_九流门守卫（强）,Nine Factions Sect Guard,ผู้พิทักษ์นิกายเก้าฝ่าย (ขั้นสูง)
CharaName_妙音坊守卫（弱）,Melody House Guard,ผู้พิทักษ์ตำหนักบทเพลง (อ่อนหัด)
CharaName_妙音坊守卫（中）,Melody House Guard,ผู้พิทักษ์ตำหนักบทเพลง (ขั้นกลาง)
CharaName_妙音坊守卫（强）,Melody House Guard,ผู้พิทักษ์ตำหนักบทเพลง (ขั้นสูง)
CharaName_九黎部落守卫（弱）,Jiuli Tribe Guard,ผู้พิทักษ์เผ่าจิ่วลี่ (อ่อนหัด)
CharaName_九黎部落守卫（中）,Jiuli Tribe Guard,ผู้พิทักษ์เผ่าจิ่วลี่ (ขั้นกลาง)
CharaName_九黎部落守卫（强）,Jiuli Tribe Guard,ผู้พิทักษ์เผ่าจิ่วลี่ (ขั้นสูง)
CharaName_九江水寨守卫（弱）,Jiuli Tribe Guard,องครักษ์เผ่าจิ่วลี่ (อ่อนหัด)
