﻿NpcInteractive_通用_Like,What do you want to do to him?,เจ้าต้องการทำอะไรกับเขา?
NpcInteractive_通用_Dislike,What do you want to do to him?,เจ้าต้องการทำอะไรกับเขา?
NpcHello_通用_SelfIntroHigh,Are you looking for {NpcJobTalk:自我称呼}?|What does {NpcJobTalk:第二人称} want with {NpcJobTalk:自我称呼}?|What do you want {NpcJobTalk:自我称呼} to do for {NpcJobTalk:第二人称}?,เจ้ากำลังตามหา{NpcJobTalk:自我称呼}งั้นรึ?|{NpcJobTalk:第二人称}ต้องการอะไรจาก{NpcJobTalk:自我称呼}ล่ะ?|เจ้าต้องการให้{NpcJobTalk:自我称呼} ทำอะไรให้{NpcJobTalk:第二人称}กัน?
NpcHello_通用_SelfIntroLow,Is there anything you need help with?|What does {NpcJobTalk:第二人称} want with {NpcJobTalk:自我称呼}?|What can {NpcJobTalk:自我称呼} do for {NpcJobTalk:第二人称}?,มีอะไรให้ข้าช่วยไหม?|{NpcJobTalk:第二人称}ต้องการอะไรจาก{NpcJobTalk:自我称呼}ล่ะ?|เจ้าต้องการให้{NpcJobTalk:自我称呼}ทำอะไรให้{NpcJobTalk:第二人称}กันล่ะ?
NpcHello_通用_Common,What's the matter?|How can this {NpcJobTalk:自我称呼} help you?|I didn't expect to meet {NpcJobTalk:第二人称} here.|{NpcJobTalk:第二人称} looks in good spirits.,มีอะไรให้ช่วยไหม?|มาหา{NpcJobTalk:自我称呼}มีเรื่องอันใด?|ไม่นึกว่าจะได้พบ{NpcJobTalk:第二人称}ที่นี่|{NpcJobTalk:第二人称}ดูไม่เลวเลยนิ
NpcHello_通用_Like,What wind blew {NpcJobTalk:第二人称} here!|What brings you to {NpcJobTalk:自我称呼}?|I didn't expect to meet {NpcJobTalk:第二人称} here.|{NpcJobTalk:第二人称} looks in good spirits.|{NpcJobTalk:第二人称} seems to be doing well recently.,ลมอะไรพัด{NpcJobTalk:第二人称}มาล่ะเนี่ย!|สิ่งใดดลใจให้เจ้ามาหา{NpcJobTalk:自我称呼}กันล่ะ?|ข้าไม่คาดหวังว่าจะได้เจอ{NpcJobTalk:第二人称}ที่นี่|{NpcJobTalk:第二人称}ดูไม่เลวเลยนิ|ดูเหมือนว่าช่วงนี้{NpcJobTalk:第二人称}กำลังไปได้สวยเลยนะ
NpcHello_通用_Dislike,"{NpcJobTalk:第二人称}, say what you have to say quickly.|What does {NpcJobTalk:第二人称} want to do?|Humph! {NpcJobTalk:自我称呼} doesn't know {NpcJobTalk:第二人称}.|Go away, don't bother {NpcJobTalk:自我称呼}.|{NpcJobTalk:自我称呼} doesn't have time to chat with {NpcJobTalk:第二人称}.|{NpcJobTalk:自我称呼} is not interested in {NpcJobTalk:第二人称}.",{NpcJobTalk:第二人称}มีอะไรก็รีบพูดมา|{NpcJobTalk:第二人称}เจ้าต้องการอะไร|ฮึ่ม! {NpcJobTalk:自我称呼}ไม่รู้จัก{NpcJobTalk:第二人称}| ไปซะ อย่ามารบกวน{NpcJobTalk:自我称呼}| {NpcJobTalk:自我称呼}ไม่มีเวลามาคุยกับ{NpcJobTalk:第二人称}|{NpcJobTalk:自我称呼}ไม่สนใจ{NpcJobTalk:第二人称}หรอก
NpcHello_通用_Hate,"{NpcJobTalk:自我称呼} has nothing to say to {NpcJobTalk:第二人称}.|{NpcJobTalk:第二人称}, don't make a fool of yourself.|If words are not to the point, it is an abuse.|Get lost!|Disappear from {NpcJobTalk:自我称呼}'s sight quickly!|{NpcJobTalk:自我称呼} doesn't want to see you again!|You have the nerve to see me!",{NpcJobTalk:自我称呼}ไม่มีสิ่งใดจะพูดกับ{NpcJobTalk:第二人称}|{NpcJobTalk:第二人称}อย่ามาหาเรื่องใส่ตัว|หากพูดไม่เข้าประเด็น ครึ่งประโยคก็เกินพอ|ไสหัวไปซะ!|ไปให้พ้นจากสายตา{NpcJobTalk:自我称呼}ให้ไวเลย!|{NpcJobTalk:自我称呼}ไม่อยากเห็นหน้าเจ้าอีก!|เจ้ายังมีหน้ามาพบข้าอีกหรือ! 
NpcFactionBuy_通用_Refuse,"{NpcJobTalk:自我称呼} has nothing to sell to {NpcJobTalk:第二人称}.|{NpcJobTalk:自我称呼} won't quarrel with money, just with {NpcJobTalk:第二人称}.|Our current Relations are not worth opening trade between {NpcJobTalk:自我称呼} and {NpcJobTalk:第二人称}.|{NpcJobTalk:自我称呼} doesn't want to sell things to someone they're not familiar with.",{NpcJobTalk:自我称呼}ไม่มีอะไรขายให้{NpcJobTalk:第二人称}หรอก ไสหัวไปซะ|{NpcJobTalk:自我称呼}จะไม่ทำการค้าเฉพาะแค่กับ{NpcJobTalk:第二人称}|ความสัมพันธ์ของเรายังไม่คุ้มค่าที่จะทำการค้ากัน!|{NpcJobTalk:自我称呼}ไม่มีความสนใจทำการค้ากับคนที่ข้าไม่รู้จัก
NpcFactionBuy_通用_Before,"{NpcJobTalk:自我称呼} There are many things here, there must be something that can satisfy {NpcJobTalk:第二人称}.|{NpcJobTalk:第二人称} Whatever you like, feel free to choose.|{NpcJobTalk:第二人称} What do you want to buy?|High quality and low price, Sincere.",{NpcJobTalk:自我称呼}มีสินค้าหลายอย่างที่นี่ ต้องมีสักอย่างที่จะทำให้{NpcJobTalk:第二人称}พอใจได้แน่|{NpcJobTalk:第二人称}ชอบสินค้าชิ้นไหนก็เชิญเลือกได้เลย|{NpcJobTalk:第二人称}ต้องการซื้ออะไรดีล่ะ?|ร้านของเราสินค้าคุณภาพสูงราคาย่อมเยาสบายกระเป๋า โปรดวางใจเลือกซื้อ
