﻿R10071-2_9_1,"The Seal of the Living represents the dawn of the world, and it's not something you can bear. Hand it over to me quickly.",ตราประทับปวงชนนั้นเป็นดั่งแสงอรุณแลกของทั่วหล้า ไม่ใช่สิ่งที่เจ้าจะแบกรับไหว ส่งมาให้ข้าให้ไวเลย
R20063-1_36_1,The Seal of the Sky Dome is not something a mortal like you can wear. Quickly take it off and give it to me. I will spare the lowly status of the Maiden House Dojokeeper.,ตราประทับแห่งสวรรค์ ไม่ใช่สิ่งที่คู่ควรกับมนุษย์เช่นเจ้า จงรีบนำมันมาให้ข้า แล้วข้าจะไว้ชีวิตผู้ดูแลตำหนักพิสุทธิ์อันต่ำต้อย
R20063-1_37_1,"Do you deserve the Seal of the State? Hand it over to this king, and I will pardon your presumptuous actions and restore your status as a law-abiding citizen according to the agreement.",เจ้าสมควรได้รับตราประทับแห่งรัฐหรือไง? ส่งมันคืนให้ฮ่องเต้เสีย แล้วข้าจะยกโทษให้กับการกระทำอันอวดดีของเจ้า และคืนสถานะเป็นประชาชนภายใต้กฎหมายตามที่สัญญาไว้
Fame-21_1_1,"Gentlemen, please spare me. I have an elderly mother and a baby at home...",ท่านผู้สูงศักดิ์ โปรดไว้ชีวิตข้าด้วย ข้ายังต้องเลี้ยงดูแม่ที่แก่และลูกที่บ้านของข้า...
Fame-21_1_2,"Shut up! Considering you don't know martial arts, I won't bother fighting you. Just hand over what you have.",หุบปาก! เนื่องจากเจ้าไม่รู้จักวรยุทธเลย ข้าจะไม่สู้กับเจ้า ขอเพียงแค่มอบสิ่งที่เจ้ามีมาให้ข้า
Fame-21_1_3,"Hey, what are you guys doing?",เฮ้ย พวกเจ้าทำอะไรน่ะ?
Fame-21_1_4,"Huh? Tsk, why is someone meddling?",หือ? ชิ ทำไมมีคนเข้ามายุ่งด้วย
Fame-21_1_5,"I don't care who you are, get lost before I decide to take action.",ข้าไม่สนว่าเจ้าเป็นใคร รีบไปให้พ้นก่อนที่ข้าจะเปลี่ยนใจ
Fame-21_1_6,"You dare to rob in broad daylight, showing no respect for the law. I think it's you who should get lost!",เจ้ากล้าปล้นตอนกลางวันแสกๆ โดยไม่สนใจกฎหมาย ข้าคิดว่าเป็นนี่เป็นสิ่งที่เจ้าควรโดนแล้ว!
Fame-21_1_7,"Hmph, you're asking for it!",หืม เจ้ารนหาที่เองนะ!
