﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
M5003-4_1_1_2,"There are many paths here, and many customers come and go. They all like to rest here.",ที่นี่มีหลายเส้นทาง และลูกค้าหลายคนมาๆ ไปๆ พวกเขาชอบมาพักผ่อนที่นี่
M5003-4_1_1_3,"Alas, but recently, those guys from the Bandit Chief Stronghold have been causing trouble, robbing pedestrians, and business is getting harder and harder... ",อนิจจา แต่เมื่อไม่นานมานี้ พวกโจรจากค่ายหัวหน้าโจรได้ก่อกวน ปล้นสะดมผู้คน การค้าก็ยิ่งยากลำบากขึ้นทุกที...
M5003-4_1_1_4,The Bandit Chief Stronghold's... ,ค่ายหัวหน้าโจร...
M5003-4_1_1_5,"Yes, I don't know where they came from. They've been acting like kings around here, robbing, killing, and looting. They've done a lot of bad things.",ใช่แล้ว ข้าไม่รู้ว่าพวกมันมาจากไหน พวกมันทำตัวเหมือนเจ้าถิ่นแถวนี้ ปล้น ฆ่า และเก็บกวาด พวกมันทำเรื่องชั่วร้ายมากมาย
M5003-4_1_2_1,"I've encountered them too, those guys are indeed very cunning.",ข้าเคยสัมผัสถึงความเจ้าเล่ห์ของพวกมันมาแล้ว พวกมันคืองูพิษที่ซ่อนตัวอยู่ในเงามืด
M5003-4_1_2_2,"You've encountered them and managed to escape unscathed, that's impressive!",เจ้าเคยรอดพ้นจากเงื้อมมือของพวกมันมาได้ นับว่าเจ้าช่างโชคดี หรือไม่ก็เจ้ามีฝีมือที่เหนือชั้นกว่าที่ข้าคิดไว้
M5003-4_1_3_1,"I haven't run into them yet, I guess I'm just lucky.",ข้ายังไม่เคยพบเจอกับพวกมันเลย คงเป็นเพราะฟ้าดินยังเมตตาข้าอยู่
M5003-4_1_3_2,"That's because you're lucky, if you really run into them, losing an arm or a leg would be considered lucky... ",นั่นเป็นเพราะเจ้าดวงดี ถ้าเจ้าได้เผชิญหน้ากับพวกมันจริง ๆ การสูญเสียแขนขาไปอาจจะยังถือว่าโชคดีด้วยซ้ำ...
M5003-4_2_1_1,"I've been lucky so far, those guys haven't come to cause trouble at the Tea Stall. If they ever do, I won't be able to do business anymore... ",ข้าโชคดีมาถึงตอนนี้ พวกนั้นยังไม่มาเกะกะที่ร้านชา หากพวกมันมาเมื่อไหร่ คงทำมาค้าขายต่อไม่ได้อีก...
M5003-4_2_1_2,"Innkeeper, did I hear you talking about the Bandit Chief Stronghold?",เถ้าแก่ ข้าได้ยินเจ้าพูดถึงค่ายหัวหน้าโจรหรือ?
M5003-4_2_1_3,"Yes, I don't know if the guest... ",ใช่ ข้าไม่ทราบว่าท่านผู้มาเยือนคือ....
M5003-4_2_1_4,"I am a disciple of the Confucius Temple, I came here specifically for this Bandit Chief Stronghold matter. Innkeeper, do you know where this Bandit Chief Stronghold is located?",ข้าเป็นศิษย์ของวัดขงจื๊อ  ข้ามาที่นี่เพื่อเรื่องค่ายหัวหน้าโจรโดยเฉพาะ เถ้าแก่ ท่านรู้หรือไม่ว่าค่ายหัวหน้าโจรตั้งอยู่ที่ไหน?
M5003-4_2_1_5,"This... bandit lair, they're afraid of being wiped out, so they must be hiding deep, perhaps in some deep mountain old forest. As for where exactly, how would I, a commoner, know?",รังโจรแห่งนี้ พวกมันกลัวถูกกวาดล้าง จึงต้องหลบซ่อนลึกเข้าไปในป่าเขาลำเนาไพร ส่วนจะอยู่ที่ไหนแน่ ข้าซึ่งเป็นเพียงสามัญชนคนหนึ่งจะไปรู้ได้อย่างไร?
M5003-4_2_1_6,That's true... It seems that my martial arts experience is still lacking... ,ถูกอย่างท่านว่า... ดูเหมือนว่าข้ายังขาดประสบการณ์ในยุทธภพอยู่มาก...
M5003-4_2_1_7,"I've been rushing here all the way from the Central Plains, I'm a bit thirsty. Innkeeper, what kind of tea do you have here?",ข้าเพิ่งเดินทางมาจากจงหยวนอย่างเร่งรีบ กระหายน้ำนัก เถ้าแก่ มีชาชนิดใดบ้างเล่า
M5003-4_2_1_8,"This place is remote, we don't have any good tea, only some Low-grade tea and Scrap tea, and some rice wine.",ที่นี่เป็นดินแดนห่างไกลผู้คน ไม่มีชาชั้นดีให้ดื่ม มีแต่ชาชั้นต่ำกับชาหยาบ ๆ และเหล้าข้าวหมักให้ดับกระหาย
M5003-4_2_1_9,"Then I'll have a pot of Low-grade tea, as long as it quenches my thirst.",เช่นนั้น ข้าขอชาหยาบสักหม้อก็พอแล้ว เพียงแค่พอดับกระหาย
M5003-4_2_1_10,"Alright, please wait a moment, the Low-grade tea will be ready soon.",เช่นนั้น ขอท่านรอสักครู่ ชาหยาบที่ข้าต้มไว้นั้นกำลังจะได้ที่
M5003-4_2_2_1,I didn't expect a disciple from the Confucius Temple to come here... ,ข้าไม่นึกเลยว่าจะมีศิษย์จากวัดขงจื๊อมาเยือนที่นี่...
M5003-4_2_2_2,"Master, what is this Confucius Temple?",อาจารย์ วัดขงจื๊อเป็นสถานที่เช่นไรกัน?
M5003-4_2_2_3,"The Confucius Temple is one of the three religions, representing ""Confucianism"". It can be considered one of the righteous sects in the martial arts world today. You will have dealings with them in the future.",วัดขงจื้อเป็นหนึ่งในสามสำนักใหญ่ เป็นต้นกำเนิดของลัทธิขงจื๊อ และเป็นหนึ่งในสำนักธรรมะที่เก่าแก่ที่สุดในยุทธภพ เจ้าจะต้องมีส่วนเกี่ยวข้องกับพวกเขาในอนาคตอันใกล้
M5003-4_2_3_1,"Hey, someone from the Confucius Temple is here, it seems that this Bandit Chief Stronghold won't last much longer!",นี่! มีศิษย์ของวัดขงจื๊อมาเยือน! ค่ายหัวหน้าโจรคงอยู่ได้ไม่นานหรอก!
M5003-4_2_3_2,"Brother, what is this Confucius Temple?",ศิษย์พี่ วัดขงจื๊อคือสถานที่ใดกัน?
M5003-4_2_3_3,"This Confucius Temple is one of the three major factions in the martial arts world today, representing the ""Confucian"" faction among the three teachings, teaching and educating people on behalf of the master. They seem like weak scholars, but they are all martial arts masters, truly a duality of scholarship and martial arts!","วัดขงจื๊อ นี้เป็นหนึ่งในสามสำนักใหญ่ในยุทธภพ เป็นต้นกำเนิดของ ""ลัทธิขงจื๊อ""  สอนและอบรมผู้คนแทนอาจารย์ พวกเขาดูเหมือนบัณฑิตที่อ่อนแอ แต่จริงๆ แล้วล้วนเป็นปรมาจารย์ยุทธ์ฝีมือสูง เป็นการผสมผสานระหว่างวิชายุทธและวรยุทธอย่างแท้จริง!"
