﻿M2240-1_1_1,"Young hero, do you want to buy fish? They were just caught today, very fresh!",จอมยุทธน้อย ต้องการปลาไหม เพิ่งจับได้วันนี้ สดมาก ถูกๆเลยจ้า
M2240-1_1_2,"Just caught today? It's freezing here, the river is frozen, where can you catch fish?",วันนี้เพิ่งจับได้เหรอ บ้าน่า ที่นี่หนาว แม่น้ำก็แข็ง จะจับปลาได้ไงละ?
M2240-1_1_3,"You don't know, when the river is frozen, we can use an ice chisel to make a hole in the ice, and then the fish in the river will jump into this hole like crazy!",เจ้าไม่รู้หรอเนี้ย เมื่อแม่น้ำกลายเป็นน้ำแข็ง เราจะใช้สิ่วเจาะรูในน้ำแข็ง แล้วปลาในแม่น้ำจะโพล่ในหลุมนี้อย่างบ้าคลั่งเลยละ!
M2240-1_1_4,I see.,ข้าเข้าใจละ
M2240-1_2_1,"So if I make a hole in Frozen Heart Lake, can I fish too?",ถ้าข้าทำหลุมใน ทะเลสาบแห่งหัวใจเยือกแข็ง ข้าจะตกปลาด้วยได้หรอ
M2240-1_2_2,"Frozen Heart Lake? That won't work. That lake came from the sky, there are no fish. Don't waste your energy.",ทะเลสาบแห่งหัวใจเยือกแข็งหรอ ที่นั่นจะไม่ได้ปลาหรอกนะ ทะเลสาบนั้นมาจากบนสวรรค์ ไม่มีปลาหรอก อย่าเสียเวลาเปล่าเลย
M2240-1_2_3,Came from the sky?,มาจากสวรรค์เหรอ?
M2240-1_2_4,"Yes, when I was a child, there was an empty space there, and then somehow a lake appeared, don't you think this lake came from the sky?",ใช่แล้ว ตอนที่ข้ายังเป็นเด็ก ที่นั่นยังเป็นแค่ที่ว่างๆแห่งหนึ่ง แต่แล้วทะเลสาบก็ปรากฏขึ้น เจ้าไม่คิดว่าทะเลสาบนี้มาจากบนสวรรค์เหรอ?
M2240-1_3_1,"So if I find a river and make a hole, can I fish too?",แล้วถ้าข้าไปหาแม่น้ำแล้วเจาะน้ำแข็ง ข้าจะจับปลาได้ไหม?
M2240-1_3_2,"Young hero, don't think about it, the river outside the village is also covered by snow, and those who are not locals can't find it.",จอมยุทธน้อย แม่น้ำนอกหมู่บ้านก็ปกคลุมไปด้วยหิมะ น้ำแข็ง เช่นกัน ขนาดคนในพื้นที่ก็หาไม่เจอเลย
M2240-2_1_1,"Young hero, it's cold, take a hot bun to keep warm!",จอมยุทธน้อย อากาศหนาว เอาซาลาเปาร้อนๆ นี้ไปกินเพื่อคลายหนาวเถอะ!
M2240-2_1_2,"Boss, I didn't say I wanted to buy it.",เถ้าแก่ ข้าต้องการซื้อมันพอดีเลย
M2240-2_1_3,"Oh, it's okay, it's just a bun, just take it to keep warm.",โอ้ย ไม่เป็นไร แค่ขนมปังลูกเดียว เอาไปกินกันหนาวได้เลยนะ
M2240-2_1_4,"Recently, there have been too many people from the Central Plains, many of whom have no concept of the weather here, still wearing thin clothes. The buns from my home are not expensive anyway, if they can warm you up for a while, it's worth it.",เมื่อเร็ว ๆ นี้ มีผู้คนจำนวนมากจากจงหยวน มา หลายคนไม่รู้ว่าอากาศที่นี่หนาวแค่ไหน ยังใส่เสื้อบางๆ อยู่  ที่บ้านเรามีแต่ขนมปัง ไม่ได้แพงอะไรมาก แค่ให้พวกคุณอุ่นขึ้นได้ก็คุ้มแล้ว
M2240-2_1_5,"I see, thank you, boss.",เข้าใจแล้ว ขอบคุณท่านมาก
M2240-3_1_1,"Young hero, are you buying medicine? If you don't buy this injury medicine, I'm afraid it will be gone.",จอมยุทธหนุ่ม จะซื้อยาไหม? ยาสำหรับรักษาแผลนี้ใกล้จะหมดแล้ว
M2240-3_1_2,Is the injury medicine selling so fast recently?,ช่วงนี้ยารักษาแผลขายเร็วขนาดนี้เลยเหรอ?
M2240-3_1_3,"Yes, there are many Vagabonds coming recently, and there are many injured people, so the injury medicine naturally sells quickly.",ใช่ ช่วงนี้มีชาวจอมยุทธ์มาเยอะ คนได้รับบาดเจ็บก็เยอะ ยารักษาจึงขายดีเป็นธรรมดา
M2240-3_1_4,"There are many people buying injury medicine, will the price of your injury medicine increase?",มีคนมาซื้อรักษาแผลกันเยอะขึ้น ราคาของยาจะขึ้นมั้ยเนี้ย?
M2240-3_1_5,"That can't be, doing business is about integrity, taking advantage of the situation to raise prices is not something we can do!",ขึ้นไม่ได้หรอก การทำธุรกิจเป็นเรื่องของความซื่อสัตย์ การใช้ประโยชน์จากสถานการณ์เพื่อขึ้นราคาไม่ใช่สิ่งที่เราควรจะทำ!
M2240-3_1_6,"I see, if I need to buy injury medicine, I will come to you.",ข้าเข้าดีแล้วละ ถ้าจำเป็นต้องซื้อยารักษา ข้าจะไปหาท่าน
M2240-3_1_7,"Alright, take your time~",เอาล่ะ มันต้องใช้เวลา~
M2240-4_1_1,"Strange, these are all top-quality Cloth, why don't they sell as well as the animal skins next door...",แปลกจริงๆ พวกนี้เป็นผ้าคุณภาพดี ทำไม่ขายไม่ดีเหมือนกับหนังสัตว์บ้านข้างๆล่ะ...
M2240-4_1_2,"Young hero, you look like you've seen the world, can you help me analyze why no one buys my Cloth...",จอมยุทธ์หนุ่ม เจ้าเหมือนคนเคยผ่านโลกมาเยอะ ช่วยคิดหน่อยได้ไหม ว่าทำไมไม่มีใครซื้อผ้าของข้าเลย...
M2240-4_1_3,"Where is the Cloth you sell from, boss?",ผ้าที่ท่านขายมาจากไหนหรือ?
M2240-4_1_4,"They are all from Lin'an, I heard that many people are coming to Yan Yun Region recently, so I transported a lot over...",พวกเขาทั้งหมดนี่มาจากหลินอัน ข้าได้ยินมาว่าช่วงนี้มีคนมากมายมุ่งหน้าสู่แดนเยี่ยนหยุน ข้าเลยพาพวกเขามาเยอะหน่อย...
M2240-4_1_5,"It's freezing here, the Cloth from Wuyue Region is too thin, of course no one will buy your Cloth...",ที่นี่นั้นหนาวมาก ผ้าจากเเขตหวู่เยว่ นั้นบางเกินไป แน่นอนว่าคงไม่มีคนอยากจะซื้อ..
M2240-4_1_6,"Wha, what! So the Cloth I painstakingly transported here is wasted...",อะไรนะ! ผ้าที่ข้าพยายามขนส่งมาที่นี่อย่างอุตสาหะก็เปล่าประโยชน์อะสิ...
M2240-4_1_7,"No, even if I have to lower the price, I have to sell these Cloth!\nI've decided, starting today, my Cloth is half price Sell!",ไม่ แม้ว่าจะต้องขาดทุน แต่ก็ต้องขายผ้าพวกนี้! ข้าตัดสินใจแล้ว เริ่มวันนี้ เสื้อผ้าของข้าจะลดราคาครึ่งนึง!
M2240-5_1_1,"Young hero, please stop!",จอมยุทธน้อย ได้โปรดหยุดก่อน!
M2240-5_1_2,"Sir, are you talking about me?",ท่าน กำลังพูดกับข้าหรอ?
M2240-5_1_3,"Yes, I calculated that you and I are destined, so I called you.",ใช่แล้ว ข้าใช้เพียงปลายนิ้วคำนวณ ก็รู้แล้วว่า ท่านกับข้ามีวาสนาต่อกัน จึงได้เรียกท่านไว้
M2240-5_1_4,"Hold on, there are too many scams like this, you might as well save some effort.",หยุดก่อน!  กลวิธีต้มตุ๋นแบบนี้มีเยอะแยะ เสียเวลาเปล่าๆ  หยุดดีกว่า
