﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา ทุกสถานที่ที่เจ้าสบายใจล้วนสามารถเป็นบ้านได้
end015_2,"Now, the martial arts world is without a young hero, and in a remote village, a new youthful village head has emerged.",ตั้งแต่นั้นมา จอมยุทธน้อยก็ได้หายตัวไปจากยุทธภพ และหัวหน้าหมู่บ้านรุ่นใหม่ก็ปรากฏตัวขึ้นในหมู่บ้านไร้นาม
end015_3,You've come to the realization that what you truly yearn for could be a peaceful and tranquil rural life.,ในที่สุดเจ้าก็ตระหนักได้ว่าสิ่งที่เจ้าใฝ่ฝันอย่างแท้จริง มันอาจจะเป็นชีวิตอันสงบสุขในชนบท
end017_1,"Dodging a visible spear is easy, but defending against a hidden bow with an arrow is challenging. Be cautious of others and wiser in your next life.",มันง่ายที่จะหลบเลี่ยงคมหอกที่มองเห็น แต่ยากที่จะหลีกเลี่ยงธนูที่ซ่อนอยู่ เจ้าต้องหัดระมัดระวังผู้อื่น และไตร่ตรองให้มากขึ้นในชีวิตหน้า
end018_1,"With determination, you cast aside all restrictions and opt to embrace a new life in its most primitive form.",เจ้าละทิ้งความสัมพันธ์ทั้งหมดอย่างเด็ดเดี่ยวและเลือกที่จะสัมผัสประสบการณ์ชีวิตใหม่ด้วยวิธีดั้งเดิมที่สุด
end019_1,"In the presence of millions of armored soldiers, no matter how many martial arts experts there are, their combined prowess is not enough to alter the course of the battle.",ต่อหน้ากองทหารสวมชุดเกราะนับล้านนาย ไม่ว่าจะมีจอมยุทธ์ยอดฝีมือสักกี่คนก็ไม่เพียงพอที่จะเปลี่ยนแปลงผลของสงครามได้
end019_2,"In your desperate struggle, the destiny of Chuxiang City being breached remains unchanged.",แม้เจ้าจะพยายามเสี่ยงชีวิตต่อสู้ แต่ก็ยังคงไม่สามารถเปลี่ยนชะตากรรมของเมืองฉู่เซียงที่ถูกทำลายได้
end019_3,"The Yan army tramples over bodies, surging into Chuxiang City like a tide, pillaging through its streets.",กองทัพเยี่ยนเหยียบย่ำร่างของเจ้า หลั่งไหลเข้าสู่เมืองฉู่เซียงดังกระแสน้ำเชี่ยว ออกปล้นสะดมไปทั่วเมือง
end019_4,"Despite your zeal, you are powerless to alter the course of events. Amidst agonizing screams, you helplessly close your eyes...",แม้ว่าเจ้าจะไม่เต็มใจแค่ไหน แต่เจ้าก็ไม่มีพลังที่จะเปลี่ยนแปลงเหตุการณ์ที่เกิดขึ้นได้ ท่ามกลางเสียงกรีดร้องอันเจ็บปวด เจ้าหลับตาลงอย่างช่วยไม่ได้...
end020_1,"In this chaotic world, what you accomplished in your past life has become meaningless. All that remains in the martial arts world is an unmarked, lonely grave left by you.",ในโลกที่วุ่นวายใบนี้ สิ่งที่เจ้าทำไว้ล้วนกลายเป็นไร้ความหมาย ทั้งหมดที่เจ้าทิ้งไว้ให้กับยุทธภพคือหลุมศพโดดเดี่ยวที่ไม่มีใครจดจำได้
end021_1,"A few days ago, you were still an unknown little person.",เมื่อร้อยวันก่อน เจ้ายังเป็นคนที่ไม่มีใครรู้จัก
end021_2,"Yet, after this battle, you have emerged as a world-renowned hero.",แต่หลังจากการต่อสู้ครั้งนี้ เจ้าได้กลายเป็นจอมยุทธ์ที่มีชื่อเสียงทั่วหล้า
end021_3,The people of Chuxiang City erected a tall statue in the city center to commemorate your valor.,เพื่อเป็นการรำลึกถึงการมีส่วนร่วมในความสำเร็จของเจ้า ชาวเมืองฉู่เซียงจึงได้สร้างรูปปั้นของเจ้าตั้งสูงตระหง่านอยู่ใจกลางเมือง...
end021_4,"——Decades later, your heroic deeds are still being praised",——หลายสิบปีผ่านไป วีรกรรมของเจ้ายังคงได้รับการยกย่อง
end021_5,"——The chosen one, the great hero of Chuxiang City.",——บุรุษผู้ถูกเลือก จอมยุทธ์ผู้ยิ่งใหญ่แห่งเมืองฉู่เซียง
end021_6,Who knows what will happen in your next life.,ไม่มีใครรู้ว่าจะเกิดอะไรขึ้นกับเจ้าในการกลับชาติมาเกิดครั้งต่อไป
end022_1,"With your assistance, Chuxiang City successfully repelled the formidable Yan Army despite having only a handful of defenders.",ด้วยความช่วยเหลือของเจ้า เมืองฉู่เซียงสามารถขับไล่กองทัพเยี่ยนไปได้ ด้วยผู้พิทักษ์เพียงไม่กี่คน
end022_2,"However, despite your heroic actions, you are now despised by everyone in Chuxiang City.",แม้ว่าเจ้าควรได้รับการปฏิบัติเยี่ยงจอมยุทธ์ แต่กลับกลายเป็นผู้ถูกทุกคนในเมืองฉู่เซียงดูถูกเหยียดหยาม
end022_3,No one understood the humiliation and burdens you had to endure. Your bitterness and pain remained hidden from everyone,ไม่มีใครเข้าใจความอัปยศอดสูและภาระที่เจ้าต้องแบกรับ ความขมขื่นและความเจ็บปวดของเจ้าไม่มีผู้ใดล่วงรู้
end022_4,"In the face of the criticisms from the common folk, your refutations fell on deaf ears, and eventually, you gave up trying to plead your case. Ultimately, you departed from Chuxiang City with a broken spirit.",เมื่อต้องเผชิญคำดูถูกเหยียดหยามจากคนทั่วไป เจ้าจึงแสร้งเป็นใบหูหนวก เลิกพยายามอธิบายเหตุผลของเจ้า ในที่สุด เจ้าก็ออกจากเมืองฉู่เซียงไปด้วยจิตวิญญาณที่แตกสลาย
end022_5,"You did what you believed was right, and as for the judgment of right or wrong, let that be determined by future generations.",เจ้าทำสิ่งที่เจ้าเชื่อว่าถูกต้อง ปล่อยให้การตัดสินว่ามันถูกหรือผิดนั้นเป็นหน้าที่ของคนรุ่นต่อๆไปแทน
end022_6,"At last, you are free from worldly attachments, living a carefree life in mountains and forests, without any restraints or worries.",ในที่สุดเจ้าก็เป็นอิสระจากความผูกพันทางโลก เจ้ายังคงใช้ชีวิตอย่างไร้กังวลบนภูเขาและป่าไม้ โดยไม่มีข้อจำกัดหรือความกังวลใดๆ
end022_7,"Whether your actions were a feat of valor or a mistake, right or wrong, none of it holds importance for you any longer.",ไม่ว่าการกระทำของเจ้าจะเป็นการกระทำที่กล้าหาญหรือผิดพลาด? ถูกหรือผิด? ทั้งหมดนี้ไม่สําคัญสําหรับเจ้าอีกต่อไป
end023_1,"From beginning to end, you were merely a pawn in the hands of others.",ตั้งแต่ต้นจนจบ เจ้าเป็นเพียงเบี้ยในมือของผู้อื่น
end023_2,"Your fantasy of rising to power with the Yan army proved to be nothing but naive, and ultimately, it brought harm upon you.",ครั้งหนึ่งเจ้าเคยจินตนาการว่าเจ้าสามารถขึ้นสู่อำนาจร่วมกับกองทัพเยี่ยนได้ แต่ความไร้เดียงสานี้กลับทำร้ายเจ้าในที่สุด
end023_3,"The anger of the Yan army never subsided, and the people of Chuxiang City suffered because of your actions.",ความโกรธของกองทัพเยี่ยนไม่เคยลดลง และผู้คนในเมืองฉู่เซียงต้องทนทุกข์ทรมานเพราะการกระทำของเจ้า
end023_4,"After the city was breached, the Yan army left no survivors as they advanced.",หลังจากที่เมืองถูกโจมตี กองทัพเยี่ยนไม่ทิ้งผู้รอดชีวิตไว้ไม่ว่าจะรุกคืบไปที่ไหนก็ตาม
end023_5,"You, who made a deal with the devil, now lie quietly in a lonely grave by the roadside, and no one utters your name.",ส่วนเจ้าที่เคยคบค้ากับมารร้าย ตอนนี้กลับนอนสงบนิ่งอยู่ในสุสานที่โดดเดี่ยวริมทาง ไม่มีใครเอ่ยถึงอีกแล้ว
end024_1,"Survival has become your sole goal. As for those grand ambitions, how can they compare to a full meal?",การเอาชีวิตรอดคือเป้าหมายเดียวของเจ้า สําหรับความทะเยอทะยานที่ยิ่งใหญ่ จะเปรียบเทียบกับอาหารมากมายได้อย่างไร?
