﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-0_2_1,Let's go.,ไปเถอะ
R10136-0_3_1,"I've been waiting for you, and you're finally here.",ข้าเฝ้ารอเจ้าอย่างใจจดจ่อ ในที่สุดเจ้าก็มา
R10136-0_4_1,"There's no extra space in your team, I can't join you.",ในกลุ่มของเจ้าไม่มีที่ว่างเหลือ ข้าจึงไม่อาจร่วมทางกับเจ้าได้
R10136-1_1_1,Why are there so many people gathered up ahead? What are they doing?,เหตุใดข้างหน้าถึงมีผู้คนรวมตัวกันเต็มไปหมด พวกเขากำลังทำอะไรกัน?
R10136-1_1_2,"Ji Hanqing, a government official, abused his position for personal grudges, deceived the emperor, slandered the loyal, causing countless innocent people to be wronged.",เสนาบดีจี้ฮั่นชิง ผู้ดำรงตำแหน่งอวี้สือ ทุจริตในหน้าที่ ด้วยความอาฆาตส่วนตัว ใช้อำนาจกลบเกลื่อนความผิด ปิดบังเบื้องสูง ใส่ร้ายขุนนางผู้ภักดี จนมีผู้บริสุทธิ์ต้องทนทุกข์ต่อความอยุติธรรมมากมาย!
R10136-1_1_3,"What's more, Ji Hanqing often criticizes the emperor's decisions, speaks disrespectfully, discusses government affairs recklessly, disrupts the order, and commits unforgivable crimes!",ยิ่งไปกว่านั้น จี้ฮั่นชิงยังกล้าวิพากษ์วิจารณ์การตัดสินพระทัยของฝ่าบาท กล่าววาจาลบหลู่ พูดจาโอหัง ดูหมิ่นราชสำนัก ก่อความวุ่นวายต่อบ้านเมือง เป็นความผิดที่ไม่อาจให้อภัยได้!
R10136-1_1_4,"According to the law, he and his entire family are sentenced to death, to uphold the rule of law!",ตามกฎหมาย ให้ตัดสินลงโทษประหารชีวิตทั้งตระกูลจี้ เพื่อตอกย้ำให้เห็นว่ากฎหมายต้องได้รับการบังคับใช้อย่างเคร่งครัด!
R10136-1_1_5,"Another high official is killed, well done!|He slandered the loyal, he deserved to be cut into pieces|One less corrupt official is a good thing|It's a pity for those ten plus lives|It's too bloody...|Few officials are good|Why is there a person from Yan country sitting on the stage?",ประหารขุนนางใหญ่ได้อีกแล้ว ดีมาก!|ใส่ร้ายผู้ซื่อสัตย์ สมควรโดนเฉือนเป็นพันครั้ง!|ขุนนางชั่ว ตายไปคนหนึ่งก็ลดเวรไปคนหนึ่ง!|น่าเสียดายที่ต้องมีคนทั้งตระกูลกว่าสิบชีวิตต้องตายไปด้วย...|นองเลือดเยอะเกินไป...|ขุนนางนี่ไม่มีดีสักกี่คนหรอก!|ทำไมถึงมีคนแคว้นเยี่ยนมานั่งบนแท่นด้วย?
R10136-1_1_6,So they set up a temporary execution ground at the city gate to execute the whole family of the offending official...,ที่แท้ก็เป็นการสร้างลานประหารชั่วคราวหน้าประตูเมือง เพื่อประหารชีวิตครอบครัวของข้าราชการที่กระทำความผิด...
R10136-1_1_7,"Why do I feel that the official sitting in the middle with a rat-like face doesn't seem like a good person.\nGiven the current situation, I plan to...","ทำไมข้ารู้สึกว่าเจ้าขุนนางที่นั่งอยู่ตรงกลาง ดูมีลักษณะเจ้าเล่ห์ ไม่เหมือนคนดีเลย?\nเมื่อเจอสถานการณ์เช่นนี้ ข้าควรจะ..."
R10136-1_2_1,{shichen} has arrived...,ได้เวลาแล้ว...
R10136-1_2_2,Hold on!,ช้าก่อน!
R10136-1_2_3,"Oh, what instructions does the Special Envoy have?",โอ๊ะ? ท่านทูตพิเศษ ไม่ทราบว่าท่านทูตมีอะไรจะกล่าวหรือ?
R10136-1_2_4,"Normally, how your country deals with its officials is your own business, and I, as a Special Envoy, should not interfere.\nHowever, this Grand Historian has repeatedly spread remarks detrimental to my Yan Kingdom, deliberately sabotaging the diplomatic relations between our two countries. This is something I, as a Special Envoy, cannot tolerate!","ตามหลักแล้ว การลงโทษขุนนางในแคว้นของท่าน ข้าในฐานะทูตไม่ควรแทรกแซง...\nแต่ทว่า เสนาบดีท่านนี้ ได้กล่าวคำพูดบั่นทอน แพร่ข่าวลือทำลายความสัมพันธ์ระหว่างแคว้นของเราหลายครั้ง เจตนาทำลายมิตรภาพระหว่างสองแคว้น ข้าจึงไม่อาจปล่อยผ่านไปได้!"
R10136-1_2_5,"Duke Qi, your emperor is currently a guest in Yan Kingdom. If such an incident occurs during your regency, I'm afraid you can't shirk your responsibility.",ท่านอ๋องฉี ขณะนี้ฮ่องเต้ของท่าน กำลังพำนักที่แคว้นเยี่ยนของเราในฐานะแขก หากเรื่องแบบนี้เกิดขึ้น ในช่วงที่ท่านทำหน้าที่ผู้สำเร็จราชการ เกรงว่าท่านคงไม่อาจหลีกเลี่ยงความรับผิดชอบได้!
R10136-1_2_6,"Indeed, I was negligent and failed to see through this man's wolfish ambitions early on.",เป็นเพราะข้าสะเพร่าเอง มิอาจมองเห็นธาตุแท้ของคนชั่วผู้นี้ได้ตั้งแต่แรก!
R10136-1_2_7,"Our prince seems to be very afraid of the Special Envoy.|Why is this Yan person speaking to the prince in such a tone?|What is the Yan Special Envoy doing in Daliang City?|Bah, he has no backbone at all.|Why does the Yan person get to sit in that position?",ท่านอ๋องดูเหมือนจะกลัวท่านทูตคนนั้นแฮะ|ทำไมชาวเยี่ยนนั้น ถึงกล้าพูดกับท่านอ๋องด้วยน้ำเสียงเช่นนั้น|ทูตจากแคว้นเยี่ยนมาที่เมืองต้าเหลียงทำไมกัน?|ไอ้พวกนี้ไม่มีความเคารพยำเกรงกันเลย|ทำไมชาวเยี่ยนผู้นั้น ถึงไปนั่งในตำแหน่งนั้นได้?
R10136-1_2_8,"Oh dear, it seems I, the Special Envoy, have heard some discordant voices. It seems that some people are quite dissatisfied with me.",เฮ้อ~ ดูเหมือนข้าจะได้ยินเสียงไม่พึงประสงค์ หรือว่ามีคนไม่พอใจข้ากัน?
R10136-1_2_9,"The Special Envoy must have misheard. The people below are all praising you for being young, capable, wise, and brave.",ท่านทูตพิเศษคงฟังผิดไปแล้ว! ทุกคนข้างล่างล้วนแต่ชื่นชมว่าท่านทั้งหนุ่มแน่น มากความสามารถ และกล้าหาญ!
R10136-1_2_10,"Duke Qi, I, the Special Envoy, hope that you can discipline your people. If there are any inconveniences, we in Yan Kingdom would be more than happy to help.",ท่านอ๋องฉี! ข้าหวังว่าท่านจะดูแลผู้คนของท่านให้ดี หากท่านไม่สะดวก แคว้นของเรายินดีที่จะช่วยจัดการ!
R10136-1_2_11,"No, there's no need for the Special Envoy to bother. I will definitely tighten control and ensure that there will be no more incidents that would damage the diplomatic relations between our two countries.",ไม่ ไม่ต้องให้ท่านทูตลำบาก ข้าจะดูแลเรื่องอย่างเคร่งครัด ข้ารับรองว่าจะไม่มีเรื่องการทำลายสัมพันธ์ระหว่างสองแคว้นอีก!
