﻿Fame-35_1_1,This pigeon letter...,นกพิราบส่งสาร...
Fame-35_1_2,"The signature is Linlang Temple! It was actually sent by Senior Fu Yaozi, I wonder what he wants...",ตราประทับนี้เป็นของวัดหลินหลาง! ที่แท้เป็นอาจารย์ฝูเหยาจื่อที่ส่งมา ข้าสงสัยนักว่าเขาต้องการสิ่งใดกัน...
Fame-35_2_1,"""New Nine Factions SectSect Leader{PlayerName}, the <color=#c44b0e>Sword Discussion Conference</color> is imminent, {PlayerSurName}Sect Leader has reorganized the Nine Factions Sect and has become a pillar of the martial arts world. I hope {PlayerSurName}Sect Leader will not hesitate to guide the younger generation, contribute to the grand event, and help the martial arts world.""","""ประมุข{PlayerName}แห่งนิกายเก้าฝ่าย <color=#c44b0e>งานชุมนุมวิจารณ์กระบี่</color> ใกล้จะมาถึงแล้ว ประมุข{PlayerSurName} ได้จัดระเบียบนิกายเก้าฝ่าย และได้กลายเป็นเสาหลักในยุทธภพ หวังว่าประมุข{PlayerSurName}จะไม่ลังเลที่จะชี้แนะคนรุ่นหลัง ร่วมสร้างงานใหญ่ครั้งนี้ และช่วยเหลือยุทธภพ"""
Fame-35_3_1,"""Jianghu Master{PlayerName}, the <color=#c44b0e>Sword Discussion Conference</color> is imminent, guiding the younger generation is the duty of the Jianghu Master. I hope the alliance leader will attend the conference, guide the younger generation, contribute to the grand event, and help the martial arts world.""","""ผู้นำยุทธภพ{PlayerName} <color=#c44b0e>งานชุมนุมวิจารณ์กระบี่</color> ใกล้จะมาถึงแล้ว การชี้แนะคนรุ่นหลังเป็นหน้าที่ของยอดฝีมือในยุทธภพ หวังว่าเหล่าสหายประมุขจะเข้าร่วมการชุมนุม ชี้แนะคนรุ่นหลัง ร่วมสร้างงานใหญ่ครั้งนี้ และช่วยเหลือยุทธภพ"""
Fame-35_4_1,"""Young Hero {PlayerSurName}, the <color=#c44b0e>Sword Discussion Conference</color> is imminent, {PlayerSurName}Young Hero is a dragon and phoenix among people. You have reached the Peak of Jianghu in just a hundred days after entering the Jianghu. I hope Young Hero will not hesitate to guide the younger generation, contribute to the grand event, and help the martial arts world.""",ท่านจอมยุทธน้อย{PlayerSurName} <color=#c44b0e>งานชุมนุมวิจารณ์กระบี่</color> ใกล้จะมาถึงแล้ว ท่านจอมยุทธน้อย{PlayerSurName} เป็นดั่งมังกรและหงส์ในหมู่มนุษย์ ท่านได้ก้าวขึ้นสู่จุดสูงสุดของยุทธภพเพียงร้อยวันหลังจากที่ก้าวเข้าสู่ยุทธภพ หวังว่าท่านจอมยุทธน้อยจะไม่ลังเลที่จะชี้แนะคนรุ่นหลัง ร่วมสร้างงานใหญ่ครั้งนี้ และช่วยเหลือยุทธภพ
Fame-35_5_1,"""Young Hero {PlayerSurName}, the <color=#c44b0e>Sword Discussion Conference</color> is imminent, {PlayerSurName}Young Hero has become a leader in the martial arts world. I hope Young Hero will not hesitate to guide the younger generation, and help the martial arts world.""","ท่านจอมยุทธน้อย{PlayerSurName} <color=#c44b0e>งานชุมนุมวิจารณ์กระบี่</color> ใกล้จะมาถึงแล้ว ท่านจอมยุทธน้อย{PlayerSurName} ได้ก้าวขึ้นเป็นผู้นำในยุทธภพแล้ว หวังว่าท่านจอมยุทธน้อยจะไม่ลังเลที่จะชี้แนะคนรุ่นหลัง และช่วยเหลือยุทธภพ"""
Fame-35_6_1,"Time flies like a white horse, another three-year appointment...",กาลเวลาผันผ่านดั่งอาชาขาว สามปีล่วงเลยพานพบครบนัดหมาย...
Fame-35_7_1,"Three-year appointment? Spiritual master, do you know about this Sword Discussion Conference?",นัดหมายสามปี? ท่านเซียน ท่านรู้เรื่องงานชุมนุมวิจารณ์กระบี่ครั้งนี้หรือไม่?
Fame-35_8_1,"Three-year appointment? Master, do you know about this Sword Discussion Conference?",นัดหมายสามปี? ท่านอาจารย์ ท่านรู้เรื่องงานชุมนุมวิจารณ์กระบี่ครั้งนี้หรือไม่?
Fame-35_9_1,"Not only do I know, this Sword Discussion Conference and I can be said to have deep relations.",มิใช่เพียงแค่รู้ ข้ากับงานชุมนุมวิจารณ์กระบี่นี้มีความสัมพันธ์กันอย่างลึกซึ้ง
Fame-35_9_2,"{PlayerName}, do you know how many times the Central Plains martial arts world has been hit hard in the past decades?","{PlayerName}, เจ้ารู้หรือไม่ว่าในช่วงหลายสิบปีที่ผ่านมา ยุทธภพในแถบจงหยวน ได้รับความเสียหายร้ายแรงมากี่ครั้ง?"
