﻿ControlTip_Or,Or,หรือ
ControlTip_Setup,Settings,ตั้งค่า
ControlTip_Back,Return,ย้อนกลับ
ControlTip_Next,Next Step,ขั้นต่อไป
ControlTip_Close,Close,ปิด
ControlTip_Confirm,Confirm,ยืนยัน
ControlTip_Confirm1,Confirm,ยืนยัน
ControlTip_EnableOrDisable,Enable/Disable,เปิด/ปิด
ControlTip_Stop,Stop,หยุด
ControlTip_Cancel,Cancel,ยกเลิก
ControlTip_ModSubDel,Subscribe/Unsubscribe,สมัคร/เลิกสมัคร
ControlTip_ModDel,Unsubscribe,ยกเลิกการสมัคร
ControlTip_Refresh,Refresh,รีเฟรช
ControlTip_LongDesc,Info Details,รายละเอียด
ControlTip_PageUp,Previous Page,ก่อนหน้า
ControlTip_PageDown,Next Page,ถัดไป
ControlTip_MoveVertical,Move Up/Down,ขยับขึ้น/ขยับลง
ControlTip_ModGood,Like,ถูกใจ
ControlTip_ModBad,Dislike,ไม่ถูกใจ
ControlTip_RestoreDefault,Default Recovery,คืนค่า
ControlTip_Select,Select,เลือก
ControlTip_Apply,Save,บันทึก
ControlTip_ConfirmOrCancel,Confirm/Cancel,ยืนยัน/ยกเลิก
ControlTip_SwitchGroup,Switch Category,เปลี่ยนหมวด
ControlTip_BondsPlace,Place Wedding Stone,วางศิลาวิวาห์
ControlTip_ViewHelp,Info Help,ส่วนช่วยเหลือ
ControlTip_Done,Hand in,ส่งมอบ
ControlTip_ReceiveTask,Accept,ยอมรับ
ControlTip_ForgoTask,Abandon,ละทิ้ง
ControlTip_BountySwitch,Switch Area,เปลี่ยนพื้นที่
ControlTip_BountyMoveItem,Move Item,ย้ายสิ่งของ
ControlTip_ToolSwitch,Select Tool,เลือกเครื่องมือ
ControlTip_StartOrPause,Start/Pause,เริ่ม/หยุด
ControlTip_Auto,Auto,อัตโนมัติ
ControlTip_NeverAsk,Don't Show Again,ไม่แสดงอีก
ControlTip_MainSubPageSwitch,Expand/Collapse,ย่อ/ขยาย
ControlTip_Scroll,Scroll Display,เลื่อนจอ
ControlTip_StoryCheck,Track,ติดตาม
ControlTip_ApplyTrade,Deal,แลกเปลี่ยน
ControlTip_ZoneSwitch,Switch Area,เปลี่ยนพื้นที่
ControlTip_MoveItem,Move Item,ย้ายสิ่งของ
ControlTip_FastMoveItem,Quick Move Item,ย้ายของทันที
ControlTip_SwitchRole,Switch Character,เปลี่ยนตัวละคร
