﻿TotalDayFormat,<size=24><voffset=0.2em><#5E92A9>Day </size></color><size=36>{0}</size>,<size=24><voffset=0.2em><#5E92A9>วันที่ </size></color><size=36>{0}</size>
TimeQuarterName0,"Zi Shi\n(11:00 PM)","ยามจื่อ\n(11:00 PM)"
TimeQuarterName1,"Zi Shi\n(11:15 PM)","ยามจื่อ\n(11:15 PM)"
TimeQuarterName2,"Zi Shi\n(11:30 PM)","ยามจื่อ\n(11:30 PM)"
TimeQuarterName3,"Zi Shi\n(11:45 PM)","ยามจื่อ\n(11:45 PM)"
TimeQuarterName4,"Zi Shi\n(12:00 AM)","ยามจื่อ\n(12:00 AM)"
TimeQuarterName5,"Zi Shi\n(12:15 AM)","ยามจื่อ\n(12:15 AM)"
TimeQuarterName6,"Zi Shi\n(12:30 AM)","ยามจื่อ\n(12:30 AM)"
TimeQuarterName7,"Zi Shi\n(12:45 AM)","ยามจื่อ\n(12:45 AM)"
TimeQuarterName8,"Chou Shi\n(1:00 AM)","ยามโฉ่ว\n(1:00 AM)"
TimeQuarterName9,"Chou Shi\n(1:15 AM)","ยามโฉ่ว\n(1:15 AM)"
TimeQuarterName10,"Chou Shi\n(1:30 AM)","ยามโฉ่ว\n(1:30 AM)"
TimeQuarterName11,"Chou Shi\n(1:45 AM)","ยามโฉ่ว\n(1:45 AM)"
TimeQuarterName12,"Chou Shi\n(2:00 AM)","ยามโฉ่ว\n(2:00 AM)"
TimeQuarterName13,"Chou Shi\n(2:15 AM)","ยามโฉ่ว\n(2:15 AM)"
TimeQuarterName14,"Chou Shi\n(2:30 AM)","ยามโฉ่ว\n(2:30 AM)"
TimeQuarterName15,"Chou Shi\n(2:45 AM)","ยามโฉ่ว\n(2:45 AM)"
TimeQuarterName16,"Yin Shi\n(3:00 AM)","ยามอิ๋น\n(3:00 AM)"
TimeQuarterName17,"Yin Shi\n(3:15 AM)","ยามอิ๋น\n(3:15 AM)"
TimeQuarterName18,"Yin Shi\n(3:30 AM)","ยามอิ๋น\n(3:30 AM)"
TimeQuarterName19,"Yin Shi\n(3:45 AM)","ยามอิ๋น\n(3:45 AM)"
TimeQuarterName20,"Yin Shi\n(4:00 AM)","ยามอิ๋น\n(4:00 AM)"
TimeQuarterName21,"Yin Shi\n(4:15 AM)","ยามอิ๋น\n(4:15 AM)"
TimeQuarterName22,"Yin Shi\n(4:30 AM)","ยามอิ๋น\n(4:30 AM)"
TimeQuarterName23,"Yin Shi\n(4:45 AM)","ยามอิ๋น\n(4:45 AM)"
TimeQuarterName24,"Mao Shi\n(5:00 AM)","ยามเหม่า\n(5:00 AM)"
TimeQuarterName25,"Mao Shi\n(5:15 AM)","ยามเหม่า\n(5:15 AM)"
TimeQuarterName26,"Mao Shi\n(5:30 AM)","ยามเหม่า\n(5:30 AM)"
TimeQuarterName27,"Mao Shi\n(5:45 AM)","ยามเหม่า\n(5:45 AM)"
TimeQuarterName28,"Mao Shi\n(6:00 AM)","ยามเหม่า\n(6:00 AM)"
