﻿CompetitionRoundTitle,Round {0},รอบที่ {0}
猫狗大战,Martial Arts Tournament,งานประลองวรยุทธ
CompetitionFinalRoundTitle,Final Battle,การประลองรอบสุดท้าย
AudienceCheer_Normal,Cut him!|Good hit!|Beautiful!|Impressive!|Hit him fast!|Start fighting!|Put some strength into it!|Didn't you eat?|Come on!|Keep going!!|Hit him hard!|Attack his lower body!|Hit his chin!|Left hook!|Right hook!|Don't go easy!,จัดการเลย!|โจมตีได้สวย!|สวย!|น่าประทับใจ!|จัดการเร็วเข้า!|เริ่มสู้กันแล้ว!|จัดหนักๆเลย!|กินกันไม่ลงเลย|เอาเลย!|สู้ๆ!!|จัดหนักไปเลย!|หวดช่วงล่างเลย!|เสยคางเลย!|ออกหมัดซ้าย!|ออกหมัดขวา!|อย่าออมมือเซ่!
AudienceCheer_UniqueSkill,This move is powerful!|Good move!|Exciting!|Amazing!!|Oh!|It looks painful.|Awesome!|Keep hitting!|Don't stop!|Take his life while he's sick!|The victory will be decided on the Horse!|He can't even stand!|You're going to win!|Give him another move!|Don't be soft-hearted!,กระบวนท่านี้ทรงพลังมาก!|เคลื่อนไหวได้ดี! |น่าตื่นเต้นยิ่งนัก!|สุดยอดจริงๆ!!|โอ้โห!|ท่าทางจะเจ็บ.. |สุดยอด!|สู้ต่อไป!|อย่าหยุดมือ!|เขาล้มแล้ว จัดการเลย!|ใครจะเป็นผู้ชนะ!|เขาจะยืนไม่ไหวแล้ว!|ชนะเห็นๆ!|จัดไปอีกหนึ่งกระบวนท่า!|อย่าใจอ่อนนะ!
AudienceCheer_HpLessThan30Percent,Keep hitting!|Don't stop!|Take his life while he's sick!|The victory will be decided on the Horse!|He can't even stand!|You're going to win!|Give him another move!|Don't be soft-hearted!|Cut him!|Good hit!|Beautiful!|Impressive!|Hit him fast!|Start fighting!|Put some strength into it!|Didn't you eat?|Come on!|Keep going!!|Hit him hard!|Attack his lower body!|Hit his chin!|Left hook!|Right hook!|Don't go easy!,โจมตีต่อไป!|อย่าหยุดมือ!|เขาไม่ไหวแล้ว รีบจัดการเลย!|ใครจะเป็นผู้ชนะ!|เขายืนไม่ไหวแล้ว!|ชนะเห็นๆ!|จัดไปอีกหนึ่งกระบวนท่า!|อย่าใจอ่อนนะ!|จัดการเลย!|สู้ได้ดี!|สวย!|ยอดเยี่ยม!|จัดการเขาเร็วเข้า!|สู้ๆ!|พยายามเข้า!|กินกันไม่ลงเลย|อย่าเพิ่งถอย!|สู้ต่อไป!!|จัดให้หนักๆ!|โจมตีช่วงล่างเลย!|เสยคางเลยเซ่!|ออกหมัดซ้าย!|ออกหมัดขวา!|อย่าออมมือนะ!
AudienceCheer_FinalHit,He won!|Well fought!|So exciting!|Let's have another round!|Money well spent!|I could do it too!|Impressive!|This move is powerful!|Good move!|Exciting!|Amazing!!|Oh!|It looks painful.|Awesome!,เขาชนะแล้ว!|สู้ได้ดี! |น่าตื่นเต้นยิ่งนัก!|เริ่มรอบต่อไปเลยเถอะ!|คุ้มค่าเงินแล้ว!|ข้าก็น่าจะทำเช่นนั้นได้!|ช่างน่าประทับใจ! |กระบวนท่านี้ยอดเยี่ยมยิ่งนัก!|เคลื่อนไหวได้ดี!|เปิดหูเปิดตายิ่งนัก!|ยอดเยี่ยม!! |โอ้โห!|ท่าทางจะเจ็บน่าดู|ยอดเยี่ยม ยอดเยี่ยม!
啊6,Ah 7,อ้ะ 7
啊7,Ah 8,อ้ะ 8
啊8,Ah 9,อ้ะ 9
啊9,Ah 10,อ้ะ 10
