﻿题库1_题目1,This is title 1,บทนำที่ 1
题库1_题目2,This is title 2,บทนำที่ 2
题库1_题目3,This is title 3,บทนำที่ 3
题库1_题目4,This is title 4,บทนำที่ 4
题库1_题目5,This is title 5,บทนำที่ 5
题库1_题目1_答案1,This is an answer. The number is: Question Bank 1_Title 1_Answer 1,
题库1_题目1_答案2,This is an answer. The number is: Question Bank 1_Title 1_Answer 2,
题库1_题目1_答案3,This is an answer. The number is: Question Bank 1_Title 1_Answer 3,
题库1_题目1_答案4,This is an answer. The number is: Question Bank 1_Title 1_Answer 4,
题库1_题目2_答案1,This is an answer. The number is: Question Bank 1_Title 2_Answer 1,
题库1_题目2_答案2,This is an answer. The number is: Question Bank 1_Title 2_Answer 2,
题库1_题目3_答案1,This is an answer. The number is: Question Bank 1_Title 3_Answer 1,
题库1_题目3_答案2,This is an answer. The number is: Question Bank 1_Title 3_Answer 2,
题库1_题目3_答案3,This is an answer with the code: QuestionBank1_Question3_Answer3,
题库1_题目4_答案1,This is an answer with the code: QuestionBank1_Question4_Answer1,
题库1_题目4_答案2,This is an answer with the code: QuestionBank1_Question4_Answer2,
题库1_题目4_答案3,This is an answer with the code: QuestionBank1_Question4_Answer3,
题库1_题目4_答案4,This is an answer with the code: QuestionBank1_Question4_Answer4,
题库1_题目5_答案1,This is an answer with the code: QuestionBank1_Question5_Answer1,
题库1_题目5_答案2,This is an answer with the code: QuestionBank1_Question5_Answer2,
题库1_题目5_答案3,This is an answer with the code: QuestionBank1_Question5_Answer3,
题库1_题目5_答案4,This is an answer with the code: QuestionBank1_Question5_Answer4,
隆中书院老学究_题目1,"What is the next line after ""At the beginning, human nature is good""?","ประโยคต่อไปของ ""คราแรกสุด มนุษย์นั้นงามใจ"" คืออะไร (ตอบข้อ 1)"
隆中书院老学究_题目2,"What is the line before ""The way of teaching, value in focus""?","ประโยคก่อนหน้า ""วิถีแห่งการเรียน สำคัญที่ตั้งใจ"" คืออะไร (ตอบข้อ 4)"
隆中书院老学究_题目3,"What is the next line after ""Jade, if not polished, does not become a tool""?","ประโยคต่อไปของ ""หากหยกไม่ได้ขัดเกลา มิอาจกลายเป็นเครื่องมือ"" คืออะไร? (ตอบข้อ 2)"
隆中书院老学究_题目4,"What is the next line after ""The ospreys cry, on the islet in the river""?","ประโยคต่อไปของ ""กลางน้ำเงียบสงัด เสียงเหยี่ยวซัดร้องกังวาน"" คืออะไร? (ตอบข้อ 3)"
隆中书院老学究_题目5,"""The highest good is like water, water is good at ______""","""คุณธรรมสูงล้ำเปรียบดังวารี, นทีมีดีที่ ______"" (ตอบข้อ 1)"
隆中书院老学究_题目6,"What is the next line after ""A tree as big as a man's embrace grows from a tiny shoot; A nine-storied tower rises from a heap of earth""?","ประโยคต่อไปของ ""พฤกษาใหญ่เท่าคนโอบ เติบโตจากต้นกล้า อาคารสูงเก้าชั้น สร้างขึ้นจากกองดิน"" คืออะไร? (ตอบข้อ 3)"
隆中书院老学究_题目7,"What is the next line after ""Honorable and yet different""?","ประโยคต่อไปของ ""คนมีเกียรติมียังมีแตกต่าง""? (ตอบข้อ 3)"
隆中书院老学究_题目8,"""Man follows the earth, the earth follows the heaven, ___, ____""","""มนุษย์ยึดตามวิถีแห่งโลก โลกยึดตามวิถีแห่งฟ้าสวรรค์, ___, ____"" (ตอบข้อ 4)"
隆中书院老学究_题目9,"What is the next line after ""The mountain does not tire of height; the ocean does not tire of depth""?","ประโยคถัดไปของ ""ขุนเขาไม่เหนื่อยจะสูงชัน ความลึกนั้นไม่เหน็ดมหรรณพ""? (ตอบข้อ 3)"
隆中书院老学究_题目10,"What is the next line after ""The movement of the sun and the moon is as if it were among them""?","ประโยคถัดไปของ ""ตะวันจันทราคล้อย ดั่งเจ้าลอยอยู่เคียงใกล้""? (ตอบข้อ 2)"
隆中书院老学究_题目11,"What is the next line after ""Honorable and magnanimous""?","ประโยคต่อไปของ ""คนมีเกียรติและยิ่งใหญ่"" คืออะไร? (ตอบข้อ 2)"
隆中书院老学究_题目12,"What is the next line after ""Learning without thought is labor lost""?","ประโยคถัดไปของ ""การเรียนแต่ไม่คิดย่อมสูญเปล่า""? (ตอบข้อ 1)"
隆中书院老学究_题目13,"What is the next line after ""Confucianists confuse the law with their writings""?","What is the next line after ""Confucianists confuse the law with their writings""? (ตอบข้อ 2)"
隆中书院老学究_题目14,"What is the next line after ""A long journey tests a horse's strength""?","ประโยคถัดไปของ ""การเดินทางพิสูจน์ม้า""? (ตอบข้อ 4)"
隆中书院老学究_题目15,"What is the next line after ""The waves behind drive on those before""?","ประโยคถัดไปของ ""คลื่นลูกหลังย่อมกระทบทับคลื่นลูกก่อน""? (ตอบข้อ 3)"
隆中书院老学究_题目16,"What is the next line after ""Planning behind the curtain""?","ประโยคถัดไปของ ""รู้เขารู้เรา""? (ตอบข้อ 1)"
隆中书院老学究_题目17,"What is the next line after ""In poverty, one focuses on self-improvement""?","ประโยคถัดไปของ ""เมื่อยามยาก เป็นโอกาสเพื่อฝึกใจ""? (ตอบข้อ 3)"
隆中书院老学究_题目18,"What is the next line after ""Cruel World, treating all things as straw dogs""?","ประโยคถัดไปของ ""โลกสามานย์ สรรพสิ่งเหมือนหมาจร""? (ตอบข้อ 4)"
隆中书院老学究_题目19,"What is the next line after ""It's easy to paint the skin of a tiger, but not its bones""?","ประโยคถัดไปของ ""แต้มเสือได้เพียงลาย ไม่อาจพร้ายลงใต้ขน""? (ตอบข้อ 2)"
隆中书院老学究_题目20,"What is the next line after ""A journey of a thousand miles begins with a single step""?","ประโยคถัดไปของ ""การเดินทางหมื่นหลี่ เริ่มต้นจากก้าวแรก""? (ตอบข้อ 3)"
隆中书院老学究_题目21,"What is the next line after ""If a father does not teach his son, he is to blame""?","ประโยคถัดไปของ ""บิดาไม่สอนสั่งบุตร ผิดที่บิดา""? (ตอบข้อ 1)"
隆中书院老学究_题目22,"What is the next line after ""At four years old, he could yield pears""?","ประโยคถัดไปของ ""เมื่อสี่ขวบ ยอมยกสาลี่""? (ตอบข้อ 3)"
隆中书院老学究_题目23,"What is the next line after ""The three powers are heaven, earth and man""?","ประโยคถัดไปของ ""สามอำนาจคือสวรรค์ โลก และมนุษย์""? (ตอบข้อ 1)"
