﻿end001,Novice Hero,วีรบุรุษไก่อ่อน
end003,Unfavorable start,เริ่มต้นไม่ค่อยดี
end004,Jianghu Conqueror,จอมมารยุทธภพ
end005,Jianghu Master,ผู้นำยุทธภพ
end006,Great Hero,วีรบุรุษผู้ยิ่งใหญ่
end007,Good men of the Central Plains,คนดีแห่งจงหยวน
end008,Unfortunate events,เหตุการณ์ที่โชคร้าย
end009,Dead by poison,ตายด้วยพิษ
end010,Exiled to the army,ถูกเนรเทศไปเป็นทหาร
end011,Banished to the frontier,ถูกเนรเทศไปชายแดน
end012,Surgical execution,ผ่าตัดให้สำเร็จ
end013,A new journey,การเดินทางครั้งใหม่
end014,Poetry and distant lands,บทกวีและดินแดนอันห่างไกล
end015,Rural scenery,ทิวทัศน์ชนบท
end016,Exhausted,เหนื่อยล้า
end017,Hidden threats are hard to guard against,ยากที่จะป้องกันภัยที่ซ่อนอยู่
end018,Retreat to the mountains and forests,หลบลี้ในป่าเขา
end019,Chuxiang City is broken,เมืองฉู่เซียงถูกทำลาย
end020,Abandoned in the wilderness,ถูกทอดทิ้งไว้กลางป่า
end021,Guardian of Chuxiang City,ผู้พิทักษ์เมืองฉู่เซียง
end022,Disheartened,หมดกำลังใจ
end023,Negotiating with a tiger for its skin,เจรจากับเสือเพื่อเอาหนังของมัน
end024,Starving and desperate,หิวโหยและสิ้นหวัง
end025,Brought to justice,ถูกจับกุม
end026,Happy New Year,สวัสดีปีใหม่
end027,Peak of Jianghu,หนึ่งในใต้หล้า
end029,Enlightened Monk,พระผู้ตรัสรู้
end030,Imperial Noble,ขุนนางแต่งตั้ง
end031,Foreign Duke,อ๋องต่างแดน
end032,Chaos in the world,ความโกลาหลในยุทธภพ
end033,Loyalty,ผู้ภักดี
end034,Sins lasting for eternity,บาปชั่วนิรันดร์
end035,Sage of Confucianism,ปราชญ์ขงจื๊อ
end036,Nine Factions Sect Master,เจ้าสำนักนิกายเก้าฝ่าย
end037,Richest in the World,ร่ำรวยที่สุดในโลก
end038,Beauties Like Clouds,งดงามดังเมฆา
end039,Stargazing and Enlightenment,ดูดาวและตื่นรู้
end040,Wandering in the martial world,พเนจรในยุทธภพ
end041,Dominating the world,ครองแผ่นดิน
end042,Royal son in law,ราชบุตรเขย
end043,Dominate the Western Regions,ครองดินแดนทางตะวันตก
