﻿DefaultPlayerName_Family,Vinegar,ซู
DefaultPlayerName_Given,Shrimp,เสี่ยวเซีย
CharacterInfo_欧阳晨,"A little shrimp just stepping into the martial world, the future is unknown, anything is possible.",เด็กน้อยที่เริ่มก้าวเข้าสู่ยุทธภพ อนาคตไม่แน่นอน ทุกสิ่งล้วนเป็นไปได้
CharacterInfo_长春子,"Second generation disciple of Taoist Sect, responsible for presiding over Zhenwu Sword Formation and training new disciples. He is upright, humble, and an Evil slayer, highly appreciated by the head of Taoist Sect; but his stubbornness and inflexibility make his uncle La Tazhang quite helpless.",ศิษย์รุ่นที่สองของสำนักเต๋า รับผิดชอบในการควบคุมค่ายกลกระบี่เจิ้นหวู่ และฝึกฝนศิษย์ใหม่ในสำนักเต๋า เขาเป็นคนตรงไปตรงมา ถ่อมตัว และเกลียดชังความชั่ว ได้รับการยกย่องอย่างสูงจากผู้นำสำนักเต๋า อย่างไรก็ตาม ด้วยนิสัยที่ดื้อรั้นและเถรตรงของเขา ทำให้ลาทาจาง อาของเขาเองก็รับมือไม่ไหวจนทำอะไรไม่ถูกเลยทีเดียว
CharacterInfo_苗木黎,"Chief of the Jiuli Tribe, has a deep understanding of toxins, only wishes to revive the tribe and take revenge on the Central Plains martial arts sects that have oppressed them for a long time, will stop at nothing to achieve this goal.",หัวหน้าเผ่าจิ่วลี่ศึกษาเรื่องการใช้พิษจนกระจ่าง เพื่อหวังฟื้นฟูเผ่าตนและล้างแค้นเหล่าชาวยุทธ์จงหยวนที่ข่มเหงพวกเขามาช้านาน ไม่สำเร็จการไม่เลิกรา
CharacterInfo_洪小七,"A little beggar wandering in the Nameless village, idle all day, relying on petty theft to barely make ends meet.",ขอทานน้อยที่เร่ร่อนอยู่ในหมู่บ้านไร้นาม ลอยชายไปมาทั้งวัน ไม่ทำงานการอะไรทั้งสิ้น อาศัยการลักขโมยเล็กๆน้อยๆเพื่อยังชีพ
CharacterInfo_任中横,"One of the four holy envoys of the Divine Flame Sect , the Xuanwu Envoy, is impulsive and irritable, acts domineering and unreasonable, is loyal to the Divine Flame Sect , and looks down upon the Cold Skin Gang, which is in opposition to the Divine Flame Sect .","หนึ่งในสี่ทูตศักดิ์สิทธิ์ของนิกายไฟศักดิ์สิทธิ์ เป็นคนหุนหันพลันแล่น,ฉุนเฉียว,อวดเบ่ง และไร้เหตุผล ภักดีกับนิกายไฟศักด์สิทธิ์อย่างมาก และดูแคลนพรรคมังสาเหมันต์ที่เป็นศัตรูกับนิกายของตน"
CharacterInfo_苗彩蝶,"The holy woman of the Jiuli tribe, the younger sister of the tribal chief Miao Muli. She is lively and innocent by nature, and can naturally communicate with insects. Because she was poisoned by Miao Muli from a young age, her hair turned white as snow and she looks like a young girl.",ธิดาเทพแห่งเผ่าจิ่วลี่ เป็นน้องสาวของหัวหน้าเผ่าเมี้ยวมู่หลี นางเป็นเด็กร่าเริงและไร้เดียงสาโดยธรรมชาติ มีความสามารถในการสื่อสารกับเหล่าแมลง เนื่องจากถูกเมี้ยวมู่หลีวางยาพิษตั้งแต่เด็ก  ผมของนางจึงเปลี่ยนเป็นสีขาวราวหิมะ และดูอ่อนเยาว์
CharacterInfo_释嗔,"Originally a disciple of Shifa Temple, he was called to serve in the army to defend the border and was promoted to the rank of Chuxiang City. Later, he accidentally learned of Lü Wenhuan's collusion with the enemy. Unwilling to be corrupted, he was framed and wanted by the government. He had no choice but to change his appearance and travel around as a monk.",เดิมเป็นลูกศิษย์ของอารามฉีฟา เขาถูกเรียกตัวให้ประจำการในกองทัพเพื่อปกป้องชายแดน และได้รับตำแหน่งในเมืองฉู่เซียง ต่อมาเขาบังเอิญได้รู้ว่าลู่เหวินหวนสมรู้ร่วมคิดกับศัตรู และเขาต่อต้านการสมรู้ร่วมคิดนั้น จึงถูกทางการใส่ร้ายและประกาศจับ เขาไม่มีทางเลือกนอกจากเปลี่ยนรูปลักษณ์และออกเดินทางในฐานะนักบวช
CharacterInfo_凌鸿轩,"{Ling Mengdie}'s elder brother, a rising star in the martial arts world, who travels everywhere seeking medical advice to cure his sister's strange disease, finally arrives at the Confucius Temple. He is arrogant and shows no good face to anyone, but is completely obedient to his sister.",พี่คนโตของหลิงเมิ่งเตี๋ย เปรียบดั่งดาวรุ่งผู้ผุดขึ้นในยุทธจักร เขาเดินทางไปทุกหนแห่งเพื่อหาวิธีรักษาโรคประหลาดให้น้องสาวตน จนในที่สุดก็ได้มาถึงวัดขงจื๊อ หยิ่งทะนงและไม่มีไมตรีต่อผู้ใด เชื่อฟังน้องสาวผู้เดียวเท่านั้น
CharacterInfo_凌梦蝶,"{Ling Hongxuan}'s younger sister, who is intelligent and well-read, has a deep understanding of the martial arts of various sects. She was born with a strange disease and lacks vitality, often falling into slumber.",น้องสาวของหลิงหงซวน ผู้มีความสามารถปราดเปรื่องรอบรู้วรยุทธสำนักต่างๆมากมาย นางเกิดมาพร้อมกับโรคประหลาดและขาดกำลังวังชา มักง่วงนอนอยู่บ่อยครั้ง
