﻿M2040DLC5-1_1_1,"Earlier, the Constable of Luo took Zhang Li back to the Crime Investigation Bureau and said he would handle it impartially. I wonder what happened, maybe I should ask...",ก่อนนี้มือปราบลั่ว ได้นำตัวจางลี่ กลับไปที่สำนักเทพมือปราบ พร้อมกล่าวว่าจะจัดการอย่างเป็นธรรม แต่ไม่รู้ว่าเรื่องราวเป็นอย่างไรบ้างแล้ว สู้ไปสอบถามดูจะดีกว่า...
M2040DLC5-1_1_2,"{PlayerSurName} Young hero, what a coincidence to meet you here.",จอมยุทธน้อย {PlayerSurName} ช่างบังเอิญนัก ที่ได้มาพบท่านที่นี่
M2040DLC5-1_1_3,"I'm sorry, you are...",ขออภัย ท่านคือ...
M2040DLC5-1_2_1,"{PlayerSurName}Young hero, you really have a short memory. It was you who saved my life in White Mou Marsh a few days ago.",จอมยุทธน้อย {PlayerSurName} นี่ช่างหลงลืมเสียจริง ท่านช่วยชีวิตข้าเอาไว้เมื่อหลายวันก่อน ที่บึงขาวมรณะไง
M2040DLC5-1_2_2,You saved me in White Mou Marsh? Could it be that you are the disciple of the Crime Investigation Bureau brought by Luo Constable?,ที่บึงขาวมรณะ ข้าช่วยเจ้าไว้รึ? หรือว่าเจ้าเป็นศิษย์สำนักเทพมือปราบที่มือปราบลั่วพาไป?
M2040DLC5-1_2_3,"No, no, no, I am...",เปล่าๆๆ ข้าคือ...
M2040DLC5-1_2_4,"Constable Zhang, time is pressing, we...",มือปราบจาง เวลามีจำกัด พวกเรา...
M2040DLC5-1_2_5,"Ah... I see, I'll go right away on my horse.",อ่า... เข้าใจแล้ว ข้าจะรีบไปเดี๋ยวนี้
M2040DLC5-1_2_6,Constable Zhang...,มือปราบ จาง...
M2040DLC5-1_2_7,Could it be that you are Zhang Li?!,หรือว่าเจ้าคือ... จาง... จาง... จางลี่!?
M2040DLC5-1_3_1,"{PlayerSurName}Young hero, you really have a short memory. A few days ago in White Mou Marsh, you all were fighting over my head.",จอมยุทธน้อย {PlayerSurName} ท่านช่างหลงลืมเสียจริง ก่อนหน้านี้ที่บึงขาวมรณะ พวกท่านยังช่วงชิงหัวของข้า กันอย่างดุเดือดมิใช่รึ!
M2040DLC5-1_3_2,Are you Zhang Li?!,เจ้า... เจ้า... เจ้าคือ จางลี่ รึ?!
M2040DLC5-1_4_1,"Hahaha, yes, it's me.",ฮ่าๆๆๆ ถูกต้องแล้ว ข้าเอง!
M2040DLC5-1_4_2,"What's going on here, what exactly happened...",นี่มันเรื่องอะไรกัน เกิดอะไรขึ้นกันแน่...
M2040DLC5-1_4_3,"After the melee in White Mou Marsh that day, I was taken back to the Crime Investigation Bureau by Luo Constable.",หลังจบศึกวุ่นวายที่บึงขาวมรณะ ข้าก็ถูกมือปราบลั่วพาตัวกลับไปที่สำนักเทพมือปราบ
M2040DLC5-1_4_4,"I thought I was going to die, but Luo Constable not only found a good doctor to heal my wounds, but also patiently explained my mistakes to me...",เดิมทีข้าคิดว่าคงไม่รอดชีวิตแล้ว แต่มือปราบลั่วไม่เพียงแต่หาหมอฝีมือดี มารักษาบาดแผลให้ข้าเท่านั้น เขายังอดทนอธิบายความผิดพลาดของข้า ให้ฟังอย่างละเอียดอีกด้วย...
M2040DLC5-1_4_5,"In these few days in jail, I deeply regretted my recklessness. I didn't expect that my actions could be used by others with ulterior motives...",ตลอดหลายวันที่ติดอยู่ในคุก ข้าก็สำนึกได้ถึงความหุนหันพลันแล่นของตัวเอง ไม่คาดคิดเลยว่าการกระทำของข้านั้น จะถูกผู้ไม่หวังดีใช้เป็นหมากได้ถึงเพียงนี้...
M2040DLC5-1_4_6,"Luo Constable also thoroughly investigated those brothers from the Breeze Sect. Fortunately, none of them were clean, otherwise I might not have been able to keep my head.",มือปราบลั่วยังได้สอบสวน บรรดาพี่น้องแห่งค่ายสายลมพิสุทธิ์ อย่างละเอียดถี่ถ้วน โชคดีที่แต่ละคนล้วนทำเรื่องสกปรก มิฉะนั้นหัวของข้าคงรักษาไว้ไม่ได้เสียแล้ว
M2040DLC5-1_4_7,"But my previous actions were indeed unforgivable. I should have been sentenced to exile on Shamen Island, but Luo Constable gave me a chance to make amends for my crimes. He exceptionally recruited me into the Crime Investigation Bureau to catch criminals and make up for my past misdeeds.",แต่สิ่งที่ข้าทำไปก่อนหน้านี้ ก็เป็นความผิดที่มิอาจให้อภัยได้จริงๆ เดิมที ข้าควรถูกตัดสินให้เนรเทศไปยังเกาะซาเหมิน ทว่ามือปราบลั่วกลับมอบโอกาสให้ข้าได้ไถ่โทษ ด้วยการรับข้าเข้าสู่สำนักเทพมือปราบ เพื่อจับกุมอาชญากรทั่วหล้า ชดเชยความชั่วร้ายที่เคยกระทำไป
M2040DLC5-1_4_8,So... this is what you see now.,ฉะนั้น... บัดนี้จึงเป็นอย่างที่ท่านเห็นอยู่นี่แหละ
M2040DLC5-1_4_9,Hero Zhang...,จอมยุทธ จาง
M2040DLC5-1_4_10,"Don't call me that anymore. What I did before was just to satisfy my own desires, not for the people. I can't bear the title of ""hero"".","อย่าเรียกข้าเช่นนั้นเลย สิ่งที่ข้าทำไปก่อนหน้านี้ ล้วนแต่เพื่อสนองความปรารถนาส่วนตน หาได้เพื่อชาวบ้านตาดำๆ ไม่ มิอาจแบกรับคำว่า ""จอมยุทธ์"" ได้เลย"
