﻿R21025-1_1_1,"Young man, you look very unfamiliar, you must be from out of town.",น้องชาย เจ้าดูไม่คุ้นหน้าเลย เจ้าคงมาจากที่อื่นสินะ
R21025-1_1_1_1,"I am {PlayerName}, may I ask where this is?",ข้าชื่อ{PlayerName} ข้าขอถามได้ไหมว่านี่คือที่ใด?
R21025-1_1_1_2,"My name is <color=#c44b0e>Hua Siniang</color>, this is my inn.",ข้าชื่อ<color=#c44b0e>ฮวาซื่อเหนียง</color> ที่นี่คือโรงเตี๊ยมของข้าเอง
R21025-1_1_1_3,Are you planning to dine or stay here for a night?,เจ้าจะทานอาหารหรือว่าจะพักแรมล่ะ?
R21025-1_1_2,What do you mean by dining and staying for a night?,ทานอาหาร และพักแรมงั้นหรือ ช่วยแนะนำข้าหน่อยได้หรือไม่?
R21025-1_1_3,"Dining means trading with me<color=#c44b0e>, buying food.
When your stamina is low, you can take out food for emergency use.","ทานอาหารก็คือทำการค้าขายกับข้า<color=#c44b0e>โดยการซื้ออาหาร\nเมื่อแรงกายของเจ้าเหลือน้อย เจ้าสามารถนำอาหารออกมากินในยามฉุกเฉินได้"
R21025-1_1_4,"If you choose to ""stay,"" I'll arrange <color=#c44b0e>accommodation</color> for you at a rate of 200 wen each time. Staying at the inn not only provides a comfortable space but also significantly recovers your stamina and HP. Your room will be reserved for twelve shichen, ensuring you have ample time to rest.","หากเจ้าเลือกจะ""พักแรม"" ข้าจะจัด <color=#c44b0e>ห้องพัก</color> ให้กับเจ้า ราคาครั้งละ 200 อีแปะ เจ้าสามารถฟื้นฟูแรงกาย และฟื้น HP ได้อย่างมาก เจ้าสามารถใช้ห้องพักได้เป็นเวลา 12 ชั่วยาม"
R21025-1_1_5,Stomach Growling...Stomach Growling...,โครก... คราก...
R21025-1_1_6,"Innkeeper, get me some food first, the accommodation can wait.",เถ้าแก่เนี้ย ข้าขอของกินก่อน เรื่องพักแรมไว้ทีหลังนะ
R21025-1_1_7,"Only steamed buns are ready, please wait a moment, I'll heat it up for you.",ตอนนี้มีแค่หมั่นโถวเท่านั้น รอสักครู่ ข้าจะอุ่นให้นะ
R21025-1_1_8,"Even if it's just low-grade tea and plain rice, it tastes like lavish seafood with wild herbs to you.",แม้ว่าจะเป็นเพียงอาหารง่ายๆ แต่สำหรับเจ้าแล้ว กลับมีรสชาติดั่งอาหารเลิศรสเลยทีเดียว
R21025-1_1_9,"After wolfing down your food, you feel rejuvenated.",หลังจากทานจนหมดคล้ายมีสายลมพัดผ่าน เจ้าก็รู้สึกสดชื่นขึ้นมาทันที...
R21025-1_1_10,So much food... I am falling into food coma...,พอหนังท้องตึง หนังตาก็หย่อนซะแล้ว...
R21025-1_1_11,"Do you want to stay here for a night, young man?",น้องชาย เจ้าจะพักแรมด้วยหรือไม่?
R21025-1_1_12,"Of course, I'm so sleepy I can't keep my eyes open.
Is the accommodation upstairs? I'll make myself at home.","แน่นอน ข้าง่วงมากเลย ตาจะปิดแล้วเนี่ย\nห้องพักอยู่ชั้นบนหรือเปล่า? ข้าขอทำตัวตามสบายเหมือนอยู่บ้านนะ"
R21025-1_1_13,"Hey, pay for your accommodation before you go upstairs!",ช้าก่อน ก่อนจะขึ้นไป จ่ายค่าที่พักให้เรียบร้อยก่อนสิ!
R21025-1_1_14,"This inn is a small busines, no taps!
Accommodation is 200 wen per day, the steamed bun is on the house.","ร้านเราเป็นเพียงโรงเตี๊ยมเล็กๆ ใช้ระบบจ่ายสดงดเชื่อ!\nค่าห้องพักวันละ 200 อีแปะ ส่วนหมั่นโถวข้าแถมให้"
R21025-1_2_1,"Thanks for choosing us. Your room is ready, right upstairs. Feel free to come back and rest whenever you'd like in the next twelve shichen.",ขอบคุณที่ใช้บริการ ห้องพักของเจ้าที่ชั้นบนจัดเตรียมเรียบร้อยแล้ว เจ้าสามารถกลับมาพักได้ทุกเมื่อภายใน 12 ชั่วยามนะ
R21025-1_3_1,"So you're broke, no wonder you wolfed down your food with such a hurry.",สรุปว่าเจ้าไม่มีเงิน ไม่น่าแปลกใจเลยที่เจ้ารีบเร่งกินอาหารขนาดนี้
R21025-1_3_2,"I'm not heartless,
you can sleep on this floor tonight, go find somewhere else to stay tomorrow.","ข้าไม่ใช่คนใจหิน\nคืนนี้เจ้านอนที่นี้ก่อนก็ได้ พรุ่งนี้ค่อยไปหาที่อื่นเถอะ"
R21025-1_3_3,"As long as there's a place to stay, I don't care where I sleep.",ตราบใดที่ยังมีที่ซุกหัวนอน ข้าก็ไม่สนใจว่าที่ไหนข้าก็นอนได้
R21025-1_3_4,"Innkeeper, where are you going?",เถ้าแก่เนี้ย ท่านจะไปไหน?
R21025-1_3_5,"Alone with a woman, do you expect me to accompany you in the shop?
I have my own place to live, no need for your concern.","ลำพังสตรีผู้เดียว เจ้าคิดว่าข้าจะร่วมหลับนอนกับเจ้าในร้านรึ?\nข้ามีที่พักของข้าอยู่ เจ้าไม่จำเป็นต้องกังวล"
R21025-1_4_1,"You're itching for a fight, aren't you?
Do you really think I'm that easy to bully!","เจ้ากำลังอยากต่อสู้ไม่ใช่หรือ?\nเจ้าคิดว่าข้าเป็นคนที่ถูกรังแกง่ายๆ ขนาดนั้นหรอ!"
R21025-1_5_1,"Consider yourself lucky, kid. I'll let you stay upstairs for free for four shichen. Once time's up, get the hell out of here!",ถือว่าเจ้าโชคดี ข้าจะให้เจ้าพักที่ชั้นบนฟรี 4 ชั่วยาม หากหมดเวลาแล้วก็ไปจากที่นี่ซะ!
R21025-1_5_2,"If you think you can act recklessly because you're capable, I'll make sure you won't stay in the village!",หากเจ้าคิดว่าเจ้าจะทำอะไรซี้ซั้วได้เพราะว่าเจ้ามีความสามารถ ข้าจะทำให้เจ้าแน่ใจว่า เจ้าจะไม่สามารถอยู่ในหมู่บ้านนี้ได้อีกต่อไป!
R21025-1_5_3,"Innkeeper, where are you going?",เถ้าแก่เนี้ย ท่านจะไปไหน?
R21025-1_5_4,"Alone with a woman, do you expect me to accompany you in the shop?
I have my own place to live, no need for your concern.","ลำพังสตรีผู้เดียว เจ้าคิดว่าข้าจะร่วมหลับนอนกับเจ้าในร้านรึ?\nข้ามีที่พักของข้าอยู่ เจ้าไม่จำเป็นต้องกังวล"
R21025-1_6_1,"Boss Hua, I was just joking, no need to take it so seriously...",เถ้าแก่เนี้ยฮวา ข้าเพียงแค่ล้อเล่นเท่านั้น ไยท่านจึงได้จริงจังเช่นนี้...
R21025-1_6_2,"{yell}I don't want to see your pig face!
Turn away from me!","{yell}ข้าไม่อยากเห็นหน้าหมูโสโครกของเจ้า!\nออกไปให้พ้นหน้าข้า!"
R21025-1_6_3,Is this better?,แบบนี้จะดีรึ?
R21025-1_6_4,Shut your mouth and be quiet!,หุบปากแล้วเงียบซะ!
