key,original,translation,context
BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,,{0}获得<#00FF00>{1}</color>状态
BuffEffect_OnDisable,{0} removes <#00FF00>{1}</color> status,,{0}解除<#00FF00>{1}</color>状态
DebuffEffect_OnEnable,{0} gains <#FE2929>{1}</color> status,,{0}获得<#FE2929>{1}</color>状态
DebuffEffect_OnDisable,{0} removes <#FE2929>{1}</color> status,,{0}解除<#FE2929>{1}</color>状态
BuffNameColor_Debuff,<#FE2929>{0}</color>,,<#FE2929>{0}</color>
BuffNameColor_Buff,<#00FF00>{0}</color>,,<#00FF00>{0}</color>
BuffPropUp_Default,{lockey} increases <#29F161> {val}</color>,,{lockey}增加<#29F161> {val}</color>
BuffPropDown_Default,{lockey} decreases <#FE2929> {val}</color>,,{lockey}减少<#FE2929> {val}</color>
BuffPropDUp_Default,{lockey} increases <#29F161> {val}</color>,,{lockey}增加<#29F161> {val}</color>
BuffPropDDown_Default,{lockey} decreases <#FE2929> {val}</color>,,{lockey}减少<#FE2929> {val}</color>
BuffPropRUp_Default,{lockey} overall increase <#29F161> {val}</color>,,{lockey}整体提升<#29F161> {val}</color>
BuffPropRDown_Default,{lockey} overall decrease <#FE2929> {val}</color>,,{lockey}整体下降<#FE2929> {val}</color>
BuffPropSRUp_Default,{lockey} personal attributes increase <#29F161> {val}</color>,,{lockey}自身属性提升<#29F161> {val}</color>
BuffPropSRDown_Default,{lockey} personal attributes decrease <#29F161> {val}</color>,,{lockey}自身属性下降<#29F161> {val}</color>
BuffPropERUp_Default,{lockey} equipment attributes increase <#29F161> {val}</color>,,{lockey}装备属性提升<#29F161> {val}</color>
BuffPropERDown_Default,{lockey} equipment attributes decrease <#29F161> {val}</color>,,{lockey}装备属性下降<#29F161> {val}</color>
BuffPropUp_D_Hp,{lockey} Recovery <#29F161> {val}</color>,,{lockey}恢复<#29F161> {val}</color>
BuffPropUp_D_Ep,{lockey} Recovery <#29F161> {val}</color>,,{lockey}恢复<#29F161> {val}</color>
BuffPropRUp_D_Hp,{lockey} Recovery <#29F161> {val}</color>,,{lockey}恢复<#29F161> {val}</color>
BuffPropRUp_D_Ep,{lockey} Recovery <#29F161> {val}</color>,,{lockey}恢复<#29F161> {val}</color>
BuffPropUp_T_队伍体力,{lockey} Recovery <#29F161> {val}</color>,,{lockey}恢复<#29F161> {val}</color>
BuffPropUp_T_队伍心情,{lockey} Recovery <#29F161> {val}</color>,,{lockey}恢复<#29F161> {val}</color>
BuffPropUp_B_BattleWine,,,
BuffPropUp_B_BattleMedicine,,,
BuffInfo_致伤,"Chance to trigger injury effect, Bleeding<#FE2929>+10</color>.",,有几率触发致伤效果，流血<#FE2929>+10</color>。
BuffInfo_timeAdd,Permanent,,永久
BuffInfo_GameTimeLength_day,{0} days,,{0}天
BuffInfo_GameTimeLength_hour,{0} shichen,,{0}时辰
BuffInfo_GameTimeLength_quarter,{0} Ke,,{0}时刻
BuffInfo_GameTimeLength_BattleAction,Expires after {0} actions,,行动{0}次后失效
BuffInfo_GameTimeLength_Battle,Expires after participating in {0} battles,,参与{0}场战斗后失效
BuffPropUp_下毒,,,
BuffPropUp_主角修炼,Only for the protagonist,,仅限主角
BuffPropUp_蓄力解锁,Can use <#29F161>Charge</color> in battle,,战斗可使用<#29F161>蓄力</color>
BuffPropUp_防御解锁,Can use <#29F161>Defense</color> in battle,,战斗可使用<#29F161>防御</color>
BuffPropUp_调息解锁,Can use <#29F161>Regen</color> in battle,,战斗可使用<#29F161>归元</color>
BuffPropUp_归元解锁,Can use <#29F161>Regen</color> in battle,,战斗可使用<#29F161>归元</color>
BuffPropUp_治疗解锁,Can use <#29F161>Heal</color> in battle,,战斗可使用<#29F161>治疗</color>
BuffPropUp_施毒解锁,Can use <#29F161>Poison</color> in battle,,战斗可使用<#29F161>施毒</color>
BuffPropUp_解毒解锁,Can use <#29F161>Detoxify</color> in battle,,战斗可使用<#29F161>解毒</color>
BuffPropUp_轻身解锁,Can use <#29F161>Speed Up</color> in battle,,战斗可使用<#29F161>轻身</color>
