key,original,translation,context
TipsString_sencelimit,Scene limit,,场景限制
TipsString_uselimit,Use limit,,使用限制
TipsString_Notlimit,No limit,,无限制
TipsString_battleUse,Combat usage,,战斗使用
TipsString_UnbattleUse,Non-combat usage,,非战斗使用
TipsString_Type,Type,,类型 
TipsString_SZJG,Cooldown,,施展间隔
TipsString_CD,{0} actions,,{0}次行动
TipsString_BondCD,Only one use per battle,,一场战斗仅施展一次
TipsString_XTSX,Core stat,,先天加成
TipsString_KungfuMoveData,External skill moves,,外功招式
TipsString_KungfuMoveDataProb,(Trigger probability: {0}%),,（触发概率：{0}%）
GameLog_CantSaveWhenNpcPercepting,Cannot save when noticed by NPC,,被NPC注意时无法保存
