key,original,translation,context
UI_InstantKill,Instant death,,一击必杀
UI_NoRole,Empty slot,,暂无侠客
UI_MyRole,Party,,我的侠客
UI_Character,Character,,角色
UI_Item,Item,,物品
UI_Kungfu,Martial Arts,,武学
UI_Bag,Inventory,,包裹
UI_WuDao,Passive,,武道
UI_Ability,Skill,,能力
UI_Relation,Relations,,关系
UI_Task,Journal,,记事
UIAbility_Cai,Pick,,采
UIBattleActorTip_Level,Level,,等级
UIBattleActorTip_Exp,Experience,,经验
UIBattleActorTip_EP,MP,,内力
UIBattleActorTip_HP,HP,,生命
Bag_Item_Mark,Unknown,,未知
Common_Item_Mark,Unappraised,,未鉴定
Bid_GiveUp,Abandon,,放弃
Bid_1,Increase by 10%,,加价一成
Bid_2,Increase by 30%,,加价三成
Bid_3,Increase by 50%,,加价五成
Bid_4,Double the price,,加价一倍
BattleUI_ShowCards,Show avatar,,显示头像
BattleUI_HideCards,Hide avatar,,隐藏头像
RestoreRelationTab_Faction,Martial world grudges,,江湖恩怨
RestoreRelationTab_Person,Personal grudges,,个人恩怨
RestoreRelation_NoFaction,The young hero is well-connected in the martial world and has no grudges with any factions.,,少侠在江湖八面玲珑，并未与任何门派结下恩怨
RestoreRelation_NoPerson,"The young hero is well-connected in the martial arts world, without any grudges or debts to anyone",,少侠在江湖八面玲珑，并未与任何人士结下恩怨
UIShortcutItemsSetting_Tip,Six types of Medicine and ThrowingItem can be set for quick use in battle,,可设置六种药品和暗器物品在战斗中快捷使用
UIShortcutItemsSetting_Entry,Quick settings,,快捷设置
UIShortcusItemsSetting_QuickSelect,Select all,,一键选择
UIShortcusItemsSetting_Save,Save,,保存
Authenticate_SelectTip,Select the number of items to Appraise,,选择鉴定数量
Authenticate_UnSelectTip,Select the number of items to retrieve,,选择拿回数量
Authenticate_ClickToClose,Click on a blank area to close the interface,,点击空白处关闭界面
Authenticate_NoItem,The young hero has nothing to Appraise,,少侠没有东西可鉴定
Authenticate_ConfirmButton,Appraise,,鉴定
Authenticate_AvailableTitle,Items that can be Appraised,,可鉴定的道具
Authenticate_ResultTitle,Appraise results,,鉴定结果
ThankList,Credits,,鸣谢
UIThankList_Developers_Title,————Development Team————,,————研发人员————
UIThankList_SpecialThanks_Content,"九九重阳
Van尔一啸
212
Agan
Amiz
Angel LuvSic.
Beyox
blank
blankws
Chips ahoy
CstloH
Fan
Grow again
Joe
Kei
L
OP
Panacea
syy
tlovez
yelan
阿米巴虫
阿叹
阿钊钊钊
敖天99
不倒的木偶
常悟心
陈星
陈子游
大金橙
等风来
点
东方该
東君（
肚
端寤
否极泰来
格鲁特
公子玄
哈喇子精星星
行将就木
红娘·墨小西
花见
渐行渐远渐无书
江上弄笛_
金人玉
橘生淮南
快看我烧起来了
拉默默
蓝乐乐
李佳泰
李竣功
两儀Ryo
琉球的哀华
陆陆侠
陆奕辰myj
马屁公园
猫头狂揉
毛豆王
毛乙俊
梦
秒针
摩拉克星
乃琳爱你哟
奈何桥卖豆浆
楠橙与秋霞
三金
傻不啦畅
少侠王平知
十四先生
水云浩淼
嗣音。
苏弦
随性
孙艺源
涛声依旧
田肖洛
焞哑
王仲霖
王梓谕
温良。
伍迪
悟空的狗
夏天不雨
蠢忧忧
小p
小路
小星星
小越越
新泡峰波丁云龙
虚佑
许许
钥匙链
楪祈
渝晚
原以为
招财进宝
照章纳税
支小白
重感情
紫妹千碎
ヾ(*´∀｀*)5678iu67Iﾉだよ
葛林
李阔
尚天赐
Zhen Hui
Avalonian
虎牙直播",,"九九重阳
Van尔一啸
212
Agan
Amiz
Angel LuvSic.
Beyox
blank
blankws
Chips ahoy
CstloH
Fan
Grow again
Joe
Kei
L
OP
Panacea
syy
tlovez
yelan
阿米巴虫
阿叹
阿钊钊钊
敖天99
不倒的木偶
常悟心
陈星
陈子游
大金橙
等风来
点
东方该
東君（
肚
端寤
否极泰来
格鲁特
公子玄
哈喇子精星星
行将就木
红娘·墨小西
花见
渐行渐远渐无书
江上弄笛_
金人玉
橘生淮南
快看我烧起来了
拉默默
蓝乐乐
李佳泰
李竣功
两儀Ryo
琉球的哀华
陆陆侠
陆奕辰myj
马屁公园
猫头狂揉
毛豆王
毛乙俊
梦
秒针
摩拉克星
乃琳爱你哟
奈何桥卖豆浆
楠橙与秋霞
三金
傻不啦畅
少侠王平知
十四先生
水云浩淼
嗣音。
苏弦
随性
孙艺源
涛声依旧
田肖洛
焞哑
王仲霖
王梓谕
温良。
伍迪
悟空的狗
夏天不雨
蠢忧忧
小p
小路
小星星
小越越
新泡峰波丁云龙
虚佑
许许
钥匙链
楪祈
渝晚
原以为
招财进宝
照章纳税
支小白
重感情
紫妹千碎
ヾ(*´∀｀*)5678iu67Iﾉだよ
葛林
李阔
尚天赐
Zhen Hui
Avalonian
虎牙直播"
制作人,Producer,,制作人
主程序,Lead Programmer,,主程序
主美术,Lead Artist,,主美术
资深程序开发,Senior Programmer,,资深程序开发
系统&数值,System & Balance Designer,,系统&数值
系统&事件,System & Event Designer,,系统&事件
事件&脚本,Event & Stroy Designer,,事件&脚本
场景&资源管理,Scene Designer & Resource Management,,场景&资源管理
UI&图标,UI Artist,,UI&图标
游戏测试,Quality Assurance,,游戏测试
制作人_Content,半瓶神仙醋,,半瓶神仙醋
主程序_Content,和谐之猫（金城）,,和谐之猫（金城）
主美术_Content,小E掌柜（袁毅）,,小E掌柜（袁毅）
资深程序开发_Content,"二九（殷实佳）
螺纹（罗敬儒）",,"二九（殷实佳）
螺纹（罗敬儒）"
系统&数值_Content,小鬼（张超）,,小鬼（张超）
系统&事件_Content,石老猫（石天骄）,,石老猫（石天骄）
事件&脚本_Content,骁骐（赵琦）,,骁骐（赵琦）
场景&资源管理_Content,迪女王（张迪）,,迪女王（张迪）
UI&图标_Content,张少杰,,张少杰
游戏测试_Content,冯骏,,冯骏
外部支援,————External Support————,,————外部支援————
美术支援,Outsourcing Artist,,美术支援
音乐支援,Outsourcing Musician,,音乐支援
美术支援_Content,"Lupo
疾风小土狗
马屁公园
木菠萝
陈东城
弥雾
肉大大大大王
顾潇涵",,"Lupo
疾风小土狗
马屁公园
木菠萝
陈东城
弥雾
肉大大大大王
顾潇涵"
音乐支援_Content,"武聆音雄
小旭音乐",,"武聆音雄
小旭音乐"
创意工坊作者,——Mod Creator——,,————创意工坊作者————
创意工坊作者_Content,"caps1ock
扶摇
dooki十安
灵犀
落叶归根
奇怪的机器人
TC大帝国
KillerDJSH
次元旅行者
黄昏引烛
AlleyCats
围观的路人甲",,"caps1ock
扶摇
dooki十安
灵犀
落叶归根
奇怪的机器人
TC大帝国
KillerDJSH
次元旅行者
黄昏引烛
AlleyCats
围观的路人甲"
QA与攻略作者,——QA and Strategy Author——,,————QA与攻略作者————
QA与攻略作者_Content,"旧歌
黑袍宰相
云自摇
嗷呜咩咩熊
2R
宋其亮
天狼
十四
清风驻故里
杉木
卖瓜泼皮
咸鱼ing
翩翩风吹雪
张吉来今天官宣没
瞳光温暖清澈
说书人九二
风吟华旭",,"旧歌
黑袍宰相
云自摇
嗷呜咩咩熊
2R
宋其亮
天狼
十四
清风驻故里
杉木
卖瓜泼皮
咸鱼ing
翩翩风吹雪
张吉来今天官宣没
瞳光温暖清澈
说书人九二
风吟华旭"
特别感谢,————Special Thanks————,,————特别感谢————
UIThankList_EndTip,"""Hero's Adventure"" is now officially on sale on the Steam platform.
Thank you to all the young heroes who have been following ""Hero's Adventure"". Your support and love have helped the team to persevere.
A journey of a thousand miles begins with a single step. ""Hero"" has just taken its first step, and there is a long way to go in the future. We will not let you down.

<color=#ffff00>It's not easy for a domestic single-player survival game, thank you for supporting the genuine version!</color>",,"《大侠立志传》已在Steam平台正式发售。
感谢关注《大侠立志传》的各位少侠，你们的支持和厚爱帮助团队一路坚持下来。
千里之行始于足下，《大侠》才刚刚走出第一步，今后任重道远，定当不负众望。

<color=#ffff00>国产单机生存不易，感谢各位支持正版！</color>"
EATag,Official Version,,正式版
BattleDragRoleTip,"Choose <#29F161>display avatar</color> to set the character to join the battle, drag your own character to change the initial position",,选择<#29F161>显示头像</color>设置角色参战，拖动己方角色可改变初始位置
RemoveKungfu_Button,Forget,,遗忘
LogTab_All,All,,全部
LogTab_Normal,Daily,,日常
LogTab_Battle,Battle,,战斗
TeachAbility,LRN,,学艺
10Percent,One tenth,,十分之一
20Percent,One fifth,,五分之一
AllIn,All in,,全部投入
UISigBo_LeftBetTime,Remaining betting time:,,剩余下注时间：
UIKungfu_BondTag,Fate,,缘
BondAssist,Assist,,援助
MoralFondnessTitle,<color=#C5935D>Character tendency{0}</color>,,<color=#C5935D>品格倾向{0}</color>
GamblingMoney,Chips,,筹码
ResetAcupoint,Relearn,,重修
ZzPointEdit,Distribute,,分配
ZzPointReset,Reset,,重置
ZzPointRestHead,Points:,,可用点数：
HPBar_state_imgEnhanceSpeed_Text,Light,,轻
EnglishWarning_Title,Attention,,
EnglishWarning_Content,"The current English localization is provided by voluntary community works.
It's still in early version stage, so please understand that this will result in some unpolished translations.
If the localization fails to meet your expectations, please feel free to refund the game within 2 hours of gameplay. 

Join in our Discord Channel for more infos and help.",,
EnglishWarning_Confirm,OK,,
InteractiveUi_Options_OptionsBg_Text1,What do you want to do,,你要做什么
InteractiveUi_Options_OptionsBg_Text2,"Stamina is zero
Interaction restricted",,"体力为零
交互受限"
TwoButtonsWindow_Notice_Image_BG_Image_Bar_Text(TMP),"Text
",,"Text
"
TwoButtonsWindow_Notice_Image_BG_Image_Bar_Button_Close_Text(TMP),"Text
",,"Text
"
TwoButtonsWindow_Notice_Image_BG_Equipment_Text(TMP),"Text
",,"Text
"
TwoButtonsWindow_Notice_Image_BG_Buttons_Button_Text(TMP),"Text
",,"Text
"
TwoButtonsWindow_Notice_Image_BG_Buttons_Button(1)_Text(TMP),"Text
",,"Text
"
UIMenuPanel_Role_RolePanel_IsFull_Name,Kitty,,猫猫
UIMenuPanel_Role_RolePanel_IsFull_shengming,HP,,生命
UIMenuPanel_Role_RolePanel_IsFull_shengming_left,8888,,8888
UIMenuPanel_Role_RolePanel_IsFull_shengming__,/,,/
UIMenuPanel_Role_RolePanel_IsFull_shengming_right,8888,,8888
UIMenuPanel_Role_RolePanel_IsFull_neili,MP,,内力
UIMenuPanel_Role_RolePanel_IsFull_neili_left,8888,,8888
UIMenuPanel_Role_RolePanel_IsFull_neili__,/,,/
UIMenuPanel_Role_RolePanel_IsFull_neili_right,8888,,8888
UIMenuPanel_Role_RolePanel_IsFull_neili_yang_Text(TMP),Yang,,阳
UIMenuPanel_Role_RolePanel_IsFull_yin_Text(TMP),Yin,,阴
UIMenuPanel_UIRoleMenuPanel_RightPanel_Down_Features_1_jiesuo_Text(TMP),Kitty,,猫猫
UIMenuPanel_UIRoleMenuPanel_RightPanel_Down_Features_2_jiesuo_Text(TMP),Kitty,,猫猫
UIMenuPanel_UIRoleMenuPanel_RightPanel_Down_Features_3_jiesuo_Text(TMP),Kitty,,猫猫
UIMenuPanel_UIRoleMenuPanel_RightPanel_titleTxt,Gain status,,获得状态
UIMenuPanel_UIRoleMenuPanel_RightPanel_Item_txt,Kitty,,猫猫
UIMenuPanel_UIRoleMenuPanel_LeftPanel_lv,100,,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_lv_Text(TMP),Level,,级
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Exp_Text(TMP),EXP,,实战经验
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Exp_expIndex,0/100,,0/100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_txt,CON,,体质
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text1,INT,,悟性
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text2,LUK,,福缘
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text3,DEX,,敏捷
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text4,STR,,臂力
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_tizhi,50,,50
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_wuxing,70,,70
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_fuyuan,10,,10
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_minjie,20,,20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_bili,30,,30
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip_Item_num,22,,22
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip_Item_mark_Text(TMP),EQ,,穿戴
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip1_Item_num,22,,22
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip1_Item_mark_Text(TMP),EQ,,穿戴
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip2_Item_num,22,,22
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip2_Item_mark_Text(TMP),EQ,,穿戴
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text,ATK,,攻击力
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(1),QG,,轻功
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(2),FIST,,拳掌
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(3),BLD,,耍刀
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(4),SW,,短兵
