key,original,translation,context
,,,
BattleFieldInfo_School-1200_入门战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_School-1200_入门战斗,Defeat <#61C3C8>all enemies</color>,,击败<#61C3C8>全部敌人</color>
BattleFieldFail_School-1200_入门战斗,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_Quit-1010_退门战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_Quit-1010_退门战斗,Defeat <#61C3C8>Kong Yidao</color>,,击败<#61C3C8>孔一刀</color>
BattleFieldFail_Quit-1010_退门战斗,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_Quit-1200_退门战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_Quit-1200_退门战斗,Defeat <#61C3C8>Han Hongyu</color>,,击败<#61C3C8>韩红玉</color>
BattleFieldFail_Quit-1200_退门战斗,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_M20200-3_为冯大师报仇,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M20200-3_为冯大师报仇,Defeat <#61C3C8>Ruffian</color>,,击败<#61C3C8>泼皮</color>
BattleFieldFail_M20200-3_为冯大师报仇,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_School-1010-1_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_School-1010-1_战斗,Defeat <#61C3C8>Blue Wind Camp people</color>,,击败<#61C3C8>青风寨众人</color>
BattleFieldFail_School-1010-1_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_Kill-1010_青风寨灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Kill-1010_青风寨灭门战斗,Defeat <#61C3C8>Blue Wind Camp people</color>,,击败<#61C3C8>青风寨众人</color>
BattleFieldFail_Kill-1010_青风寨灭门战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_Kill-2140_燕子窝灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Kill-2140_燕子窝灭门战斗,Defeat <#61C3C8>Nest of Swallow people</color>,,击败<#61C3C8>燕子窝众人</color>
BattleFieldFail_Kill-2140_燕子窝灭门战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_Kill-2040_灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Kill-2040_灭门战斗,Defeat <#61C3C8>Crime Investigation Bureau people</color>,,击败<#61C3C8>神捕门众人</color>
BattleFieldFail_Kill-2040_灭门战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_School-2040-1_门派战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_School-2040-1_门派战斗,Defeat <#61C3C8>Crime Investigation Bureau people</color>,,击败<#61C3C8>神捕门众人</color>
BattleFieldFail_School-2040-1_门派战斗,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_Kill-2070_琅琊剑阁灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Kill-2070_琅琊剑阁灭门战斗,Defeat <#61C3C8>Langya Sword Pavilion people</color>,,击败<#61C3C8>琅琊剑阁众人</color>
BattleFieldFail_Kill-2070_琅琊剑阁灭门战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_School-2070-1_门派战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_School-2070-1_门派战斗,Defeat <#61C3C8>Langya Sword Pavilion people</color>,,击败<#61C3C8>琅琊剑阁众人</color>
BattleFieldFail_School-2070-1_门派战斗,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_Test-2070-1_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Test-2070-1_战斗,Defeat <#61C3C8>Dugu Jianyi and his men</color>,,击败<#61C3C8>独孤剑一众人</color>
BattleFieldFail_Test-2070-1_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_青风寨-执法队战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_青风寨-执法队战斗,Defeat <#61C3C8>Blue Wind Camp people</color>,,击败<#61C3C8>青风寨众人</color>
BattleFieldFail_青风寨-执法队战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_燕子窝-执法队战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_燕子窝-执法队战斗,Defeat <#61C3C8>Nest of Swallow people</color>,,击败<#61C3C8>燕子窝众人</color>
BattleFieldFail_燕子窝-执法队战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_神捕门-执法队战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_神捕门-执法队战斗,Defeat <#61C3C8>Crime Investigation Bureau people</color>,,击败<#61C3C8>神捕门众人</color>
BattleFieldFail_神捕门-执法队战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_琅琊剑阁-执法队战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_琅琊剑阁-执法队战斗,Defeat <#61C3C8>Langya Sword Pavilion people</color>,,击败<#61C3C8>琅琊剑阁众人</color>
BattleFieldFail_琅琊剑阁-执法队战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_Test-2010-1_真武剑阵,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Test-2010-1_真武剑阵,Break through the <#61C3C8>Zhenwu Sword Formation</color>,,击破<#61C3C8>真武剑阵</color>
BattleFieldFail_Test-2010-1_真武剑阵,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_Test-2010-2_星宿大阵,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_Test-2010-2_星宿大阵,Break through the <#61C3C8>Star Array</color>,,击破<#61C3C8>星宿大阵</color>
BattleFieldFail_Test-2010-2_星宿大阵,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_School-2010-2_大战毒伢婆,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_School-2010-2_大战毒伢婆,Defeat <#61C3C8>Du Yapo and his men</color>,,击破<#61C3C8>毒伢婆众人</color>
BattleFieldFail_School-2010-2_大战毒伢婆,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M2155-1_道玄宗主场,"Only <#61C3C8>{PlayerName}</color>, <#61C3C8>Lai Toudian</color>, <#61C3C8>Cai Youzhi</color> can participate in the battle",,仅限<#61C3C8>{PlayerName}</color>、<#61C3C8>癞头癫</color>、<#61C3C8>蔡攸之</color>参战
BattleFieldWin_M2155-1_道玄宗主场,Defeat <#61C3C8>Chu Kuangsheng</color>,,击败<#61C3C8>楚狂生</color>
BattleFieldFail_M2155-1_道玄宗主场,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M2155-1_儒圣馆主场,"Only <#61C3C8>{PlayerName}</color>, <#61C3C8>Lai Toudian</color>, <#61C3C8>La Tazhang</color> can participate in the battle",,仅限<#61C3C8>{PlayerName}</color>、<#61C3C8>癞头癫</color>、<#61C3C8>邋遢张</color>参战
BattleFieldWin_M2155-1_儒圣馆主场,Defeat <#61C3C8>Chu Kuangsheng</color>,,击败<#61C3C8>楚狂生</color>
BattleFieldFail_M2155-1_儒圣馆主场,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M2155-1_释法寺主场,"Only <#61C3C8>{PlayerName}</color>, <#61C3C8>Cai Youzhi</color>, <#61C3C8>La Tazhang</color> can participate in the battle",,仅限<#61C3C8>{PlayerName}</color>、<#61C3C8>蔡攸之</color>、<#61C3C8>邋遢张</color>参战
BattleFieldWin_M2155-1_释法寺主场,Defeat <#61C3C8>Chu Kuangsheng</color>,,击败<#61C3C8>楚狂生</color>
BattleFieldFail_M2155-1_释法寺主场,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M20330-2_大战佟道辅,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M20330-2_大战佟道辅,Defeat <#61C3C8>Tong Daofu and his men</color>,,击败<#61C3C8>佟道辅众人</color>
BattleFieldFail_M20330-2_大战佟道辅,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M20330-1_8门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M20330-1_8门战斗,Defeat <#61C3C8>Hatori Hyoe</color>,,击败<#61C3C8>服部兵卫</color>
BattleFieldFail_M20330-1_8门战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M2101-3_琳琅棋局,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M2101-3_琳琅棋局,Crack the <#61C3C8>Linlang Go puzzle</color>,,破解<#61C3C8>琳琅棋局</color>
BattleFieldFail_M2101-3_琳琅棋局,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_School-2070-2_大战黑衣人,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_School-2070-2_大战黑衣人,Defeat the <#61C3C8>man in black</color>,,击败<#61C3C8>黑衣人</color>
BattleFieldFail_School-2070-2_大战黑衣人,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_XS1200-2_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS1200-2_战斗,Defeat the <#61C3C8>wealthy merchant and his entourage</color>,,击败<#61C3C8>富商一行人</color>
BattleFieldFail_XS1200-2_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_XS1200-3_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS1200-3_战斗,Defeat the <#61C3C8>wealthy merchant and his entourage</color>,,击败<#61C3C8>富商一行人</color>
BattleFieldFail_XS1200-3_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_XS1200-4_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS1200-4_战斗,Defeat the <#61C3C8>corrupt official and his entourage</color>,,击败<#61C3C8>贪官一行人</color>
BattleFieldFail_XS1200-4_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_XS1200-5_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS1200-5_战斗,Defeat the <#61C3C8>corrupt official and his entourage</color>,,击败<#61C3C8>贪官一行人</color>
BattleFieldFail_XS1200-5_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_XS1200-9_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS1200-9_战斗,Defeat the <#61C3C8>man in black</color>,,击败<#61C3C8>黑衣人</color>
BattleFieldFail_XS1200-9_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_XS2040-2_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS2040-2_战斗,Defeat the <#61C3C8>masked man</color>,,击败<#61C3C8>蒙面人</color>
BattleFieldFail_XS2040-2_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M1400-3野狼,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M1400-3野狼,Defeat the <#61C3C8>wolf pack</color>,,击败<#61C3C8>狼群</color>
BattleFieldFail_M1400-3野狼,<#61C3C8>Mountain bandits or all of your team</color> are defeated,,<#61C3C8>山贼或己方全体</color>被击败
BattleFieldInfo_XS2040-1_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_XS2040-1_战斗,Defeat the <#61C3C8>prison breakers</color>,,击败<#61C3C8>劫狱众人</color>
BattleFieldFail_XS2040-1_战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M5029-1_看门预设战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M5029-1_看门预设战斗,Defeat the <#61C3C8>Nest of Swallow guards</color>,,击败<#61C3C8>燕子窝守卫</color>
BattleFieldFail_M5029-1_看门预设战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M5029-1_差役战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M5029-1_差役战斗,Defeat the <#61C3C8>bailiffs</color>,,击败<#61C3C8>差役</color>
BattleFieldFail_M5029-1_差役战斗,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M5029-1_洛千雪vs燕子窝,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人
BattleFieldWin_M5029-1_洛千雪vs燕子窝,Defeat <#61C3C8>Nest of Swallow people</color>,,击败<#61C3C8>燕子窝众人</color>
BattleFieldFail_M5029-1_洛千雪vs燕子窝,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
BattleFieldInfo_M5029-1_洛千雪vs华青青,Only <#61C3C8>Luo Qianxue</color> can participate in the battle,,仅限<#61C3C8>洛千雪</color>参战
BattleFieldWin_M5029-1_洛千雪vs华青青,Defeat <#61C3C8>Hua Qingqing</color>,,击败<#61C3C8>华青青</color>
BattleFieldFail_M5029-1_洛千雪vs华青青,<#61C3C8>Luo Qianxue</color> is defeated,,<#61C3C8>洛千雪</color>被击败
BattleFieldInfo_M5029-1_华青青vs洛千雪,Only <#61C3C8>Hua Qingqing</color> can participate in the battle,,仅限<#61C3C8>华青青</color>参战
BattleFieldWin_M5029-1_华青青vs洛千雪,Defeat <#61C3C8>Luo Qianxue</color>,,击败<#61C3C8>洛千雪</color>
BattleFieldFail_M5029-1_华青青vs洛千雪,<#61C3C8>Hua Qingqing</color> is defeated,,<#61C3C8>华青青</color>被击败
BattleFieldInfo_R10009-1_大战黑衣人,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_R10009-1_大战黑衣人,Defeat the <#61C3C8>man in black</color>,,击败<#61C3C8>黑衣人</color>
BattleFieldFail_R10009-1_大战黑衣人,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_R10009-4_大战叶鹏举,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_R10009-4_大战叶鹏举,Defeat <#61C3C8>Ye Pengju</color>,,击败<#61C3C8>叶鹏举</color>
BattleFieldFail_R10009-4_大战叶鹏举,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_R10064-3_大战邪郎中,<#61C3C8>All of your team</color> participate in the battle,,<#61C3C8>己方全体</color>参战
BattleFieldWin_R10064-3_大战邪郎中,Defeat the <#61C3C8>Evil Lads</color>,,击败<#61C3C8>邪郎中众人</color>
BattleFieldFail_R10064-3_大战邪郎中,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_R10064-4_单挑邪郎中,Only <#61C3C8>{PlayerName}</color> can participate in the battle,,仅限<#61C3C8>{PlayerName}</color>参战
BattleFieldWin_R10064-4_单挑邪郎中,Defeat <#61C3C8>Evil Lads</color>,,击败<#61C3C8>邪郎中</color>
BattleFieldFail_R10064-4_单挑邪郎中,<#61C3C8>{PlayerName}</color> is defeated,,<#61C3C8>{PlayerName}</color>被击败
BattleFieldInfo_R10056-3预设战斗1,<#61C3C8>All of your team</color> participate in the battle,,<#61C3C8>己方全体</color>参战
BattleFieldWin_R10056-3预设战斗1,Defeat the <#61C3C8>Jiuli Tribe</color>,,击败<#61C3C8>九黎部落众人</color>
BattleFieldFail_R10056-3预设战斗1,<#61C3C8>All of us</color> are defeated,,<#61C3C8>己方全体</color>被击败
