key,original,translation,context
NpcParalyze_通用_CanNotParalyze,This character cannot be immobilized.,,此角色不能点穴
NpcSteal_通用_CanNotSteal,This character cannot steal.,,此角色不能暗取
NpcPoision_通用_CanNotPoision,This character cannot poison.,,此角色不能下毒
NpcAssassin_通用_CanNotAssassin,This character cannot ambush.,,此角色不能突袭
NpcAssassin_通用_RunAway,Murder! Murder!,,杀人啦！！杀人啦！！
NpcAssassin_通用_KaiGan,How dare you ambush me?,,你敢偷袭我？
NpcPoision_通用_RunAway,"What suspicious thing are you feeding me!|Oh my god, someone is poisoning!",,你在给我喂什么可疑的东西！|夭寿啦，有人下毒！
NpcPoision_通用_KaiGan,You are so bold!|Who gave you the courage to poison me!,,你好大的胆子！|谁给你的胆子给我下毒！
PlayerAssassin_通用_OverTop,Run!,,快跑！
PlayerAssassin_通用_Seckill,"Hmph, that's all.|Easy as pie!",,哼，不过如此。|易如反掌！
PlayerAssassin_通用_Unseckill,I didn't hit... do you believe...,,不是我打的……你信吗……
PlayerPoision_通用_MaximumPoision,The poison in this person is deep enough.,,这人中的毒已经够深了。
PlayerPoision_通用_NothingPoision,Out of poison.,,毒药用完了
PlayerPoision_通用_PoisionSuccess,Poisoning succeeded.,,下毒成功了
Paralyze_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",,没有体力了|没体力无法行动|好累啊，能不能休息下|体力不支了
Steal_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",,没有体力了|没体力无法行动|好累啊，能不能休息下|体力不支了
Poison_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",,没有体力了|没体力无法行动|好累啊，能不能休息下|体力不支了
Assassin_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",,没有体力了|没体力无法行动|好累啊，能不能休息下|体力不支了
NpcSteal_通用_PlayerTalk,"Easily done!|Easy as pie~|Too easy!|Hehe, got something for free.|So-called unseen and unheard~|This treasure is mine!",,轻松搞定！|易如反掌~|太简单了！|嘿嘿，又白得一件东西。|所谓神不知鬼不觉~|这宝贝归我了！
NpcSteal_通用_NothingSteal,"Not a single thing, what a pauper!",,居然一件东西都没有，真是个穷鬼！
NpcFactionBuy_通用_RefuseSameFactionOnly,"You are not a disciple of this sect, you have no right to get anything from {NpcJobTalk:自我称呼}.",,你不是本门弟子，没有资格从{NpcJobTalk:自我称呼}这里获得任何东西。
NpcInvite_OK,Agree to let {Char1Name} join the team.,,同意{Char1Name}加入队伍
NpcInvite_Cancel,Think about it again.,,再考虑一下
Gifting_RelationInfo,Current Relations: {0} ({1}).,,当前关系：{0}（{1}）
Gifting_FondInfo,Favorite Item: {0}.,,喜欢物品：{0}
Gifting_FondItemSeparator,、,,、
Gifting_FondItemNone,,,无
NpcGifting_RelationInfoGood,"Your relationship is very good, you can get the following help",,你们之间的关系保持的很好，可以获得以下帮助
NpcGifting_RelationInfoBad,"You seem to be at odds with each other, the other party doesn't want to deal with you.",,你们之间似乎不太融洽，对方不愿意理你
NpcGifting_RelationInfoNotGood,"You are not getting along well, it may have some negative effects on you.",,你们相处的很不愉快，可能会对你造成一些不良影响
NpcGifting_RelationUnlockFight,"Enemies meet with red eyes, they will attack you without hesitation",,仇人见面分外眼红，会不顾一切向你攻击
NpcGifting_RelationUnlockFightCoward,"Unwilling to have any contact with you, will only stay away from you",,不愿意跟你有任何接触，只会远离你
NpcGifting_RelationUnlockBuy,You can <#00ff00>Buy</color> items from their shop,,可以向其<#00ff00>购买</color>商店物品
NpcGifting_RelationUnlockSell,You can <#00ff00>Sell</color> items they are interested in,,可以向其<#00ff00>出售</color>感兴趣的物品
NpcGifting_RelationUnlockTrade,Exchange items in your inventory with {Char1Name}'s possessions<#00ff00></color>,,用你包裹里的物品跟{Char1Name}的持有物<#00ff00>交换</color>
NpcGifting_RelationUnlockTeach,You can get {HL0} by meeting the specified requirements when <#00ff00>Request</color>,,<#00ff00>请教</color>时满足指定要求可以获得{HL0}
NpcGifting_RelationUnlockJoinAllie,"If {Char1Name} is present in the battle, they will definitely not stand by",,有{Char1Name}在旁的战斗，肯定不会袖手旁观
NpcGifting_RelationUnlockDuel,Challenging him in a <#00ff00>duel</color> can increase your own EXP,,向其<#00ff00>比武</color>讨教可以增加自身实战经验
NpcGifting_RelationThesholdInfo,The current Relations can be increased to <#{0}>{1}</color>,,当前关系最高可提升至<#{0}>{1}</color>
NpcGifting_RelationUnlockInvite,"You have a deep relationship, you can <#00ff00>Invite</color> {Char1Name} to join the team",,你们感情深厚，可以<#00ff00>邀请</color>{Char1Name}加入队伍
NpcGifting_RelationTheshold,Relations can be further improved after completing the <#ff8800>{0}</color> event,,完成<#ff8800>{0}</color>事件后可继续提升关系
NpcGifting_RelationTeachAbility,"Considered as Intimate, you can learn <#00ff00>{0}{1}</color> from them",,与之视为知己，可向其学习<#00ff00>{0}{1}</color>
NpcGifting_RelationMax,The Relations between you no longer need to be Gift,,你们之间的关系已经无需再送礼了
NpcGifting_RepWithLevel,{0} (Fame{1} level),,{0}（名声{1}级）
NpcGifting_NoRepMale,"Your Fame is much different from <#ffff00>{0}</color>, he will not accept any of your gifts",,你与<#ffff00>{0}</color>名声相差较大，他不会接受你任何礼物
NpcGifting_NoRepFemale,"Your Fame is much different from <#ffff00>{0}</color>, she will not accept any of your gifts",,你与<#ffff00>{0}</color>名声相差较大，她不会接受你任何礼物
NpcGifting_ItemRarity0,<#68cf24>{0}</color>,,<#68cf24>{0}</color>
NpcGifting_ItemRarity1,<#00c6f3>{0}</color>,,<#00c6f3>{0}</color>
NpcGifting_ItemRarity2,<#c851ff>{0}</color>,,<#c851ff>{0}</color>
NpcGifting_ItemRarity3,<#d09a09>{0}</color>,,<#d09a09>{0}</color>
FactionTrading_Treasurys,{1} has gold: {0},,{1}持有金：{0}
FactionTrading_FameRelationNoChange,Relations with {0} have reached {1},,与{0}关系已达到{1}
