key,original,translation,context
NpcInteractive_通用_Like,What do you want to do to him?,,要对他做什么？
NpcInteractive_通用_Dislike,What do you want to do to him?,,要对他做什么？
NpcHello_通用_SelfIntroHigh,Are you looking for {NpcJobTalk:自我称呼}?|What does {NpcJobTalk:第二人称} want with {NpcJobTalk:自我称呼}?|What do you want {NpcJobTalk:自我称呼} to do for {NpcJobTalk:第二人称}?,,找{NpcJobTalk:自我称呼}有事吗？|{NpcJobTalk:第二人称}找{NpcJobTalk:自我称呼}有何事？|要{NpcJobTalk:自我称呼}帮{NpcJobTalk:第二人称}做些什么？
NpcHello_通用_SelfIntroLow,Is there anything you need help with?|What does {NpcJobTalk:第二人称} want with {NpcJobTalk:自我称呼}?|What can {NpcJobTalk:自我称呼} do for {NpcJobTalk:第二人称}?,,有什么需要帮忙的吗？|{NpcJobTalk:第二人称}找{NpcJobTalk:自我称呼}有什么事吗？|{NpcJobTalk:自我称呼}有什么能为{NpcJobTalk:第二人称}效劳的？
NpcHello_通用_Common,What's the matter?|How can this {NpcJobTalk:自我称呼} help you?|I didn't expect to meet {NpcJobTalk:第二人称} here.|{NpcJobTalk:第二人称} looks in good spirits.,,有什么事吗？|找{NpcJobTalk:自我称呼}有何贵干？|想不到在这遇到{NpcJobTalk:第二人称}。|{NpcJobTalk:第二人称}气色看起来不错啊
NpcHello_通用_Like,What wind blew {NpcJobTalk:第二人称} here!|What brings you to {NpcJobTalk:自我称呼}?|I didn't expect to meet {NpcJobTalk:第二人称} here.|{NpcJobTalk:第二人称} looks in good spirits.|{NpcJobTalk:第二人称} seems to be doing well recently.,,什么风把{NpcJobTalk:第二人称}吹来了啊！|找{NpcJobTalk:自我称呼}有何贵干？|想不到在这遇到{NpcJobTalk:第二人称}。|{NpcJobTalk:第二人称}气色看起来不错啊|{NpcJobTalk:第二人称}看起来最近过得不错啊。
NpcHello_通用_Dislike,"{NpcJobTalk:第二人称}, say what you have to say quickly.|What does {NpcJobTalk:第二人称} want to do?|Humph! {NpcJobTalk:自我称呼} doesn't know {NpcJobTalk:第二人称}.|Go away, don't bother {NpcJobTalk:自我称呼}.|{NpcJobTalk:自我称呼} doesn't have time to chat with {NpcJobTalk:第二人称}.|{NpcJobTalk:自我称呼} is not interested in {NpcJobTalk:第二人称}.",,{NpcJobTalk:第二人称}要说什么赶快说。|{NpcJobTalk:第二人称}想干什么？|哼！{NpcJobTalk:自我称呼}可不认识{NpcJobTalk:第二人称}。|去去去，别来烦{NpcJobTalk:自我称呼}。|{NpcJobTalk:自我称呼}可没空跟{NpcJobTalk:第二人称}闲聊。|{NpcJobTalk:自我称呼}对{NpcJobTalk:第二人称}可没什么兴趣
NpcHello_通用_Hate,"{NpcJobTalk:自我称呼} has nothing to say to {NpcJobTalk:第二人称}.|{NpcJobTalk:第二人称}, don't make a fool of yourself.|If words are not to the point, it is an abuse.|Get lost!|Disappear from {NpcJobTalk:自我称呼}'s sight quickly!|{NpcJobTalk:自我称呼} doesn't want to see you again!|You have the nerve to see me!",,{NpcJobTalk:自我称呼}跟{NpcJobTalk:第二人称}无话可说。|{NpcJobTalk:第二人称}不要自讨没趣。|话不投机半句多。|滚！|从{NpcJobTalk:自我称呼}眼前快点消失！|{NpcJobTalk:自我称呼}不愿再见到你！|你竟然还有脸来见我！
NpcFactionBuy_通用_Refuse,"{NpcJobTalk:自我称呼} has nothing to sell to {NpcJobTalk:第二人称}.|{NpcJobTalk:自我称呼} won't quarrel with money, just with {NpcJobTalk:第二人称}.|Our current Relations are not worth opening trade between {NpcJobTalk:自我称呼} and {NpcJobTalk:第二人称}.|{NpcJobTalk:自我称呼} doesn't want to sell things to someone they're not familiar with.",,{NpcJobTalk:自我称呼}没有什么东西可以卖给{NpcJobTalk:第二人称}的。|{NpcJobTalk:自我称呼}不会跟钱过不去，只是跟{NpcJobTalk:第二人称}过不去。|咱们如今的关系，还不值得{NpcJobTalk:自我称呼}与{NpcJobTalk:第二人称}开放交易。|{NpcJobTalk:自我称呼}可不想把东西卖给没什么交情的人。
NpcFactionBuy_通用_Before,"{NpcJobTalk:自我称呼} There are many things here, there must be something that can satisfy {NpcJobTalk:第二人称}.|{NpcJobTalk:第二人称} Whatever you like, feel free to choose.|{NpcJobTalk:第二人称} What do you want to buy?|High quality and low price, Sincere.",,{NpcJobTalk:自我称呼}这里东西不少，总有一样能让{NpcJobTalk:第二人称}满意。|{NpcJobTalk:第二人称}喜欢什么，请随意挑选。|{NpcJobTalk:第二人称}想要买点什么？|物美价廉，童叟无欺。
