key,original,translation,context
common_tip_title,Hint,,提示
fcm_age_title,Age warning,,适龄提示
fcm_age_content,"""Hero's Adventure"" Age warning
1. This game is an open-world martial arts game with a pixelated ancient theme, suitable for users aged 12 and above. It is recommended that minors use the game under the supervision of a guardian.
2. The game has main and side storylines, which are advanced through dialogue, interaction, and combat. By simulating a real martial arts world, each user can realize their martial arts dream, enjoy enmity, and wander the world with a sword, making the game world more open and exploratory.
3. The game has a real-name authentication system. Users who are authenticated as minors will be subject to the following game restrictions:
Minors cannot use the game from 22:00 to 8:00 the next day, and cannot use it for more than 3 hours on statutory holidays, and cannot use it for more than 1.5 hours at other times.
4. The game unfolds the plot based on a fictional world, adopts distinctive art design, unique pixel graphics, and high-quality game music. While experiencing the game, you should comply with relevant laws and regulations.",,"《大侠立志传》适龄提示
1、本游戏是一款像素古风题材的开放武侠游戏，适用于年满12周岁及以上的用户，建议未成年人在监护人的监护下使用游戏产品。
2、本游戏设置了主线、支线剧情，通过对话、交互及战斗推动剧情，通过模拟真实的江湖生态让每一位用户实现自己心中的武侠梦，在游戏中可以快意恩仇，持剑天涯，让游戏世界更加具有开放性和探索性。
3、本游戏中有用户实名认证系统，认证为未成年的用户将受到以下游戏限制：
未成年人用户每日22时至次日8时不得使用游戏，法定节假日每天不得使用超过3小时，其他时间每天不得使用超过1.5小时。
4、游戏基于架空世界展开剧情，采用风格鲜明的美术设计、风格特异的像素画面以及优质的游戏配乐，在体验游戏的同时应遵循相关法律法规。"
billboard_steam_title,<b><size=48> December 1st Update Announcement </size></b>,,<b><size=48>12月1日版更新公告</size></b>
billboard_steam_content,"<size=24><space=2em>Hello, everyone! We have just released a new version, introducing a fresh protagonist illustration and the ""Goddess Temple Event."" Additionally, we've addressed several issues impacting your gameplay experience. 

<size=24><space=2em>Should you encounter any issues during your gameplay, feel free to reach out to us in our [official Discord](https://discord.gg/bcX8pry8ZV)  for support and provide your insights. Be assured, we're committed to swiftly addressing your concerns. A heartfelt thank you for your patience.

<space=2em>V1.0.1201b54 Version Log:

<space=2em>New Feature:
<space=2em>1. The protagonist now has a new illustration, which can be selected in the character creation menu.
<space=2em>2. Several sects have added new daily sect events, added new ways to acquire sect contributions.
<space=2em>3. Added the ""Goddess Temple Event,"" can be triggered in the abandoned garden in the southwest region.

<space=2em>Adjustments:
<space=2em>1. Four times speed is now available in battles, and you can toggle it during combat.
<space=2em>2. Increased rewards for the ""Nine Factions Sect"" event to include Heaven Spirits Card.
<space=2em>3. Subjugating or exterminating Jiujiang Water Camp now grants Heaven Spirits Card.
<space=2em>4. Learning skills from Ling Hongxuan, Jiang Nanguai, and the Down-and-out wanderer in the Nameless Area now grants machinery ability experience.
<space=2em>5. The merchant in Swallow's Nest will sell keys for opening treasure chests.
<space=2em>6. Upon reaching Reputation Level 3, the clothing store owner in the city will gift the schematic for crafting Jianghu outfit.
<space=2em>7. Adjusted the recruitment conditions for Yu Weier and Gu Qingcheng: If Fu Yaoqin is in the party, you can also invite Yu Weier and Gu Qingcheng to join.
<space=2em>8. Adjusted the conditions for Yu Weier to acquire her bonding skill: Players will have to complete the ""Rescue Yu Weier"" event in the Jiuli Tribe for the event to trigger.
<space=2em>9. Enhanced the daily sect contribution rewards for Langya Sword Pavilion.
<space=2em>10. Adjusted the feature ""Financial Prosperity""; its money bonus is now ineffective in the dice mini-game.
<space=2em>11. Adjusted the strength of the West Pass guards.
<space=2em>12. Certain items required for events can no longer be auctioned.
<space=2em>13. Adjusted the initial status of Cai Yuanchang and added the character states of Zhuge Divine Mechanism and Ding Hai Tang.
<space=2em>14. During the final battle, sect leaders with a relationship level of 80 won't become hostile to the protagonist.
<space=2em>15. Adjusted the reward for the ""Business in Jiujiang Water Camp"" event to martial arts enlightenment; the original reward ""Asura Blade"" can now be obtained in Waterfall Pond after defeating the Fu Bu Guard in Cloud Sea Cliff.
<space=2em>16. Accelerated the progress bar animation during martial arts enlightenment.
<space=2em>17. Optimized the time compass display in the English version.

<space=2em>Fixes:
<space=2em>1.Fixed an issue where after killing Yan Wuzhu in the Yan Army route, the narration inaccurately states the successful defense of Chuxiang City.
<space=2em>2.Fixed the problem with the description display of the tips for the books ""Reverse the Universe"" and ""Unifying the Nine Factions""
<space=2em>3.Fixed an issue where players can not steal the prison key from the Centurion outside the Yan Army camp.
<space=2em>4.Fixed the problem where pets could continue to be fed even when there was insufficient food.
<space=2em>5.Fixed the issue where Yan Gexing would disappear under specific circumstances.
<space=2em>6.Fixed the display issue of the homestead after the death of the Poison Dragon.
<space=2em>7.Fixed the problem where in extreme situations, teammates unable to join the battle caused a freeze.
<space=2em>8.Fixed the issue where battle scenes on the world map did not disappear.
<space=2em>9.Fixed the problem in controller mode where the preset battle character selection interface did not close after a world map battle.
<space=2em>10.Fixed the issue after joining the Yan Gexing faction you can go to the Confucius Temple before triggering the event at the General's Mansion.

———————————————————————————————————————————————————

<space=2em>V1.0.1124b53 Version Log

<space=2em>New Feature:
<space=2em>1. Added new achievements related to forming connections.

<space=2em>Adjustments:
<space=2em>1. Adjusted the bonding event at the God of Marriage's Shrine: At the beginning, you will initiate a battle with the target character. Victory leads you to an immediate bond, and defeat leads to the second phase.
<space=2em>2. Adjusted ""Bestowed Title and Rank"" to a non-true ending event, modifying the achievement description.
<space=2em>3. Resting at the stone table in the Homestead's Back Mountain now restores vitality.
<space=2em>4. Copper Man event optimization: After selecting to help Lai Toudian, you won't be stopped upon entering Arhat Hall.
<space=2em>5. Adjusted Yan Rurui's status event: It can now be completed even when Duke Kang ascends the throne or dies (will only affect saves that have not triggered this event and new playthroughs).
<space=2em>6. Modified the character progression of  ""The dev"" character, allowing automatic learning of martial arts after a certain time in Hard and Asura difficulties.

<space=2em>Fixes:
<space=2em>1. Fixed the issue where switching equipment was possible even when the companion relationship was not close enough.
<space=2em>2. Fixed the problem where learning the Ruler Heart Sutra did not affect internal defense stats.
<space=2em>3. Fixed the issue where the ""Suspicious Person"" quest did not trigger a mission tracker after level 35.
<space=2em>4. Fixed Cai Yuanchang and Fu Yaoqin's injury animations.
<space=2em>5. Resolved the problem where characters could get stuck in inaccessible areas in certain scenes in the Homestead.
<space=2em>6. Fixed the error in character creation when selecting both attributes of ""Full of Stamina"" and ""Jianghu Conqueror.""

———————————————————————————————————————————————————

<space=2em>V1.0.1122b52 Version Log

<space=2em>Fixes and Improvements:
<space=2em>1. Fixed the additional effect error of the Peerless Blade Martial Art.
<space=2em>2. Resolved the issue where certain Yan GeXing guidance quests continued to trigger after leaving the Yan GeXing sect.
<space=2em>3. Fixed the disappearance issue of Ming Bufan under specific circumstances.
<space=2em>4. Addressed the problem where, during the Duke Kang Messenger mission, entering the mission location without going through an exterior map, the game would get stuck.
<space=2em>5. Fixed the bug where triggering the ""Northern Expedition"" event incorrectly caused Ye Yun to disappear.
<space=2em>6. Resolved the specific situation where the extermination plot could not be triggered when going to the Nine Factions Sect.
<space=2em>7. Fixed the problem where companions might simultaneously exist in both the homestead and in the world.
<space=2em>8. Added an option for the ""Loyalty to the Country"" ending, allowing players to freely choose whether to join the Ye Family Battalion and change their appearance.
<space=2em>9. Removed the requirement for the Palace Camp to remain closed for Wang Yanliang to initiate the Yan Army event.
<space=2em>10. After Duke Kang appoints the protagonist as an official, canceled the hostile status of Tong Daofu; optimized the positioning of the imperial eunuch in the imperial decree.
<space=2em>11. Optimized the tracking for the Nine Factions Sect Disaster mission.
<space=2em>12. Optimizations to some of the English text.

———————————————————————————————————————————————————

<space=2em>V1.0.1120b51 Version Log
​​
<space=2em>Adjustment:
<space=2em>1. Required quantity for achievements ""Big Toleration"", ""Never Said No"", and ""Drinking God"" adjusted to 20.
​​
<space=2em>Fixes:
<space=2em>1. Fixed the crafting materials error for Tai Xu Robe and Immortal Robe.
<space=2em>2. Fixed the positioning error of the Tiger Guard character in old save files.
<space=2em>3. Fixed the problem where, under specific circumstances, the well investigation event in Lin'an City wouldn't trigger.
<space=2em>4. Fixed the issue of Daoxuan Sect's morning class being dismissed under certain conditions.
<space=2em>5. Fixed the incorrect travel time issue from Wuyue Ferry to Jiujiang Fotress in certain situations.
<space=2em>6. Fixed the problem where players couldn't gather clues about Chu Kuangsheng in certain circumstances in the Ice Prison.
<space=2em>7. Fixed the error of the Northern Expedition mission incorrectly triggers after players joined the Ye Family Battalion through certain endings.
<space=2em>8. Fixed the issue where the spirit beast Sichen couldn't be fed normally.
<space=2em>9. Fixed the issue where custom-difficulty saves could not be loaded.
<space=2em>10. Fixed the issue where the Dragon Sword seal conditions were met but the seals weren’t triggered.
<space=2em>11. Fixed the incorrect progress bonus description in the homestead.
<space=2em>12. Optimized the conditions for triggering Yi Zhihua's backstab event, making it possible to trigger it after completing the Enlightment Tower event or joining the Ye Family Battalion.
<space=2em>13. Optimized the achievement list sorting.
<space=2em>14. Optimized the Fengyun event in the Dali Temple: added a branching plot for players not in the Ye Family Battalion.
<space=2em>15. After Tong Daofu joins the party, the departure location will be forcefully updated to the Palace Hall position.
<space=2em>16. After the Treasure Competition ends, if Shen Wuqi is not in the party, will no longer participate in disputes between players and the Nine Factions Sect.
<space=2em>17. Optimized the Han Hongyu event: added a way for players to learn about the whereabouts of the leader of Tiger Escort.

———————————————————————————————————————————————————

<space=2em>Content Fixed in the November 18th Patch

<space=2em>New Feature:
<space=2em>1. After establishing the homestead, there is a chance to obtain additional materials required for upgrading the homestead by gathering any trees or ores. The higher the grade of the gathering point, the higher the extra drop.
<space=2em>2. After unlocking the mountain behind the homestead, placing companions on the mountain can assist the protagonist in obtaining homestead materials. The higher the companion's arm strength and the longer the actual placement time, the more materials can be obtained.
<space=2em>3. When the Yan Gexing storyline reaches the stage of returning to the Nameless Village, you can choose to leave the Yan Gexing sect. The process is the same as leaving other sects.

<space=2em>Adjustments:
<space=2em>1. Significantly reduce the enemy strength on Casual and Normal difficulty.
<space=2em>2. Modify the conditions for upgrading the homestead, removing the requirement for a specific NPC to be in the party during homestead upgrades.
<space=2em>3. Killing the prison guards in the three main city prisons will no longer decrease their faction relationship, making it easier to complete certain sect daily events.
<space=2em>4. Reduce the final event enemy NPC strength for the Crime Investigation Bureau.
<space=2em>5. Lower the number of required attempts for the Western Region Jewelry event and increase event rewards.
<space=2em>6. Change the mining event in Langya Sword Pavilion's daily events from Wang Dachui to Ouyeheng.
<space=2em>7. Add a few plot hints to the Crime Investigation Bureau event, guiding the protagonist to rest to trigger further events.
<space=2em>8. Adjust Yan Rurui's negative status to a positive one.
<space=2em>9. Modify Yan Rurui's affinity status effect, renamed to ""Harmony in Marriage.""
<space=2em>10. Modify Yi Zhihua's status effect ""Joyful Mood.""
<space=2em>11. Change the English version's time wheel in the upper right corner to pinyin display to match the in-game dialogues (temporary adjustment, we are working on a better time display for the EN version).

<space=2em>Fixes:
<space=2em>1. Fixed the issue of Wang Dachui disappearing in old saves.
<space=2em>2. Fixed the black screen issue when continuing the game after manually deleting all saves.
<space=2em>3. Fixed the inability to skip the gambling den participation.
<space=2em>4. Fixed the issue where entering the Matchmaker's Shrine after forming an affinity with Yi Zhihua would trigger a decrease in favorability events.
<space=2em>5. Fixed the text error in the daily tasks of the Nest of Swallow.
<space=2em>6. Optimized the hints and rewards for Han Hongyu's escort event.
<space=2em>7. Optimized events related to Wan Yanshaoning.
<space=2em>8. Optimized the trigger prompt for the Confucius Temple's Sage Monument.
<space=2em>9. Optimized the English version's character attribute interface: Abbreviated attributes now display full names in detailed tips.",,"<size=24><space=2em>各位玩家大家好，我们刚刚更新了一个版本，新增【主角新立绘】【神女庙事件】，并修复了一些影响大家游玩的问题。大家在游戏中遇到任何问题还请稍安勿躁，都可以加入任意玩家群向我们反馈，收到后都会抓紧修复的，感谢大家的担待。
官方玩家群29群：229513091       官方玩家群22群：343709025
官方玩家群23群：213116717

<space=2em><#d09a09>V1.0.1201b54版本日志</color>
<space=2em>【新增】
<space=2em>1、主角增加新立绘，可在创建角色界面切换选择
<space=2em>2、部分门派新增日常任务，增加门派贡献获取途径
<space=2em>3、新增神女庙事件，可在西南地区荒废庭院触发

<space=2em>【调整与优化】
<space=2em>1、战斗开放四倍速，可在战斗内切换开启
<space=2em>2、剿灭九流门事件奖励增加天罡牌
<space=2em>3、降伏或剿灭九江水寨可获得天罡牌
<space=2em>4、向凌鸿轩、江南怪以及无名地区的落魄江湖人学艺可获得机关能力经验
<space=2em>5、燕子窝商人将会出售用于开宝箱的钥匙
<space=2em>6、名声达到3级，城内服装店掌柜会赠送侠客装制作图纸
<space=2em>7、调整鱼薇儿和顾倾城的入队条件：付瑶琴在队伍内时，鱼薇儿和顾倾城也可邀请入队
<space=2em>8、调整鱼薇儿领悟情缘技条件：完成九黎部落营救鱼薇儿事件做为前置条件
<space=2em>9、提升琅琊剑阁日常门派贡献奖励
<space=2em>10、调整特征“财运亨通”，其钱财加成效果在骰子小游戏中无效
<space=2em>11、调整镇西关守将强度
<space=2em>12、部分事件所需的物品将无法拍卖
<space=2em>13、调整蔡元常初始角色状态，新增诸葛神机、定海棠角色状态
<space=2em>14、最终大决战时，关系达到80的掌门角色不会与主角变为敌对
<space=2em>15、“九江水寨生意”事件奖励调整为武道感悟，原奖励“修罗刀”可在云海崖击败服部兵卫后，在飞瀑潭获得
<space=2em>16、武道领悟时进度条动画提速

<space=2em>【修复】
<space=2em>1、修复了燕军路线击杀完颜乌珠会出守护楚襄城成功的旁白的问题
<space=2em>2、修复了“倒转乾坤”“九流归一”书籍tips有效期显示错误的问题
<space=2em>3、修复了燕军大营监牢外千夫长不能暗取获得牢房钥匙的问题
<space=2em>4、修复了宠物喂养食物不足时可以继续喂养的问题
<space=2em>5、修复了燕歌行在特定情况下消失的问题
<space=2em>6、修复了毒龙死亡后在家园异常显示的问题
<space=2em>7、修复了极端情况下队友不能上阵导致卡死的问题
<space=2em>8、修复了大地图战斗场景不消失的问题
<space=2em>9、修复了手柄模式大地图战斗后预设战斗选人界面不关闭的问题
<space=2em>10、修复了燕歌行门派可以先去儒圣馆后再去将军府触发剧情的问题

———————————————————————————————————————————————————

<space=2em><#d09a09>11月24日补丁已修复内容</color>

<space=2em>V1.0.1124b53版本日志
<space=2em>【新增】
<space=2em>1、增加结缘相关的新成就

<space=2em>【调整与优化】
<space=2em>1、调整月老祠的结缘事件：先触发和结缘目标相关的角色战斗，战斗胜利则直接结缘成功，战斗失败才进入第二阶段
<space=2em>2、“封官赐爵”调整为非真结局，成就描述修改 
<space=2em>3、家园后山石桌处休息可恢复体力
<space=2em>4、铜人事件优化：答应帮助癞头癫破阵，进入罗汉堂后不会被阻拦
<space=2em>5、严如蕊脱籍事件调整：康王登基或者死亡此事件也可以完成（需读取未触发该事件的存档）
<space=2em>6、调整成长性半瓶神仙醋角色强度，困难与修罗难度下一定时间可自动学习武功

<space=2em>【修复】
<space=2em>1、修复了队伍伙伴关系不足时切换装备仍可以卸下的问题
<space=2em>2、修复了习得驭人心经后没有解锁内功防御效果的问题
<space=2em>3、修复了“可疑之人”在35级以后直接触发时，没有任务追踪的问题
<space=2em>4、修复了蔡元常、付瑶琴重伤、跪地动作错误的问题
<space=2em>5、修复了家园部分场景中角色会卡进不可移动的区域问题
<space=2em>6、修复了创建角色同时选择气血充盈和武林霸主属性加成错误的问题

———————————————————————————————————————————————————

<size=24><space=2em>V1.0更新除了【家园玩法】、【九江水寨】、【名声事件】等新内容外，对大量已有事件进行了调整，部分老存档可能会与调整后的新事件存在逻辑冲突，加之200余项独立事件、新结缘NPC、彩蛋剧情等内容的引入，我们还是比较推荐大家启<#d09a09>用新档进行V1.0体验</color>。详细的Patch Note我们会放在文末供大家查阅。

<space=2em><#d09a09>【EA纪念饰品领取】</color>
<space=2em>领取标准：所有在11月16日11：00转正前购买/兑换了游戏的玩家
<space=2em>领取方式：符合领取标准的玩家，在创角时可在初始道具中自动获得EA阶段纪念饰品——特别勋章（甲级），佩戴后可在战斗中召唤成长型伙伴半瓶神仙醋协助参战。

<space=2em><#d09a09>V1.0.1115b48版本日志</color>
<space=2em>【新增】
<space=2em>1、新增家园玩法及相关场景：名声达到4级（后起之秀），可前往大梁城珠光宝气楼完成相关事件开启
<space=2em>2、新增可加入门派”九江水寨“及相关事件
<space=2em>3、新增特定江湖事件，名声达到一定等级可自动触发
<space=2em>4、新增NPC比武功能：与NPC关系达到40后解锁，首次比武获胜可获得名声和江湖历练
<space=2em>5、新增江湖历练分配功能
<space=3em>通过完成江湖事件、城镇悬赏、比武获得的历练值
<space=2em>6、新增战斗反击
<space=2em>7、新增4名可结缘NPC：“曼陀罗”、“完颜昭宁 ”、“一枝花” 、“韩红玉”
<space=2em>8、新增部分高级武功附加效果
<space=2em>9、新增先天资质，五维达到25点后增加新的buff效果
<space=3em>气旺血足 体质>=25激活 基础防御力提升10%
<space=3em>颖悟绝伦 悟性>=25激活 所有能力升级效率提升50%
<space=3em>福至心灵 福缘>=25激活 连击率+15%、反击率+15%
<space=3em>翩若惊鸿 敏捷>=25激活 闪避成功，集气值+150
<space=3em>千钧之力 臂力>=25激活 基础攻击力提升10%
<space=2em>10、新增绝招：潜龙勿用、飞龙在天、千里冰封、大居合斩、血魔斩、落英缤纷
<space=2em>11、新增一批新饰品
<space=2em>12、新增合成物品，可通过合成方式获得高品喜好物
<space=2em>13、新增宠物图鉴
<space=2em>14、新增8个成就及2个真结局
<space=2em>15、新增装备获取途径：大地图特殊战斗胜利后有概率掉落装备（特殊标识触发）
<space=2em>16、自由模式下开启战斗击杀NPC，有概率获得其身上高品质装备
<space=2em>17、新兽环产出，十二兽环已经全部产出
<space=2em>18、新增Xbox系列手柄适配
<space=2em>19、新增Steam Deck适配

<space=2em>【调整】
<space=2em>1、调整部分武功附加效果
<space=2em>2、调整部分先天资质BUFF效果
<space=3em>血气方刚：修改 当前生命最大值提升10% 
<space=3em>好事成双：修改 击杀敌人50%概率触发额外掉落
<space=3em>以力破巧：修改 暴击伤害增加15%
<space=2em>3、调整低品级武器和护甲附加效果，拥有了动态属性和不同特技
<space=2em>4、调整部分饰品附加效果
<space=2em>5、调整暗器附加效果
<space=2em>6、登录界面调整，优化功能按钮布局，现在可以在主界面切换语言了
<space=2em>7、调整宠物骑乘功能
<space=3em>主角乘坐宠物地图移动时，主角不会消耗体力
<space=2em>8、调整伙伴装备脱卸要求：需满足好感关系达到40及以上
<space=2em>9、实战能力显示位置调整至五维左上角，以图标形式显示，战斗时根据双发实战能力差每10点提升1%伤害加成
<space=2em>10、部分物品调整打造合成相关材料
<space=2em>11、调整采集点分布及其产出
<space=2em>12、“阴”武道基础属性改为反击，调整个别武道特效效果
<space=3em>措手不及（一骑绝尘） ：自身敏捷比敌方敏捷最高的角色每高1点，本次攻击连击临时增加2.5%。
<space=3em>坚若磐石：每1点体质受到的最终伤害减少1.5%
<space=3em>孔武有力：每1点臂力攻击时最终伤害增加1.5%
<space=3em>排山倒海：每次攻击后，伤害范围边缘敌人会受到攻击自身的25%的溅射伤害。
<space=3em>出其不意（鬼影无踪）：被攻击时成功反击，攻击方集气速度-20%，直到下次行动后恢复。
<space=3em>临机应变：被攻击时触发反击，自身额外获得10点战意、集气增加150点
<space=3em>恶来再世：每被攻击1次反击临时增加5%，触发反击或战斗结束后效果清除
<space=2em>13、调整五维影响的攻防血、暴击、闪避、格挡、反击等计算方式
<space=2em>14、部分buff效果修改
<space=3em>彬彬有礼：与非敌对方的人物首次见面，额外增加关系值。名声等级小于对方，关系+2;名声比目标每高1级，关系在2的基础额外+2。即自己名声2级，目标1级，初始见面关系+4
<space=3em>皇室驸马：名声未达6级按照6级计算，给异性送礼效果减少90%；与低于自身名声等级的NPC初识见面20点；每天获得2贯铜钱。
<space=3em>武林盟主：初始名声10级，初始六大派关系为60
<space=2em>15、重要角色的五维资质加点策略调整
<space=2em>16、困难难度下所有首领角色五维额外增加1点，修罗难度下所有经验角色五维额外增加1点，首领角色额外增加2点
<space=2em>17、战意上限由200点调整为250点
<space=2em>18、事件相关重要调整
<space=3em>付瑶琴与主角不老泉练功事件次数10次改为5次
<space=3em>海蛟帮事件得知玉玺消息，同时获得玉玺合成配方
<space=3em>成为皇室驸马时，自动和郡主触发结缘奖励，不必再到月老祠触发。
<space=3em>取消解救宣和皇帝后触发封官赐爵的剧情;康王登基后，论功行赏触发赐爵定国公剧情
<space=3em>邀请沈无欺条件：参加夜魔坊拍卖20次改为5次
<space=3em>修改顶峰论道触发条件，名声8级，获得天阶魁首，单挑胜利三教任一掌门可获得资格
<space=3em>原志向事件由主线类型改为支线类型
<space=3em>取消门派布告栏，门派角色发布门派每日任务，其他门派人员完成可提升门派关系，本门完成可额外获得门派贡献
<space=3em>部分事件补充女性角色表情立绘
<space=3em>江湖事件增加江湖历练奖励
<space=3em>修改祛湿丸事件触发条件；修改毒伢婆下毒事件触发条件
<space=2em>19、兽环调整：调整兽环拍卖售价、改为不可易物
<space=2em>20、行到一定程度，可在燕歌行处用本门贡献兑换高级道具
<space=2em>21、采集点不同等级使用不同素材展示

<space=2em>【修复】
<space=2em>1、修复了霓裳羽衣经秘籍缺少与其相关的对白描述的问题
<space=2em>2、修复了神捕门弟子，再加入叶家军后被踢出叶家军后形象错误的问题
<space=2em>3、修复了大师兄敲钟十次后大师兄死亡无法交付任务的问题
<space=2em>4、修复了宠物较少饱食度的描述
<space=2em>5、修复了武器打造随机属性偏低的问题
<space=2em>6、修复了付瑶琴寻路过慢且不会再不老泉停留的问题
<space=2em>7、修复了聚财坊可以反复刷铜钱的问题

<space=2em>若大家在游玩过程中遇到了任何问题，都可以加入官方玩家群，联系带【问题反馈】的管理员向我们反馈，我们会提供1对1的咨询服务。

<space=2em>官方玩家群29群：229513091
<space=2em>官方玩家23群：213116717（已开放）
<space=2em>官方玩家22群：343709025（已开放）
<space=2em>官方玩家20群：295390373（已开放）
<space=2em>官方玩家24群：102223136（已开放）
<space=2em>官方玩家10群 ：367248548 （已开放）
<space=2em>官方玩家21群：550219413 （已开放）
<space=2em>官方玩家17群 ：801310302 （已开放）
<space=2em>官方玩家15群 ：141480592 （已开放）
<space=2em>官方玩家14群： 728897240 （已开放）
<space=2em>官方玩家12群 ：863498517（已开放）
<space=2em>官方玩家11群： 801256045（已开放）
<space=2em>官方玩家7群 ：679566481 （已开放）
<space=2em>官方玩家6群： 926229186 （已开放）
<space=2em>官方玩家群30群：205690472（已满）
<space=2em>官方玩家群31群：232731094（已满）
<space=2em>官方玩家群28群：115925318（已满）
<space=2em>官方玩家27群：619959310 （已满）
<space=2em>官方玩家25群：724208742（已满）
<space=2em>官方玩家26群：722736145（已满）
<space=2em>官方玩家22群：343709025（已满）
<space=2em>官方玩家20群：295390373（已满）
<space=2em>官方玩家19群：611246285（已满）
<space=2em>官方玩家18群：165072814（已满）
<space=2em>官方玩家16群 ：753444235 （已满）
<space=2em>官方玩家13群 ：801291993（已满）
<space=2em>官方玩家9群 ：801146478（已满）
<space=2em>官方玩家8群 ：683263874（已满）
<space=2em>官方玩家5群：926111719 （已满）
<space=2em>官方玩家4群：826179621 （已满）
<space=2em>官方玩家3群：753982506 （已满）
<space=2em>官方玩家2群：1169723804 （已满）
<space=2em>官方玩家1群：597962931 （已满）"
StopQuit_Save,"%c%Synchronizing save data, please wait a moment",,%c%正在同步存档，请稍等一下
Achievement_Kill_Info,Defeat {count} enemies,,击杀{count}敌人
Achievement_Test_Info,Test test {count},,测试测试{count}
CoinUnit_Guan,Guan,,贯
CoinUnit_Wen,Coin,,文
