key,original,translation,context
TotalDayFormat,<size=24><voffset=0.2em><#5E92A9>Day </size></color><size=36>{0}</size>,,{0}<size=24><voffset=0.2em><mspace=1.2em><#5E92A9>天</size>
TimeQuarterName0,"Zi Shi
(11:00 PM)",,子初初刻
TimeQuarterName1,"Zi Shi
(11:15 PM)",,子初一刻
TimeQuarterName2,"Zi Shi
(11:30 PM)",,子初二刻
TimeQuarterName3,"Zi Shi
(11:45 PM)",,子初三刻
TimeQuarterName4,"Zi Shi
(12:00 AM)",,子正初刻
TimeQuarterName5,"Zi Shi
(12:15 AM)",,子正一刻
TimeQuarterName6,"Zi Shi
(12:30 AM)",,子正二刻
TimeQuarterName7,"Zi Shi
(12:45 AM)",,子正三刻
TimeQuarterName8,"Chou Shi
(1:00 AM)",,丑初初刻
TimeQuarterName9,"Chou Shi
(1:15 AM)",,丑初一刻
TimeQuarterName10,"Chou Shi
(1:30 AM)",,丑初二刻
TimeQuarterName11,"Chou Shi
(1:45 AM)",,丑初三刻
TimeQuarterName12,"Chou Shi
(2:00 AM)",,丑正初刻
TimeQuarterName13,"Chou Shi
(2:15 AM)",,丑正一刻
TimeQuarterName14,"Chou Shi
(2:30 AM)",,丑正二刻
TimeQuarterName15,"Chou Shi
(2:45 AM)",,丑正三刻
TimeQuarterName16,"Yin Shi
(3:00 AM)",,寅初初刻
TimeQuarterName17,"Yin Shi
(3:15 AM)",,寅初一刻
TimeQuarterName18,"Yin Shi
(3:30 AM)",,寅初二刻
TimeQuarterName19,"Yin Shi
(3:45 AM)",,寅初三刻
TimeQuarterName20,"Yin Shi
(4:00 AM)",,寅正初刻
TimeQuarterName21,"Yin Shi
(4:15 AM)",,寅正一刻
TimeQuarterName22,"Yin Shi
(4:30 AM)",,寅正二刻
TimeQuarterName23,"Yin Shi
(4:45 AM)",,寅正三刻
TimeQuarterName24,"Mao Shi
(5:00 AM)",,卯初初刻
TimeQuarterName25,"Mao Shi
(5:15 AM)",,卯初一刻
TimeQuarterName26,"Mao Shi
(5:30 AM)",,卯初二刻
TimeQuarterName27,"Mao Shi
(5:45 AM)",,卯初三刻
TimeQuarterName28,"Mao Shi
(6:00 AM)",,卯正初刻
TimeQuarterName29,"Mao Shi
(6:15 AM)",,卯正一刻
TimeQuarterName30,"Mao Shi
(6:30 AM)",,卯正二刻
TimeQuarterName31,"Mao Shi
(6:45 AM)",,卯正三刻
TimeQuarterName32,"Chen Shi
(7:00 AM)",,辰初初刻
TimeQuarterName33,"Chen Shi
(7:15 AM)",,辰初一刻
TimeQuarterName34,"Chen Shi
(7:30 AM)",,辰初二刻
TimeQuarterName35,"Chen Shi
(7:45 AM)",,辰初三刻
TimeQuarterName36,"Chen Shi
(8:00 AM)",,辰正初刻
TimeQuarterName37,"Chen Shi
(8:15 AM)",,辰正一刻
TimeQuarterName38,"Chen Shi
(8:30 AM)",,辰正二刻
TimeQuarterName39,"Chen Shi
(8:45 AM)",,辰正三刻
TimeQuarterName40,"Si Shi
(9:00 AM)",,巳初初刻
TimeQuarterName41,"Si Shi
(9:15 AM)",,巳初一刻
TimeQuarterName42,"Si Shi
(9:30 AM)",,巳初二刻
TimeQuarterName43,"Si Shi
(9:45 AM)",,巳初三刻
TimeQuarterName44,"Si Shi
(10:00 AM)",,巳正初刻
TimeQuarterName45,"Si Shi
(10:15 AM)",,巳正一刻
TimeQuarterName46,"Si Shi
(10:30 AM)",,巳正二刻
TimeQuarterName47,"Si Shi
(10:45 AM)",,巳正三刻
TimeQuarterName48,"Wu Shi
(11:00 AM)",,午初初刻
TimeQuarterName49,"Wu Shi
(11:15 AM)",,午初一刻
TimeQuarterName50,"Wu Shi
(11:30 AM)",,午初二刻
TimeQuarterName51,"Wu Shi
(11:45 AM)",,午初三刻
TimeQuarterName52,"Wu Shi
(12:00 PM)",,午正初刻
TimeQuarterName53,"Wu Shi
(12:15 PM)",,午正一刻
TimeQuarterName54,"Wu Shi
(12:30 PM)",,午正二刻
TimeQuarterName55,"Wu Shi
(12:45 PM)",,午正三刻
TimeQuarterName56,"Wei Shi
(1:00 PM)",,未初初刻
TimeQuarterName57,"Wei Shi
(1:15 PM)",,未初一刻
TimeQuarterName58,"Wei Shi
(1:30 PM)",,未初二刻
TimeQuarterName59,"Wei Shi
(1:45 PM)",,未初三刻
TimeQuarterName60,"Wei Shi
(2:00 PM)",,未正初刻
TimeQuarterName61,"Wei Shi
(2:15 PM)",,未正一刻
TimeQuarterName62,"Wei Shi
(2:30 PM)",,未正二刻
TimeQuarterName63,"Wei Shi
(2:45 PM)",,未正三刻
TimeQuarterName64,"Shen Shi
(3:00 PM)",,申初初刻
TimeQuarterName65,"Shen Shi
(3:15 PM)",,申初一刻
TimeQuarterName66,"Shen Shi
(3:30 PM)",,申初二刻
TimeQuarterName67,"Shen Shi
(3:45 PM)",,申初三刻
TimeQuarterName68,"Shen Shi
(4:00 PM)",,申正初刻
TimeQuarterName69,"Shen Shi
(4:15 PM)",,申正一刻
TimeQuarterName70,"Shen Shi
(4:30 PM)",,申正二刻
TimeQuarterName71,"Shen Shi
(4:45 PM)",,申正三刻
TimeQuarterName72,"You Shi
(5:00 PM)",,酉初初刻
TimeQuarterName73,"You Shi
(5:15 PM)",,酉初一刻
TimeQuarterName74,"You Shi
(5:30 PM)",,酉初二刻
TimeQuarterName75,"You Shi
(5:45 PM)",,酉初三刻
TimeQuarterName76,"You Shi
(6:00 PM)",,酉正初刻
TimeQuarterName77,"You Shi
(6:15 PM)",,酉正一刻
TimeQuarterName78,"You Shi
(6:30 PM)",,酉正二刻
TimeQuarterName79,"You Shi
(6:45 PM)",,酉正三刻
TimeQuarterName80,"Xu Shi
(7:00 PM)",,戌初初刻
TimeQuarterName81,"Xu Shi
(7:15 PM)",,戌初一刻
TimeQuarterName82,"Xu Shi
(7:30 PM)",,戌初二刻
TimeQuarterName83,"Xu Shi
(7:45 PM)",,戌初三刻
TimeQuarterName84,"Xu Shi
(8:00 PM)",,戌正初刻
TimeQuarterName85,"Xu Shi
(8:15 PM)",,戌正一刻
TimeQuarterName86,"Xu Shi
(8:30 PM)",,戌正二刻
TimeQuarterName87,"Xu Shi
(8:45 PM)",,戌正三刻
TimeQuarterName88,"Hai Shi
(9:00 PM)",,亥初初刻
TimeQuarterName89,"Hai Shi
(9:15 PM)",,亥初一刻
TimeQuarterName90,"Hai Shi
(9:30 PM)",,亥初二刻
TimeQuarterName91,"Hai Shi
(9:45 PM)",,亥初三刻
TimeQuarterName92,"Hai Shi
(10:00 PM)",,亥正初刻
TimeQuarterName93,"Hai Shi
(10:15 PM)",,亥正一刻
TimeQuarterName94,"Hai Shi
(10:30 PM)",,亥正二刻
TimeQuarterName95,"Hai Shi
(10:45 PM)",,亥正三刻
,,,
