key,original,translation,context
ForgeEffect_外功伤害加成1,<#EFD09F>Monumental</color>,,<#EFD09F>开碑</color>
ForgeEffect_外功伤害加成2,<#EFD09F>Monumental</color>,,<#EFD09F>开碑</color>
ForgeEffect_外功伤害加成3,<#EFD09F>Monumental</color>,,<#EFD09F>开碑</color>
,,,
ForgeEffect_外功伤害减免1,<#EFD09F>Iron Bone</color>,,<#EFD09F>铁骨</color>
ForgeEffect_外功伤害减免2,<#EFD09F>Iron Bone</color>,,<#EFD09F>铁骨</color>
ForgeEffect_外功伤害减免3,<#EFD09F>Iron Bone</color>,,<#EFD09F>铁骨</color>
,,,
ForgeEffect_生命增加1,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加2,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加3,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加4,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加5,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加6,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加7,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命增加8,<#EFD09F>Health Maintenance</color>,,<#EFD09F>养生</color>
ForgeEffect_生命百分比增加1,<#EFD09F>Longevity</color>,,<#EFD09F>长命</color>
ForgeEffect_生命百分比增加2,<#EFD09F>Longevity</color>,,<#EFD09F>长命</color>
ForgeEffect_生命百分比增加3,<#EFD09F>Longevity</color>,,<#EFD09F>长命</color>
ForgeEffect_生命百分比增加4,<#EFD09F>Longevity</color>,,<#EFD09F>长命</color>
,,,
ForgeEffect_内力增加1,<#EFD09F>Rest</color>,,<#EFD09F>养息</color>
ForgeEffect_内力增加2,<#EFD09F>Rest</color>,,<#EFD09F>养息</color>
ForgeEffect_内力增加3,<#EFD09F>Rest</color>,,<#EFD09F>养息</color>
ForgeEffect_内力百分比增加1,<#EFD09F>Consolidate</color>,,<#EFD09F>固元</color>
ForgeEffect_内力百分比增加2,<#EFD09F>Consolidate</color>,,<#EFD09F>固元</color>
ForgeEffect_内力百分比增加3,<#EFD09F>Consolidate</color>,,<#EFD09F>固元</color>
,,,
ForgeEffect_攻击增加1,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加2,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加3,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加4,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加5,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加6,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加7,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加8,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加9,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加10,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加11,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加12,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
ForgeEffect_攻击增加13,<#EFD09F>Attack</color>,,<#EFD09F>攻击</color>
,,,
ForgeEffect_防御增加1,<#EFD09F>Defense</color>,,<#EFD09F>防御</color>
ForgeEffect_防御增加2,<#EFD09F>Defense</color>,,<#EFD09F>防御</color>
ForgeEffect_防御增加3,<#EFD09F>Defense</color>,,<#EFD09F>防御</color>
ForgeEffect_防御增加4,<#EFD09F>Defense</color>,,<#EFD09F>防御</color>
ForgeEffect_防御增加5,<#EFD09F>Defense</color>,,<#EFD09F>防御</color>
