key,original,translation,context
DefaultPlayerName_Family,Vinegar,,醋
DefaultPlayerName_Given,Shrimp,,小虾
CharacterInfo_欧阳晨,"A little shrimp just stepping into the martial world, the future is unknown, anything is possible.",,初涉江湖的小虾米，会有怎样的未来还都是未知数，一切皆有可能。
CharacterInfo_长春子,"Second generation disciple of Taoist Sect, responsible for presiding over Zhenwu Sword Formation and training new disciples. He is upright, humble, and an Evil slayer, highly appreciated by the head of Taoist Sect; but his stubbornness and inflexibility make his uncle La Tazhang quite helpless.",,道玄宗二代弟子，在道玄宗负责主持真武剑阵，调教入门弟子。为人正直谦逊、嫉恶如仇，颇得道玄宗掌教赏识；但其执拗、不懂变通的性格，让师叔邋遢张颇为无奈。
CharacterInfo_苗木黎,"Chief of the Jiuli Tribe, has a deep understanding of toxins, only wishes to revive the tribe and take revenge on the Central Plains martial arts sects that have oppressed them for a long time, will stop at nothing to achieve this goal.",,九黎部族族长，对毒物的了解如数家珍，一心只想重新让部族发扬光大，报复那些长久以来欺压自己的中原武林门派，为达这一目的不惜手段，誓不罢休。
CharacterInfo_洪小七,"A little beggar wandering in the Nameless village, idle all day, relying on petty theft to barely make ends meet.",,游荡在无名小村里的小乞丐，整日游手好闲，凭借着小偷小摸的本事，这才勉强过上饥一顿饱一顿的日子。
CharacterInfo_任中横,"The master of the Pojun Hall of the Holy Fire Sect, appears rough but is actually thoughtful, has selected many outstanding disciples for the Holy Fire Sect.",,圣火宗破军堂堂主，看起来是个粗人但是实际上心思细腻，为圣火宗选拔了不少出色的弟子。
CharacterInfo_苗彩蝶,"The holy woman of the Jiuli tribe, the younger sister of the tribal chief Miao Muli. She is lively and innocent by nature, and can naturally communicate with insects. Because she was poisoned by Miao Muli from a young age, her hair turned white as snow and she looks like a young girl.",,九黎部族圣女，部落族长苗木黎的亲妹。天性活泼天真，天生就能和蛊虫沟通，由于从小被苗木黎在身上种下毒蛊，导致发白如雪，身如幼女。
CharacterInfo_释嗔,"Originally a disciple of Shifa Temple, he was called to serve in the army to defend the border and was promoted to the rank of Chuxiang City. Later, he accidentally learned of Lü Wenhuan's collusion with the enemy. Unwilling to be corrupted, he was framed and wanted by the government. He had no choice but to change his appearance and travel around as a monk.",,原是释法寺弟子，应召参军守卫边关，因功授为楚襄城校尉。后来偶然得知吕文桓通敌之事，不愿与其同流合污，于是遭受陷害，被官府通缉。不得已改头换面，再次以出家人形象四处游历。
CharacterInfo_凌鸿轩,"{Ling Mengdie}'s elder brother, a rising star in the martial arts world, who travels everywhere seeking medical advice to cure his sister's strange disease, finally arrives at the Confucius Temple. He is arrogant and shows no good face to anyone, but is completely obedient to his sister.",,凌梦蝶的兄长，武林中的后起之秀，为了治疗妹妹的怪病而四处寻医问药，最后来到儒圣馆。为人高傲，对谁都没有好脸色，唯独对妹妹百依百顺。
CharacterInfo_凌梦蝶,"{Ling Hongxuan}'s younger sister, who is intelligent and well-read, has a deep understanding of the martial arts of various sects. She was born with a strange disease and lacks vitality, often falling into slumber.",,凌鸿轩的妹妹，天资聪颖且饱读诗书，对各门各派的武学都有极深的研究。天生患有怪病，元气不足，因而时常陷入昏睡之中。
CharacterInfo_叶银瓶,"The daughter of Ye Pengju, she grew up with her father in the Ye Family Battalion. She is bored with the dull rules of the army and yearns for the free and exciting world of martial arts. Unfortunately, she lacks enough knowledge and experience, and is not cautious enough in her actions. She often causes various troubles and can only endure being grounded by her father time and time again.",,叶鹏举之女，自幼跟随父亲在叶家军中生活，她对军中枯燥乏味的规矩感到厌烦，心中向往自由自在、刀光剑影的江湖世界。可惜缺乏足够的见识和经验，行事又不够谨慎，常常惹出种种麻烦，只能一次次忍受被父亲禁足的惩罚。
CharacterInfo_佟道辅,"The head of the Imperial City Department, originally a favorite of the emperor, held a high-ranking position under the emperor, responsible for monitoring the dynamics of all forces in the world. With the emperor being captured by the Yan Kingdom, the political situation was turbulent for a while, and he also placed bets everywhere looking for a suitable backer.",,皇城司的首脑，原本皇帝手下的红人，身居一人之下万人之上的要职，负责监察天下各大小势力的动态直达天听。随着皇帝被燕国俘虏，一时间政局动荡，他也在各处下注寻找适合自己的靠山。
CharacterInfo_叶鹏举,"The founder of Ye Family Battalion, the Jiedushi of Zhao Kingdom. He was loyal to Zhao Kingdom all his life, with many elite soldiers under his command. He has led troops to resist the southern invasion of Yan Kingdom many times, with outstanding military achievements. He loves his soldiers like his own children and has a lot of insights into the training of soldiers, but he is very troubled by the education of his children.",,叶家军的建立者，赵国的节度使。一生对赵国忠心耿耿，手下精兵众多，多次带兵抵御燕国南侵，战功赫赫。爱兵如子，对士兵的训练上颇有心得，但是对子女的教育很是头痛。
CharacterInfo_重阳子,"The current leader of Taoist Sect, one of the legendary ""Eight Saints"". He was seriously injured while defending Chuxiang City decades ago and lost all his martial arts skills, but he realized the truth of nature and his martial arts skills were even better than before. Under his leadership, the disciples of Taoist Sect are all upright and righteous, saving the world and helping the people, with a strong sense of chivalry.",,"道玄宗的现任掌教，传说中的“八圣”之一。十数年前守卫楚襄城时身受重伤，一身武功尽失，但却因此领悟了万法自然的道理，武功反倒更胜往昔。
道玄宗在他领导下，道玄宗弟子个个正气凛然，救世济民，颇具侠风。"
CharacterInfo_方啸天,"The leader of the Holy Fire Sect, one of the legendary ""Eight Saints"". After defending Chuxiang City, he went to the Western Regions according to the agreement of the Eight Saints, and then established the Holy Fire Sect in the Western Regions to protect the distressed people, and his power shook the Western Regions. After living in the Western Regions, Fang Xiaoian saw the situation in the Central Plains more clearly. He wanted to settle the disputes before the world was in chaos, but he didn't expect this move to make the world more turbulent.",,"圣火宗宗主，传说中的“八圣”之一，守卫楚襄城之后按照八圣约定前往西域，随后在西域建立圣火宗，庇护落难百姓，威震西域。
在远居西域之后，方啸天反而看清了中原局势，想要在天下大乱前平息纷争，却不想此举会让天下更加动荡。"
CharacterInfo_柴王爷,"The descendant of the former dynasty's royal family, who still has a noble status in this dynasty, can sit on an equal footing with Duke Qi and Duke Kang. Although he is not a martial artist, he is well acquainted with all the major sects in the martial arts world and knows all the major events in the martial arts world.",,前朝的皇室后裔，在本朝中也仍旧拥有高贵的身份，能够和齐王、康王等人平起平坐。虽不是江湖人士，却和江湖各大门派交好，对江湖大小事件了如指掌。
CharacterInfo_邋遢张,"Zhong Yangzi's junior brother, a lover of wine, but with extraordinary talent, he entered the Passive through the way of wine, reaching a realm that ordinary people can hardly reach. He is lazy by nature, does not care about trivial matters, and dislikes pretentious people the most.",,重阳子师弟，好酒贪杯，但是天资卓绝，竟然以酒道入武道，达到了常人难以企及的境界。生性懒散，不拘小节，最看不惯道貌岸然之辈。
CharacterInfo_蔡元常,"The curator of Confucius Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he lamented that the quality of talents was declining too fast, so he began to advocate quality education, hoping to improve the overall quality of Confucian students. Under his leadership, Confucius Temple is full of talents and has become a top power.",,儒圣馆的馆主，传说中的“八圣”之一。守卫楚襄城后，感叹人才素质下滑过快，因而开始推崇素质教育，想提升儒生全方面的素养。在他的领导下，儒圣馆人才济济，跻身一流势力。
CharacterInfo_蔡攸之,"The only son of Cai Yuanchang, and also the designated successor of the Confucius Temple by Cai Yuanchang.",,蔡元常的独生子，也是蔡元常内定的儒圣馆接班人。
CharacterInfo_损道人,"Originally a wandering Taoist priest, he was appreciated by Jiang Nanguai when he was down and out. He swindled under the guise of a Taoist priest from the White Cloud Temple, and many people in Chuxiang City were fooled by him. His real identity is actually one of the four managers of the Nine Factions Sect, and his skills are even better than Jiang Nanguai's.",,原本是游历四方的云游道士，落魄后被江南怪赏识，假借白云观道士的身份招摇撞骗，楚襄城内不知有多少百姓着了他的道。其真实身份其实是九流门的四管事之一，本事更实在江南怪之上。
CharacterInfo_邪戏子,"One of the four stewards of Nine Factions Sect, whose identity and gender are a mystery. Every time she appears in front of people, she is dressed up as an opera performer, with every move full of opera rhythm. Her dance is graceful and captivating.",,九流门四管事之一，身份、性别都成谜。每出现于人前定是一副唱戏的打扮，举手投足都是曲腔戏韵。舞态优美，摄人心魄。
CharacterInfo_曼陀罗,"Mysterious dancer from the Western Regions, with unparalleled beauty, any man who sees her, even just a glance, will fall for her. Disappointed with the men in the world, she chose to live in seclusion in Snowflower Valley, accompanied by nature, birds and beasts.",,神秘的西域舞娘，姿颜绝代，任何男人看见她哪怕一眼也会倾心于她。因对世上男性失望，而隐居于琼花谷中，和自然山水、飞禽走兽为伴。
CharacterInfo_步绝尘,"The leader of Nest of Swallow, who has a good Qinggong of Traceless step, often sneaks into wealthy families to steal money and food to help the poor.",,燕子窝首领，有一身踏雪无痕的好轻功，经常潜入大户人家盗取钱财和食物来救济穷人。
CharacterInfo_华严,"A high monk of Shifa Temple, who practices Buddhism in the temple all day, never leaves the temple or hurts people, but has a kind of oppressive power that is not angry and prestigious.",,释法寺的高僧，终日在寺中修习佛法，从不离寺半步，也从不出手伤人，但却有一种不怒自威的压迫力。
CharacterInfo_慧元,"The abbot of Shifa Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he returned to Shifa Temple to promote Buddhism and save the souls of those who died in decades of war. On the other hand, he opened the door of Buddhism to shelter the people, and repeatedly sent monk soldiers to sabotage the military plans of the Yan Kingdom, which caused him to be hated by the head of the Yan army.",,释法寺住持，传说中的“八圣”之一，守卫楚襄城后回到释法寺弘扬佛法，超度数十年兵戈之下的亡魂。另一面大开佛门，庇护百姓，又多次派出僧兵破坏燕国的军事计划，以致遭受燕军首脑的怨恨。
CharacterInfo_癞头癫,"A wandering monk from Shifa Temple, a disciple of Abbot Hui Yuan. He is carefree, does not chant sutras or worship Buddha, behaves strangely and is a meat eater. However, he is compassionate and has helped many in need, earning him the respect of the people as a living Bodhisattva.",,释法寺的游方僧人，慧元住持的师弟。其人无拘无束，不颂佛不念经，行为举止怪异且荤腥不忌，但是心怀慈悲，屡次扶危救困，被百姓尊为活菩萨。
CharacterInfo_秦会之,"A trusted civil official of Duke Kang, he holds a high position in Duke Kang's manor and has earned Duke Kang's trust. Duke Kang often follows his advice.",,康王的心腹文臣，在康王府内地位颇高，颇得康王的信任，康王对其更是言听计从。
CharacterInfo_完颜昭宁,"The princess of Yan Kingdom, the niece of Wanyan Wuzhu and the cousin of Wanyan Liang. She has the ambition and talent of a man, and wants to eliminate wars and create a peaceful world by helping Wanyan Wuzhu unify the world.",,燕国的郡主，完颜乌珠的侄女、完颜亮的族妹。有不输男儿的雄心壮志和才能，想要通过帮助完颜乌珠统一天下而消除战乱，造就太平天下。
CharacterInfo_恶乞丐,"One of the four stewards of the Nine Factions Sect, he was born a beggar but never accepts charity. He begs in the streets and alleys, and any wealthy family he passes by, whether they give him alms or not, will be robbed clean a few days later. Once on a whim, he taught Hong Xiaoqi some skills to protect himself.",,九流门四管事之一，乞丐出身，却从不领情。游走在大街小巷行乞，但凡是他经过的豪门大户，无论接济他与否，数日后都会被人洗劫一空。曾经一时兴起教洪小七一些足以自保的本事。
CharacterInfo_毒牙婆,"One of the four stewards of the Nine Factions Sect, he was once a disciple of the Herbology Sect and the junior brother of Qu Wangyou. He ran away from the Herbology Sect because he was not chosen as the sect leader. He has a deep understanding of toxins and can poison people without them knowing. Those who are poisoned often find that they are beyond help by the time they realize they are poisoned.",,"九流门四管事之一，曾是本草门门人、曲忘忧的师叔，因为落选门主而离开本草门。
对毒物了解颇深，可以让人中毒于无形，中毒者往往发现自己中毒时已经毒入膏肓，无药可救。"
CharacterInfo_庖春秋,"The owner of the butcher's shop in Daliang City. His ancestors were royal chefs for generations, but the ancestral skills were lost, and Pao Chunqiu became the owner of a regular butcher's shop in Daliang City.",,大梁城肉铺的掌柜，祖上世世代代皆为皇室御厨，但祖传手艺失传，庖春秋也落魄为大梁城内一个普通的肉铺掌柜。
CharacterInfo_秦阎罗,"The owner of the Relic House in Lin'an City, he has a grudge against Yi Zhihua from Daliang City and is willing to use the power of Dragonfly City to defeat him.",,霖安城聚财坊的主人，和大梁城的一枝花有些过节，为击败一枝花不惜借用蚍蜉城的力量。
CharacterInfo_叶云,"The eldest son of Ye Pengju, the vanguard officer of the Ye Family Battalion, possesses Herculean strength and has made numerous military achievements. He is impulsive and often disobeys military orders to fight on his own. Although he often wins by luck, he still gets punished according to military regulations, which makes him resentful.",,叶鹏举长子，叶家军的先锋官，天生神力，屡立战功。性格暴躁冲动，经常违反军令擅自出战，虽然侥幸获胜，但是仍然遭受军规责罚，心中颇有怨念。
CharacterInfo_完颜乌珠,"The fourth prince of the Yan Kingdom and the grand marshal of the Yan Yun Iron Army. He successfully captured the emperor of the Zhao Kingdom and supported Duke Qi, commanding Duke Qi to rule the country in the name of the Zhao emperor and lead the Yan Yun Iron Army to dominate the Central Plains, ready to invade and swallow the entire territory of the Zhao Kingdom.",,燕国四皇子，燕云铁军的大元帅，曾成功掳走赵国皇帝，并扶植齐王，假借赵国皇帝名义命齐王监国率领燕云铁军虎踞中州，伺机南下侵吞整个赵国领土。
CharacterInfo_完颜亮,"A member of the royal family of the Yan Kingdom, he is the nephew and right-hand man of Wanyan Wuzhu. He assists Wanyan Wuzhu in devising strategies, setting a series of plans against the martial arts forces. Employing various methods, he seeks to divide and entice individuals within the martial arts community, intending to eliminate obstacles for the subsequent southern invasion.",,燕国皇族，完颜乌珠的侄子兼副手。为完颜乌珠出谋划策，定下了一系列针对江湖势力的计策，并使用各种手段分化、笼络江湖人士，意图为之后南侵扫清障碍。
CharacterInfo_萧元霸,"Once a slave nurtured by the royal family of the Yan Kingdom, Xiao Yuanba possessed immense physical strength and boundless power. His extraordinary qualities caught the attention of Wanyan Wuzhu, who decided to bring him back to Yan Yun Iron Army for attentive nurturing. Over the course of several years, Xiao Yuanba emerged as a formidable vanguard general, leading the charge in numerous battles and achieving remarkable military feats, earning him a reputation as a fearless and distinguished warrior.",,曾是燕国皇室豢养的奴隶，身体强壮力大无穷，被完颜乌珠发现其不凡之处，于是带回燕云铁军悉心栽培。数年后，萧元霸成为勇冠三军的先锋猛将，立下赫赫战功。
CharacterInfo_定风波,"The leader of the Jiujiang Fotress, he has gathered a large number of followers under the banner of ""equality of all, sharing of wealth"", and his power is so great that it can be compared with the army. Under the proposal of the military strategist Zhuge Shenji, he wants to further expand his power and share Jiangnan with Duke Kang.",,九江水寨的寨主，打出“等贵贱、均贫富”的旗号召集了大量追随者，势力之大甚至能和军队相提并论。在军事诸葛神机的提议下，想要进一步扩大自身势力，和康王平分江南。
CharacterInfo_诸葛神机,"The military strategist of the Jiujiang Fotress, who has earned Ding Fengbo's trust, and has set the goal of dividing Jiangnan and ruling the waterways for Ding Fengbo.",,九江水寨的军师，颇得定风波的信赖，给定风波制下了平分江南、水路称王的目标。
CharacterInfo_定海棠,"The second in command of the Jiujiang Fotress and Ding Fengbo's younger sister, she is in charge of all matters in the Jiujiang Fotress, which is well-organized under her management. She is very dissatisfied with Zhuge Shenji's actions and does not agree with the strategy of dividing Jiangnan.",,"九江水寨的二当家、定风波的亲妹妹，负责九江水寨上上下下各处事宜，在她的治理下九江水寨井井有条。
对诸葛神机的行为十分不满，也不认同瓜分江南的策略。"
CharacterInfo_穆再兴,"The adopted son of General Yang, who narrowly escaped after General Yang was killed. He changed his surname to Mu to avoid revenge and no longer interacts with others. Although he is blind, he has developed the ability of auditory sight and protects the peace of Zhongzhou ferry by himself.",,杨将军的义子，杨将军遭难后侥幸逃出生天，为躲避仇杀改姓穆，不再和人过多交流。虽然双目失明，但练就了一副听声辨位的本事，凭一己之力守护中州渡口的一方安宁。
CharacterInfo_扶摇子,"The head of Linlang Temple, the leader of the legendary ""Eight Saints"", lives alone in Linlang Temple. It is said that he is over a hundred years old, has seen all the joys and sorrows, separations and reunions, and blood and gore in the world, and nothing can stir his heart.
The only thing he cares about is the oath of the ""Eight Saints"". If anyone breaks the oath, he will punish them himself.",,"琳琅馆馆主，传说中的“八圣”之首，独自一人隐居在琳琅馆中。年龄据说已经超过百岁，见遍了世上悲欢离合和血雨腥风，任何事情都难在其心中掀起波澜。
所在乎的事唯有“八圣”的誓言，若有一人违反了誓言，他定会亲自惩戒。"
