key,original,translation,context
NpcMumble_长春子弱对白,"The Tao gives birth to One, One gives birth to Two, Two gives birth to Three, Three gives birth to all things.|The Tao that can be spoken is not the eternal Tao.|We, the disciples of the Taoist Sect, should save the world.|Junior brother, be serious!|Don't slack off in learning.|Hold it steady.",,道生一， 一生二，二生三，三生万物。|道可道，非常道。|我辈道玄宗弟子，当济天下。|那位师弟，认真点！|不能松懈了修炼。|手拿稳了。
NpcMumble_长春子霖安城弱对白,"Uncle Master, where did he go again...|Uncle Master, don't cause any more trouble...|Uncle Master, Uncle Master! Where are you?|Where can I get Monkey wine in Lin'an City...|At this critical moment, where did Uncle Master go...",,师叔真是，又不知道跑哪去了……|师叔可别又惹出什么麻烦……|师叔，师叔！你在哪？|这霖安城去哪能搞到猴儿酒呢……|这有要紧事的关头，师叔跑哪去了……
NpcMumble_长春子霖安城找回邋遢张弱对白,"Uncle Master, please don't run away again.|Uncle Master, think about us too...|I want to go back to the mountain...|We can't let Uncle Master run away again.",,师叔可别再跑了。|师叔你也为我们想想啊……|好想回山……|可不能让师叔再跑了。
NpcMumble_长春子完颜亮弱对白,"Taoist Sect doesn't welcome you, please run away.|Our sword formation is a secret, how can we let you see it?|We don't welcome people from Yan country, please leave.",,道玄宗不欢迎你，请你离开。|剑阵乃本派不传之秘，岂能让你见识？|这里不欢迎燕国人，请走吧。
NpcMumble_苗木黎弱对白,"Damn Central Plains people...|Sooner or later, we will counterattack the Central Plains!|Let those women know the power of our Jiuli!|Wait until my poison skill is complete...|The God of Jiuli needs the blood of a virgin for sacrifice...|Damn that Fu Yaoqin...|Those women are always against me...",,可恨的中原人……|早晚有一日我等要反攻中原！|让那帮婆娘知道我们九黎的厉害！|等我毒功大成……|九黎之神需要用处子之血献祭……|可恶的付瑶琴……|那帮婆娘总是和我处处作对……
NpcMumble_苗木黎妙音坊灭门弱对白,"Those who oppose me have only one way to die!|Finally, those women...|Hahaha, now you know how powerful I am!|Fu, you dare to look down on me!|Finally, no one is my enemy!|The poison skill of Jiuli is invincible in the world!|Hahaha...ha...",,和我作对的只有死路一条！|那帮婆娘终于……|哈哈哈，这回知道我的厉害了吧！|姓付的，叫你瞧不起我！|终于没有人和我为敌了！|九黎的毒功天下无敌！|哈哈哈……哈……
NpcMumble_苗木黎镇西关灭门弱对白,"West Border Patrol is seriously injured, my chance has come!|No one can stop me from returning to the Central Plains!",,镇西关元气大伤，我的机会来了！|再也没有人能阻拦我重回中原！
NpcMumble_洪小七弱对白,"I'm hungry...|I really want to have a big meal.|The cooking skills of Boss Hua are really good.|Whoever can feed me, I'll recognize him as the boss!",,肚子饿了……|好想吃大餐啊。|花掌柜的手艺可真好啊。|谁能让咱吃饱饭，咱认谁当大哥！
NpcMumble_洪小七楚襄城弱对白,……|I didn't expect to come back here...|Dad...,,……|想不到又会回到这里……|爹……
NpcMumble_任中横弱对白,,,
