﻿BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,{0} ได้รับ สถานะ <#00FF00>{1}</color> 
BuffEffect_OnDisable,{0} removes <#00FF00>{1}</color> status,{0} ลบสถานะ<#00FF00>{1}</color> 
DebuffEffect_OnEnable,{0} gains <#FE2929>{1}</color> status,{0}เงิน<#FE2929>{1}</color>สถานะ
DebuffEffect_OnDisable,{0} removes <#FE2929>{1}</color> status,{0}ลบ<#FE2929>{1}</color>สถานะ
BuffNameColor_Debuff,<#FE2929>{0}</color>,<#FE2929>{0}</color>
BuffNameColor_Buff,<#00FF00>{0}</color>,<#00FF00>{0}</color>
BuffPropUp_Default,{lockey} increases <#29F161> {val}</color>,{lockey} เพิ่มขึ้ น<#29F161> {val} </color>
BuffPropDown_Default,{lockey} decreases <#FE2929> {val}</color>,{lockey}ลดลง<#FE2929>{val}</color>
BuffPropDUp_Default,{lockey} increases <#29F161> {val}</color>,{lockey} เพิ่มขึ้ น<#29F161> {val} </color>
BuffPropDDown_Default,{lockey} decreases <#FE2929> {val}</color>,{lockey}ลดลง<#FE2929>{val}</color>
BuffPropRUp_Default,{lockey} overall increase <#29F161> {val}</color>,{lockey} เพิ่มขึ้นโดยรวม <#29F161> {val} </color>
BuffPropRDown_Default,{lockey} overall decrease <#FE2929> {val}</color>,{lockey}ลดลงโดยรวม<#FE2929>{val}</color>
BuffPropSRUp_Default,{lockey} personal attributes increase <#29F161> {val}</color>,{lockey}คุณลักษณะส่วนบุคคลเพิ่มขึ้น<#29F161>{val}</color>
BuffPropSRDown_Default,{lockey} personal attributes decrease <#29F161> {val}</color>,{lockey}คุณลักษณะส่วนบุคคลลดลง<#29F161>{val}</color>
BuffPropERUp_Default,{lockey} equipment attributes increase <#29F161> {val}</color>,{lockey} คุณสมบัติอุปกรณ์เพิ่มขึ้น <#29F161> {val} </color>
BuffPropERDown_Default,{lockey} equipment attributes decrease <#29F161> {val}</color>,{lockey}คุณสมบัติอุปกรณ์ลดลง<#29F161>{val}</color>
BuffPropUp_D_Hp,{lockey} Recovery <#29F161> {val}</color>,{lockey} ฟื้นฟู <#29F161> {val} </color>
BuffPropUp_D_Ep,{lockey} Recovery <#29F161> {val}</color>,{lockey} ฟื้นฟู <#29F161> {val} </color>
BuffPropRUp_D_Hp,{lockey} Recovery <#29F161> {val}</color>,{lockey} ฟื้นฟู <#29F161> {val} </color>
BuffPropRUp_D_Ep,{lockey} Recovery <#29F161> {val}</color>,{lockey} ฟื้นฟู <#29F161> {val} </color>
BuffPropUp_T_队伍体力,{lockey} Recovery <#29F161> {val}</color>,{lockey} ฟื้นฟู <#29F161> {val} </color>
BuffPropUp_T_队伍心情,{lockey} Recovery <#29F161> {val}</color>,{lockey} ฟื้นฟู <#29F161> {val} </color>
BuffPropUp_B_BattleWine,
BuffPropUp_B_BattleMedicine,
BuffInfo_致伤,"Chance to trigger injury effect, Bleeding<#FE2929>+10</color>.","มีโอกาสทำให้เกิดอาการบาดเจ็บ, เลือดออก<#FE2929>+10</color>"
BuffInfo_timeAdd,Permanent,ถาวร
BuffInfo_GameTimeLength_day,{0} days,{0} วัน
BuffInfo_GameTimeLength_hour,{0} shichen,{0} ชั่วยาม
BuffInfo_GameTimeLength_quarter,{0} moment,{0}ช่วงเวลา
BuffInfo_GameTimeLength_BattleAction,Expires after {0} actions,หมดฤทธิ์หลังผ่านไป {0} ตา
BuffInfo_GameTimeLength_Battle,Expires after participating in {0} battles,หมดฤทธิ์หลังเข้าการต่อสู้ {0} ครั้ง
BuffPropUp_下毒,
