﻿TipsString_sencelimit,Scene limit,ข้อจำกัด
TipsString_uselimit,Use limit,ใช้ขีดจำกัด
TipsString_Notlimit,No limit,ไม่มีขีดจำกัด
TipsString_battleUse,Combat usage,ใช้ในการต่อสู้
TipsString_UnbattleUse,Non-combat usage,ใช้นอกการต่อสู้
TipsString_Type,Type,ประเภท
TipsString_SZJG,Cooldown,คูลดาวน์
TipsString_CD,{0} actions
TipsString_BondCD,Only one use per battle,ใช้เพียงครั้งเดียวต่อการต่อสู้
TipsString_XTSX,Core stat,คุณสมบัติ
TipsString_KungfuMoveData,External skill moves,ทักษะภายนอกเคลื่อนไหว
TipsString_KungfuMoveDataProb,(Trigger probability: {0}%)
GameLog_CantSaveWhenNpcPercepting,Cannot save when noticed by NPC,ไม่สามารถบันทึกได้เมื่อ NPC สังเกตเห็น
