﻿UI_InstantKill,Instant death,เสียชีวิตทันที
UI_NoRole,Empty slot,ว่าง
UI_MyRole,Party,กลุ่ม
UI_Character,Character,ตัวละคร
UI_Item,Item,สิ่งของ
UI_Kungfu,Martial Arts,วรยุทธ
UI_Bag,Inventory,สัมภาระ
UI_WuDao,Passive,พลังแฝง
UI_Ability,Skill,ทักษะ
UI_Relation,Relations,ความสัมพันธ์
UI_Task,Journal,บันทึก
UIAbility_Cai,Pick,เลือก
UIBattleActorTip_Level,Level,ระดับ
UIBattleActorTip_Exp,Experience,ประสบการณ์
UIBattleActorTip_EP,MP,MP
UIBattleActorTip_HP,HP,HP
Bag_Item_Mark,Unknown,ไม่ทราบ
Common_Item_Mark,Unappraised,ยังไม่ได้ประเมิน
Bid_GiveUp,Abandon,ละทิ้ง
Bid_1,Increase by 10%,เพิ่มขึ้น 10%
Bid_2,Increase by 30%,เพิ่มขึ้น 30%
Bid_3,Increase by 50%,เพิ่มขึ้น 50%
Bid_4,Double the price,ให้ราคาเป็นสองเท่า
BattleUI_ShowCards,Show avatar,แสดง รูปประจำตัว
BattleUI_HideCards,Hide avatar,ซ่อน รูปประจำตัว
RestoreRelationTab_Faction,Martial world grudges,ความแค้นในยุทธภพ
RestoreRelationTab_Person,Personal grudges,ความแค้นส่วนตัว
RestoreRelation_NoFaction,The young hero is well-connected in the martial world and has no grudges with any factions.,จอมยุทธ์น้อยมีความสัมพันธ์อันดีในยุทธภพ และไร้ซึ่งความแค้นกับพรรคฝ่ายใด
RestoreRelation_NoPerson,"The young hero is well-connected in the martial arts world, without any grudges or debts to anyone",จอมยุทธ์น้อยมีความสัมพันธ์อันดีในยุทธภพ และไร้ซึ่งความแค้นกับผู้ใด
UIShortcutItemsSetting_Tip,Six types of Medicine and ThrowingItem can be set for quick use in battle,สามารถติดตั้งยาและอาวุธลับได้หกชนิด เพื่อใช้ในการต่อสู้ได้อย่างรวดเร็ว
UIShortcutItemsSetting_Entry,Quick settings,ตั้งค่าด่วน
UIShortcusItemsSetting_QuickSelect,Select all,เลือกทั้งหมด
UIShortcusItemsSetting_Save,Save,บันทึก
Authenticate_SelectTip,Select the number of items to Appraise,เลือกจำนวนสิ่งของที่จะประเมิน
Authenticate_UnSelectTip,Select the number of items to retrieve,เลือกจำนวนสิ่งที่จะรับ
Authenticate_ClickToClose,Click on a blank area to close the interface,คลิกบริเวณที่ว่าเพื่อปิดหน้าต่างนี้
Authenticate_NoItem,The young hero has nothing to Appraise,จอมยุทธ์น้อยไม่มีสิ่งของให้ประเมิน
Authenticate_ConfirmButton,Appraise,ประเมิน
Authenticate_AvailableTitle,Items that can be Appraised,สิ่งของที่สามารถประเมินได้
Authenticate_ResultTitle,Appraise results,ผลการประเมิน
ThankList,Credits,ผู้พัฒนา
UIThankList_Developers_Title,————Development Team————,————ทีมผู้พัฒนา————
