﻿BattleFieldInfo_School-1200_入门战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,เฉพาะ<#61C3C8>{PlayerName}</color> เท่านั้น ที่เข้าร่วมการต่อสู้ได้
BattleFieldWin_School-1200_入门战斗,Defeat <#61C3C8>all enemies</color>,เอาชนะ <#61C3C8>ศัตรูทั้งหมด</color>
BattleFieldFail_School-1200_入门战斗,<#61C3C8>{PlayerName}</color> is defeated,<#61C3C8>{PlayerName}</color> พ่ายแพ้แล้ว
BattleFieldInfo_Quit-1010_退门战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,เฉพาะ<#61C3C8>{PlayerName}</color> เท่านั้น ที่เข้าร่วมการต่อสู้ได้
BattleFieldWin_Quit-1010_退门战斗,Defeat <#61C3C8>Kong Yidao</color>,สยบ <#61C3C8>ขงอี้เตา</color>
BattleFieldFail_Quit-1010_退门战斗,<#61C3C8>{PlayerName}</color> is defeated,<#61C3C8>{PlayerName}</color> พ่ายแพ้แล้ว
BattleFieldInfo_Quit-1200_退门战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,เฉพาะ<#61C3C8>{PlayerName}</color> เท่านั้น ที่เข้าร่วมการต่อสู้ได้
BattleFieldWin_Quit-1200_退门战斗,Defeat <#61C3C8>Han Hongyu</color>,สยบ <#61C3C8>หานหงหยู</color>
BattleFieldFail_Quit-1200_退门战斗,<#61C3C8>{PlayerName}</color> is defeated,<#61C3C8>{PlayerName}</color> พ่ายแพ้แล้ว
BattleFieldInfo_M20200-3_为冯大师报仇,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",<#61C3C8>{PlayerName}</color> เข้าร่วมการต่อสู้ เลือกลงได้สูงสุด 6 ตัวละคร
BattleFieldWin_M20200-3_为冯大师报仇,Defeat <#61C3C8>Ruffian</color>,เอาชนะ <#61C3C8>อันธพาล</color>
BattleFieldFail_M20200-3_为冯大师报仇,<#61C3C8>All of us</color> are defeated,<#61C3C8>พวกเราทั้งหมด</color>พ่ายแพ้
BattleFieldInfo_School-1010-1_战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",<#61C3C8>{PlayerName}</color> เข้าร่วมการต่อสู้ เลือกลงได้สูงสุด 6 ตัวละคร
BattleFieldWin_School-1010-1_战斗,Defeat <#61C3C8>Blue Wind Camp people</color>,เอาชนะ <#61C3C8>คนจากค่ายวายุคราม</color>
BattleFieldFail_School-1010-1_战斗,<#61C3C8>All of us</color> are defeated,<#61C3C8>พวกเราทั้งหมด</color>พ่ายแพ้
BattleFieldInfo_Kill-1010_青风寨灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",<#61C3C8>{PlayerName}</color> เข้าร่วมการต่อสู้ เลือกลงได้สูงสุด 6 ตัวละคร
BattleFieldWin_Kill-1010_青风寨灭门战斗,Defeat <#61C3C8>Blue Wind Camp people</color>,เอาชนะ <#61C3C8>คนจากค่ายวายุคราม</color>
BattleFieldFail_Kill-1010_青风寨灭门战斗,<#61C3C8>All of us</color> are defeated,<#61C3C8>พวกเราทั้งหมด</color>พ่ายแพ้
BattleFieldInfo_Kill-2140_燕子窝灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",<#61C3C8>{PlayerName}</color> เข้าร่วมการต่อสู้ เลือกลงได้สูงสุด 6 ตัวละคร
BattleFieldWin_Kill-2140_燕子窝灭门战斗,Defeat <#61C3C8>Swallow Nest people</color>,เอาชนะ<#61C3C8>สมาชิกรังนกนางแอ่น</color>
BattleFieldFail_Kill-2140_燕子窝灭门战斗,<#61C3C8>All of us</color> are defeated,<#61C3C8>พวกเราทั้งหมด</color>พ่ายแพ้
BattleFieldInfo_Kill-2040_灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",<#61C3C8>{PlayerName}</color> เข้าร่วมการต่อสู้ เลือกลงได้สูงสุด 6 ตัวละคร
BattleFieldWin_Kill-2040_灭门战斗,Defeat <#61C3C8>Crime Investigation Bureau people</color>,เอาชนะ <#61C3C8>คนจากสำนักสืบสวน</color>
BattleFieldFail_Kill-2040_灭门战斗,<#61C3C8>All of us</color> are defeated,<#61C3C8>พวกเราทั้งหมด</color>พ่ายแพ้
BattleFieldInfo_School-2040-1_门派战斗,Only <#61C3C8>{PlayerName}</color> can participate in the battle,เฉพาะ<#61C3C8>{PlayerName}</color> เท่านั้น ที่เข้าร่วมการต่อสู้ได้
BattleFieldWin_School-2040-1_门派战斗,Defeat <#61C3C8>Crime Investigation Bureau people</color>,เอาชนะ <#61C3C8>คนจากสำนักสืบสวน</color>
BattleFieldFail_School-2040-1_门派战斗,<#61C3C8>{PlayerName}</color> is defeated,<#61C3C8>{PlayerName}</color> พ่ายแพ้แล้ว
BattleFieldInfo_Kill-2070_琅琊剑阁灭门战斗,"<#61C3C8>{PlayerName}</color> participate in the battle, up to 6 people can be deployed",<#61C3C8>{PlayerName}</color> เข้าร่วมการต่อสู้ เลือกลงได้สูงสุด 6 ตัวละคร
