﻿Talking_dating,Inquire,สอบถาม
Talking_cup,Wine glass,แก้วสุรา
Talking_trouble,Tricky,เจ้าเล่ห์
Talking_ambition,Ambition,ปณิธาน
Talking_freesleep,Free,อิสระ
Talking_qiecuo,Spar,ประลอง
Talking_treasure,Present treasure,แสดงสมบัติ
Talking_fan,Cattail fan,พัดสาน
Talking_leavecity,Leave the city,ออกจากเมือง
Talking_serve,Serve,รับใช้
Talking_map,Map,แผนที่
M1101-2-1_talk,Jade pendant,จี้หยก
R10003-2_talk,Delicacy,อาหารโอชะ
Talking_20004-4,Wish,ปรารถนา
Talking_20006-3,Worry,กังวล
Talking_auction,Auction,ประมูล
Talking_hero,Sign up,ลงทะเบียน
Talking_train,Training,ฝึกฝน
Talking_trainee,Apprentice,ฝึกงาน
Talking_coach,Horse carriage,รถม้า
Talking_Yang,Remnant,เศษ
Talking_Talk,Chat,สนทนา
Talking_Makemoney,Make money,ทำเงิน
Talking_Marry,Propose,เสนอ
Talking_Salary,Salary,เงินเดือน
Talking_Promotion,Promotion,เลื่อนขั้น
Talking_work,Task,งาน
Talking_kitchenknife,Kitchen knife,มีดทำครัว
Talking_Breakarray,Break through the formation,บุกฝ่าค่ายกล
Talking_recommend,Recommendation,แนะนำ
Talking_ring,Arena,ลานประลอง
Talking_zhaoqin,Propose marriage,ขอแต่งงาน
Talking_Destory,Siege,ยึด
Talking_Needhelp,Ask for help,ขอความช่วยเหลือ
Talking_Marryinto,Marry into,แต่งเข้า
Talking_Letters,Letter,จดหมาย
Talking_Ask,Inquire,สอบถาม
Talking_Dowry,Dowry,สินสอด
Talking_Crucible,Practice,ฝึกฝน
Talking_Answer,Answer questions,ตอบคำถาม
Talking_Test1,provincial exam,การสอบระดับภูมิภาค
Talking_Test2,Local examination,การสอบระดับท้องถิ่น
Talking_Test3,Metropolitan examination,การสอบระดับนครหลวง
Talking_Assost,Flirt,คุยเล่น
Talking_Negotiate,Negotiate,ต่อรอง
Talking_Contribution,Donate,บริจาค
Talking_Test,Test,ทดสอบ
Talking_Fojing,Buddhist scripture,คัมภีร์พุทธ
Talking_Mail,Deliver letter,ส่งจดหมาย
Talking_Pry,Spy,สอดแนม
Talking_Minor,Small competition,การแข่งขันขนาดเล็ก
Talking_Across,Pass,ผ่าน
Talking_Beads,Prayer beads,ลูกประคำ
Talking_Eliminate,Clear out,ล้างออก
Talking_Assassinate,Assassinate,ลอบสังหาร
Talking_Opponent,Nemesis,คู่ปรับ
Talking_Chuzheng,Expedition,เดินทาง
Talking_Duanwu,Dragon Boat Festival,เทศกาลไหว้บ๊ะจ่าง
Talking_Exam,Compare,เปรียบเทียบ
Talking_Army,Join the army,เข้าร่วมกองทัพ
Talking_Book,Receive book,รับหนังสือ
Talking_EliminateBandits,Pacify rebels,ปราบกบฏ
Talking_Convert,Accept surrender,ยอมจำนน
Talking_WolfSkin,Wolf skin,หนังหมาป่า
Talking_SoldierPay,Military pay,รับเบี้ยเลี้ยง
Talking_ChickenPlay,Cockfight,ชนไก่
Talking_Disabuse,Solve doubts,แก้ปัญหา
Talking_Poem,Match poems,ประชันกวี
Talking_Mission,Mission,ภารกิจ
Talking_Rich,Get rich,มั่งคั่ง
Talking_Meet,Pay a visit,เข้าเยี่ยม
Talking_Livinglong,Longevity,อายุยืนยาว
Talking_Heal,Heal,รักษา
Talking_SecretScript,Manual,ตำรา
Talking_Boat,Take a boat,ขึ้นเรือ
Talking_Surrender,Surrender,ปราบ
Talking_Edict,Handwritten order,คำสั่งลายอักษร
Talking_Qin,Play the zither,บรรเลงพิณ
Talking_Sacrifice,Sacrifice,สังเวย
Talking_Testgu,Test the poison,ทดสอบพิษ
Talking_Flute,Play the flute,เป่าขลุ่ย
Talking_Securegu,Cure the poison,แก้พิษ
Talking_Disease,Hidden disease,โรคที่ซ่อนอยู่
Talking_SpringWater,Spring water,น้ำพุ
Role1-1_npcname1,Man in black,ชายชุดดำ
Role1-1_npcname2,Handsome constable,มือปราบหนุ่มรูปงาม
Role1-1_npcname3,Handsome Crime Investigation Bureau disciple,ศิษย์สำนักสืบสวนหน้าตาหล่อเหลา
Role1-1_npcname4,Swallow Nest disciple,ศิษย์รังนกนางแอ่น
Role3-7_npcname1,Chuxiang City soldier,ทหารเมืองฉู่เซียง
Role1-1option1_dialog,(How should I treat this constable?),(ข้าจะทำอย่างไรกับมือปราบดี?)
Role1-1option2_dialog,(How should I treat this masked woman?),(ข้าจะทำอย่างไรกับหญิงคลุมหน้าดี?)
Role1-1option1_1,Tie him up first!,มัดเขาไว้ก่อน!
Role1-1option1_2,"To be safe, cut the grass and remove the roots.",เพื่อความปลอดภัย ต้องตัดรากถอนโคน
Role1-1option1_3,<color=#0574a8>Help him stand up</color>.,<color=#0574a8>พยุงเขาให้ลุกขึ้น</color>.
Role1-1option1_4,<color=#0574a8>Untie him and help him stand up</color>.,<color=#0574a8>แก้มัดให้แล้วพยุงขึ้น</color>
Role1-1option1_5,Let's wait and see.,รอดูไปก่อน
Role1-1option1_6,<color=#0574a8>Untie her and help her stand up</color>.,<color=#0574a8>แก้มัดให้นาง แล้วพยุงให้ลุกขึ้น</color>.
Role1-1option1_7,Tie her up first!,มัดนางไว้ก่อน!
Role1-1option1_8,<color=#0574a8>Help her stand up</color>.,<color=#0574a8>พยุงนางลุกขึ้น</color>.
Role1-1option1_9,<color=#0574a8>Untie her and help her stand up</color>.,<color=#0574a8>แก้มัดให้นาง แล้วพยุงให้ลุกขึ้น</color>.
Role1-1option2_1,"Alright, let's do as you say.",ตกลง เอาตามท่านว่าเถอะ
Role1-1option2_2,Reject this suggestion.,ปฏิเสธข้อเสนอนี้
Role1-1option2_3,I'll help you run away from here.,ข้าจะช่วยเจ้าหนีไปจากที่นี่
Role1-1option2_4,"Excuse me, I'll be on my way.",ขออภัย ข้าขอตัวก่อน
Role1-1option2_5,"Alright, let's take her away.",ก็ได้ๆ พานางไปกันเถอะ
Role1-1option3_1,Just pay a visit.<color=#097a76>(1 quarter)</color>,ลองเยี่ยมชมดู<color=#097a76>สักครู่</color>
