﻿NpcParalyze_通用_CanNotParalyze,This character cannot be immobilized.,ตัวละครนี้ไม่สามารถเคลื่อนไหวได้
NpcSteal_通用_CanNotSteal,This character cannot steal.,ตัวละครนี้ไม่สามารถขโมยได้
NpcPoision_通用_CanNotPoision,This character cannot poison.,ตัวละครนี้ไม่สามารถวางยาพิษได้
NpcAssassin_通用_CanNotAssassin,This character cannot ambush.,ตัวละครนี้ไม่สามารถลอบโจมตีได้
NpcAssassin_通用_RunAway,Murder! Murder!,ฆาตรกรรม! ฆาตรกรรม!
NpcAssassin_通用_KaiGan,Dare you ambush me?,กล้าลอบโจมตีข้างั้นเหรอ?
NpcPoision_通用_RunAway,"What suspicious thing are you feeding me!|Oh my god, someone is poisoning!",แกเอาอะไรให้ข้ากิน!|แย่ล่ะ นี่มันยาพิษ!
NpcPoision_通用_KaiGan,You are so bold!|Who gave you the courage to poison me!,แกกล้ามาก|ใครให้แกมาวางยาพิษข้า
PlayerAssassin_通用_OverTop,Run!,วื่ง !!
PlayerAssassin_通用_Seckill,"Hmph, that's all.|Easy as pie!",ฮึ่ม ก็แค่นั้นแหละ|ง่ายเหมือนปอกกล้วย!
PlayerAssassin_通用_Unseckill,I didn't hit... do you believe...,ข้าไม่ได้โจมตี... เจ้าเชื่อข้าไหม...
PlayerPoision_通用_MaximumPoision,The poison in this person is deep enough.,พิษในร่างกายผู้นี้ค่อนข้างลึก
PlayerPoision_通用_NothingPoision,Out of poison.,พิษหมดแล้ว
PlayerPoision_通用_PoisionSuccess,Poisoning succeeded.,วางยาพิษสำเร็จ
Paralyze_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",ไม่มีแรงเหลือแล้ว|ทำอะไรไม่ได้ถ้าหมดแรง|เหนื่อยมากข้าขอพักได้ไหม|หมดเรี่ยวหมดแรง
Steal_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",ไม่มีแรงเหลือแล้ว|ทำอะไรไม่ได้ถ้าหมดแรง|เหนื่อยมากข้าขอพักได้ไหม|หมดเรี่ยวหมดแรง
Poison_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",ไม่มีแรงเหลือแล้ว|ทำอะไรไม่ได้ถ้าหมดแรง|เหนื่อยมากข้าขอพักได้ไหม|หมดเรี่ยวหมดแรง
Assassin_通用_LackStamina,"No stamina left.|Can't act without stamina.|So tired, can I rest?|Stamina is exhausted.",ไม่มีแรงเหลือแล้ว|ทำอะไรไม่ได้ถ้าหมดแรง|เหนื่อยมากข้าขอพักได้ไหม|หมดเรี่ยวหมดแรง
NpcSteal_通用_PlayerTalk,"Easily done!|Easy as pie~|Too easy!|Hehe, got something for free.|So-called unseen and unheard~|This treasure is mine!",ง่ายนิดเดียว!|ง่ายมาก~|ง่ายเกินไป!|อิอิ ได้ของฟรีแล้ว|เรียกได้ว่าไม่มีใครเห็นและได้ยิน~|สมบัติชิ้นนี้เป็นของข้า!
NpcSteal_通用_NothingSteal,"Not a single thing, what a pauper!",ไม่มีอะไรเลย อนาถาอะไรเช่นนี้!
NpcFactionBuy_通用_RefuseSameFactionOnly,"You are not a disciple of this sect, you have no right to get anything from {NpcJobTalk:自我称呼}.",เจ้าไม่ใช่ศิษย์ของนิกายนี้ เจ้าไม่มีสิทธิ์ได้รับอะไรจาก {NpcJobTalk:自我称呼}
NpcInvite_OK,Agree to let {Char1Name} join the team.,ตกลงที่จะให้ {Char1Name} เข้าร่วมทีม
NpcInvite_Cancel,Think about it again.,คิดดูอีกครั้ง
Gifting_RelationInfo,Current Relations: {0} ({1}).,ความสัมพันธ์ปัจจุบัน: {0} ({1})
Gifting_FondInfo,Favorite Item: {0}.,รายการโปรด: {0}
Gifting_FondItemSeparator,、,、
Gifting_FondItemNone,
NpcGifting_RelationInfoGood,"Your relationship is very good, you can get the following help",ความสัมพันธ์ของเจ้าดีมาก เจ้าสามารถขอความช่วยเหลือได้
NpcGifting_RelationInfoBad,"You seem to be at odds with each other, the other party doesn't want to deal with you.",ดูเหมือนเจ้าจะไม่ลงรอยกัน อีกฝ่ายไม่ต้องการเจรจากับเจ้า
NpcGifting_RelationInfoNotGood,"You are not getting along well, it may have some negative effects on you.",เจ้าเข้ากันได้ไม่ดีนัก มันอาจจะส่งผลเสียต่อเจ้าบ้าง
NpcGifting_RelationUnlockFight,"Enemies meet with red eyes, they will attack you without hesitation",ศัตรูโกรธเลือดขึ้นตา พวกเขาจะโจมตีเจ้าโดยไม่ลังเลใจ
NpcGifting_RelationUnlockFightCoward,"Unwilling to have any contact with you, will only stay away from you",ไม่เต็มใจที่จะยุ่งกับเจ้า แต่จะอยู่ห่างจากเจ้าเท่านั้น
NpcGifting_RelationUnlockBuy,You can <#00ff00>Buy</color> items from their shop,เจ้าสามารถ <#00ff00>ซื้อ</color> รายการจากร้านค้าของพวกเขาได้
NpcGifting_RelationUnlockSell,You can <#00ff00>Sell</color> items they are interested in,เจ้าสามารถ <#00ff00>ขาย</color> รายการที่พวกเขาสนใจได้
NpcGifting_RelationUnlockTrade,Exchange items in your inventory with {Char1Name}'s possessions<#00ff00></color>,แลกเปลี่ยนไอเท็มในกระเป๋าของเจ้ากับไอเท็มของ {Char1Name}<#00ff00></color>
NpcGifting_RelationUnlockTeach,You can get {HL0} by meeting the specified requirements when <#00ff00>Request</color>,เจ้าสามารถรับ {HL0} ได้โดยปฏิบัติตามข้อกำหนดที่ระบุเมื่อ <#00ff00>คำขอ</color>
NpcGifting_RelationUnlockJoinAllie,"If {Char1Name} is present in the battle, they will definitely not stand by",หาก {Char1Name} อยู่ในการต่อสู้ พวกเขาจะไม่ยอมอยู่เคียงข้างอย่างแน่นอน
NpcGifting_RelationThesholdInfo,The current Relations can be increased to <#{0}>{1}</color>,ความสัมพันธ์ปัจจุบันสามารถเพิ่มเป็น <#{0}>{1}</color>
NpcGifting_RelationUnlockInvite,"You have a deep relationship, you can <#00ff00>Invite</color> {Char1Name} to join the team",เจ้ามีความสัมพันธ์ที่ลึกซึ้ง เจ้าสามารถ <#00ff00>เชิญ</color> {Char1Name} เข้าร่วมทีมได้
NpcGifting_RelationTheshold,Relations can be further improved after completing the <#ff8800>{0}</color> event,ความสัมพันธ์จะเพิ่มขึ้นหลังจากเสร็จสิ้นอีเว้นต์ <#ff8800>{0}</color>
NpcGifting_RelationTeachAbility,"Considered as Intimate, you can learn <#00ff00>{0}{1}</color> from them",นับว่าค่อนข้างสนิท เจ้าสามารถเรียนรู้ <#00ff00>{0}{1}</color> จากพวกเขาได้
NpcGifting_RelationMax,The Relations between you no longer need to be Gift,ความสัมพันธ์ระหว่างเจ้าไม่จำเป็นต้องให้ของขวัญอีกต่อไป
NpcGifting_RepWithLevel,{0} (Fame{1} level)
NpcGifting_NoRepMale,"Your Fame is much different from <#ffff00>{0}</color>, he will not accept any of your gifts",ชื่อเสียงของเจ้าแตกต่างจาก <#ffff00>{0}</color> มาก เขาจะไม่รับของขวัญใด ๆ จากเจ้า
NpcGifting_NoRepFemale,"Your Fame is much different from <#ffff00>{0}</color>, she will not accept any of your gifts",ชื่อเสียงของเจ้าแตกต่างจาก <#ffff00>{0}</color> มาก เขาจะไม่รับของขวัญใด ๆ จากเจ้า
NpcGifting_ItemRarity0,<#68cf24>{0}</color>,<#68cf24>{0}</color>
NpcGifting_ItemRarity1,<#00c6f3>{0}</color>,<#00c6f3>{0}</color>
NpcGifting_ItemRarity2,<#c851ff>{0}</color>,<#c851ff>{0}</color>
NpcGifting_ItemRarity3,<#d09a09>{0}</color>,<#d09a09>{0}</color>
FactionTrading_Treasurys,{1} has gold: {0},{1} มีทองคำ: {0}
FactionTrading_FameRelationNoChange,Relations with {0} have reached {1},ความสัมพันธ์กับ {0} ถึงระดับ {1}
FactionTrading_FameRelation,"Relations with {0} have reached {1}, you can enjoy a {2}% discount",ความสัมพันธ์กับ {0} ถึง {1} แล้ว เจ้าสามารถเพลิดเพลินกับส่วนลด {2}%
FactionTrading_TreasurysCoinNoyEnough,%c%The other party does not have enough money,%c%อีกฝ่ายมีเงินไม่เพียงพอ
NpcInteractive_动物_Like,What do you want to do with it?,เจ้าต้องการทำอะไรกับมัน?
NpcInteractive_动物_Dislike,What do you want to do with it?,เจ้าต้องการทำอะไรกับมัน?
NpcInteractive_物品,What do you want to do with it?,เจ้าต้องการทำอะไรกับมัน?
NpcPetInvite_InteractiveLow,"I don't understand its beast language, I can't interact with it.",ข้าไม่เข้าใจภาษาสัตว์ร้ายของมัน ข้าไม่สามารถโต้ตอบกับมันได้
NpcPetInvite_AlreadyHasPet,"Unless you Release the existing pet, you cannot Adopt a new pet.",เว้นแต่เจ้าจะปล่อยสัตว์เลี้ยงที่มีอยู่ เจ้าจะไม่สามารถรับเลี้ยงสัตว์เลี้ยงตัวใหม่ได้
NpcPetInvite_RelationLow,You can only Adopt when Relations reach {0},เจ้าสามารถรับได้เมื่อความสัมพันธ์ถึง {0} เท่านั้น
PlayerCurse_Stamina,"Stamina is too low, it's best to rest|It turns out that wandering in the world is not only mentally tired, but also physically tired|I'm so tired recently",อ่อนล้าเหลือเกิน พักผ่อนก่อนดีที่สุด|การท่องโลกไม่ได้แค่เหนื่อยใจเท่านั้น แต่ยังเหนื่อยกายอีกด้วย|ช่วงนี้ข้าเหนื่อยจริงๆ
PlayerCurse_Mood,"Ah, my life is so hard|Ah, how can I live this life|Why am I always the unlucky one?|How long will this life last|Why is everything I do so unsuccessful|This world is too tiring|I don't know how long I can hold on|Ah~",อ่าห์ ชีวิตข้าลำบากนัก|อ่าห์ ชีวิตนี้ข้าจะอยู่ได้อย่างไร|ทำไมข้าถึงโชคร้ายตลอด?|ชีวิตนี้จะอยู่ได้นานแค่ไหน|ทำไมทุกอย่างที่ข้าทำจึงไม่ประสบผลสำเร็จ|โลกนี้ช่างเหนื่อยเหลือเกิน|ข้าไม่รู้ว่าจะอดทนได้นานแค่ไหน|อ่าห์~
NpcLeaveTeam_通用_LeaveTalk,"If there is anything that {NpcJobTalk:自我称呼} can help in the future, you can find {NpcJobTalk:自我称呼} in {0}. The road is long, we will meet again.",หากมีสิ่งใดที่ {NpcJobTalk:自我称呼} สามารถช่วยได้ในอนาคต เจ้าสามารถค้นหา {NpcJobTalk:自我称呼} ได้ใน {0}  หนทางยังอีกยาวไกล เราจะได้พบกันใหม่
PetLeaveTeam_Window,Are you planning to let {0} Run away from the team?,เจ้าวางแผนที่จะปล่อยให้ {0} ออกจากทีมหรือไม่?
PetLeaveTeam_通用_LeaveTalk,"It should go back to {0} and wait for me, I'll go find it when I miss it.",มันควรจะกลับไปที่ {0} แล้วรอข้าก่อน ข้าจะไปหามันเมื่อข้าคิดถึงมัน
NpcInvite_通用_ReqAddPropLow,Your <size=200%><b>{0}</b></size> is too low!,<size=200%><b>{0}</b></size> ของคุณต่ำเกินไป!
NpcInvite_通用_ReqAddPropHigh,Your <size=200%><b>{0}</b></size> is too high!
NpcSeat_通用_BreakSeat,This is too much!,นี่มันเกินไปแล้ว!
NpcSeat_通用_CantBreakSeat,"Anyway, I can't hide, you decide.",ยังไงก็ตาม ข้ามิอาจหลบซ่อนได้อีก เจ้าก็ตัดสินใจเถอะ
NpcJobTalk_第二人称脏话_通用,
NpcJobTalk_脏话_通用,
NpcJobTalk_口号_通用,
IsLock_Default,%c%Need {0},%c%ต้องใช้ {0}
IsLock_Tip_Param0,%c%I need {0} to open it,%c%ข้าต้องใช้ {0} เพื่อเปิดมัน
ObjectLockConfirmWindow,"After Open, {0} will be consumed!\nContinue?",หลังจากเปิดแล้ว {0} จะถูกใช้\nดำเนินการต่อหรือไม่?
ObjectLockUnlocked,Unlock successful,ปลดล็อคสำเร็จ
IsLock_PropDefault,%c%{0} needs to reach {1},%c%{0} ต้องถึงระดับ {1}
IsLock_PropAbility,%c%Need {0}{1} level,%c%ต้องการ {0} {1} ระดับ
Friendly_贸首,Nemesis,คู่ปรับ
Friendly_切齿,Despise,รังเกียจ
Friendly_憎恨,Loath,ไม่ชอบ
Friendly_厌恶,Hate,เกลียด
Friendly_漠视,Detest,เหม็นน้ำหน้า
Friendly_认识,Known,รู้จัก
Friendly_友好,Friendly,เป็นมิตร
Friendly_亲密,Close,สนิทกัน
Friendly_知己,Intimate,ผู้รู้ใจ
Friendly_莫逆,Devoted,ผู้อุทิศตัว
Friendly_生死,Inseparable,แยกจากมิได้
Friendly_陌生,Stranger,คนแปลกหน้า
PetHeal_没有选择,%c%No item selected to Feed,%c%ไม่มีสิ่งของให้กิน
PetFeed_吃饱,"%c%No need to feed anymore, already full.",%c%ไม่ต้องให้อาหารแล้ว ท้องจะแตก
NpcTeaching_通用_IsFactionTalk,"I'm not from the same sect as you, I can't teach you.",ข้าไม่ได้มาจากสำนักเดียวกับเจ้า ไม่อาจสอนเจ้าได้
NpcTeaching_通用_NoTeacheingTalk,{NpcJobTalk:自我称呼} has a {0}. {1},{NpcJobTalk:自我称呼} มี {0} {1}
NoTeachingTalk_ConsumeCondition,You need to exchange it with {0}.,ต้องแลกเปลี่ยนกับ {0}
NoTeachingTalk_PremiseCondition,{0} is required.,ต้องใช้ {0}
NpcTeahing_通用_TaughtTalk,I have nothing more to teach you.,ข้าไม่มีสิ่งใดจะสอนเจ้าแล้ว
NpcTeahing_通用_MeetTalk,Are you sure you want to continue learning with {NpcJobTalk:自我称呼}?,แน่ใจหรือว่าอยากจะเรียนกับ {NpcJobTalk:自我称呼} ต่อ?
NpcTeahing_通用_ConsumeTalk,You need {0} to give you {1}.
NpcTeahing_通用_SuccessTeach,{NpcJobTalk:自我称呼} has nothing more to teach {NpcJobTalk:第二人称}.
NpcTeahing_通用_ContinueTalk,Are you sure you want to consume {0} to get {1}?
