﻿tag1,Nameless Region,พื้นที่ไร้นาม
tag1_chuanwen1_0,Village Head's treasure,สมบัติของผู้ใหญ่บ้าน
tag1_chuanwen1_1,"In the bedroom of the Nameless villageVillage head's house, there is a <color=#c44b0e>large pottery jar</color> with a secret chamber underneath. It is said that the coiled dragon chest inside holds the treasure that the Village Head has been guarding for many years.",ในเรือนนอนของผู้ใหญ่บ้านหมู่บ้านไร้นามนั้น มี<color=#c44b0e>โถดินเผาขนาดใหญ่</color>ที่วางปิดห้องลับด้านล่างเอาไว้ ว่ากันว่าผู้ใหญ่บ้านได้เฝ้ารักษาสมบัติที่เก็บไว้ในหีบมังกรขนดมานานหลายปี
tag1_chuanwen2_0,Descendant of the Yang family,ทายาทสกุลหยาง
tag1_chuanwen2_1,Someone once saw a person in <color=#c44b0e>Chuxiang City</color> who looked very much like General Yang when he was young. It could be a descendant of the Yang family.,บ้างก็มีผู้คนเคยเห็นบุคคลใน<color=#c44b0e>เมืองฉู่เซียง</color>ละม้ายคล้ายแม่ทัพหยางสมัยยังหนุ่ม คนผู้นั้นน่าจะเป็นทายาทสกุลหยาง
tag1_chuanwen3_0,Pear Blossom Manual,ตำราหอกหลีฮวา
tag1_chuanwen3_1,"The <color=#c44b0e>Pear Blossom Manual</color> of the Revered is kept by the descendants of the Yang family, but the whereabouts of the descendants are still unknown.",<color=#c44b0e>ตำราหอกหลีฮวา</color> อันโด่งดังได้ถูกรักษาไว้โดยทายาทแห่งตระกูลหยาง แต่ไม่มีใครทราบว่าพวกเขาอยู่ที่ใด
tag1_chuanwen3_2,Yang Yao Er informed that the <color=#c44b0e>Pear Blossom Spear Manual</color> is hidden in a secret chamber beneath a dilapidated temple.,หยางเหยาเอ๋อแจ้งว่า<color=#c44b0e>ตำราหอกหลีฮวา</color> ซ่อนอยู่ในห้องลับภายในศาลเจ้าร้าง
tag1_chuanwen4_0,Pear Blossom,หอกหลีฮวา
tag1_chuanwen4_1,"It is rumored that the Yang family's <color=#c44b0e>Pear Blossom</color> is hidden in the deepest part of the Wild Wolf Valley, and it seems not easy to obtain.",มีข่าวลือว่า<color=#c44b0e>หอกหลีฮวา</color>ของตระกูลหยาง ซ่อนอยู่ในจุดที่ลึกสุดของหุบเขาหมาป่า และดูเหมือนว่าจะไม่สามารถหามันได้ง่ายๆ
tag1_chuanwen5_0,Xiao Bao's Secret,ความลับของเสี่ยวเป่า
tag1_chuanwen5_1,"Under a pink-leafed tree in the Lost Forest, a large Lingzhi grows.",ใต้ต้นไม้ที่มีใบสีชมพูในป่าสาบสูญ มีเห็ดหลินจือขึ้นอยู่
tag1_chuanwen6_0,The Friendship of the Landlady,น้ำมิตรจากเจ้าของบ้านหญิง
tag1_chuanwen6_1,"If the innkeeper's wife considers you <color=#c44b0e>Intimate</color>, you can stay at the village inn for <color=#c44b0e>free</color>.","หากเถ้าแก่เนี้ยเห็นเจ้าเป็น <color=#c44b0e>คนกันเอง</color>, เจ้าก็สามารถพักโรงเตี๊ยมที่หมู่บ้าน <color=#c44b0e>ได้ฟรี</color>."
tag1_chuanwen7_0,Dilapidated Temple,ศาลเจ้าร้าง
tag1_chuanwen7_1,Rumor has it that the wall of the dilapidated temple outside the village reveals text at night.,กล่าวกันว่าบนผนังศาลเจ้าร้าง นอกหมู่บ้าน จะมีอักขระปรากฏขึ้นในยามค่ำคืน
tag1_chuanwen8_0,Village Hunter,หมู่บ้านนักล่า
tag1_chuanwen8_1,"It is said that Hunter Liu Shiba learned the ability to speak to animals from the disciples of the Beast Mountain Villa. Pay more attention to the news of the Beast Mountain Villa in the future, and you may have the opportunity to learn the animal language.",ได้ยินว่านายพรานหลิวสือปาเรียนรู้การคุยกับสัตว์มาจากศิษย์ของหุบเขาหมื่นอสูร หากเจ้าสนใจติดตามข่าวสารมากขึ้น ไม่แน่ว่าเจ้าอาจจะมีโอกาสเรียนภาษาสัตว์นี่ก็ได้
tag1_chuanwen9_0,Human Sentiments,ความรู้สึกของผู้คน
tag1_chuanwen9_1,"Giving others a <color=#097a76>Gift</color> can not only improve Relations, but also gain their trust and receive task commissions.","การให้ <color=#097a76>ของขวัญ</color> ไม่เพียงแค่พัฒนาความสัมพันธ์, แต่ยังได้รับความไว้วางใจ และการมอบหมายภารกิจด้วย"
tag1_chuanwen10_0,Lost Forest Treasure,สมบัติป่าสาปสูญ
tag1_chuanwen10_1,"There seems to be a treasure buried in the Lost Forest, but where exactly is it... It would be great if a Treasure map could be found.",ได้ยินว่ามีสมบัติซ่อนอยู่ในป่าสาบสูญ แต่มันอยู่จุดใดกันเล่า... คงเป็นการดีหากเราค้นพบแผนที่สมบัติ
tag1_chuanwen11_0,West Border Patrol,ด่านชายแดนตะวันตก
tag1_chuanwen11_1,"In order to pass through the West Border Patrol, you need to get the written orders of Duke Kang and Duke Qi.","เพื่อผ่านด่านชายแดนตะวันตก, เจ้าจะต้องได้รับคำสั่งลายมือของอ๋องคัง และอ๋องฉี"
tag2,Lin'an City,เมืองหลินอัน
tag2_chuanwen1_0,Seven-day Heartbreak Gu,เจ็ดวันใจสลาย
tag2_chuanwen1_1,"The Seven-Day Heartbreak Gu poison is as its name suggests. If the Poisoned person cannot Detoxify within <color=#c44b0e>seven days</color>, they will die of poison. The well in Lin'an City has also been poisoned with this kind of poison. If it cannot be resolved...",พิษกู่เจ็ดวันใจสลายเป็นไปตามชื่อของมัน หากผู้ถูกพิษไม่สามารถขจัดพิษได้ภายใน <color=#c44b0e>เจ็ดวัน</color> พวกเขาจะตายด้วยพิษ บ่อน้ำในเมืองหลินอันก็ถูกวางยาพิษชนิดนี้เช่นกัน หากแก้ไม่ได้...
tag2_chuanwen1_2,"You can <color=#c44b0e>Trade</color> with Miao Caidie in Lin'an City to get the antidote for the Seven-Day Heartbreak Gu, or find a companion with <color=#c44b0e>Toxicology or Medical</color> skills reaching 50 to Detoxify.",เจ้าสามารถ <color=#c44b0e>แลกเปลี่ยน</color> กับเมี้ยวไฉ่ตี้ในเมืองหลินอัน เพื่อรับยาแก้พิษสำหรับ พิษกู่เจ็ดวันใจสลาย หรือค้นหาสหายที่มี <color=#c44b0e>ศาสตร์พิษหรือการแพทย์</color> ถึง 50 เพื่อขจัดพิษ
tag2_chuanwen2_0,Opportunity to Become a Disciple,โอกาสที่จะกลายเป็นศิษย์
