﻿10001_1_1,"Hmm? Wanderer, what brings you here?","หืม? คนจร, มาทำอะไรที่นี่?"
10001_2_1,"Oh, it's {PlayerName}. Do you need something?",อ้อ {PlayerName} เจ้านี่เอง มีอะไรหรือ?
10001_3_1,"Ah, it's the young hero {PlayerSurName}. Welcome, welcome!",อา.. จอมยุทธน้อย{PlayerSurName}นี่เอง เชิญ! เชิญ!
10001_4_1,Well... Nothing much!,ก็...ไม่มีอะไรมาก!
10001_5_1,"Considering that our relationship isn't too bad, and {PlayerName}, your attitude is quite decent, we'll accept this gift!",หากพูดถึงความสัมพันธ์ของพวกเราที่ไม่เลวนัก และท่าทีของเจ้า {PlayerName} เองก็ดี พวกเราจะรับของขวัญนี้ไว้!
10001_6_1,"In that case, please come in, {PlayerSurName} young hero!",ถ้าเช่นนั้น ก็ขอเชิญเข้ามาได้เลย ท่านจอมยุทธ {PlayerSurName}
10001_7_1,"You brat, it seems like you got a lot of guts, daring to act recklessly in our sect. Let's eliminate this troublemaker!",บังอาจ เจ้ากล้ามากที่มาก่อปัญหาในสำนักของเรา พวกเรามาจัดการเจ้าตัวปัญหานี้กันเถอะ!
10002_1_1,Hmm? What do you want from me?,หืม? เจ้าต้องการอะไรจากข้าล่ะ?
10002_10_1,Ah oh... (yawning),โอ๊ะ...
10002_10_2,"Hey! Are we going to brawl or what? You're taking forever, and I'm dying of boredom here!",เฮ้! สรุปเจ้าจะต่อยตีหรือไม่? นี่มันนานเกินไปแล้วนะ ข้าจะเบื่อตายอยู่แล้ว!
10002_2_1,"It's {PlayerSurName}, the young hero, what brings you here this time?",เป็นท่านจอมยุทธ {PlayerSurName} ลมอะไรหอบท่านมาในครั้งนี้?
10002_3_1,"{PlayerSurName} young hero, haha, long time no see!",จอมยุทธ {PlayerSurName} ไม่เจอกันนาน จากมาสบายดี
10002_4_1,"Since it's {PlayerSurName} young hero's wish, I'll accept it!",ในเมื่อจอมยุทธ {PlayerSurName} ต้องการ ข้าก็ขอน้อมรับ!
10002_5_1,"Hehe, compared to what you've done in the past, this time you're much more rational!",เหอะเหอะ เปรียบกับสิ่งที่เจ้าเคยทำ ครั้งนี้นับว่าเจ้ามีเหตุผลขึ้นมาก 
10002_6_1,"Brat, you've got guts. Today, I shall kill you right here!",เจ้าเด็กเหลือขอ นับว่าเจ้าใจกล้าไม่เบา วันนี้ข้าจะสังหารเจ้าเสียที่นี่!
10002_7_1,……,……
10002_8_1,I never thought you were this kind of person. I must have been blind in the past!,ไม่นึกเลยว่าเจ้าจะเป็นคนเช่นนี้ ก่อนนั้นตาข้าคงมืดบอดไปเป็นแน่!
10002_8_2,"Enough talk, draw your sword!",เลิกพูดพล่ามได้แล้ว ชักกระบี่!
10002_9_1,The sect is my home as well.,สำนักยังเป็นดั่งบ้านของข้าอีกด้วย
10002_9_2,"Now that the young hero wants to destroy my home, I must step in and assist, no offense!",ตอนนี้จอมยุทธท่านนั้นต้องการทำลายบ้านของข้า ข้าเลยจำต้องเสนอหน้าออกมา อย่าหาว่าล่วงเกิน
10003_1_1,What business brings you here?,มีอะไรให้ข้าช่วยหรือไม่?
10003_2_1,"It's {PlayerSurName}, what brings you here this time?",เป็นท่านจอมยุทธ {PlayerSurName} นี่เอง ไม่ทราบมาในครั้งนี้มีธุระอันใด?
10003_3_1,The arrival of {PlayerSurName} has brought glory to our temple!,การมาของ {PlayerSurName} นั้น นำมาซึ่งความรุ่งโรจน์ของวัดเรา!
10003_4_1,"Since it's the wish of {PlayerSurName}, our humble temple will graciously accept it!",ในเมื่อเป็นความต้องการของประสก{PlayerSurName} วัดของเราก็ขอน้อมรับ!
10003_5_1,"The sea of bitterness is boundless, yet a turn of the head is the other shore. It appears that {PlayerSurName} has attained enlightenment!""",ทะเลทุกข์ไร้ขอบเขต กลับใจย่อมคืนสู่ฝั่ง ดูเหมือนประสก{PlayerSurName}จะตระหนักได้แล้ว!
10003_6_1,"Amitabha! Please come in, {PlayerName}!",อมิตาพุทธ! ประสก{PlayerName}เชิญด้านใน!
10003_7_1,Amitabha! I apologize for the offense!,อมิตาพุทธ! อาตมาขออภัยที่ล่วงเกิน!
10004_1_1,What business brings you here?,มีอะไรให้ข้าช่วยหรือไม่?
10004_10_1,Hmph!,เฮอะ!
10004_10_2,It seems I have misjudged you!,เหมือนข้าจะเข้าใจเจ้าผิดไป!
10004_11_1,"You rascal, I knew you were unpredictable from the start!",เจ้าคนชั่ว! ข้ารู้อยู่แต่แรกว่าเจ้ามันคนคาดเดาอะไรไม่ได้!
10004_11_2,"Now that your true colors are revealed, I shall, as an old monk, slay this demon for the sake of all living beings!",ตอนนี้ตัวตนของประสกถูกเปิดเผย ให้อาตมา หลวงจีนเฒ่า ขจัดมารเพื่อสรรพชีวิตเถิด!
10004_2_1,"It's {PlayerName}, what brings you here this time?",เป็นท่านจอมยุทธ {PlayerName} นี่เอง ไม่ทราบมาในครั้งนี้มีธุระอันใด?
10004_3_1,The arrival of {PlayerSurName} has brought glory to our temple!,การมาของ {PlayerSurName} นั้น นำมาซึ่งความรุ่งโรจน์ของวัดเรา! 
10004_4_1,"Since it's the wish of {PlayerSurName}, our humble temple will graciously accept it!",ในเมื่อ {PlayerSurName} ท่านต้องการ วัดของเราก็ขอยอมรับ!
10004_5_1,"The sea of bitterness is boundless, yet a turn of the head is the other shore. It appears that {PlayerSurName} has attained enlightenment!""",ทะเลทุกข์ไร้ขอบเขต กลับใจย่อมคืนสู่ฝั่ง ดูเหมือนประสก{PlayerSurName}จะตระหนักได้แล้ว!
10004_6_1,"{PlayerSurName}, are you aware that this is sowing the seeds of suffering? If you insist on this course, our temple has no option but to defend itself.",ประสก {PlayerSurName} รู้หรือไม่ว่านี่เป็นการหว่านเมล็ดพันธุ์แห่งทุกข์ หากประสกยังยืนยันเช่นนี้ วัดของเราคงไม่มีทางเลือกอื่นนอกจากต้องป้องกันตัวแล้ว
10004_7_1,Amitabha!,อามิตาพุทธ!
10004_8_1,It seems my cultivation is still shallow!,ดูเหมือนการฝึกของข้ายังคงตื้นไป!
10004_8_2,I never expected that {PlayerSurName} would be such a cruel individual!,ไม่นึกเลยว่า ท่าน{PlayerSurName} จะเป็นคนโหดร้ายเช่นนี้!
10004_9_1,It seems that {PlayerSurName} is determined to destroy my temple.,เหมือนว่า {PlayerSurName} ท่าน ได้ตัดสินใจจะทำลายวัดของข้าแล้ว 
10004_9_2,"So be it, this is where our connection ends, {PlayerName}.",เช่นนั้น ความสัมพันธ์ข้ากับท่านถือว่ายุติลงที่นี่แล้ว ท่าน{PlayerName}
10005_1_1,Where did you come from? What do you want?,เจ้าโผล่มาจากไหน? ต้องการอะไร?
10005_2_1,"It's {PlayerSurName}, the young hero. What brings you here this time?",เป็นท่าน {PlayerSurName} นี่เอง อะไรทำให้ท่านมาที่นี้เวลานี้?
10005_3_1,"{PlayerName}, welcome, welcome!",ท่าน {PlayerName} เชิญ เชิญ!
10005_4_1,{PlayerSurName} is truly generous!,ท่าน{PlayerSurName} ช่างมีน้ำใจ!
10005_5_1,It seems that you know your place. Watch your step from now on!,เจ้ารู้ความจริงดีอยู่แล้ว ภายภาคหน้าต้องระวังตัวให้ดี!
10005_6_1,Please come in!,เชิญเข้ามา!
10005_7_1,Hmm? Audacious ruffian! Looking for a deathwish!,หืมม? สามหาว! รนหาที่ตาย!
10006_1_1,Who are you?,เจ้าเป็นใคร?
10006_10_1,"Hmm? {PlayerName}, it seems you don't love me anymore!","หืมมม? {PlayerName}, ดูเหมือนว่าเจ้าจะไม่รักข้าอีกต่อไปแล้ว!"
10006_10_2,"You're in for a bloodshed today, lad!","วันนี้ต้องนองเลือดแน่,พวก!"
10006_11_1,"Hmm? It seems you, {PlayerSurName}, no longer have affection for me!",หือ? {PlayerSurName} ดูเหมือนเจ้าจะไม่เหลือความเสน่ห์หาต่อข้าอีกแล้ว!
10006_11_2,"How dare you! Today, you shall meet your end here! (Personality switched)",เจ้ากล้าดียังไง! วันนี้เจ้าต้องตายที่นี่! (บุคลิกเปลี่ยนไป)
10006_12_1,"Hmm, interesting, this lad must have amassed a lot of wealth.",อืม น่าสนใจ หนุ่มน้อยคนนี้คงสะสมความมั่งคั่งไว้เยอะ
