﻿FactionType_0,Other,อื่นๆ
FactionType_1,Sect,สำนัก
FactionType_2,Village,หมู่บ้าน
FactionType_3,Faction,ฝ่าย
FactionElimated,%s%<color=#c44b0e>{0}</color> has been removed from the martial arts world!,%s%<color=#c44b0e>{0}</color> ถูกลบออกจากยุทธภพแล้ว!
FactionFame_仇恨,Hatred,เกลียดชัง
FactionFame_对立,Opposition,ปรปักษ์
FactionFame_冷淡,Cold,เย็นชา
FactionFame_中立,Neutral,เป็นกลาง
FactionFame_友善,Friendly,เป็นมิตร
FactionFame_信赖,Trust,เชื่อใจ
FactionFame_钦佩,Admire,ชื่นชม
FactionFame_敬重,Respect,เคารพ
FactionFame_敬仰,Honored,มีเกียรติ
FactionFame_崇拜,Worship,เคารพบูชา
FactionFame_武朝,Wu Dynasty,ราชวงศ์วู๋
FactionFame_大蛮国,Great Barbarian Kingdom,อาณาจักรป่าเถื่อนที่ยิ่งใหญ่
FactionFame_楼兰,Loulan,ลั่วหลาน
FactionFame_南诏,Nanzhao,หนานจ้าว
FactionFame_大夏,Great Xia,เซี่ยผู้ยิ่งใหญ่
FactionName_半瓶醋工作室,Half Amateur Studio,Half Amateur Studio
FactionName_剧情势力,Plot Forces,กองกำลังโครงเรื่อง
FactionName_自由势力,Free Forces,กองกำลังอิสระ
FactionName_剧情势力灭门归属,
FactionName_苗彩蝶个人势力,
FactionName_霖安城虚拟势力,Lin'an City,เมืองหลินอัน
FactionName_楚襄城虚拟势力,Chuxiang City,เมืองฉู่เซียง
FactionName_大梁城虚拟势力,Daliang City,เมืองต้าเหลียง
FactionName_上京城,Shangjing City,เมืองซ่างจิง
FactionName_霖安城,Lin'an City,เมืองหลินอัน
FactionName_霖安驿站,Lin'an Post Station,หลินอัน - สถานีไปรษณีย์
FactionName_霖安客栈,Lin'an Inn,หลินอัน - โรงเตี๊ยม
FactionName_霖安铁匠铺,Lin'an Blacksmith's forge,หลินอัน - โรงตีเหล็ก
FactionName_霖安当铺,Lin'an Pawnshop,หลินอัน - โรงรับจำนำ
FactionName_霖安珍品阁,Lin'an Exquisite Pavilion,หลินอัน - ศาลาปราณีต
FactionName_霖安武馆,Lin'an Dojo,หลินอัน - โรงฝึก
FactionName_霖安医馆,Lin'an Medical Hall,หลินอัน - ห้างยา
FactionName_霖安杂货铺,Lin'an Grocery store,หลินอัน - ร้านขายของชำ
FactionName_霖安成衣铺,Lin'an Clothing Shop,หลินอัน - ร้านเสื้อผ้า
FactionName_霖安饰品店,Lin'an Jewelry Shop,หลินอัน - ร้านเครื่องประดับ
FactionName_霖安太白楼,Lin'an Wine God Tower,หลินอัน - หอคอยเทพสุรา
FactionName_霖安云林寺,Lin'an Yunlin Temple,หลินอัน - วัดป่าเมฆา
FactionName_霖安群芳馆,Lin'an Maiden House,หลินอัน - ตำหนักพิสุทธิ์
FactionName_楚襄城,Chuxiang City,เมืองฉู่เซียง
FactionName_大梁城,Daliang City,เมืองต้าเหลียง
FactionName_芙蓉城,Furong City,เมื่องฝูหรง
FactionName_云滇城,Yundian City,เมืองหยุนเตียน
FactionName_楼兰城,Loulan City,เมืองลั่วหลาน
FactionName_皇城司,Imperial City Department,กรมวังหลวง
FactionName_儒圣馆,Confucius Temple,วัดขงจื้อ
FactionName_道玄宗,Taoist Sect,สำนักเต๋า
FactionName_释法寺,Shifa Temple,อารามฉีฟา
FactionName_九流门,Nine Factions Sect,นิกายเก้าฝ่าย
FactionName_妙音坊,Melody House,ตำหนักบทเพลง
FactionName_蚍蜉城,Dragonfly City,เมืองแมลงปอ
FactionName_圣火宗,Holy Fire Sect,นิกายไฟศักดิ์สิทธิ์
FactionName_藏剑山庄,Hidden Sword Manor,หมู่ตึกกระบี่ซ่อน
FactionName_九黎部落,Jiuli Tribe,เผ่าจิ่วลี่
FactionName_九江水寨,Jiujiang Fotress,ค่ายน้ำจิ่วเจียง
FactionName_琳琅馆,Linlang Temple,วัดหลินหลาง
FactionName_叶家军,Ye Family Battalion,กองพันตระกูลเย่
FactionName_柴王阁,Chaiwang Pavilion,จวนอ๋องไฉ
FactionName_本草门,Herbology Sect,สำนักพฤกษา
FactionName_望东门,Wangdong Gate,ประตูมองตะวัน
FactionName_万兽山庄,Ten Thousand Beast Manor,หมู่ตึกหมื่นอสูร
FactionName_万安镖局,Wanan Escort Agency,สำนักคุ้มภัยหว่านอัน
FactionName_夜摩坊,Night Auction Market,ตลาดประมูลราตรี
FactionName_大漠鬼门,Desert Ghost Gate,ประตูวิญญาณทะเลทราย
FactionName_刀马堂,Knife Horse Hall,ห้องโถงม้ามีด
FactionName_冷皮帮,Cold Skin Gang,พรรคมังสาเหมันต์
FactionName_铁浮屠,Levitational Steel,เจดีย์เหล็ก
FactionName_白云观,White Cloud Temple,อารามเมฆขาว
FactionName_六和塔,Six Harmony Tower,เจดีย์หกเหลี่ยม
FactionName_流民营,Refugee Camp,ค่ายผู้ลี้ภัย
FactionName_大王寨,Bandit Chief Stronghold,ค่ายหัวหน้าโจร
FactionName_姑苏遗址,Gusu Ruins,ซากปรักหักพังกู่ซู
FactionName_朔方古迹,Ancient Ruin of Shoufang,ซากปรักหักพังโบราณสถานโชวฟาง
FactionName_新宋朝廷,New Song Dynasty Court,ศาลราชวงศ์ซ่งใหม่
FactionName_燕子窝,Swallow Nest,รังนกนางแอ่น
FactionName_燕云铁军,Yan Yun Iron Army,กองทัพเหล็กเยี่ยนหยุน
FactionName_风闻台,Wind News Platform,สถานีข่าวเวหา
FactionName_将军府,General's mansion,จวนแม่ทัพ
FactionName_康王府,Duke Kang's manor,ตำหนักอ๋องคัง
FactionName_齐王府,Duke Qi's Manor,ตำหนักอ๋องฉี
FactionName_神捕门,Crime Investigation Bureau,สำนักสืบสวน
FactionName_摸金门,Tomb Raider Sect,สำนักปล้นสุสาน
FactionName_沙门岛,Shamen Island,เกาะชาเหมิน
FactionName_天鹫宫,Tianjiu Palace,วังเทียนจิ่ว
FactionName_飞鹰帮,Flying Eagle Gang,พรรคอินทรีเหิน
FactionName_海蛟帮,Sea Jiao Gang,พรรคมังกรทะเล
FactionName_琅琊剑阁,Langya Sword Pavilion,ศาลากระบี่หลางหยา
FactionName_玄衣会,Black Robe Group,กลุ่มเสื้อคลุมดำ
FactionName_保国寺,Baoguo Temple,วัดเป่ากั๋ว
