﻿common_tip_title,Hint,คำแนะนำ
fcm_age_title,Age warning,คำเตือนด้านอายุ
fcm_age_content,"""Hero's Adventure"" Age warning\n1. This game is an open-world martial arts game with a pixelated ancient theme, suitable for users aged 12 and above. It is recommended that minors use the game under the supervision of a guardian.\n2. The game has main and side storylines, which are advanced through dialogue, interaction, and combat. By simulating a real martial arts world, each user can realize their martial arts dream, enjoy enmity, and wander the world with a sword, making the game world more open and exploratory.\n3. The game has a real-name authentication system. Users who are authenticated as minors will be subject to the following game restrictions:\nMinors cannot use the game from 22:00 to 8:00 the next day, and cannot use it for more than 3 hours on statutory holidays, and cannot use it for more than 1.5 hours at other times.\n4. The game unfolds the plot based on a fictional world, adopts distinctive art design, unique pixel graphics, and high-quality game music. While experiencing the game, you should comply with relevant laws and regulations.","""Hero's Adventure"" คำเตือนด้านอายุ\n1. เกมนี้เป็นเกมศิลปะการต่อสู้แบบเปิดโลกกว้างที่มีธีมโบราณแบบพิกเซล เหมาะสำหรับผู้ใช้ที่มีอายุ 12 ปีขึ้นไป ขอแนะนำให้ผู้เยาว์เล่นเกมภายใต้การดูแลของผู้ปกครอง\n2. เกมมีเนื้อเรื่องหลักและเนื้อเรื่องเสริมซึ่งมีความก้าวหน้าผ่านบทสนทนา การโต้ตอบ และการต่อสู้ ด้วยการจำลองโลกศิลปะการต่อสู้ที่แท้จริง ผู้เล่นแต่ละคนสามารถจินตนาการถึงความฝันด้านศิลปะการต่อสู้ของตนเอง เพลิดเพลินกับการต่อสุู้ และออกท่องโลกไปกับกระบี่ ทำให้โลกของเกมเปิดกว้าง และน่าสำรวจมากขึ้น\n3. เกมมีระบบยืนยันตัวตนด้วยชื่อจริง ผู้ใช้ที่ได้รับการรับรองความถูกต้องว่าเป็นผู้เยาว์จะต้องปฏิบัติตามข้อจำกัดของเกมดังต่อไปนี้:\nผู้เยาว์ไม่สามารถเล่นเกมได้ตั้งแต่เวลา 22:00 น. ถึง 8:00 น. ของวันถัดไป และไม่สามารถเล่นเกิน 3 ชั่วโมงในวันหยุดตามกฎหมาย และไม่สามารถเล่นเกิน 1.5 ชั่วโมงในเวลาอื่นได้\n4. เกมดำเนินเนื้อเรื่องตามโลกสมมติ ใช้การออกแบบงานศิลปะที่โดดเด่น กราฟิกพิกเซลที่เป็นเอกลักษณ์ และเพลงในเกมคุณภาพสูง ขณะเล่นเกม คุณควรปฏิบัติตามกฎหมายและข้อบังคับที่เกี่ยวข้อง"
billboard_steam_title,<b><size=48>v1.0 Update Announcement </size></b>
billboard_steam_content,"<size=24><space=2em>V1.0 is live now! Over the 8-month journey with five major updates, Hero's Adventure has evolved with over 40 updates. With each content addition, the team has continuously adjusted aspects of the game that didn't offer the best experience. We hope our martial heroes can have an enjoyable time in this improved version of Hero's Adventure. We express our greatest gratitude to all players who have supported and provided feedback!\n\n<size=24><space=2em>In addition to new content like the ""Homestead,"" ""Jiujiang Water Camp,"" and ""Fame Events,"" the V1.0 update has adjusted over 400 existing events, introduced over 200 independent events, new bonded NPCs, and Easter egg storylines. Some older save files might run into some issues with the adjusted new events, we highly recommend<#d09a09>tarting a new playthrough for the best V1.0 experience.</color>.\n\n<size=24><space=2em>Check the detailed Patch Notes at the end. Any help needed during gameplay? Join our [Discord server](https://discord.gg/bcX8pry8ZV)!  \n\n<space=2em><#d09a09>[EA Commemorative Item]</color>\n<space=2em>- Eligibility: Players who bought/redeemed the game pre-official release (before 07:00 pm PST, 10:00 pm EST on November 15th).\n<space=2em>- How to claim: Get the EA Commemorative Item - Special Medal (Legendary) on character creation. It summons our game producer to aid you in battles.\n\n<space=2em><#d09a09>[More Events]</color>\n<space=2em>We are running giveaways with some partners, if you have any friends who would like a chance to get a free copy of Hero's Adventure, make sure to participate! More details about the giveaways in our latest Steam post\n\n<space=2em><#d09a09>V1.0.1115b48 Patchnote</color>\n<space=2em>[New content]\n<space=2em>1. New Homestead system and related maps\n<space=3em>To access: Achieve reputation level 4 (Rising Star). Unlock by completing relevant events at the Opulent Tower in Daliang City.\n<space=2em>2. New joinable faction ""Jiujiang Water Camp"" and related events\n<space=2em>3. Introduced ""Fame Events"" that are triggered by leveling up your reputation\n<space=2em>4. Numerous new and adjusted events\n<space=2em>5. New NPC duel feature\n<space=3em>Unlocks with an NPC relationship level of 40. First-time victory grants reputation and Jianghu experience.\n<space=2em>6. New Jianghu experience allocation system:\n<space=3em>Acquire Jianghu experience points by completing Jianghu events, town bounties, and duels. \n<space=2em>7. New counterattack mechanics\n<space=2em>8. Four new bondable characters: ""Man Tuoluo"", ""Wanyan Zhaoning"", ""Yi Zhihua"", ""Han Hongyu""\n<space=2em>9. New Martial Arts Additional Effects\n<space=2em>10. New traits: attribute buffs unlocked at 25 Points in all five attributes:\n<space=3em>Robust Vitality: Activates when Constitution >= 25, increases base defense by 10%.\n<space=3em>Exceptional Insight: Activates when Intelligence >= 25, upgrades all abilities' efficiency by 50%. [Mathematical Formula]\n<space=3em>Fortunate Soul: Activates when Luck >= 25, increases combo rate by 15%, counterattack rate by 15%.\n<space=3em>Graceful as a Swan: Activates when Agility >= 25, successful evasion, accumulates 150 Qi.\n<space=3em>Mighty Strength: Activates when Strength >= 25, increases base attack power by 10%.\n<space=2em>11. Six new Ultimate Moves\n<space=2em>12. New Batch of Accessories\n<space=2em>13. New Crafting Items: craft high-rarity gifts through multiple low-rarity gifts\n<space=2em>14. Added Pet Encyclopedia\n<space=2em>15. 8 new achievements, and 2 new True Endings\n<space=2em>16. New equipment acquisition method: chance of dropping equipment after victory in world map battles. (special icon)\n<space=2em>17. Entering battle and killing NPCs will have a chance to obtain the NPC's high-rarity loot. \n<space=2em>18. Opening cut scene now available in Traditional Chinese and English\n<space=2em>19. Added Xbox controller compatibility\n<space=2em>20. Added Steam Deck compatibility\n\n<space=2em>[Adjustments]\n<space=2em>1. Adjustments to some Martial Arts Additional Effects\n<space=2em>2. Adjustments to some traits aptitude buff effects:\n<space=3em>Robust: changed to increase current maximum health by 10%.\n<space=3em>Lucky: changed to 50% chance of triggering additional drops upon killing enemies.\n<space=3em>Brutal: changed to 15% increase in critical damage.\n<space=2em>3. Adjustments to low-quality weapon and armor additional effects: introducing dynamic attributes and different special techniques.\n<space=2em>4. Adjustments to Some Accessories Additional Effects.\n<space=2em>5. Adjustment to hidden weapons.\n<space=2em>6. Optimized main menu.\n<space=2em>7. The protagonist will no longer consume stamina when moving on the map while riding a pet.\n<space=2em>8. Adjustments to companion equipment management requirements: Requires a Relationship Level of 40 or higher.\n<space=2em>9. Combat ability display relocated to the top left corner, shown in icon form. In combat, for every 10 points difference in combat capabilities, gain a 1% damage boost\n<space=2em>10. Adjustments to some item crafting materials.\n<space=2em>11. Adjustments to material spots and distribution rate.\n<space=2em>12. ""Yin"" Martial Arts basic attribute changed to counterattack, adjustments to specific martial arts special effects.\n<space=3em>Caught Off Guard (""Fearless charge""): Temporarily increases this attack's combo rate by 2.5% for each point the protagonist's agility exceeds the enemy's highest agility.\n<space=3em>Resilient: Reduces final damage received by 1.5% for each point of constitution.\n<space=3em>Strong arm: Adds 1.5% final damage for each point of strength.\n<space=3em>Collateral damage: Deals splash damage equivalent to 25% of the protagonist's attack to enemies on the edge of the damage range.\n<space=3em>Out of the Blue (""Ghostly shadow""): After successfully triggering a counterattack, the attacker's Qi regeneration speed decreases by 20% until their next action.\n<space=3em>Flexibility: After triggering a counterattack, gain an additional 10 combat intent and 150 Qi.\n<space=3em>Lightning fast: Each time hit, temporarily stacks 5% counterattack rate until a counterattack is triggered or the battle ends, at which point the stack is cleared.\n<space=2em>13. Adjustments to how the main five Attributes influence Attack, Defense, Health, Critical, Evasion, Block, and Counterattack.\n<space=2em>14. Adjustments to some buff effects:\n<space=3em>Courteous: When meeting a non-hostile character for the first time, additional relationship points. If reputation level is lower than the target, +2 relationship; for every level higher, an additional +2 relationship. For example, with a reputation level of 2 and the target at level 1, the initial meeting relationship is +4.\n<space=3em>Royal son in law: If reputation is below level 6, treat it as level 6 for calculating the effectiveness of gift-giving to the opposite sex (decreased by 90%). Upon first meeting with an NPC lower than your reputation level, gain 20 relationship points . Gain 2 copper coins daily.\n<space=3em>Jianghu Master: Initial reputation level is 10, and the initial relationship with the six major sects is 60 (the effect of the original 60 relationships with the six major sect leaders is canceled, and the initial relationship with sects is changed from 40 to 60).\n<space=2em>15. Adjusted attribute increase spread for important characters.\n<space=2em>16. All Boss characters receive an additional 1 point in all five attributes on Hard Difficulty; Characters receive an additional 1 point in all five attributes on Asura Difficulty; Boss Characters receive an additional 2 points in all five attributes.\n<space=2em>17. Max spirit increased from 200 to 250.\n<space=2em>18. Event-Related Adjustments:\n<space=3em>Reducing the times of training event with Fu Yao Qin at the Immortality Spring to 5 times.\n<space=3em>Sea Serpent Gang event provides the Jade Seal synthesis formula when learning about it.\n<space=3em>Automatically trigger a relationship reward with the Lord upon becoming the royal son-in-law, eliminating the need to visit the Yuelao Temple.\n<space=3em>Removed the promotion and conferment of titles after rescuing the Emperor Xuanhe; after Lord Kang ascends the throne, triggering a scenario to confer the title of Duke upon merit.\n<space=3em>Inviting Shen Wuqi Conditions: Participating in the Night Demon Pavilion auction reduced from 20 times to 5 times.\n<space=3em>Peak Enlightenment Event Trigger Conditions: Require a reputation level of 8, attain the top position, and win a one-on-one duel against any of the three sect leaders.\n<space=3em>Yuan Zhixiang quest type change: Shifted from main quest to side quest type.\n<space=3em>Removal of Sect Bulletin Board: Sect characters now post daily tasks instead. Completing tasks from other sects improves sect relationships, while completing tasks within the sect rewards additional sect contributions.\n<space=3em>Added supplementary facial expressions for female characters for selected events.\n<space=3em>Jianghu Events Reward Adjustment: Added rewards for Jianghu experience.\n<space=3em>Changed the trigger of Fashi Pill Event: Changed the trigger of the Poisoning event of Du Yapuo.\n<space=2em>19. Beast Rings adjustment: \n<space=3em>Changed the auction prices and is now non-tradable.\n<space=2em>20. Yangexing Event Enhancement: \n<space=3em>Progress to a certain extent and you can exchange high-rarity items using sect contributions at Yangexing.\n<space=2em>21.Different levels of material gathering spots now have different assets.\n\n<space=2em>[Fixes]\n<space=2em>1. Fixed the issue with the Dancing Garment Sutra lacking related dialogue descriptions.\n<space=2em>2. Fixed the problem with Crime Investigation Bureau disciples having incorrect appearances after joining the Ye Family Battalion and getting kicked out.\n<space=2em>3. Fixed the issue where Eldest Brother dies after ringing the bell ten times and cannot turn in the task.\n<space=2em>4. Fixed the description of pet low satiety.\n<space=2em>5. Fixed the issue of weapons having lower-than-expected random attributes during forging.\n<space=2em>6. Optimized the slow pathfinding of Fu Yaoqin and the issue of not stopping at the Fountain of Youth.\n<space=2em>7. Streamlined the display of key attributes in the character interface in the English version.\n<space=2em>8. Fixed the out of bound issue of item tips text in the English version.\n<space=2em>9. Fixed a coin exploit in Relic House."
StopQuit_Save,"%c%Synchronizing save data, please wait a moment",%c%กำลังบันทึกข้อมูลให้ตรงกัน โปรดรอสักครู่
Achievement_Kill_Info,Defeat {count} enemies,กำจัดศัตรู {count} ตัว
Achievement_Test_Info,Test test {count},ทดสอบ ทดสอบ {count}
CoinUnit_Guan,Guan,ตำลึง
CoinUnit_Wen,Coin,อีแปะ
Hit_Miss,Evasion,หลบหลีก
