﻿ControlTip_Or,Or,หรือ
ControlTip_Setup,Settings,ตั้งค่า
ControlTip_Back,Return
ControlTip_Next,Next Step,ขั้นต่อไป
ControlTip_Close,Close
ControlTip_Confirm,Confirm,ยืนยัน
ControlTip_Confirm1,Confirm,ยืนยัน
ControlTip_EnableOrDisable,Enable/Disable
ControlTip_Stop,Stop,หยุด
ControlTip_Cancel,Cancel,ยกเลิก
ControlTip_ModSubDel,Subscribe/Unsubscribe
ControlTip_ModDel,Unsubscribe,เลิกติดตาม
ControlTip_Refresh,Refresh
ControlTip_LongDesc,Info Details
ControlTip_PageUp,Previous Page,ก่อนหน้า
ControlTip_PageDown,Next Page,ถัดไป
ControlTip_MoveVertical,Move Up/Down
ControlTip_ModGood,Like
ControlTip_ModBad,Dislike
ControlTip_RestoreDefault,Default Recovery
ControlTip_Select,Select,เลือก
ControlTip_Apply,Save,บันทึก
ControlTip_ConfirmOrCancel,Confirm/Cancel,ยืนยัน/ยกเลิก
ControlTip_SwitchGroup,Switch Category
ControlTip_BondsPlace,Place Wedding Stone
ControlTip_ViewHelp,Info Help
ControlTip_Done,Hand in
ControlTip_ReceiveTask,Accept,ยอมรับ
ControlTip_ForgoTask,Abandon,ละทิ้ง
ControlTip_BountySwitch,Switch Area
ControlTip_BountyMoveItem,Move Item,ย้ายสิ่งของ
ControlTip_ToolSwitch,Select Tool,เลือกเครื่องมือ
ControlTip_StartOrPause,Start/Pause
ControlTip_Auto,Auto,อัตโนมัติ
ControlTip_NeverAsk,Don't Show Again,ไม่แสดงอีก
ControlTip_MainSubPageSwitch,Expand/Collapse,ย่อ/ขยาย
ControlTip_Scroll,Scroll Display
ControlTip_StoryCheck,Track,ติดตาม
ControlTip_ApplyTrade,Deal
ControlTip_ZoneSwitch,Switch Area
ControlTip_MoveItem,Move Item,ย้ายสิ่งของ
ControlTip_FastMoveItem,Quick Move Item
ControlTip_SwitchRole,Switch Character,เปลี่ยนตัวละคร
ControlTip_ResetPoint,Reset Potential
ControlTip_EditPoint,Allocate Potential
ControlTip_ChangeView,Switch Display
ControlTip_Filter,Filter,กรอง
ControlTip_QuikeSet,Quick settings,ตั้งค่าด่วน
ControlTip_Forget,Forget
ControlTip_Comprehend,Comprehend
ControlTip_ScrollView,Scroll Display
ControlTip_SwitchRoot,Switch Branch
ControlTip_Rebuild,Relearn
ControlTip_RoamingMode,Free Mode
ControlTip_RoamingModeBtn1,Stealth Mode
ControlTip_RoamingModeBtn2,Call Pet
ControlTip_RoamingModeBtn3,Move\nShow Log (Press Down)\nLight Push Turn
ControlTip_RoamingModeBtn4,Switch Selected Item
ControlTip_RoamingModeBtn5,Switch Selected Item
ControlTip_RoamingModeBtn6,Journal,บันทึก
ControlTip_RoamingModeBtn7,Open Home
ControlTip_RoamingModeBtn8,Settings,ตั้งค่า
ControlTip_RoamingModeBtn9,Battle Mode
ControlTip_RoamingModeBtn10,Map,แผนที่
ControlTip_RoamingModeBtn11,Meditate (Long Press)
ControlTip_RoamingModeBtn12,Cancel,ยกเลิก
ControlTip_RoamingModeBtn13,Interact/Pick Up
ControlTip_RoamingModeBtn14,Quick Save (X + D-pad Down)\nQuick Load (X + D-pad Up)
ControlTip_RoamingModeBtn15,Open/Close Key Prompt (Press Down)
ControlTip_RoamingModeBtn16,Character Menu,เมนูตัวละคร
ControlTip_BattleMode,Battle Mode
ControlTip_BattleModeBtn1,Retreat,หลบหนี
ControlTip_BattleModeBtn2,Auto Mode
ControlTip_BattleModeBtn3,Control Cursor
ControlTip_BattleModeBtn4,Ultimate Move,ท่าไม้ตาย
ControlTip_BattleModeBtn5,Item
ControlTip_BattleModeBtn6,Power Body
ControlTip_BattleModeBtn7,Throwing
ControlTip_BattleModeBtn8,Settings,ตั้งค่า
ControlTip_BattleModeBtn9,Rest
ControlTip_BattleModeBtn10,Switch Battle Speed
ControlTip_BattleModeBtn11,Show Battle Area (Long Press)
ControlTip_BattleModeBtn12,Return/Re-move
ControlTip_BattleModeBtn13,Confirm/Normal Attack/Info (Long Press)
ControlTip_BattleModeBtn14,-,-
ControlTip_BattleModeBtn15,Open/Close Key Prompt (Press Down)
ControlTip_BattleModeBtn16,-,-
ControlTip_Buy,Buy,ซื้อ
ControlTip_BuyType,Buy All Single
ControlTip_BuyAll,One-click Buy,ซื้อในครั้งเดียว
ControlTip_Sell,Sell,ขาย
ControlTip_SellType,Sell All Single
ControlTip_SellAll,One-click Sell,ขายในครั้งเดียว
ControlTip_CloseMult,Close Batch
