﻿KungfuInfo_Level,The {0}th level,ขั้นที่{0}
KungfuInfo_NameWithLevel,{0}{1},{0}{1}
KungfuDesc_市井拳法,"A boxing technique commonly used by street thugs, the punches are chaotic but effective.",วิชาหมัดที่นักเลงในตลาดใช้กันทั่วไป ออกหมัดสับสนไร้แบบแผนแต่กลับใช้ประโยชน์ได้จริง
KungfuDesc_逍遥扇舞,"The moves are as graceful as flowing clouds and water, dancing with the fan, dazzling.",กระบวนท่าอ่อนช้อยดุจเมฆเคลื่อนวารีคล้อย อาศัยพัดร่ายระบำ งดงามกระจ่างตา
KungfuDesc_龙蛇笔法,"The brush moves like a dancing dragon and snake, catching the enemy off guard.",ลายพู่กันเฉกมังกรอสรพิษร่ายรำ ทำให้ศัตรูไม่ทันรับมือ
KungfuDesc_泛沧浪,"Aspiring to sail a flat boat on the five lakes, abandoning fame and fortune as if discarding chaff, carrying the wind and moon to play with the clouds and water, treating worldly affairs as if they were floating dust.","ปรารถนาล่องเรือท้องไปตามทะเลสาบทั้งห้า, ละทิ้งชื่อเสียงและโชคลาภดั่งสิ่งไร้ค่า, แบกลมห่มพระจันทร์ขี่เมฆาและวารี, ปฏิบัติธรรมทางโลกประหนึ่งเป็นผงธุลีล่องลอย."
KungfuDesc_音波功,"Use MP to attack enemies with sound waves, achieving a deafening effect.",อาศัยกำลังภายในแปลงคลื่นเสียงทำร้ายศัตรู สามารถบังเกิดผลเป็นเสียงสะเทือนเลื่อนลั่น
KungfuDesc_霸王卸甲,"The tune is solemn and tragic, making the listener clench their fists and shed tears.","ท่วงทำนองจริงจังและเศร้าโศก, ทำให้ผู้ได้ยินต้องกำหมัดและหลั่งน้ำตา"
KungfuDesc_地趟刀法,"A sword technique that complements ground rolling movements, emphasizing the combination of upper and lower, and the integration of form and spirit.",เคล็ดวิชาดาบที่เสริมการเคลื่อนไหวรอบด้าน เน้นการประสานระหว่างด้านบนและล่าง บูรณาการรูปแบบและจิตวิญญาณ
KungfuDesc_游龙剑法,"Moving like a dragon emerging from the water, still as a spiritual cat catching a mouse.","เคลื่อนไหวเหมือนมังกรโผล่ขึ้นมาจากผิวน้ำ, ยังคงมีจิตวิญญาณแมวไล่จับหนู"
KungfuDesc_逍遥拳法,"Once the unique martial arts of a certain Jianghu sect, the punches are free and easy, delicate and agile.",ครั้งหนึ่งเคยเป็นวิชาเฉพาะของสำนักหนึ่งในยุทธภพ ออกหมัดอิสระไร้ห่วงพะวง งดงามคล่องแคล่ว
KungfuDesc_蟠龙棍法,"A stick technique created by the founding emperor of Zhao, now common among ordinary people.",วิชาพลองที่คิดค้นขึ้นโดยปฐมกษัตริย์รัฐจ้าว เวลานี้แพร่หลายไปในประชาชนทั่วไป
KungfuDesc_疾风刺,"Stab with a dagger like a thunderstorm, catching the enemy off guard.",แทงด้วยมีดเหมือนพายุฝนฟ้าคะนอง ทำให้ศัตรูไม่ทันตั้งตัว
KungfuDesc_六合枪法,"Combining the essence of six spear techniques into one, the movements are simple and fast, and the spear techniques are rich and changeable in an instant.",เมื่อรวมแก่นแท้ของเทคนิคหอกทั้งหกเข้าด้วยกัน การเคลื่อนไหวนั้นง่ายและรวดเร็ว และเทคนิคหอกนั้นสมบูรณ์และเปลี่ยนแปลงได้ในทันที
KungfuDesc_开山掌,"Extremely fierce, each palm strike has the power to split mountains and rocks.",การโจมตีด้วยฝ่ามือแต่ละครั้งนั้นรุนแรงมาก มีพลังที่จะแยกภูเขาและหินออกจากกัน
KungfuDesc_贪狼剑法,"Like a greedy wolf descending to the world, devouring all obstacles.",เหมือนหมาป่าโลภลงมาสู่โลกกลืนกินอุปสรรคทั้งหมด
KungfuDesc_霹雳刀法,"The sword is swift, as fast as thunder.",ชักกระบี่อย่างรวดเร็วดั่งสายฟ้า
KungfuDesc_混元棍法,"With the momentum of Mountain Breaker, shock the world.",ด้วยโมเมนตัมของเขาถล่มดินทลายที่ทำให้โลกตะลึง
KungfuDesc_七杀枪法,"There are seven moves, each one directly attacking the enemy's vital points, each move is critical.",มีทั้งหมดเจ็ดท่า แต่ละท่าโจมตีจุดสำคัญของศัตรูโดยตรง แต่ละท่ามีคริติคอล
KungfuDesc_高山流水,"A guqin tune passed down from ancient times, between the strings there are towering mountains and trickling streams.",เพลงกู่ฉินที่สืบทอดมาจากสมัยโบราณ ระหว่างสายมีภูเขาสูงตระหง่านและลำธารไหลริน
