﻿题库1_题目1,This is title 1,บทนำที่ 1
题库1_题目2,This is title 2,บทนำที่ 2
题库1_题目3,This is title 3,บทนำที่ 3
题库1_题目4,This is title 4,บทนำที่ 4
题库1_题目5,This is title 5,บทนำที่ 5
题库1_题目1_答案1,This is an answer. The number is: Question Bank 1_Title 1_Answer 1
题库1_题目1_答案2,This is an answer. The number is: Question Bank 1_Title 1_Answer 2
题库1_题目1_答案3,This is an answer. The number is: Question Bank 1_Title 1_Answer 3
题库1_题目1_答案4,This is an answer. The number is: Question Bank 1_Title 1_Answer 4
题库1_题目2_答案1,This is an answer. The number is: Question Bank 1_Title 2_Answer 1
题库1_题目2_答案2,This is an answer. The number is: Question Bank 1_Title 2_Answer 2
题库1_题目3_答案1,This is an answer. The number is: Question Bank 1_Title 3_Answer 1
题库1_题目3_答案2,This is an answer. The number is: Question Bank 1_Title 3_Answer 2
题库1_题目3_答案3,This is an answer with the code: QuestionBank1_Question3_Answer3
题库1_题目4_答案1,This is an answer with the code: QuestionBank1_Question4_Answer1
题库1_题目4_答案2,This is an answer with the code: QuestionBank1_Question4_Answer2
题库1_题目4_答案3,This is an answer with the code: QuestionBank1_Question4_Answer3
题库1_题目4_答案4,This is an answer with the code: QuestionBank1_Question4_Answer4
题库1_题目5_答案1,This is an answer with the code: QuestionBank1_Question5_Answer1
题库1_题目5_答案2,This is an answer with the code: QuestionBank1_Question5_Answer2
题库1_题目5_答案3,This is an answer with the code: QuestionBank1_Question5_Answer3
题库1_题目5_答案4,This is an answer with the code: QuestionBank1_Question5_Answer4
隆中书院老学究_题目1,"What is the next line after ""At the beginning, human nature is good""?","What is the next line after ""At the beginning, human nature is good""? (ตอบข้อ 1)"
隆中书院老学究_题目2,"What is the line before ""The way of teaching, value in focus""?","What is the line before ""The way of teaching, value in focus""? (ตอบข้อ 4)"
隆中书院老学究_题目3,"What is the next line after ""Jade, if not polished, does not become a tool""?","What is the next line after ""Jade, if not polished, does not become a tool""? (ตอบข้อ 2)"
隆中书院老学究_题目4,"What is the next line after ""The ospreys cry, on the islet in the river""?","What is the next line after ""The ospreys cry, on the islet in the river""? (ตอบข้อ 3)"
隆中书院老学究_题目5,"""The highest good is like water, water is good at ______""","""The highest good is like water, water is good at ______"" (ตอบข้อ 1)"
隆中书院老学究_题目6,"What is the next line after ""A tree as big as a man's embrace grows from a tiny shoot; A nine-storied tower rises from a heap of earth""?","What is the next line after ""A tree as big as a man's embrace grows from a tiny shoot; A nine-storied tower rises from a heap of earth""? (ตอบข้อ 3)"
隆中书院老学究_题目7,"What is the next line after ""Honorable and yet different""?","What is the next line after ""Honorable and yet different""? (ตอบข้อ 3)"
隆中书院老学究_题目8,"""Man follows the earth, the earth follows the heaven, ___, ____""","""Man follows the earth, the earth follows the heaven, ___, ____"" (ตอบข้อ 4)"
隆中书院老学究_题目9,"What is the next line after ""The mountain does not tire of height; the ocean does not tire of depth""?","What is the next line after ""The mountain does not tire of height; the ocean does not tire of depth""? (ตอบข้อ 3)"
