﻿end001,Novice Hero,จอมยุทธมือใหม่
end003,Unfavorable start,เริ่มต้นไม่ค่อยดี
end004,Jianghu Conqueror,จอมมารยุทธภพ
end005,Jianghu Master,ผู้นำยุทธภพ
end006,Great Hero,วีรบุรุษผู้ยิ่งใหญ่
end007,Good men of the Central Plains,คนดีแห่งจงหยวน
end008,Unfortunate events,เหตุการณ์ที่โชคร้าย
end009,Dead by poison,ตายเพราะยาพิษ
end010,Exiled to the army,ถูกเนรเทศไปเป็นกองทัพ
end011,Banished to the frontier,ถูกเนรเทศไปอยู่ชายแดน
end012,Surgical execution,ตัดหัว
end013,A new journey,การเดินทางครั้งใหม่
end014,Poetry and distant lands,บทกวีและดินแดนอันห่างไกล
end015,Rural scenery,ทิวทัศน์ชนบท
end016,Exhausted,เหนื่อยล้า
end017,Hidden threats are hard to guard against,ภัยคุกคามที่ซ่อนอยู่นั้นยากต่อการป้องกัน
end018,Retreat to the mountains and forests,พักผ่อนบนภูเขาและป่าไม้
end019,Chuxiang City is broken,เมืองฉู่เซียงถูกทำลาย
end020,Abandoned in the wilderness,ถูกทิ้งร้างอยู่ในถิ่นทุรกันดาร
end021,Guardian of Chuxiang City,ผู้พิทักษ์เมืองฉู่เซียง
end022,Disheartened,ท้อแท้
end023,Negotiating with a tiger for its skin,เจรจากับเสือเพื่อเอาหนังของมัน
end024,Starving and desperate,หิวโหยและสิ้นหวัง
end025,Brought to justice,ถูกนำตัวเข้าสู่กระบวนการยุติธรรม
end026,Happy New Year,สวัสดีปีใหม่
end027,Peak of Jianghu,จุดสูงสุดของยุทธภพ
end029,Enlightened Monk,พระภิกษุผู้รู้แจ้ง
end030,Imperial Noble,ขุนนางแต่งตั้ง
end031,Foreign Duke,อ๋องต่างแดน
end032,Chaos in the world,โลกอยู่ในความสับสนวุ่นวาย
end033,Loyalty,ความภักดี
end034,Sins lasting for eternity,บาปคงอยู่ชั่วนิรันดร์
end035,Sage of Confucianism,ปราชญ์แห่งลัทธิขงจื๊อ
end036,Nine Factions Sect Master,ปรมาจารย์นิกายเก้าฝ่าย
