﻿DefaultPlayerName_Family,Vinegar,ซู
DefaultPlayerName_Given,Shrimp,เสี่ยวเซีย
CharacterInfo_欧阳晨,"A little shrimp just stepping into the martial world, the future is unknown, anything is possible.",เด็กน้อยที่เริ่มก้าวเข้าสู่ยุทธภพ อนาคตไม่แน่นอน ทุกสิ่งล้วนเป็นไปได้
CharacterInfo_长春子,"A second-generation disciple of the Taoist Sect, responsible for presiding over the Zhenwu Sword Formation and training new disciples in the Taoist Sect. He is upright, humble, and an Evil slayer, highly appreciated by the head of the Taoist Sect. However, his stubborn and inflexible character makes his uncle La Tazhang quite helpless."
CharacterInfo_苗木黎,"Chief of the Jiuli Tribe, has a deep understanding of toxins, only wishes to revive the tribe and take revenge on the Central Plains martial arts sects that have oppressed them for a long time, will stop at nothing to achieve this goal.",หัวหน้าเผ่าจิวลี่ศึกษาเรื่องการใช้พิษจนกระจ่าง เพื่อหวังฟื้นฟูเผ่าตนและล้างแค้นเหล่าชาวยุทธ์จงหยวนที่ข่มเหงพวกเขามาช้านาน ไม่สำเร็จการไม่เลิกรา
CharacterInfo_洪小七,"A little beggar wandering in the Nameless village, idle all day, relying on petty theft to barely make ends meet."
CharacterInfo_任中横,"The master of the Pojun Hall of the Holy Fire Sect, appears rough but is actually thoughtful, has selected many outstanding disciples for the Holy Fire Sect.",ผู้นำหอป๋อจุนแห่งนิกายเพลิงศักดิ์สิทธิ์ ภายนอกหยาบกร้านแท้จริงเป็นคนเจ้าปัญญา ได้คัดเลือกศิษย์อันโดดเด่นเพื่อนิกายเพลิงศักดิ์สิทธิ์มาไม่น้อย
CharacterInfo_苗彩蝶,"The holy woman of the Jiuli tribe, the younger sister of the tribal chief Miao Muli. She is lively and innocent by nature, and can naturally communicate with insects. Because she was poisoned by Miao Muli from a young age, her hair turned white as snow and she looks like a young girl."
CharacterInfo_释嗔,"Originally a disciple of Shifa Temple, he was called to serve in the army to defend the border and was promoted to the rank of Chuxiang City. Later, he accidentally learned of Lü Wenhuan's collusion with the enemy. Unwilling to be corrupted, he was framed and wanted by the government. He had no choice but to change his appearance and travel around as a monk."
CharacterInfo_凌鸿轩,"{Ling Mengdie}'s elder brother, a rising star in the martial arts world, who travels everywhere seeking medical advice to cure his sister's strange disease, finally arrives at the Confucius Temple. He is arrogant and shows no good face to anyone, but is completely obedient to his sister.",{Ling Mengdie} เป็นพี่คนโต เปรียบดั่งดาวรุ่งผู้ผุดขึ้นในยุทธจักร เขาเดินทางไปทุกหนแห่งเพื่อหาวิธีรักษาโรคประหลาดให้น้องสาวตน จนในที่สุดก็ได้มาถึงอารามขงจื๊อ หยิ่งทะนงและไม่มีไมตรีต่อผู้ใด เชื่อฟังน้องสาวผู้เดียวเท่านั้น
CharacterInfo_凌梦蝶,"{Ling Hongxuan}'s younger sister, who is intelligent and well-read, has a deep understanding of the martial arts of various sects. She was born with a strange disease and lacks vitality, often falling into slumber.",คนน้องสาว {Ling Hongxuan} เป็นผู้มีปัญหาปราดเปรื่องรอบรู้วรยุทธสำนักต่างๆมากมาย นางเกิดมาพร้อมกับโรคประหลาดและขาดกำลังวังชา มักง่วงนอนอยู่บ่อยครั้ง
CharacterInfo_叶银瓶,"The daughter of Ye Pengju, she grew up with her father in the Ye Family Battalion. She is bored with the dull rules of the army and yearns for the free and exciting world of martial arts. Unfortunately, she lacks enough knowledge and experience, and is not cautious enough in her actions. She often causes various troubles and can only endure being grounded by her father time and time again."
CharacterInfo_佟道辅,"The head of the Imperial City Department, originally a favorite of the emperor, held a high-ranking position under the emperor, responsible for monitoring the dynamics of all forces in the world. With the emperor being captured by the Yan Kingdom, the political situation was turbulent for a while, and he also placed bets everywhere looking for a suitable backer."
