﻿CharaName_NameFormat,{0} {1}
CharaName_不苟言笑的道士,Serious Taoist
CharaName_深沉阴冷的汉子,Deep and cold man
CharaName_脏兮兮的小乞丐,Dirty little beggar
CharaName_满脸凶相的大汉,Fierce-looking man
CharaName_娇憨可掬的女孩,Cute and naive girl
CharaName_一身酒气的汉子,Man reeking of alcohol
CharaName_一脸冷峻的年轻人,Stern-faced young man
CharaName_姿容秀丽的女孩,Beautiful girl
CharaName_活力开朗的女孩,Lively and cheerful girl
CharaName_阴沉狡诈的怪人,Gloomy and cunning weirdo
CharaName_威风凛凛的将军,Majestic general
CharaName_气度不凡的道士,Taoist with extraordinary bearing
CharaName_孤傲的中年人,Proud middle-aged man
CharaName_贵气的中年人,middle-aged nobleman
CharaName_醉眼迷离的中年人,Drunken middle-aged man
CharaName_气度儒雅的老者,Aelegant and scholarly Elder
CharaName_面带微笑的公子,Smiling young master
CharaName_一本正经的道人,Serious Taoist
CharaName_古怪打扮的戏子,Strangely dressed actor
CharaName_风姿绰约的女郎,Graceful girl
CharaName_冷酷的中年人,Cold middle-aged man
CharaName_神情肃穆的僧人,Solemn monk
CharaName_沉默内敛的僧人,Silent and introverted monk
CharaName_肮脏邋遢的头陀,Sloppy monk
CharaName_贼眉鼠眼的官员,Sneaky-looking official
CharaName_脾气暴躁的官员,Hot-tempered official
CharaName_冷漠高傲的女子,Cold and arrogant woman
CharaName_凶相毕露的乞丐,Fierce-looking beggar
CharaName_不怀好意的婆子,Malicious old woman
CharaName_大腹便便的屠户,Fat butcher
CharaName_戾气深重的汉子,Heavy hostile man
CharaName_倔强的年轻小将,Stubborn young soldier
CharaName_霸气内敛的中年人,Dominant and introverted middle-aged man
CharaName_阴沉精明的公子哥,Gloomy and shrewd young master
CharaName_深沉寡言的壮汉,Deep and reticent strong man
CharaName_不怒自威的中年人,Majestic middle-aged man.
CharaName_阴恻恻的书生,Melancholic scholar
CharaName_干练豪爽的女子,Able and bold woman.
CharaName_目盲的汉子,Blind man
CharaName_飘逸出尘的老者,Elegant and detached elder
CharaName_萎靡不振的年轻人,Depressed young man
CharaName_霸气外露的老者,Domineering elder
CharaName_不善言辞的剑客,Unspoken swordsman
CharaName_英姿飒爽的女子,Valiant woman
CharaName_开朗豪放的剑客,Cheerful and unrestrained swordsman
CharaName_沉默寡言的武士,Silent and taciturn warrior
CharaName_阴恻狞笑的武士,Gloomy and grinning warrior
CharaName_柔情似水的女子,Gentle and caring woman
CharaName_面上有疤的糙汉子,Rough man with a scar on his face
CharaName_机谋睿智的书生,Cunning and wise scholar
CharaName_秀丽脱俗的女子,Elegant and refined woman
CharaName_精明睿智的生意人,Shrewd and wise businessman
CharaName_冷艳高傲的道姑,Cold and proud Taoist nun
CharaName_皮糙肉厚的胖汉,Hardy fat man
CharaName_尖嘴猴腮的瘦子,Skinny guy with a sharp tongue
CharaName_衣衫褴褛的怪老头,Ragged old man
CharaName_游历江湖的剑客,Wandering swordsman
CharaName_神采奕奕的男子,Man in good spirits
