﻿CharPropName_Hp,HP,HP
CharPropName_Ep,MP,MP
CharPropName_生命,Max HP,HP สูงสุด
CharPropInfo_生命,Character is defeated or dies when HP reaches 0 in battle.,ตัวละครจะตายหรือพ่ายแพ้เมื่อพลังชีวิตเหลือ 0 ในการต่อสู้
CharPropName_内力,Max MP,MP สูงสุด
CharPropInfo_内力,"MP cost when using martial arts, learning and upgrading internal skills can increase MP.",เสียกำลังภายในเพื่อใช้วรยุทธ เรียนรู้ และพัฒนาวิชากำลังภายในเพื่อเพิ่มกำลังภายใน
CharPropName_体质,Constitution,พลังกาย
CharPropInfo_体质,"Constitution\nAffects HP and Defense growth when Character levels up, part of the Equip conditions;\nActivate when Constitution reaches 10 points:\n【<#29F161>Robust</color>:<#F3DE99>Maximum HP value increased by 10%</color>】\nActivate when Constitution reaches 25 points:\n【<#29F161>Full of Vitality</color>:<#F3DE99>Basic Defense increased by 10%</color>】","พลังกาย\nส่งผลต่อค่าเริ่มต้นของ HP, การเติบโตของพลังป้องกันเมื่อตัวละครเพิ่มเลเวล, และเป็นส่วนหนึ่งของเงื่อนไขการสวมใส่\nพลังกายถึง 10 แต้ม จะเปิดใช้งาน:\n【<#29F161>ทนทาน</color>:<#F3DE99>ค่า HP สูงสุดเพิ่มขึ้น 10%</color>】\nพลังกายถึง 25 แต้ม จะเปิดใช้งาน:\n【<#29F161>พลังเต็มเปี่ยม</color>:<#F3DE99>พลังป้องกันขั้นพื้นฐานเพิ่มขึ้น 10%</color>】"
CharPropName_臂力,Strength,พละกำลัง
CharPropInfo_臂力,"Strength\nAffects Character's initial Critical, Attack growth, and some Equip conditions;\nStrength reaches 10 points to activate:\n【<#29F161>Brutal</color>:<#F3DE99>When Critical, Critical Increases Damage by 15%</color>】\nStrength reaches 25 points to activate:\n【<#29F161>Power of a Thousand</color>:<#F3DE99>Basic Attack increases by 10%</color>】","พละกำลัง\nส่งผลต่อค่าเริ่มต้นของ คริติคอล, การเติบโตของพลังโจมตีเมื่อตัวละครเพิ่มเลเวล, และเป็นส่วนหนึ่งของเงื่อนไขการสวมใส่\nพละกำลังถึง 10 แต้ม จะเปิดใช้งาน:\n【<#29F161>โหดร้าย</color>:<#F3DE99>เมื่อติดคริติคอล ความเสียหายคริติคอลจะเพิ่มขึ้น 15%</color>】\nพละกำลังถึง 25 แต้ม จะเปิดใช้งาน:\n【<#29F161>พลังพันชั่ง</color>:<#F3DE99>พลังโจมตีพื้นฐานเพิ่มขึ้น 10%</color>】"
CharPropName_悟性,Intelligence,สติปัญญา
