key,original,translation,context
tag1,Nameless area,,无名地区
tag1_chuanwen1_0,Village Head's treasure,,村长守护之物
tag1_chuanwen1_1,"In the bedroom of the Nameless villageVillage leader's house, there is a <color=#c44b0e>large pottery jar</color> with a secret chamber underneath. It is said that the coiled dragon chest inside holds the treasure that the Village Head has been guarding for many years.",,无名小村村长家中卧房里有一<color=#c44b0e>大陶缸</color>，下面暗藏密室，据说里面的蟠龙宝箱存放着村长多年守护之物。
tag1_chuanwen2_0,Descendant of the Yang family,,杨家后人
tag1_chuanwen2_1,Someone once saw a person in <color=#c44b0e>Chuxiang City</color> who looked very much like General Yang when he was young. It could be a descendant of the Yang family.,,有人曾在<color=#c44b0e>楚襄城</color>见过酷似杨将军年轻时容貌之人，可能是杨家后人。
tag1_chuanwen3_0,Pear Blossom Manual,,梨花枪秘籍
tag1_chuanwen3_1,"The <color=#c44b0e>Pear Blossom Manual</color> of the Revered is kept by the descendants of the Yang family, but the whereabouts of the descendants are still unknown.",,举世闻名的<color=#c44b0e>梨花枪秘籍</color>由杨家后人保管，但是杨家后人至今下落未知。
tag1_chuanwen3_2,Yang Yao Er informed that the <color=#c44b0e>Pear Blossom Spear Manual</color> is hidden in a cave in a Ruined shrine.,,杨幺儿告知，<color=#c44b0e>梨花枪法秘籍</color>藏匿在一处破庙的地洞内。
tag1_chuanwen4_0,Pear Blossom,,梨花枪
tag1_chuanwen4_1,"It is rumored that the Yang family's <color=#c44b0e>Pear Blossom</color> is hidden in the deepest part of the Wild Wolf Valley, and it seems not easy to obtain.",,传闻杨家的<color=#c44b0e>梨花枪</color>藏在野狼谷最深处，似乎不会轻易获得。
tag1_chuanwen5_0,Xiao Bao's Secret,,小宝的秘密
tag1_chuanwen5_1,"Under a pink-leafed tree in the Lost Forest, a large Lingzhi grows.",,在迷踪林里的一颗粉红树叶的大树下，生长一颗大灵芝。
tag1_chuanwen6_0,The Friendship of the Landlady,,老板娘的友谊
tag1_chuanwen6_1,"If the innkeeper's wife considers you <color=#c44b0e>Intimate</color>, you can stay at the village inn for <color=#c44b0e>free</color>.",,若是客栈老板娘视你为<color=#c44b0e>知己</color>，便可在小村客栈<color=#c44b0e>免费住宿</color>
tag1_chuanwen7_0,Ruined shrine,,破庙
tag1_chuanwen7_1,It is said that the wall of the Ruined shrine outside the village will display text at night.,,据说村外破庙的墙在晚上会显示文字。
tag1_chuanwen8_0,Village Hunter,,小村猎户
tag1_chuanwen8_1,"It is said that Hunter Liu Shiba learned the ability to speak to animals from the disciples of the Beast Mountain Villa. Pay more attention to the news of the Beast Mountain Villa in the future, and you may have the opportunity to learn the animal language.",,听说猎户·刘十八是从万兽山庄弟子那里学到的兽语本事，以后多留意万兽山庄的消息，说不定也有机会学到兽语。
tag1_chuanwen9_0,Human Sentiments,,人情世故
