key,original,translation,context
10001_1_1,Hmm? What's a nameless soldier like you doing here?,,嗯？无名小卒，来此处所为何事？
10001_2_1,"Oh, it's {PlayerName}, what's up?",,哦，是{PlayerName}啊，有事么？
10001_3_1,"It's {PlayerSurName}, the young hero, welcome!",,是{PlayerSurName}少侠啊，欢迎欢迎！
10001_4_1,Hmm... Although it's not much!,,嗯……虽说不算多！
10001_5_1,"Considering our Relations are not too bad, and {PlayerName} your attitude is quite good, we'll accept this gift!",,念在我们的关系还不是太坏，且{PlayerName}你的态度还不错的份上，这礼我们就收了！
10001_6_1,"In that case, please come in, {PlayerSurName} young hero!",,如此，{PlayerSurName}少侠里面请！
10001_7_1,"Kid, I think you've got a lot of nerve, daring to run wild in my sect. Fellow Daoists, let's kill this evil creature together!",,小子，我看你是吃了熊心豹子胆了，敢在本宗撒野，众道友一起诛杀了这孽障！
10002_1_1,Hmm? What do you want from me?,,嗯？找本宗何事？
10002_10_1,Ah oh... (yawning),,啊哦……（打哈欠）
10002_10_2,"Hey! Want to fight? Hurry up, I'm so sleepy!",,诶！要打架么？快快快困死我了！
10002_2_1,"It's {PlayerSurName}, the young hero, what brings you here this time?",,是{PlayerSurName}少侠，本次前来所谓何事？
10002_3_1,"{PlayerSurName} young hero, haha, long time no see!",,{PlayerSurName}少侠，哈哈哈，别来无恙啊！
10002_4_1,"Since it's {PlayerSurName} young hero's wish, I'll accept it!",,既然是{PlayerSurName}少侠的意思，那本宗便收下了！
10002_5_1,"Hehe, compared to what you've done in the past, this time you're much more rational!",,呵呵，对比你以往做的事情，这次倒是理智很多！
10002_6_1,"Good boy, you've got guts. Today, I'll kill you right here!",,好小子有胆，今日便将你诛杀于此！
10002_7_1,……,,……
10002_8_1,"I didn't expect you to be this kind of person, I must have been blind before!",,没想到你是这种人，算我当初瞎了眼！
10002_8_2,"Enough talk, draw your sword!",,废话少说，拔剑吧！
10002_9_1,The sect is also my home.,,宗门亦我家。
