key,original,translation,context
end014_1,"You use thunderous methods, causing a wave of bloodshed in the martial arts world.",,你施展雷霆手段，在江湖上掀起一阵阵腥风血雨。
end014_2,"Under your powerful strength and iron-fisted methods, more and more sects submit to you.",,在你的强悍实力和铁腕手段之下，越来越多的门派臣服于你。
end014_3,"Your notorious name echoes throughout the world, and from then on, no one dares to resist you.",,你的凶名响彻四海宇内，从此普天之下再无人敢与你抗争。
end014_4,"You finally end the martial arts disputes that have lasted for nearly a hundred years, and from then on, the martial arts world is unified!",,你，终于结束了近百年的江湖纷争，从此江湖一统！
end015_1,"Life is impermanent, peace of mind is the ultimate home.",,人生本无常，心安即归处。
end015_2,"From then on, the martial arts world lost a young hero, and a Nameless village gained a young Village Head.",,从此，江湖上少了一名少侠，某个无名小村里多了一位年轻的村长。
end015_3,You finally realize that what you truly yearn for might be such a peaceful and tranquil rural life.,,你终于发现，内心真正向往的，或许是如此这般安静祥和的田园生活。
end017_1,"It's easy to dodge a spear in the open, but hard to avoid an arrow in the dark. Be wary of others, and be smarter in your next life.",,明枪易躲暗箭难防，防人之心不可无，下辈子可长点心眼吧。
end018_1,You resolutely give up all your restraints and choose to experience a new life in the most primitive way.,,你毅然放弃所有的羁绊，选择以最原始的方式体验新的人生。
end019_1,"In front of a million armored soldiers, even many martial arts masters can't change the course of the battle.",,在百万铁甲之师面前，再多的武林高手也难扭转战局。
end019_2,Your desperate fight still can't change the fate of Chuxiang City being breached.,,你们的舍命一搏，依然无法改变楚襄城被攻破的命运。
end019_3,"The Yan army tramples over your bodies, floods into Chuxiang City like a tide, and rampages through the city.",,燕军从你们的身体上踩过，潮水一般涌入楚襄城，在城内大肆烧杀抢掠。
end019_4,"Despite your unwillingness, you are powerless to reverse the situation. You close your eyes helplessly amidst the screams...",,尽管心中有万分不甘，但你却无力回天。在惨叫声中无奈地合上双眼……
end020_1,"In the chaotic world, your past life no longer matters. What you leave to the martial arts world is only an unnamed solitary grave.",,乱世之中，你生前的过往都不再有意义。你留给江湖的，只有一座无名孤坟。
end021_1,"A hundred days ago, you were just an unknown small figure.",,百日之前，你还是个名不见经传的小人物。
end021_2,"But after this battle, you have become a world-renowned hero.",,而经此一战，你已成为名动天下的大英雄。
end021_3,"The people of Chuxiang City, in order to commemorate your contributions, erected a tall statue for you in the center of the city...",,楚襄城的百姓为了纪念你的功劳，在城市的中央为你立起一座高大的雕像……
end021_4,"——Decades later, your heroic deeds are still being sung.",,——数十年后，你的英名仍旧被人传颂。
end021_5,"——The once proud son of heaven, the great hero of Chuxiang City.",,——曾经的天之骄子，楚襄城的大英雄。
