key,original,translation,context
IllustratedHandbook,Illustration,,图鉴
IllustratedHandbookTitle_Character,Character,,角色
IllustratedHandbookTitle_Item,Item,,物品
IllustratedHandbookTitle_Map,Scene,,场景
IllustratedHandbookTitle_Ending,Ending,,结局
101_name,Hermit in the village,,小村隐士
102_name,Hard life,,身世坎坷
103_name,Innocent victim,,池鱼之殃
104_name,The Successor of the Three Sects,,三教传人
105_name,Righteous heart,,忠肝义胆
106_name,Hidden evil intentions,,包藏祸心
107_name,Young talent,,少年才俊
108_name,Brave and fearless,,不让须眉
109_name,Four arts,,琴棋书画
110_name,Medicine and poison come from the same source,,医毒同源
111_name,Harm others without benefiting oneself,,损人不利己
112_name,Head of a family,,一门之主
113_name,Ten great spiritual beasts,,十大灵兽
114_name,Sharp divine weapon,,神兵利器
115_name,Protective armor,,护身宝甲
116_name,Unparalleled martial arts,,绝世武功
117_name,Twelve Animal Rings,,十二兽环
118_name,Scene guide,,场景图鉴
119_name,Ending guide,,结局图鉴
120_name,Grandmaster,,一代宗师
121_name,Yan Yun Iron Army,,燕云铁军
122_name,Wandering around,,云游四方
123_name,Innocent,,天真无邪
124_name,Keep oneself pure,,洁身自好
,,,
