key,original,translation,context
common_tip_title,Hint,,提示
fcm_age_title,Age warning,,适龄提示
fcm_age_content,"""Hero's Adventure"" Age warning
1. This game is an open-world martial arts game with a pixelated ancient theme, suitable for users aged 12 and above. It is recommended that minors use the game under the supervision of a guardian.
2. The game has main and side storylines, which are advanced through dialogue, interaction, and combat. By simulating a real martial arts world, each user can realize their martial arts dream, enjoy enmity, and wander the world with a sword, making the game world more open and exploratory.
3. The game has a real-name authentication system. Users who are authenticated as minors will be subject to the following game restrictions:
Minors cannot use the game from 22:00 to 8:00 the next day, and cannot use it for more than 3 hours on statutory holidays, and cannot use it for more than 1.5 hours at other times.
4. The game unfolds the plot based on a fictional world, adopts distinctive art design, unique pixel graphics, and high-quality game music. While experiencing the game, you should comply with relevant laws and regulations.",,"《大侠立志传》适龄提示
1、本游戏是一款像素古风题材的开放武侠游戏，适用于年满12周岁及以上的用户，建议未成年人在监护人的监护下使用游戏产品。
2、本游戏设置了主线、支线剧情，通过对话、交互及战斗推动剧情，通过模拟真实的江湖生态让每一位用户实现自己心中的武侠梦，在游戏中可以快意恩仇，持剑天涯，让游戏世界更加具有开放性和探索性。
3、本游戏中有用户实名认证系统，认证为未成年的用户将受到以下游戏限制：
未成年人用户每日22时至次日8时不得使用游戏，法定节假日每天不得使用超过3小时，其他时间每天不得使用超过1.5小时。
4、游戏基于架空世界展开剧情，采用风格鲜明的美术设计、风格特异的像素画面以及优质的游戏配乐，在体验游戏的同时应遵循相关法律法规。"
billboard_steam_title,<b><size=48>9.26 Hotfix </size></b>,,<b><size=48>9月26日版本更新公告</size></b>
billboard_steam_content,"<size=24><space=2em>Hi Heroes, we have just updated a version that fixes some issues that affect your gameplay. Please check the detailed update content in the version log below. If you need any help during gameplay or if you have any questions about the creative workshop, you can join our official [Discord server](https://discord.gg/AZ4bhTYAaJ) and ask.

<space=2em>V0.9.0923b45 Update
<space=2em>【Adjustments】
<space=2em>1. At the beginning of  Yan Ge Xing, add a ""Meridian Damage"" status, which unlocks a new buff state after removal.
<space=2em>2. The cost for consulting Miao Cai Die has been adjusted to ""Fire Ants"" (obtained through bug hunting in Soul Destroyer Forest and auctioning at Night Demon Square).
<space=2em>3. The item guide has added ""Immovable Mountain"", ""Wan Min Palm"", and ""Xiao Hong Chen Music Score"".
<space=2em>4. If the rescue of Chu Kuang Sheng fails and the master Yan Ge Xing dies, players can choose whether to leave the sect.
<space=2em>5. Adjusted the dialogue related to finding Chu Kuang Sheng in Melody House.

<space=2em>【Fixes】
<space=2em>1. Fixed the issue with incorrect quality display of the ultimate move, ""Thousand Mountains Birds Fly Away"".
<space=2em>2. Fixed issues where some martial arts guides were missing in display.
<space=2em>3. Fixed an issue where the external skill ""Armor Breaker Emperor"" showed additional effects.
<space=2em>4. Fixed an issue where killing the rich merchant at No-Name Ferry caused the ferryman to not appear.

<space=2em>If anyone encounters any problems during gameplay, or has any questions about the creative workshop, you can join the official [Discord server](https://discord.gg/AZ4bhTYAaJ)  and ask.",,"<size=24><space=2em>各位玩家好，我们刚刚更新了一个版本，修复了部分影响大家游玩的问题，详细更新内容请查看下方版本日志信息。若您在游玩过程中需要任何帮助，都可以加入官方玩家群，联系带【问题反馈】的管理员向我们反馈。
官方玩家27群：619959310     官方玩家群28群：115925318

<space=2em>V0.9.0926b46版本日志
<space=2em>【调整】
<space=2em>1、荒废庭院、海蛟帮场景草席增加交互，可进行睡觉休息。
<space=2em>2、优化在多人场景游戏可能出现卡顿的问题。
<space=2em>3、取消顾倾城请教需要同门的要求，所需喜好物调整为乙级。
<space=2em>4、苗彩蝶试蛊事件的奖励调整。
<space=2em>5、燕歌行事件调整后续流程：从儒圣馆获知消息后可前往不老泉疗伤，再去霖安城云林寺。
<space=2em>6、调整燕歌行云林寺门口事件触发条件。
<space=2em>7、调整拜师燕歌行之后不必受限志向，只要满足条件即可在同一周目里达成一统江湖、保家卫国、独占鳌头成就。
<space=2em>8、调整主角对苗彩蝶的称呼，补充苗彩蝶相关传闻。
<space=2em>9、调整乡试、会试事件：未考第一名时，三日放榜之后仍可再次考取。
<space=2em>10、皇城司势力关系调整为不可调解。
<space=2em>11、外功“吞鲸刀法”第二条附加效果调整。

<space=2em>【修复】
<space=2em>1、修复了无名渡口显示两名艄公的问题。
<space=2em>2、修复了与严如蕊结缘时可能出现卡住及战斗立绘缺失的问题。
<space=2em>3、修复了宠物在队时战斗结算经验分配错误的问题。
<space=2em>4、修复了创角时选择“仁德”相关特征进入游戏数值错误的问题（需重新开档）
<space=2em>5、修复了西南地区荒废庭院无故开启，导致不能返程的问题
<space=2em>6、修复了外功“秋风掌法”第九重增加耍刀值错误的问题。
<space=2em>7、修复了宠物攻击时无法触发附加效果的问题。
<space=2em>8、修复了繁体语言部分成就显示缺失的问题。
<space=2em>9、修复了告发释嗔事件无法触发的问题。
<space=2em>10、修复了祛湿丸事件不能找到道士，导致无法开启月老祠的问题。
<space=2em>11、修复了内功“巫蛊毒功”受到破功后主内功仍可以生效的问题。

<space=2em>若大家在游玩过程中遇到了任何问题，都可以加入官方玩家群，联系带【问题反馈】的管理员向我们反馈，我们会提供1对1的咨询服务。

<space=2em>官方玩家27群：619959310 
<space=2em>官方玩家群28群：115925318
<space=2em>官方玩家18群：165072814（已开放）
<space=2em>官方玩家17群 ：801310302 （已开放）
<space=2em>官方玩家15群 ：141480592 （已开放）
<space=2em>官方玩家14群： 728897240 （已开放）
<space=2em>官方玩家7群 ：679566481 （已开放）
<space=2em>官方玩家5群：926111719 （已开放）
<space=2em>官方玩家4群：826179621 （已满）
<space=2em>官方玩家25群：724208742（已满）
<space=2em>官方玩家26群：722736145（已满）
<space=2em>官方玩家24群：102223136（已满）
<space=2em>官方玩家23群：213116717（已满）
<space=2em>官方玩家22群：343709025（已满）
<space=2em>官方玩家21群：550219413 （已满）
<space=2em>官方玩家20群：295390373（已满）
<space=2em>官方玩家19群：611246285（已满）
<space=2em>官方玩家16群 ：753444235 （已满）
<space=2em>官方玩家13群 ：801291993（已满）
<space=2em>官方玩家12群 ：863498517（已满）
<space=2em>官方玩家11群： 801256045（已满）
<space=2em>官方玩家10群 ：367248548 （已满）
<space=2em>官方玩家9群 ：801146478（已满）
<space=2em>官方玩家8群 ：683263874（已满）
<space=2em>官方玩家6群： 926229186 （已满）
<space=2em>官方玩家3群：753982506 （已满）
<space=2em>官方玩家2群：1169723804 （已满）
<space=2em>官方玩家1群：597962931 （已满）"
StopQuit_Save,"%c%Synchronizing save data, please wait a moment",,%c%正在同步存档，请稍等一下
Achievement_Kill_Info,Defeat {count} enemies,,击杀{count}敌人
Achievement_Test_Info,Test test {count},,测试测试{count}
CoinUnit_Guan,Guan,,贯
CoinUnit_Wen,Coin,,文
