key,original,translation,context
WorldmapBattle_1010001_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010002_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010003_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010004_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010005_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010006_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010007_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010008_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010009_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
WorldmapBattle_1010010_2,"This road is opened by me, and this tree is planted by me. If you want to pass, leave some money!|Brothers, it's a big fat sheep!|Brothers, it's time to work!|Let you see how powerful we are!|You're unlucky to meet me!|I'm in a bad mood, I'll take it out on you!|I'm lucky today, there's even business coming to the door!|I've killed dozens of guys like you!|I'll make you regret meeting me today!|Yo, business is coming to the door!|Someone's coming? Just in time, I haven't opened for a long time!|I've been itching for a long time!|You choose not to take the road to heaven, but to break into hell!",,此路是我开，此树是我栽，要想从此过，留下买路财！|弟兄们，是大肥羊！|弟兄们，出来干活了！|让你见识见识咱们的厉害！|遇到老子算你倒霉！|老子正心情不好，就拿你出出气！|今天运气不错，竟然还有自己送上门的买卖！|像你这样的家伙我已经杀了几十个了！|让你后悔今天遇到我！|哟呵，送上门的生意！|有人来了？正巧，老子好久没开张了！|老子早就闲得手痒了！|天堂有路你不走，地狱无门你闯进来！
