key,original,translation,context
BH_Title_1010001,Hand over Food,,上缴食物
BH_Title_1010002,Hand over Fruit,,上缴水果
BH_Title_1010003,Hand over Meat,,上缴肉食
BH_Title_1010004,Hand over Wine,,上缴酒
BH_Title_1010005,Hand over Food,,上缴食物
BH_Title_1010006,Hand over Fruit,,上缴水果
BH_Title_1010007,Hand over Meat,,上缴肉食
BH_Title_1010008,Hand over Wine,,上缴酒
BH_Title_1010009,Hand over Weapon,,上缴武器
BH_Title_1010010,Hand over Armor,,上缴护甲
BH_Title_1010011,Kill the wild boar,,击杀野猪
BH_Title_1010012,Kill the snake,,击杀蛇
BH_Title_1010013,Kill the wild boar,,击杀野猪
BH_Title_1010014,Kill the snake,,击杀蛇
BH_Title_1010015,Kill the wild boar,,击杀野猪
BH_Title_30000001,Collect Food,,搜集食物
BH_Title_30000002,Collect Fruit,,搜集水果
BH_Title_30000003,Collect Meat,,搜集肉食
BH_Title_30000004,Collect Wine,,搜集酒
BH_Title_30000005,Collect Medicine,,搜集药品
BH_Title_30000006,Collect Side,,搜集菜肴
BH_Title_30000007,Collect Aquatic,,搜集水产
BH_Title_30000008,Collect Wood,,搜集木材
BH_Title_30000009,Collect Ore,,搜集矿石
BH_Title_30000010,Collect Weapon,,搜集武器
BH_Title_30000011,Collect Armor,,搜集护甲
BH_Title_30000012,Collect Herb,,搜集药材
BH_Title_30000013,Collect Food,,搜集食物
BH_Title_30000014,Collect Fruit,,搜集水果
BH_Title_30000015,Collect Meat,,搜集肉食
BH_Title_30000016,Collect Wine,,搜集酒
BH_Title_30000017,Collect Medicine,,搜集药品
BH_Title_30000018,Collect Side,,搜集菜肴
BH_Title_30000019,Collect Aquatic,,搜集水产
BH_Title_30000020,Collect Wood,,搜集木材
BH_Title_30000021,Collect Ore,,搜集矿石
BH_Title_30000022,Collect Weapon,,搜集武器
BH_Title_30000023,Collect Armor,,搜集护甲
BH_Title_30000024,Collect Herb,,搜集药材
BH_Title_30000025,Collect Food,,搜集食物
BH_Title_30000026,Collect Fruit,,搜集水果
BH_Title_30000027,Collect Wine,,搜集酒
BH_Title_30000028,Collect Medicine,,搜集药品
BH_Title_30000029,Collect Side,,搜集菜肴
BH_Title_30000030,Collect Aquatic,,搜集水产
BH_Title_30000031,Collect Wood,,搜集木材
BH_Title_30000032,Collect Ore,,搜集矿石
BH_Title_30000033,Collect Weapon,,搜集武器
BH_Title_30000034,Collect Armor,,搜集护甲
BH_Title_30000035,Collect Herb,,搜集药材
BH_Title_30000036,Collect Food,,搜集食物
BH_Title_30000037,Collect Fruit,,搜集水果
BH_Title_30000038,Collect Wine,,搜集酒
BH_Title_30000039,Collect Medicine,,搜集药品
BH_Title_30000040,Collect Side,,搜集菜肴
BH_Title_30000041,Collect Wood,,搜集木材
BH_Title_30000042,Collect Ore,,搜集矿石
BH_Title_30000043,Collect Weapon,,搜集武器
BH_Title_30000044,Collect Armor,,搜集护甲
BH_Title_30000045,Kill the wild wolf,,击杀野狼
BH_Title_30000046,Kill the wild wolf,,击杀野狼
BH_Title_30000047,Wolf King Xiao Yue,,狼王啸月
BH_Title_3200001,Collect Weapon,,搜集武器
BH_Title_3200002,Collect Armor,,搜集护甲
BH_Title_3200003,Collect Fruit,,搜集水果
BH_Title_3200004,Collect Medicine,,搜集药品
BH_Title_3200005,Collect Herb,,搜集药材
BH_Title_3200006,Collect Bug,,搜集虫子
BH_Title_3200007,Collect Ornament,,搜集摆件
BH_Title_3200008,Collect Weapon,,搜集武器
BH_Title_3200009,Collect Armor,,搜集护甲
BH_Title_3200010,Collect Fruit,,搜集水果
BH_Title_3200011,Collect Medicine,,搜集药品
BH_Title_3200012,Collect Herb,,搜集药材
BH_Title_3200013,Collect Bug,,搜集虫子
BH_Title_3200014,Collect Ornament,,搜集摆件
BH_Title_3200015,Collect Fruit,,搜集水果
BH_Title_3200016,Collect Medicine,,搜集药品
BH_Title_3200017,Collect Herb,,搜集药材
BH_Title_3200018,Collect Bug,,搜集虫子
BH_Title_3200019,Collect Ornament,,搜集摆件
BH_Title_3200020,Kill the wild wolf,,击杀野狼
BH_Title_3200021,Kill the wild wolf,,击杀野狼
BH_Title_3200022,Wolf King Xiao Yue,,狼王啸月
BH_Title_5800001,Collect Weapon,,搜集武器
BH_Title_5800002,Collect Armor,,搜集护甲
BH_Title_5800003,Collect Throwing,,搜集暗器
BH_Title_5800004,Collect Food,,搜集食物
BH_Title_5800005,Collect Side,,搜集菜肴
BH_Title_5800006,Collect Medicine,,搜集药品
BH_Title_5800007,Collect Herb,,搜集药材
BH_Title_5800008,Collect Bug,,搜集虫子
BH_Title_5800009,Collect Toxic,,搜集毒物
BH_Title_5800010,Collect Weapon,,搜集武器
BH_Title_5800011,Collect Armor,,搜集护甲
BH_Title_5800012,Collect Throwing,,搜集暗器
BH_Title_5800013,Collect Food,,搜集食物
BH_Title_5800014,Collect Side,,搜集菜肴
BH_Title_5800015,Collect Medicine,,搜集药品
BH_Title_5800016,Collect Herb,,搜集药材
BH_Title_5800017,Collect Bug,,搜集虫子
BH_Title_5800018,Collect Toxic,,搜集毒物
BH_Title_5800019,Collect Weapon,,搜集武器
BH_Title_5800020,Collect Armor,,搜集护甲
BH_Title_5800021,Collect Throwing,,搜集暗器
BH_Title_5800022,Collect Food,,搜集食物
BH_Title_5800023,Collect Side,,搜集菜肴
BH_Title_5800024,Collect Medicine,,搜集药品
BH_Title_5800025,Collect Herb,,搜集药材
BH_Title_5800026,Collect Bug,,搜集虫子
BH_Title_5800027,Collect Toxic,,搜集毒物
BH_Title_5800028,Collect Weapon,,搜集武器
BH_Title_5800029,Collect Armor,,搜集护甲
