key,original,translation,context
UIPropPoints,Initial available aptitude: <color=#ffffff>{0}</color>,,开局可用资质：<color=#ffffff>{0}</color>
UITraitPoints,Initial achievement points: <color=#ffffff>{0}</color>,,开局成就点数：<color=#ffffff>{0}</color>
UIPropPointsTip,"Every time you Unlock<#00ff00>{0}</color> achievements, you can allocate an additional attribute point when creating a character. The maximum additional attribute points are <#00ff00>{1}</color>, and the current additional attribute points are <#00ff00>{2}</color>",,每解锁<#00ff00>{0}</color>个成就，在创角时可额外分配1点属性点，额外属性点上限为<#00ff00>{1}</color>，当前额外属性点为<#00ff00>{2}</color>
UITraitPointsTip,"Start with <#00ff00>{0}</color> achievement points. Each time you Unlock an achievement, you can get additional achievement points. You can use these points to choose suitable traits when starting the game.",,开局初始<#00ff00>{0}</color>成就点，每解锁1个成就可以额外获得成就点，在开局时可以消耗成就点数选择适合自己的特征。
AchievementComplated,Unlock achievement <#ffff00>{0}</color>,,解锁成就<#ffff00>{0}</color>
AchievementTraitPoints,You can get <#236c0f>{0}</color> achievement points,,可以获得 <#236c0f>{0}</color> 成就点
AchievementPrizeTitle0,Initial items:,,初始道具：
AchievementPrizeTitle1,Initial traits:,,初始特征：
AchievementBottom,"Tip 1: Achievement points from Unlock achievements can be used to choose suitable traits at the start of the game
Tip 2: Initial items from Unlock achievements can be chosen as starting items at the start of the game",,"提示1：成就解锁的成就点可在开局消耗选择适合自己的特征
提示2：成就解锁的初始道具可在开局作为初始道具进行选择"
AchievementLockSecretName,？？？？？？,,？？？？？？
AchievementLockSecretTip,？？？？？？？？？？？,,？？？？？？？？？？？
AchievementName_1,Undefeated,,所向披靡
AchievementName_2,High Stamina,,体力充沛
AchievementName_3,Ultra Speed,,动如雷霆
AchievementName_4,Effective Learner,,心有灵犀
AchievementName_5,Survival Instinct,,死里逃生
AchievementName_6,Throwing Master,,暗器精研
AchievementName_7,Poisonous Body,,特异毒体
AchievementName_8,Fast Runner,,神行无忌
AchievementName_9,Poison Expert,,雪上加霜
AchievementName_10,Medical Expert,,妙手仁心
AchievementName_11,Medical Master,,医术精研
AchievementName_12,Pretentious,,道貌岸然
AchievementName_13,Power of Money,,财大气粗
AchievementName_14,Weapon Expert,,兵器亲和
AchievementName_15,Burning Spirit,,战意凛然
AchievementName_16,Sleight of Hand,,妙手空空
AchievementName_17,Discerning Eyes,,明察秋毫
AchievementName_18,Authentic Taoist,,玄门正宗
AchievementName_19,Easy as Pie,,手到擒来
AchievementName_20,Dexterous Hands,,心灵手巧
AchievementName_21,Eye for Details,,火眼金睛
AchievementName_22,Survival Expert,,谋生有道
AchievementName_23,Scoundrel's Way,,歪门邪道
AchievementName_24,Weapon Master,,兵器精通
AchievementName_25,Cowardice,,贪生怕死
AchievementName_26,The Saint,,圣贤传人
AchievementName_27,The Devil,,邪魔外道
AchievementName_28,Village Hermits,,小村隐士
AchievementName_29,Chicken Hero,,弱鸡大侠
AchievementName_30,Poisonous Skin,,自带毒疮
AchievementName_31,Jianghu Master,,武林盟主
AchievementName_32,Jianghu Conqueror,,武林霸主
AchievementName_33,Master of Fist,,拳法宗师
AchievementName_34,Master of Sword,,剑法宗师
AchievementName_35,Master of Blade,,刀法宗师
AchievementName_36,Master of Long Weapon,,长兵宗师
AchievementName_37,Master of Short Weapon,,短兵宗师
AchievementName_38,Master of Music,,音律宗师
AchievementName_39,Feigning Weakness,,扮猪吃虎
AchievementName_40,Destroy Blue Wind Camp,,剿灭青风寨
AchievementName_41,Destroy Nest of Swallow,,剿灭燕子窝
AchievementName_42,Destroy Crime Investigation Bureau,,剿灭神捕门
AchievementName_43,Destroy Langya Sword Pavillion,,剿灭琅琊剑阁
AchievementName_44,Destroy Taoist Sect,,剿灭道玄宗
AchievementName_45,Easy Challenge,,休闲挑战
AchievementName_46,Easy Challenge,,休闲挑战
AchievementName_47,Easy Challenge,,休闲挑战
AchievementName_48,Easy Challenge,,休闲挑战
AchievementName_49,Easy Challenge,,休闲挑战
AchievementName_50,Normal Challenge,,正常挑战
AchievementName_51,Normal Challenge,,正常挑战
AchievementName_52,Normal Challenge,,正常挑战
AchievementName_53,Normal Challenge,,正常挑战
AchievementName_54,Normal Challenge,,正常挑战
AchievementName_55,Hard Challenge,,困难挑战
AchievementName_56,Hard Challenge,,困难挑战
AchievementName_57,Hard Challenge,,困难挑战
AchievementName_58,Hard Challenge,,困难挑战
AchievementName_59,Hard Challenge,,困难挑战
AchievementName_60,Nightmare Challenge,,修罗挑战
AchievementName_61,Nightmare Challenge,,修罗挑战
AchievementName_62,Nightmare Challenge,,修罗挑战
AchievementName_63,Nightmare Challenge,,修罗挑战
AchievementName_64,Nightmare Challenge,,修罗挑战
AchievementName_65,The First Coin,,第一文钱
AchievementName_66,Joining Sect,,加入门派
AchievementName_67,Joining Sect,,加入门派
