key,original,translation,context
TotalDayFormat,{0}<size=24><voffset=0.2em><#5E92A9>Day(s)</size>,,{0}<size=24><voffset=0.2em><mspace=1.2em><#5E92A9>天</size>
TimeQuarterName0,Zi Shi(23),,子初初刻
TimeQuarterName1,Zi Shi(23),,子初一刻
TimeQuarterName2,Zi Shi(23),,子初二刻
TimeQuarterName3,Zi Shi(23),,子初三刻
TimeQuarterName4,Zi Shi(24),,子正初刻
TimeQuarterName5,Zi Shi(24),,子正一刻
TimeQuarterName6,Zi Shi(24),,子正二刻
TimeQuarterName7,Zi Shi(24),,子正三刻
TimeQuarterName8,Chou Shi(1),,丑初初刻
TimeQuarterName9,Chou Shi(1),,丑初一刻
TimeQuarterName10,Chou Shi(1),,丑初二刻
TimeQuarterName11,Chou Shi(1),,丑初三刻
TimeQuarterName12,Chou Shi(2),,丑正初刻
TimeQuarterName13,Chou Shi(2),,丑正一刻
TimeQuarterName14,Chou Shi(2),,丑正二刻
TimeQuarterName15,Chou Shi(2),,丑正三刻
TimeQuarterName16,Yin Shi(3),,寅初初刻
TimeQuarterName17,Yin Shi(3),,寅初一刻
TimeQuarterName18,Yin Shi(3),,寅初二刻
TimeQuarterName19,Yin Shi(3),,寅初三刻
TimeQuarterName20,Yin Shi(4),,寅正初刻
TimeQuarterName21,Yin Shi(4),,寅正一刻
TimeQuarterName22,Yin Shi(4),,寅正二刻
TimeQuarterName23,Yin Shi(4),,寅正三刻
TimeQuarterName24,Mao Shi(5),,卯初初刻
TimeQuarterName25,Mao Shi(5),,卯初一刻
TimeQuarterName26,Mao Shi(5),,卯初二刻
TimeQuarterName27,Mao Shi(5),,卯初三刻
TimeQuarterName28,Mao Shi(6),,卯正初刻
TimeQuarterName29,Mao Shi(6),,卯正一刻
TimeQuarterName30,Mao Shi(6),,卯正二刻
TimeQuarterName31,Mao Shi(6),,卯正三刻
TimeQuarterName32,Chen Shi(7),,辰初初刻
TimeQuarterName33,Chen Shi(7),,辰初一刻
TimeQuarterName34,Chen Shi(7),,辰初二刻
TimeQuarterName35,Chen Shi(7),,辰初三刻
TimeQuarterName36,Chen Shi(8),,辰正初刻
TimeQuarterName37,Chen Shi(8),,辰正一刻
TimeQuarterName38,Chen Shi(8),,辰正二刻
TimeQuarterName39,Chen Shi(8),,辰正三刻
TimeQuarterName40,Si Shi(9),,巳初初刻
TimeQuarterName41,Si Shi(9),,巳初一刻
TimeQuarterName42,Si Shi(9),,巳初二刻
TimeQuarterName43,Si Shi(9),,巳初三刻
TimeQuarterName44,Si Shi(10),,巳正初刻
TimeQuarterName45,Si Shi(10),,巳正一刻
TimeQuarterName46,Si Shi(10),,巳正二刻
TimeQuarterName47,Si Shi(10),,巳正三刻
TimeQuarterName48,Wu Shi(11),,午初初刻
TimeQuarterName49,Wu Shi(11),,午初一刻
TimeQuarterName50,Wu Shi(11),,午初二刻
TimeQuarterName51,Wu Shi(11),,午初三刻
TimeQuarterName52,Wu Shi(12),,午正初刻
TimeQuarterName53,Wu Shi(12),,午正一刻
TimeQuarterName54,Wu Shi(12),,午正二刻
TimeQuarterName55,Wu Shi(12),,午正三刻
TimeQuarterName56,Wei Shi(13),,未初初刻
TimeQuarterName57,Wei Shi(13),,未初一刻
TimeQuarterName58,Wei Shi(13),,未初二刻
TimeQuarterName59,Wei Shi(13),,未初三刻
TimeQuarterName60,Wei Shi(14),,未正初刻
TimeQuarterName61,Wei Shi(14),,未正一刻
TimeQuarterName62,Wei Shi(14),,未正二刻
TimeQuarterName63,Wei Shi(14),,未正三刻
TimeQuarterName64,Shen Shi(15),,申初初刻
TimeQuarterName65,Shen Shi(15),,申初一刻
TimeQuarterName66,Shen Shi(15),,申初二刻
TimeQuarterName67,Shen Shi(15),,申初三刻
TimeQuarterName68,Shen Shi(16),,申正初刻
TimeQuarterName69,Shen Shi(16),,申正一刻
TimeQuarterName70,Shen Shi(16),,申正二刻
TimeQuarterName71,Shen Shi(16),,申正三刻
TimeQuarterName72,You Shi(17),,酉初初刻
TimeQuarterName73,You Shi(17),,酉初一刻
TimeQuarterName74,You Shi(17),,酉初二刻
TimeQuarterName75,You Shi(17),,酉初三刻
TimeQuarterName76,You Shi(18),,酉正初刻
TimeQuarterName77,You Shi(18),,酉正一刻
TimeQuarterName78,You Shi(18),,酉正二刻
TimeQuarterName79,You Shi(18),,酉正三刻
TimeQuarterName80,Xu Shi(19),,戌初初刻
TimeQuarterName81,Xu Shi(19),,戌初一刻
TimeQuarterName82,Xu Shi(19),,戌初二刻
TimeQuarterName83,Xu Shi(19),,戌初三刻
TimeQuarterName84,Xu Shi(20),,戌正初刻
TimeQuarterName85,Xu Shi(20),,戌正一刻
TimeQuarterName86,Xu Shi(20),,戌正二刻
TimeQuarterName87,Xu Shi(20),,戌正三刻
TimeQuarterName88,Hai Shi(21),,亥初初刻
TimeQuarterName89,Hai Shi(21),,亥初一刻
TimeQuarterName90,Hai Shi(21),,亥初二刻
TimeQuarterName91,Hai Shi(21),,亥初三刻
TimeQuarterName92,Hai Shi(22),,亥正初刻
TimeQuarterName93,Hai Shi(22),,亥正一刻
TimeQuarterName94,Hai Shi(22),,亥正二刻
TimeQuarterName95,Hai Shi(22),,亥正三刻
,,,
