key,original,translation,context
KungfuInfo_Level,The {0}th layer,,第{0}重
KungfuInfo_NameWithLevel,{0}{1},,{0}{1}
KungfuDesc_市井拳法,"A boxing technique commonly used by street thugs, the punches are chaotic but effective.",,街头市井混混打架都会使用的拳法，出拳杂乱无章，但切实有效。
KungfuDesc_逍遥扇舞,"The moves are as graceful as flowing clouds and water, dancing with the fan, dazzling.",,招式灵巧如行云流水，以扇作舞，流光溢彩。
KungfuDesc_龙蛇笔法,"The brush moves like a dancing dragon and snake, catching the enemy off guard.",,笔走如龙蛇狂舞，令敌人措手不及。
KungfuDesc_泛沧浪,"Aspiring to sail a flat boat on the five lakes, abandoning fame and fortune as if discarding chaff, carrying the wind and moon to play with the clouds and water, treating worldly affairs as if they were floating dust.",,志在驾扁舟于五湖，弃功名如遗芥，载风月而播弄云水，渺世事之若浮尘。
KungfuDesc_音波功,"Use MP to attack enemies with sound waves, achieving a deafening effect.",,以内力使用音波攻击敌人，可达到震耳欲聋的效果。
KungfuDesc_霸王卸甲,"The tune is solemn and tragic, making the listener clench their fists and shed tears.",,曲调沉闷悲壮，令闻者扼腕，潸然泪下。
KungfuDesc_地趟刀法,"A sword technique that complements ground rolling movements, emphasizing the combination of upper and lower, and the integration of form and spirit.",,与地趟动作相配为伍的一种刀法，讲究上下结合，形神兼备。
KungfuDesc_游龙剑法,"Moving like a dragon emerging from the water, still as a spiritual cat catching a mouse.",,行如游龙出水，静若灵猫捕鼠。
KungfuDesc_逍遥拳法,"Once the unique martial arts of a certain Jianghu sect, the punches are free and easy, delicate and agile.",,曾是某个江湖门派的武功绝学，出拳潇洒自在，精巧灵动。
KungfuDesc_蟠龙棍法,"A stick technique created by the founding emperor of Zhao, now common among ordinary people.",,赵国开国皇帝所创棍法，如今已走入寻常百姓家。
KungfuDesc_疾风刺,"Stab with a dagger like a thunderstorm, catching the enemy off guard.",,持匕首如迅雷疾风般地一刺，让敌人措手不及。
KungfuDesc_六合枪法,"Combining the essence of six spear techniques into one, the movements are simple and fast, and the spear techniques are rich and changeable in an instant.",,集六家枪法精华于一，动作简洁明快，枪法丰富攻守变化都在瞬息之间。
KungfuDesc_开山掌,"Extremely fierce, each palm strike has the power to split mountains and rocks.",,刚猛至极，每次出掌都有开山破石之劲。
KungfuDesc_贪狼剑法,"Like a greedy wolf descending to the world, devouring all obstacles.",,如贪狼降世，吞噬一切阻碍。
KungfuDesc_霹雳刀法,"The sword is swift, as fast as thunder.",,出刀迅捷，疾如惊雷。
KungfuDesc_混元棍法,"With the momentum of Mountain Breaker, shock the world.",,以山崩地裂之势，震撼天下。
KungfuDesc_七杀枪法,"There are seven moves, each one directly attacking the enemy's vital points, each move is critical.",,共有七式，每一式都直取敌人要害，招招致命。
KungfuDesc_高山流水,"A guqin tune passed down from ancient times, between the strings there are towering mountains and trickling streams.",,从古代流传至今的琴曲，弦音之间有巍巍高山，也有涓涓流水。
KungfuDesc_银蛇流光,Strike the enemy off guard with the posture of a silver snake coming out of its hole.,,以银蛇出洞之姿，击敌方措手不及。
,,,
