key,original,translation,context
题库1_题目1,This is title 1,,这是题目1
题库1_题目2,This is title 2,,这是题目2
题库1_题目3,This is title 3,,这是题目3
题库1_题目4,This is title 4,,这是题目4
题库1_题目5,This is title 5,,这是题目5
题库1_题目1_答案1,This is an answer. The number is: Question Bank 1_Title 1_Answer 1,,这是一个答案 编号是：题库1_题目1_答案1
题库1_题目1_答案2,This is an answer. The number is: Question Bank 1_Title 1_Answer 2,,这是一个答案 编号是：题库1_题目1_答案2
题库1_题目1_答案3,This is an answer. The number is: Question Bank 1_Title 1_Answer 3,,这是一个答案 编号是：题库1_题目1_答案3
题库1_题目1_答案4,This is an answer. The number is: Question Bank 1_Title 1_Answer 4,,这是一个答案 编号是：题库1_题目1_答案4
题库1_题目2_答案1,This is an answer. The number is: Question Bank 1_Title 2_Answer 1,,这是一个答案 编号是：题库1_题目2_答案1
题库1_题目2_答案2,This is an answer. The number is: Question Bank 1_Title 2_Answer 2,,这是一个答案 编号是：题库1_题目2_答案2
题库1_题目3_答案1,This is an answer. The number is: Question Bank 1_Title 3_Answer 1,,这是一个答案 编号是：题库1_题目3_答案1
题库1_题目3_答案2,This is an answer. The number is: Question Bank 1_Title 3_Answer 2,,这是一个答案 编号是：题库1_题目3_答案2
题库1_题目3_答案3,This is an answer with the code: QuestionBank1_Question3_Answer3,,这是一个答案 编号是：题库1_题目3_答案3
题库1_题目4_答案1,This is an answer with the code: QuestionBank1_Question4_Answer1,,这是一个答案 编号是：题库1_题目4_答案1
题库1_题目4_答案2,This is an answer with the code: QuestionBank1_Question4_Answer2,,这是一个答案 编号是：题库1_题目4_答案2
题库1_题目4_答案3,This is an answer with the code: QuestionBank1_Question4_Answer3,,这是一个答案 编号是：题库1_题目4_答案3
题库1_题目4_答案4,This is an answer with the code: QuestionBank1_Question4_Answer4,,这是一个答案 编号是：题库1_题目4_答案4
题库1_题目5_答案1,This is an answer with the code: QuestionBank1_Question5_Answer1,,这是一个答案 编号是：题库1_题目5_答案1
题库1_题目5_答案2,This is an answer with the code: QuestionBank1_Question5_Answer2,,这是一个答案 编号是：题库1_题目5_答案2
题库1_题目5_答案3,This is an answer with the code: QuestionBank1_Question5_Answer3,,这是一个答案 编号是：题库1_题目5_答案3
题库1_题目5_答案4,This is an answer with the code: QuestionBank1_Question5_Answer4,,这是一个答案 编号是：题库1_题目5_答案4
,,,
隆中书院老学究_题目1,"What is the next line after ""At the beginning, human nature is good""?",,“人之初，性本善”的下一句是什么？
隆中书院老学究_题目2,"What is the line before ""The way of teaching, value in focus""?",,“教之道，贵以专”的上一句是什么？
隆中书院老学究_题目3,"What is the next line after ""Jade, if not polished, does not become a tool""?",,“玉不琢，不成器”的下一句是什么？
隆中书院老学究_题目4,"What is the next line after ""The ospreys cry, on the islet in the river""?",,“关关雎鸠，在河之洲”的下一句是什么？
隆中书院老学究_题目5,"""The highest good is like water, water is good at ______""",,“上善若水，水善______”
隆中书院老学究_题目6,"What is the next line after ""A tree as big as a man's embrace grows from a tiny shoot; A nine-storied tower rises from a heap of earth""?",,“合抱之木，生于毫末；九层之台，起于累土”的下一句是什么？
隆中书院老学究_题目7,"What is the next line after ""Honorable and yet different""?",,“君子和而不同”的下一句是什么？
隆中书院老学究_题目8,"""Man follows the earth, the earth follows the heaven, ___, ____""",,“人法地，地法天，___，____”
隆中书院老学究_题目9,"What is the next line after ""The mountain does not tire of height; the ocean does not tire of depth""?",,“山不厌高，海不厌深”的下一句是什么？
隆中书院老学究_题目10,"What is the next line after ""The movement of the sun and the moon is as if it were among them""?",,“日月之行，若出其中”的下一句是什么？
隆中书院老学究_题目11,"What is the next line after ""Honorable and magnanimous""?",,“君子坦荡荡”的下一句是什么？
隆中书院老学究_题目12,"What is the next line after ""Learning without thought is labor lost""?",,“学而不思则罔”的下一句是什么？
隆中书院老学究_题目13,"What is the next line after ""Confucianists confuse the law with their writings""?",,“儒以文乱法”的下一句是什么？
隆中书院老学究_题目14,"What is the next line after ""A long journey tests a horse's strength""?",,“路遥知马力”的下一句是什么？
隆中书院老学究_题目15,"What is the next line after ""The waves behind drive on those before""?",,“长江后浪推前浪”的下一句是什么？
隆中书院老学究_题目16,"What is the next line after ""Planning behind the curtain""?",,“运筹帷帐中”的下一句是什么？
隆中书院老学究_题目17,"What is the next line after ""In poverty, one focuses on self-improvement""?",,“穷则独善其身”的下一句是什么？
