key,original,translation,context
DefaultPlayerName_Family,Vinegar,,醋
DefaultPlayerName_Given,Shrimp,,小虾
CharacterInfo_欧阳晨,"A little shrimp just stepping into the martial world, the future is unknown, anything is possible.",,初涉江湖的小虾米，会有怎样的未来还都是未知数，一切皆有可能。
CharacterInfo_长春子,"The second generation chief disciple of the Taoist Sect, very caring and tolerant towards fellow disciples, highly respected in the Taoist Sect.
Highly talented in martial arts, a slayer of evil, but stubborn and inflexible.",,"道玄宗二代首席弟子，对同门十分关爱包容，在道玄宗中颇具人望。
习武天赋极高，为人嫉恶如仇，但性格执拗、不懂变通。"
CharacterInfo_苗木黎,"Chief of the Jiuli Tribe, has a deep understanding of toxins, only wishes to revive the tribe and take revenge on the Central Plains martial arts sects that have oppressed them for a long time, will stop at nothing to achieve this goal.",,九黎部族族长，对毒物的了解如数家珍，一心只想重新让部族发扬光大，报复那些长久以来欺压自己的中原武林门派，为达这一目的不惜手段，誓不罢休。
CharacterInfo_洪小七,"A little beggar wandering in the Nameless village, idle all day, not doing any proper work. Thanks to the care of the villagers, he barely manages to get by.
His past before becoming a beggar is a deep secret, unknown to others.",,"游荡在无名小村里的小乞丐，整日游手好闲，不务正业。幸得无名小村大家的照顾，才勉强衣食无忧。
关于他成为乞丐之前的事一直讳莫如深，旁人更是无从知晓。"
CharacterInfo_任中横,"The master of the Pojun Hall of the Holy Fire Sect, appears rough but is actually thoughtful, has selected many outstanding disciples for the Holy Fire Sect.",,圣火宗破军堂堂主，看起来是个粗人但是实际上心思细腻，为圣火宗选拔了不少出色的弟子。
CharacterInfo_苗彩蝶,"The holy woman of the Jiuli Tribe, sister of the tribal chief Miao Muli. Naturally lively and innocent, born with the ability to communicate with insects. Due to her unique constitution, she has white hair like snow and her body is like a ten-year-old girl, unable to grow up. She rarely goes out of the tribe and is curious about everything in the Central Plains.",,九黎部族圣女，部落族长苗木黎的妹妹。天性活泼天真，天生就能和蛊虫沟通，由于体质奇特，白发如雪，且身体如十岁女童难以长大。常年在部落内极少外出，因而对中原的一切事物充满了好奇。
CharacterInfo_释嗔,"A strange monk, wounded and wanted for unknown reasons, recovered after your treatment. Excellent in stick fighting, but does not abstain from meat and wine, decisive in killing and rude in speech, completely unlike a monk.",,奇怪的僧人，不知为何被通缉负伤，经你的诊治才康复。棍棒功夫了得，但荤腥不戒、嗜酒如命，杀伐果断且出言不逊，行事作风完全不像个僧人。
CharacterInfo_凌鸿轩,"{Ling Mengdie}'s elder brother, a rising star in the martial arts world, who travels everywhere seeking medical advice to cure his sister's strange disease, finally arrives at the Confucius Temple. He is arrogant and shows no good face to anyone, but is completely obedient to his sister.",,凌梦蝶的兄长，武林中的后起之秀，为了治疗妹妹的怪病而四处寻医问药，最后来到儒圣馆。为人高傲，对谁都没有好脸色，唯独对妹妹百依百顺。
CharacterInfo_凌梦蝶,"{Ling Hongxuan}'s younger sister, who is intelligent and well-read, has a deep understanding of the martial arts of various sects. She was born with a strange disease and lacks vitality, often falling into slumber.",,凌鸿轩的妹妹，天资聪颖且饱读诗书，对各门各派的武学都有极深的研究。天生患有怪病，元气不足，因而时常陷入昏睡之中。
CharacterInfo_叶银瓶,"Daughter of Ye Pengju, grew up with her father in the Ye Family Battalion, longing for the life of a legendary hero, adventuring across the four seas and making friends with heroes, but often unintentionally causing trouble, and in the end, Ye Pengju has to step in to settle things.",,叶鹏举之女，自幼跟随父亲在叶家军中长大，比起随军生活更向往如同传说般的大侠一样闯荡四海、结交好汉的江湖生活，但是本人却又经常无意间惹祸，最后还是要让叶鹏举出面摆平。
CharacterInfo_佟道辅,"The head of the Imperial City Department, originally a favorite of the emperor, holding a high position, responsible for monitoring the movements of all forces in the world. With the emperor being captured by the Yan Kingdom, the political situation is turbulent, and he is also looking for his future backing.",,皇城司的首脑，原本皇帝手下的红人，身居一人之下万人之上的要职，负责监察天下各大小势力的动态直达天听。随着皇帝被燕国俘虏，一时间政局动荡，他也在寻找自己的以后的靠山。
CharacterInfo_叶鹏举,"The founder of Ye Family Battalion, the Jiedushi of Zhao Kingdom. He was loyal to Zhao Kingdom all his life, with many elite soldiers under his command. He has led troops to resist the southern invasion of Yan Kingdom many times, with outstanding military achievements. He loves his soldiers like his own children and has a lot of insights into the training of soldiers, but he is very troubled by the education of his children.",,叶家军的建立者，赵国的节度使。一生对赵国忠心耿耿，手下精兵众多，多次带兵抵御燕国南侵，战功赫赫。爱兵如子，对士兵的训练上颇有心得，但是对子女的教育很是头痛。
CharacterInfo_重阳子,"The current leader of Taoist Sect, one of the legendary ""Eight Saints"". He was seriously injured while defending Chuxiang City decades ago and lost all his martial arts skills, but he realized the truth of nature and his martial arts skills were even better than before. Under his leadership, the disciples of Taoist Sect are all upright and righteous, saving the world and helping the people, with a strong sense of chivalry.",,"道玄宗的现任掌教，传说中的“八圣”之一。十数年前守卫楚襄城时身受重伤，一身武功尽失，但却因此领悟了万法自然的道理，武功反倒更胜往昔。
道玄宗在他领导下，道玄宗弟子个个正气凛然，救世济民，颇具侠风。"
CharacterInfo_方啸天,"The leader of the Holy Fire Sect, one of the legendary ""Eight Saints"". After defending Chuxiang City, he went to the Western Regions according to the agreement of the Eight Saints, and then established the Holy Fire Sect in the Western Regions to protect the distressed people, and his power shook the Western Regions. After living in the Western Regions, Fang Xiaoian saw the situation in the Central Plains more clearly. He wanted to settle the disputes before the world was in chaos, but he didn't expect this move to make the world more turbulent.",,"圣火宗宗主，传说中的“八圣”之一，守卫楚襄城之后按照八圣约定前往西域，随后在西域建立圣火宗，庇护落难百姓，威震西域。
在远居西域之后，方啸天反而看清了中原局势，想要在天下大乱前平息纷争，却不想此举会让天下更加动荡。"
CharacterInfo_柴王爷,"The descendant of the former dynasty's royal family, who still has a noble status in this dynasty, can sit on an equal footing with Qi Wang and Kang Wang. Although he is not a martial artist, he is well acquainted with all the major sects in the martial arts world and knows all the major events in the martial arts world.",,前朝的皇室后裔，在本朝中也仍旧拥有高贵的身份，能够和齐王、康王等人平起平坐。虽不是江湖人士，却和江湖各大门派交好，对江湖大小事件了如指掌。
CharacterInfo_邋遢张,"Zhong Yangzi's junior brother, a martial genius, his martial arts skills are incredibly advanced. But he is naturally lazy and loves to drink. He is extremely sloppy in his dress, like a beggar, and is jokingly called the ""Carefree duo"" with Lai Toudian from Shifa Temple.",,重阳子师弟，武学奇才，武功高深到不可思议的境界。只不过生性懒散、好酒贪杯。穿着邋遢无比，宛如乞丐，和释法寺的癞头癫一起被江湖人士戏称“逍遥二仙”。
CharacterInfo_蔡元常,"The curator of Confucius Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he lamented that the quality of talents was declining too fast, so he began to advocate quality education, hoping to improve the overall quality of Confucian students. Under his leadership, Confucius Temple is full of talents and has become a top power.",,儒圣馆的馆主，传说中的“八圣”之一。守卫楚襄城后，感叹人才素质下滑过快，因而开始推崇素质教育，想提升儒生全方面的素养。在他的领导下，儒圣馆人才济济，跻身一流势力。
CharacterInfo_蔡攸之,"Cai Yuanchang's only son, also the designated successor of the Confucius Temple by Cai Yuanchang. Although he is young, he is capable and is the youngest person in history to have passed the Four Sages' Formation, which makes people have high hopes for him.",,蔡元常的独生子，也是蔡元常钦定的儒圣馆接班人，虽然年纪轻轻却本事过人，是有史以来闯过四贤风流阵的人中最年轻的一位，让人不禁对他寄予厚望。
CharacterInfo_损道人,"Originally a wandering Taoist priest, he was appreciated by Jiang Nanguai when he was down and out. Since then, he has been a regular in Dirty Street, pretending to be a Taoist priest from White Cloud Temple and deceiving people. Many people in Chuxiang City have been fooled by him.",,原本是游历四方的云游道士，落魄后被江南怪赏识，自此在脏街常驻，假借白云观道士的身份招摇撞骗，楚襄城内不知有多少百姓着了他的道。
CharacterInfo_邪戏子,"One of the four stewards of Nine Factions Sect, whose identity and gender are a mystery. Every time she appears in front of people, she is dressed up as an opera performer, with every move full of opera rhythm. Her dance is graceful and captivating.",,九流门四管事之一，身份、性别都成谜。每出现于人前定是一副唱戏的打扮，举手投足都是曲腔戏韵。舞态优美，摄人心魄。
CharacterInfo_曼陀罗,"The western dancer living in Epiphyllum Valley, extremely charming, countless men come to Epiphyllum Valley to see her beauty, but everything about her is a mystery.",,生活于琼花谷中的的西域舞娘，柔媚至极，无数男性为了一睹其芳容来到琼花谷，但关于她的一切事情都是个谜。
CharacterInfo_步绝尘,"The leader of Nest of Swallow, who has a good Qinggong of Traceless step, often sneaks into wealthy families to steal money and food to help the poor.",,燕子窝首领，有一身踏雪无痕的好轻功，经常潜入大户人家盗取钱财和食物来救济穷人。
CharacterInfo_华严,"A high monk of Shifa Temple, who practices Buddhism in the temple all day, never leaves the temple or hurts people, but has a kind of oppressive power that is not angry and prestigious.",,释法寺的高僧，终日在寺中修习佛法，从不离寺半步，也从不出手伤人，但却有一种不怒自威的压迫力。
CharacterInfo_慧元,"The abbot of Shifa Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he returned to Shifa Temple to promote Buddhism and save the souls of those who had died in wars for decades. On the other hand, he opened the door of Buddhism to protect the people, and sent out monk soldiers to disrupt Yan Kingdom's military plans many times, gradually becoming a thorn in the eye of Yan Kingdom.",,释法寺住持，传说中的“八圣”之一，守卫楚襄城后回到释法寺弘扬佛法，超度数十年兵戈之下的亡魂。另一面大开佛门，庇护百姓，又多次派出僧兵破坏燕国的军事计划，逐渐成为燕国的眼中钉。
CharacterInfo_癞头癫,"A wandering monk from Shifa Temple, and the junior brother of Abbot Hui Yuan. He is carefree, does not chant sutras or worship Buddha, and his behavior is eccentric and he is a meat eater. However, he helps those in need and has helped many people, earning him the respect of the people as a living Bodhisattva. People in the martial arts world often jokingly refer to him and La Tazhang of the Taoist Sect as the ""Carefree duo"".",,释法寺的游方僧人，慧元住持的师弟。其人无拘无束，不颂佛不念经，行为举止怪异且荤腥不忌，但是却扶危救困，多处帮助百姓，被百姓尊为活菩萨。江湖人常把他和道玄宗的邋遢张一并戏称为“逍遥二仙”。
CharacterInfo_秦会之,"A trusted civil official of Kang Wang, he holds a high position in Duke Kang's manor and has earned Kang Wang's trust. Kang Wang often follows his advice.",,康王的心腹文臣，在康王府内地位颇高，颇得康王的信任，康王对其更是言听计从。
CharacterInfo_完颜昭宁,"The princess of Yan country, who wants to contribute to the country but is not allowed to step onto the battlefield because of her gender.",,燕国的郡主，想要为国出力却因为女儿身而不被允许踏上战场。
CharacterInfo_恶乞丐,"One of the four stewards of the Nine Factions Sect, he was born a beggar but never accepts charity. He begs in the streets and alleys, and any wealthy family he passes by, whether they give him alms or not, will be robbed clean a few days later. Once on a whim, he taught Hong Xiaoqi some skills to protect himself.",,九流门四管事之一，乞丐出身，却从不领情。游走在大街小巷行乞，但凡是他经过的豪门大户，无论接济他与否，数日后都会被人洗劫一空。曾经一时兴起教洪小七一些足以自保的本事。
CharacterInfo_毒牙婆,"One of the four stewards of the Nine Factions Sect, he was once a disciple of the Plant Sect and the junior brother of Qu Wangyou. He ran away from the Plant Sect because he was not chosen as the sect leader. He has a deep understanding of toxins and can poison people without them knowing. Those who are poisoned often find that they are beyond help by the time they realize they are poisoned.",,"九流门四管事之一，曾是本草门门人、曲忘忧的师叔，因为落选门主而离开本草门。
对毒物了解颇深，可以让人中毒于无形，中毒者往往发现自己中毒时已经毒入膏肓，无药可救。"
CharacterInfo_庖春秋,"The owner of the butcher's shop in Daliang City. His ancestors were royal chefs for generations, but the ancestral skills were lost, and Pao Chunqiu became the owner of a regular butcher's shop in Daliang City.",,大梁城肉铺的掌柜，祖上世世代代皆为皇室御厨，但祖传手艺失传，庖春秋也落魄为大梁城内一个普通的肉铺掌柜。
CharacterInfo_秦阎罗,"The leader of the Black Robe Group, a guy who only recognizes money and not people. As long as the price is right, he can deal with anyone without hesitation, even if it's the king. As the saying goes, ""If the King of Hell wants you to die at the third watch, who dares to keep you till the fifth watch.""",,玄衣会的会主，只认钱不认人的家伙，只要能出合适的价码，就算天王老子他也能毫无顾忌地处理掉。正所谓“阎王叫你三更死，谁敢留你到五更。”
CharacterInfo_叶云,"The eldest son of Ye Pengju and the vanguard of the Ye Family Battalion. He has Herculean strength and has made many military achievements as a vanguard, but he does not understand his father's cautious strategy and believes that they should strike first and drive straight in to eliminate the Yan Kingdom.",,叶鹏举长子，叶家军的先锋将。天生神力，作为先锋屡立战功，但是却不理解父亲的谨慎战略，觉得就应当一鼓作气长驱直入消灭燕国。
CharacterInfo_完颜乌珠,"The fourth prince of the Yan Kingdom and the grand marshal of the Yan Yun Iron Army. He successfully captured the emperor of the Zhao Kingdom and supported Qi Wang, commanding Qi Wang to rule the country in the name of the Zhao emperor and lead the Yan Yun Iron Army to dominate the Central Plains, ready to invade and swallow the entire territory of the Zhao Kingdom.",,燕国四皇子，燕云铁军的大元帅，曾成功掳走赵国皇帝，并扶植齐王，假借赵国皇帝名义命齐王监国率领燕云铁军虎踞中州，伺机南下侵吞整个赵国领土。
CharacterInfo_完颜亮,"A member of the Yan royal family, the nephew and deputy of Wan Yan Wuzhu. He advises Wan Yan Wuzhu and has set a series of strategies against the martial arts forces, using various means to divide and win over the martial arts people, intending to clear the obstacles for the subsequent southern invasion.",,燕国皇族，完颜乌珠的侄子兼副手。为完颜乌珠出谋划策，定下了一系列针对江湖势力的计策，并使用各种手段分化、笼络江湖人士，意图为之后南侵扫清障碍。
CharacterInfo_萧元霸,"He was once a slave raised by the Yan royal family. He is strong and powerful, and was discovered by Wan Yan Wuzhu, who brought him back to the Yan Yun Iron Army for careful cultivation. A few years later, Xiao Yuanba became a brave vanguard general who has made great military achievements.",,曾是燕国皇室豢养的奴隶，身体强壮力大无穷，被完颜乌珠发现其不凡之处，于是带回燕云铁军悉心栽培。数年后，萧元霸成为勇冠三军的先锋猛将，立下赫赫战功。
CharacterInfo_定风波,"The leader of the Jiujiang Water Camp, he has gathered a large number of followers under the banner of ""equality of all, sharing of wealth"", and his power is so great that it can be compared with the army. Under the proposal of the military strategist Zhu Ge Shenji, he wants to further expand his power and share Jiangnan with Kang Wang.",,九江水寨的寨主，打出“等贵贱、均贫富”的旗号召集了大量追随者，势力之大甚至能和军队相提并论。在军事诸葛神机的提议下，想要进一步扩大自身势力，和康王平分江南。
CharacterInfo_诸葛神机,"The military strategist of the Jiujiang Water Camp, who has earned Ding Fengbo's trust, and has set the goal of dividing Jiangnan and ruling the waterways for Ding Fengbo.",,九江水寨的军师，颇得定风波的信赖，给定风波制下了平分江南、水路称王的目标。
CharacterInfo_定海棠,"The second in command of the Jiujiang Water Camp and Ding Fengbo's younger sister, she is in charge of all matters in the Jiujiang Water Camp, which is well-organized under her management. She is very dissatisfied with Zhu Ge Shenji's actions and does not agree with the strategy of dividing Jiangnan.",,"九江水寨的二当家、定风波的亲妹妹，负责九江水寨上上下下各处事宜，在她的治理下九江水寨井井有条。
对诸葛神机的行为十分不满，也不认同瓜分江南的策略。"
CharacterInfo_穆再兴,"The adopted son of General Yang, who narrowly escaped after General Yang was killed. He changed his surname to Mu to avoid revenge and no longer interacts with others. Although he is blind, he has developed the ability of auditory sight and protects the peace of Zhongzhou ferry by himself.",,杨将军的义子，杨将军遭难后侥幸逃出生天，为躲避仇杀改姓穆，不再和人过多交流。虽然双目失明，但练就了一副听声辨位的本事，凭一己之力守护中州渡口的一方安宁。
CharacterInfo_扶摇子,"The head of Linlang Temple, the leader of the legendary ""Eight Saints"", lives alone in Linlang Temple. It is said that he is over a hundred years old, has seen all the joys and sorrows, separations and reunions, and blood and gore in the world, and nothing can stir his heart.
The only thing he cares about is the oath of the ""Eight Saints"". If anyone breaks the oath, he will punish them himself.",,"琳琅馆馆主，传说中的“八圣”之首，独自一人隐居在琳琅馆中。年龄据说已经超过百岁，见遍了世上悲欢离合和血雨腥风，任何事情都难在其心中掀起波澜。
所在乎的事唯有“八圣”的誓言，若有一人违反了誓言，他定会亲自惩戒。"
CharacterInfo_残棋,"One of the four sages of the Confucius Temple, who was obsessed with martial arts in his early years, but due to the reversal of his meridians, he became paralyzed in his lower limbs and lacked vitality throughout his body. After becoming paralyzed, he studied chess and gained a deeper understanding of martial arts through the complex and changing chess game.",,儒圣馆四贤人之一，早年间痴迷练武，却因走火入魔经脉逆转，虽然保住一命却下肢瘫痪，全身气血不足。瘫痪后钻研棋局，在诡谲百变的棋局中反而领悟了更为高深的功夫。
