key,original,translation,context
CharPropName_Hp,HP,,生命
CharPropName_Ep,MP,,内力
CharPropName_生命,Max HP,,生命上限
CharPropInfo_生命,Character is defeated or dies when HP reaches 0 in battle.,,战斗中生命值为0，角色战败或死亡。
CharPropName_内力,Max MP,,内力上限
CharPropInfo_内力,"MP cost when using martial arts, learning and upgrading internal skills can increase MP.",,使用武功时消耗内力，学习和升级内功可提升内力值。
CharPropName_体质,Constitution,,体质
CharPropInfo_体质,"Affects HP growth when Character levels up, some equipment equip conditions, activate <#29F161>Robust</color>【<#F3DE99>Max HP increase by 15%</color>】when Constitution reaches 10.",,影响角色升级时生命成长，部分装备穿戴条件，达到10体质激活<#29F161>血气方刚</color>【<#F3DE99>最大生命值提升15%</color>】。
CharPropName_臂力,Strength,,臂力
CharPropInfo_臂力,"Affects Character's initial Critical chance, some equipment equip conditions, activate <#29F161>Brutal</color>【<#F3DE99>Final damage increase by 15% when attacking</color>】when Strength reaches 10.",,影响角色初始暴击概率，部分装备穿戴条件，达到10臂力激活<#29F161>以力破巧</color>【<#F3DE99>攻击时最终伤害提升15%</color>】。
CharPropName_悟性,Intelligence,,悟性
CharPropInfo_悟性,"Affects Character's initial MP and Combo; the lower the Intelligence, the more <#29F161>initial MP</color> and <#29F161>Combo</color>; the higher the Intelligence, the more <#29F161>Attack</color> and <#29F161>Defense</color> increase when leveling up, activate <#29F161>Genius</color>【<#F3DE99>Experience required to learn martial arts reduced by 30%, MP loss when using external skills reduced by 20%</color>】when Intelligence reaches 10.",,影响角色初始内力与连击；悟性越低<#29F161>初始内力值</color>与<#29F161>连击</color>越多；悟性越高升级时增加的<#29F161>攻击</color>与<#29F161>防御</color>越多，达到10悟性激活<#29F161>聪颖过人</color>【<#F3DE99>修炼武功所需的经验减少30%，使用外功时内力损耗减少20%</color>】。
CharPropName_敏捷,Dexterity,,敏捷
CharPropInfo_敏捷,"Affects Character's Initial Action Point, Action Speed, Qinggong, Evasion, activate <#29F161>First strike</color>【<#F3DE99>Start accumulating energy from 100 before each action</color>】when Dexterity reaches 10.",,影响角色初始集气、集气速度、轻功、闪避，达到10敏捷激活<#29F161>先发制人</color>【<#F3DE99>每次行动前集气值从100开始积累</color>】。
CharPropName_福缘,Luck,,福缘
CharPropInfo_福缘,"Affects Character's initial Critical, Evasion, Parry, Combo, activate <#29F161>Lucky</color>【<#F3DE99>25% chance to drop an extra item when killing an enemy</color>】when Luck reaches 10.",,影响角色初始暴击、闪避、格挡、连击，达到10福缘激活<#29F161>好事成双</color>【<#F3DE99>击杀敌人时有25%概率额外掉落一件物品</color>】。
CharPropName_攻击,Attack,,攻击
CharPropInfo_攻击,"The higher the Attack, the greater the damage caused.",,攻击越高造成的伤害越大。
CharPropName_防御,Defense,,防御
CharPropInfo_防御,"The higher the Defense, the less damage received from enemies.",,防御越高受到敌人的伤害越小。
CharPropName_医术,Medical,,医术
CharPropInfo_医术,"The higher the Medical, the stronger the ""Heal"" and ""Regen"" effects, ""Heal"" and ""Regen"" can be obtained by learning special internal skills, maximum limit is 250 points, can be exceeded through traits and other effects.",,医术越高“治疗”与“归元”的效果越强，“治疗”与“归元”可通过学习特殊内功获得，最高上限250点，可通过特征等效果突破上限。
CharPropName_毒术,Toxicology,,毒术
CharPropInfo_毒术,"The higher the Toxicology, the stronger the ""Poison"" and ""Detoxify"" effects, ""Poison"" and ""Detoxify"" can be obtained by learning special internal skills, maximum limit is 250 points, can be exceeded through traits and other effects.",,毒术越高“施毒”与“解毒”的效果越强，“施毒”与“解毒”可通过学习特殊内功获得，最高上限250点，可通过特征等效果突破上限。
CharPropName_连击,Combo,,连击
CharPropInfo_连击,"There is a chance to trigger an additional external skill damage when using external skills, but it will only cause 50% damage; increasing Level, Luck, reducing Intelligence, and comprehending Passive can increase Combo rate.",,使用外功时有机会再次触发一次外功伤害，但只会造成50%伤害；提升等级、福缘、降低悟性、领悟武道可以提升连击率。
CharPropName_暗器,Throwing,,暗器
