key,original,translation,context
RandomBattle_0,Start Battle,,开战
RandomBattle_1,Sophistry (Success Rate: {0}%),,诡辩（成功率：{0}%）
RandomBattle_2,Escape (Success Rate: {0}%),,逃跑（成功率：{0}%）
RandomBattle_3,Pay {0} Wen,,缴纳{0}文钱
RandomBattle_4,Pay 1 {0}: {1},,缴纳1件{0}：{1}
startTip_上京城,"The Government Office is looking for you everywhere, but you came to us!",,衙门到处缉拿你，没成想你倒主动送上门了！
fightTip_上京城,"Assaulting a Government Office employee is a serious crime, are you ignorant of the law?",,殴打衙门职员可是罪加一等，你是个法盲吧？
explainSuccessTip_上京城,"What you said makes sense, I can't refute it!",,你说的好像很有道理，我竟无法反驳！
explainFailTip_上京城,"Confession is lenient, resistance is strict! Everything you say will be used as evidence, and lying will increase your punishment!",,坦白从宽，抗拒从严！你说的所有话都是呈堂证供，作假罪加一等！
apologySuccessTip_上京城,"Since you are so sincere, go ahead, I didn't see anything!",,看在你这么有诚意的份上，快走吧，我什么都没看见！
apologyItemQuitTip_ 上京城,"The Capital Prison welcomes you, come with me!",,上京牢房欢迎你，跟我走一趟吧！
runAwaySuccessTip_上京城,"Arrogant people will fall sooner or later! Remember, the net of heaven is wide but lets nothing through!",,猖狂的人早晚会栽跟头的！要知道天网恢恢疏而不漏！
runAwayFailTip_上京城,You think you can escape from the Government Office? That would be a disgrace to my uniform!,,衙门跟前还能让你畏罪潜逃？那还真是对不起自己的这身衣服！
failMoneyTip_上京城,"The food has been scarce lately, we were just about to have a feast! Kid, you're in luck!",,近来伙食缩水严重，哥几个正好去打打牙祭！小子，你走大运了！
failItemOtherTip_上京城,"How did you get such a valuable treasure? You must have stolen it, right? Confiscated!",,你怎么会有这样贵重的宝物？想必是从旁处顺手牵羊吧？没收了！
failItemBagTip_上京城,"The goods are confiscated, you can go now, go wherever you want!",,东西充公，你可以走了，该去哪去哪吧！
failBuffTip_上京城,I hope you reflect on your actions! Don't show up in public for a while!,,希望你回去好好反思！短期内不要出来招摇撞市了！
startTip_霖安城,"The Government Office is looking for you everywhere, but you came to us!",,衙门到处缉拿你，没成想你倒主动送上门了！
fightTip_霖安城,"Assaulting a Government Office employee is a serious crime, are you ignorant of the law?",,殴打衙门职员可是罪加一等，你是个法盲吧？
explainSuccessTip_霖安城,"What you said makes sense, I can't refute it!",,你说的好像很有道理，我竟无法反驳！
explainFailTip_霖安城,"Confession is lenient, resistance is strict! Everything you say will be used as evidence, and lying will increase your punishment!",,坦白从宽，抗拒从严！你说的所有话都是呈堂证供，作假罪加一等！
apologySuccessTip_霖安城,"Since you are so sincere, go ahead, I didn't see anything!",,看在你这么有诚意的份上，快走吧，我什么都没看见！
apologyItemQuitTip_ 霖安城,"Lin'an Prison welcomes you, come with me!",,霖安牢房欢迎你，跟我走一趟吧！
runAwaySuccessTip_霖安城,"Arrogant people will fall sooner or later! Remember, the net of heaven is wide but lets nothing through!",,猖狂的人早晚会栽跟头的！要知道天网恢恢疏而不漏！
runAwayFailTip_霖安城,You think you can escape from the Government Office? That would be a disgrace to my uniform!,,衙门跟前还能让你畏罪潜逃？那还真是对不起自己的这身衣服！
failMoneyTip_霖安城,"The food has been scarce lately, we were just about to have a feast! Kid, you're in luck!",,近来伙食缩水严重，哥几个正好去打打牙祭！小子，你走大运了！
failItemOtherTip_霖安城,"How did you get such a valuable treasure? You must have stolen it, right? Confiscated!",,你怎么会有这样贵重的宝物？想必是从旁处顺手牵羊吧？没收了！
failItemBagTip_霖安城,"The goods are confiscated, you can go now, go wherever you want!",,东西充公，你可以走了，该去哪去哪吧！
failBuffTip_霖安城,I hope you reflect on your actions! Don't show up in public for a while!,,希望你回去好好反思！短期内不要出来招摇撞市了！
startTip_汴州城,"The Government Office is looking for you everywhere, but you came to us!",,衙门到处缉拿你，没成想你倒主动送上门了！
fightTip_汴州城,"Assaulting a Government Office employee is a serious crime, are you ignorant of the law?",,殴打衙门职员可是罪加一等，你是个法盲吧？
explainSuccessTip_汴州城,"What you said makes sense, I can't refute it!",,你说的好像很有道理，我竟无法反驳！
